ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clothes,Eyes,Hat,Legendary,Mouths
218,BatBits #218,1,1948.5,1,,,,,,BatBit Man,
1496,BatBits #1496,1,1948.5,1,,,,,,Gold,
876,BatBits #876,3,629.4659001917296,6,Purple,Blue,Tezos,Sunglasses,Evil,,Straight Lip
929,BatBits #929,4,514.4405253270836,6,Sky,Red,Tezos,Bored Lashes,Bandana Black,,Wide Sad Lip
1930,BatBits #1930,5,509.3161026998275,6,Blue,Red,Tezos,Bored Lashes,Boat,,Sad
1270,BatBits #1270,6,410.70937886073744,6,Purple,White,Rainbow Borat,Pirate Lashes,Earing Bar,,Tongue
2268,BatBits #2268,7,404.9964186349949,6,Love,Pink,Borat,Glasses,2Pac,,Derp
74,BatBits #74,8,402.03326710948863,6,Blue,Sky,Borat,Single,Bandana Black,,Straight
360,BatBits #360,9,393.2741813615572,6,Sorry,Red,Borat,Smiley,Buckethat,,Chob Lip
1906,BatBits #1906,10,390.6260833339482,6,Orange,Purple,Rainbow Borat,Pirate,Long Blonde,,Chob
1680,BatBits #1680,11,385.3880661518453,6,Purple,Red,Borat,Rip,Traditional,,Smile
2320,BatBits #2320,12,328.89717362774735,6,Yellow,Blue,Rainbow Borat,Hearts,Bandana Yellow,,Smile
2657,BatBits #2657,13,328.15403458334515,6,Purple,Red,Rainbow Borat,Glasses,Traditional,,Sad Lip
889,BatBits #889,14,321.2858880366405,6,Blue,Red,Rainbow Borat,Single,Trackers White,,Wide Sad Lip
2144,BatBits #2144,15,306.0633360716169,6,Orange,Green,Ninja,Single,Halo,,Hmm
1530,BatBits #1530,16,274.2432158512769,6,Love,Orange,Tie,Glasses,Tezos,,Hmm
1370,BatBits #1370,17,257.94467692598744,6,Sky,Blue,Bluestar,Single Lashes,Halo,,Tongue
906,BatBits #906,18,251.57727815306276,6,Rainbow,Red,Tie,Bored,Halo,,Straight Lip
725,BatBits #725,19,248.14934506191395,6,Toxic,Blue,Patch,Sunglasses,Halo,,Sad Lip
1527,BatBits #1527,20,243.0730430128317,6,Sky,Orange,Wired,Simple Lashes,Tezos,,Smile
1633,BatBits #1633,21,235.45088522586005,6,Blue,Black,Lazy,Single Lashes,Tezos,,Scar
