ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Cloth,Eyes,Head,Mouth
65,TezLynx #65,1,2494.7094500800854,6,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx
2367,TezLynx #2367,1,2494.7094500800854,6,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx
2543,TezLynx #2543,1,2494.7094500800854,6,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx
2750,TezLynx #2750,1,2494.7094500800854,6,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx
3213,TezLynx #3213,1,2494.7094500800854,6,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx,EpicLynx
2753,TezLynx #2753,6,639.6201896164216,4,VioletBlue,Green_Green_Eye,Admiral,,,Bubblegum
2600,TezLynx #2600,7,635.7673107644719,4,BlueSaphire,Blue_Blue_Eye,BikerJacket,,,Pizza
567,TezLynx #567,8,613.279916695599,4,Tangerine,Brown_Blue_Eye,VestBrown,,,Rose
3085,TezLynx #3085,9,591.7578879453722,4,BlackCurrant,Brown_Red_Eye,Tux,,,WoodenPipe
270,TezLynx #270,10,561.2097112681728,6,Bittersweet,Brown_Green_Eye,Astrounaut,RedLaser,WarBonnet,Cigar
574,TezLynx #574,11,531.8966080659784,6,Jet,Brown_Blue_Eye,DragonRobeRed,PinkShades,MianGuan,Rose
2596,TezLynx #2596,12,518.2372018827629,6,ElectricViolet,LavaLynx,PoloRed,Sunglass,FlamingCrown,Bubblegum
2119,TezLynx #2119,13,512.2494257147658,6,TerraGold,Blue_Green_Eye,HoodieBlue,HalfframeGreen,FlamingCrown,Angry
26,TezLynx #26,14,507.8107793844838,6,VioletBlue,Blue_Green_Eye,Suit,HeartGlass,FlamingCrown,Cigar
2812,TezLynx #2812,15,504.0792686347525,5,RoyalPurple,Green_Red_Eye,PoloBlue,,FlamingCrown,Angry
2866,TezLynx #2866,16,502.3914703570534,6,Bittersweet,Brown_Blue_Eye,Suit,Sunglass,FlamingCrown,Pizza
146,TezLynx #146,17,492.0129175276705,6,VioletBlue,ZombieLynx,DragonRobeRed,ReadingGlassBlue,Pharaoh,ZombieMouth
181,TezLynx #181,18,433.06782922814654,6,OliveGreen,LavaLynx,DragonRobeBlue,PinkShades,PirateCapt,Pizza
365,TezLynx #365,19,426.82531778725746,6,VioletBlue,Blue_Green_Eye,HoodieGreen,LaserBlue,Pharaoh,Cigar
1955,TezLynx #1955,20,415.90474051600444,6,Jet,ZombieLynx,PoloBlue,LaserGreen,Samurai,ZombieMouth
2533,TezLynx #2533,21,411.36464673421875,6,OliveGreen,LavaLynx,VestGreen,LaserGreen,PilotHelmet,Fish
533,TezLynx #533,22,408.9835322974315,6,Maize,Green_Green_Eye,DragonRobeBlue,PixelGlass,PoliceCap,Cigar
