ID,Name,Rank,Rarity_Score,Agility,Armor,Attributes,Aura,Background,Body,Eye,Face,Force,Helmet,Intelligence,Jewelry,Mouth,Rank,Scar,Type
1223,TezoTrooperz #1223,1,2515.2849759038368,85,CowboyGear Blue,14,Green,Background Gradient Blue,Body 3 Massai Yellow,Eyes 3 Rinnengan,Commando Beard _ Mustache Black,90,Samurai Kabuki Green,70,Massai Gold,Mouth 5,Long Range,Scar 6,
1527,TezoTrooperz #1527,2,2500.4944554718077,90,Viking 2 Yellow,14,Red,Background GradientNoise Green,Body 4 Massai blue 2,Eyes 2 Yellow,Cowboy Beard _ Mustache Black,95,Commando Black,60,Bullet Gold,Mouth 2,Warrior,Scar 6,
1109,TezoTrooperz #1109,3,2419.2515886318924,85,CowboyGear Orange,13,,Background Grayscale01,Body 3 Yakusa Blue,Eyes 1 Special 2,Mask Skull White,90,Ghost Black,70,Viking White,Mouth 4,Long Range,Scar 5,
480,TezoTrooperz #480,4,2380.040171058037,90,Indian Black,13,,Background GradientNoise Yellow,Body 1 Massai Yellow,Eyes Cyber 3,Mask Queen Blue,95,Indian Blue,60,Neck Blackmetal,Mouth 4,Warrior,Scar 2,
766,TezoTrooperz #766,5,2309.237502998192,75,Ghost Green,13,White,Background Line Blue,Body 3 Fanatic Green,Eyes 3 Brown,Mask Queen White,90,Hairs 5 Purple,85,Viking Metal,Mouth Toothpick,Queen,,
622,TezoTrooperz #622,6,2162.495112433443,85,Ronin Blue,13,,Background GradientNoise Green,Body 2 Viking God Red,Eyes 2 Yellow,MakeUp Massai White 1,90,Indian Gold,70,Viking Gold,Mouth Gold,Long Range,Scar 7,
693,TezoTrooperz #693,7,2122.941377418988,85,Ghost Gold,14,Green,Background Gradient Orange,Body 4 Viking God Yellow,Eyes 2 Green,MakeUp Viking Black 2,90,Hairs 4 Orange,70,Ronin White,Mouth Angry,Long Range,Scar 7,
1508,TezoTrooperz #1508,8,2106.122751631703,80,Ronin Gold,13,,Background Motif Gradient Red,Body 1 CyberSkin Black,Eyes 2 Blue,MakeUp Indian Blue 2,90,Indian Robot Gold,80,Logo Gold,Mouth Angry,Troop Leader,Scar 6,
1179,TezoTrooperz #1179,9,2096.5673216794503,85,Viking Gold,13,,Background Legend Red,Body 4 Viking God Blue,Eyes 2 Blue,MakeUp Gow White,90,CowboyHat Red,70,Logo Black,Mouth Gold,Long Range,Scar 9,
883,TezoTrooperz #883,10,2088.8694281878174,90,Ronin Blue,12,Green,Background Line Green,Body 2 Dragon Blue Red,Eyes Cyber 6,MakeUp Gow Red,95,Ghost Grey,60,,Mouth 4,Warrior,,
52,TezoTrooperz #52,11,2061.0565922144388,90,SpecialForce Green,13,,Background Motif Purple,Body 2,Eyes 1 Green,King Beard _ Mustache Blond,95,Mercenary No Glass Orange,60,Military Plate Futurist Red,Mouth 2,Warrior,Scar 1,
975,TezoTrooperz #975,12,2047.2363632929305,80,Viking Gold,12,,Background Gradient Yellow,Body 1 Viking God Yellow,Eyes 3 Yellow,,90,Cowboy Gold,80,Military Plate Futurist Red,Mouth 5,Troop Leader,Scar 7,
175,TezoTrooperz #175,13,2046.1995016995206,85,Ghost Black,12,,Background Gradient DeepBlue,Body 4 Yakusa Green,Eyes 2 Yellow,King Mustache White,90,SpecialForce Blue,70,Military Plate Futurist Yellow,Mouth 2,Long Range,,
648,TezoTrooperz #648,14,2035.601389172577,85,Ronin Blue,12,,Background Motif Green,Body 3,Eyes 2 Blue,,90,Mercenary Purple,70,Plate King,Mouth 1,Long Range,Scar 1,
1298,TezoTrooperz #1298,15,2034.4758267062512,90,SpecialForce Gold,13,,Background Line Green,Body 2 Dragon blue,Eyes 3 Brown,Commando Beard _ Mustache Black,95,Hairs 3 Black,60,Plate LongRange,Mouth 3,Warrior,Scar 5,
936,TezoTrooperz #936,16,2014.7188320542107,80,Viking 2 Yellow,13,Pink,Background Grayscale02,Body 4 Dragon blue,Eyes 3 Brown,Cowboy Beard _ Mustache Brown,90,Hairs 4 Black,80,Military Plate Futurist Blue,Mouth 4,Troop Leader,,
687,TezoTrooperz #687,17,2014.532660676884,90,CowboyGear Black,13,,Background Gradient Orange,Body 3 Dragon Red,Eyes 1 White,King Beard _ Mustache White,95,Hairs1 Brown,60,Massai White,Mouth 5,Warrior,Scar 6,
785,TezoTrooperz #785,18,2010.9617669350364,85,Ronin Gold,14,Pink,Background Gradient DeepBlue,Body 4 CyberSkin,Eyes 3 Brown,MakeUp Viking Black 3,90,Ronin Gold Hair,70,Viking Gold,Mouth 5,Long Range,Scar 4,
