ID,Name,Rank,Rarity_Score,Attributes,aura,body,bodydetails,botarms,botbody,boteyes,boteyescolor,botfoot,bothead,botpropulsion,details,energy,eyes,facemask,family,ground,hair,has_pet,head,jacket,lefthand,leftobjkt,posterfull,posterleft,posterright,shoes,trousers,unique,unique_tbot,wall,wallcolor,weapon
745,あだっむ (ADAM) #745,1,8352.91042047532,4,,,,,,,,,,,,,,,tcorp,,,True,,,,,,,,,,ADAM,Darth-T,,,
582,じゅご (JUGO) #582,2,5719.986154632971,4,,,,,,,,,,,,,,,juku,,,True,,,,,,,,,,JUGO,B-0101,,,
110,ぜろ (ZERO) #110,3,5719.899830460192,4,,,,,,,,,,,,,,,aki,,,True,,,,,,,,,,ZERO,Z-0,,,
43,順 (JUN) #43,4,5719.881806017489,4,,,,,,,,,,,,,,,shibu,,,True,,,,,,,,,,JUN,Tee-B,,,
358,まつもと (MATSUMOTO) #358,4,5719.881806017489,4,,,,,,,,,,,,,,,shibu,,,True,,,,,,,,,,MATSUMOTO,Ry-U,,,
2736,まつり (MATSURI) #2736,4,5719.881806017489,4,,,,,,,,,,,,,,,kabu,,,True,,,,,,,,,,MATSURI,T-Gun,,,
1221,すみす (SUMISU) #1221,7,2858.6460262755722,19,hexa,gamma,,,,,,,,,badboy,,yob,bigBadMonocle,shibu,road,headbanger,False,gamma,savage,baseballFan,,,play,propaganda2,lightningPink,kanemochi,,,hexagrid,classic,shibuBlade
2847,はた (HATA) #2847,8,1407.2465108382776,17,powerup,gamma,prothesis,,,,,,,,,onFire,upset,boaster,aki,poorNeighbourhood,,False,gamma,hacker,neon,,,,,jumper,elite,,,brickinthewall,3,akiShield
1171,めよ (MEYO) #1171,9,1193.8465637003872,25,warfare,alpha,,model1,hornet,upset,orange,digger,cap,Azure,wildBlue,onFire,wry,,aki,underground,thegoodoldbill,True,alpha,ceremonialdress,,,,gamingContest,nosmoking,lightningAzure,hacker,,,lines2,classic,akiShield
2629,みさよさ (MISAYOSA) #2629,10,1191.6609013777947,21,oneup,alpha,ledgerkey,,,,,,,,wildBlue,fullPower,wicked,talkiePoly,aki,figurine,headbangerOrange,False,alpha,hoodie,,hoverboardModelX,,Resistance,Generator,recycled,elite,,,lines1,classic,akiShield
422,れわふ (REWAFU) #422,11,1188.723751340842,22,oneup,beta,boosted,,,,,,,,badboy,onFire,determined,gasmask,kabu,sidewalk,badguy,False,beta,hobo,watch,kabuAmmo,,nftgallery,vote,kanemochi,slacks,,,diagonals2,classic,kabuShotgun
1930,てわき (TEWAKI) #1930,12,1162.0905006643175,18,fall,bionic,,,,,,,,,,dataMaster,upset,,kabu,crossing,samurai,False,beta,taxiDriver,wizard,garbage,,,nosmoking,neo,zebraAzure,,,diagonals2,classic,kabuShotgun
1552,ちへたさ (CHIHETASA) #1552,13,1088.1668422642629,14,powerup,gamma,,,,,,,,,facetattoo,,beatdown,,juku,poorNeighbourhood,,False,gamma,,,,,nftgallery,,neon,taskforce,,,lines2,classic,atomicBow
1494,こか (KOKA) #1494,14,1037.5262845484604,14,fall,alpha,,,,,,,,,,,determined,,juku,figurine,,False,alpha,ranger,,,,freeTheTrooperz,,neo,pirate,,,diagonals2,classic,slayer
