ID,Name,Rank,Rarity_Score,Attributes-Scores,aura-Scores,body-Scores,bodydetails-Scores,botarms-Scores,botbody-Scores,boteyes-Scores,boteyescolor-Scores,botfoot-Scores,bothead-Scores,botpropulsion-Scores,details-Scores,energy-Scores,eyes-Scores,facemask-Scores,family-Scores,ground-Scores,hair-Scores,has_pet-Scores,head-Scores,jacket-Scores,lefthand-Scores,leftobjkt-Scores,posterfull-Scores,posterleft-Scores,posterright-Scores,shoes-Scores,trousers-Scores,unique-Scores,unique_tbot-Scores,wall-Scores,wallcolor-Scores,weapon-Scores
745,あだっむ (ADAM) #745,1,8352.91042047532,439,,,,,,,,,,,,,,,2637,,,2,,,,,,,,,,2637,2637,,,
582,じゅご (JUGO) #582,2,5719.986154632971,439,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,2637,2637,,,
110,ぜろ (ZERO) #110,3,5719.899830460192,439,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,2637,2637,,,
43,順 (JUN) #43,4,5719.881806017489,439,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,2637,2637,,,
358,まつもと (MATSUMOTO) #358,4,5719.881806017489,439,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,2637,2637,,,
2736,まつり (MATSURI) #2736,4,5719.881806017489,439,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,2637,2637,,,
1221,すみす (SUMISU) #1221,7,2858.6460262755722,6,8,3,,,,,,,,,21,,12,19,3,17,21,1,2,36,11,,,11,10,10,12,,,8,2,2637
2847,はた (HATA) #2847,8,1407.2465108382776,9,9,3,376,,,,,,,,,9,11,16,3,9,,1,2,22,12,,,,,12,14,,,9,1,879
1171,めよ (MEYO) #1171,9,1193.8465637003872,9,9,3,,11,9,12,12,11,12,12,30,9,10,,3,17,28,2,2,49,,,,10,10,10,13,,,8,2,879
2629,みさよさ (MISAYOSA) #2629,10,1191.6609013777947,44,8,3,22,,,,,,,,30,9,13,20,3,9,21,1,2,18,,38,,10,17,10,14,,,9,2,879
422,れわふ (REWAFU) #422,11,1188.723751340842,90,8,3,82,,,,,,,,21,9,12,27,3,10,18,1,3,22,18,138,,10,10,10,11,,,8,2,659
1930,てわき (TEWAKI) #1930,12,1162.0905006643175,6,8,11,,,,,,,,,,18,11,,3,18,52,1,3,263,38,17,,,10,11,12,,,8,2,659
1552,ちへたさ (CHIHETASA) #1552,13,1088.1668422642629,879,9,3,,,,,,,,,16,,22,,4,9,,1,2,,,,,10,,10,10,,,8,2,97
1494,こか (KOKA) #1494,14,1037.5262845484604,879,8,3,,,,,,,,,,,12,,4,9,,1,2,32,,,,10,,11,12,,,8,2,37
1593,むさねて (MUSANETE) #1593,15,1028.3765977912312,43,37,3,23,13,10,12,12,12,11,11,65,9,11,71,3,9,527,2,3,,18,38,,11,10,10,11,,,9,1,18
1289,ゆひわ (YUHIWA) #1289,16,1024.6048272635423,879,8,3,,,,,,,,,16,,13,,3,9,,1,2,32,,,,,,10,14,,,9,2,16
1083,につ (NITSU) #1083,17,954.9756067854069,14,18,3,,11,10,12,12,10,11,12,,,11,35,3,9,21,2,2,25,,19,,11,,10,13,,,8,2,659
3041,いむしそ (IMUSHISO) #3041,18,932.7092999928019,9,8,3,,11,9,12,12,11,11,12,67,164,24,,3,9,21,2,3,25,,439,,,10,10,12,,,9,1,23
3149,ろみちり (ROMICHIRI) #3149,19,925.9183189293107,43,8,3,25,13,10,12,12,14,11,11,32,,12,16,4,10,23,2,3,25,11,17,,10,17,11,12,,,16,2,527
229,へぬみ (HENUMI) #229,20,910.6483134502026,10,8,11,,,,,,,,,34,9,39,67,4,9,,1,2,22,10,94,,10,10,10,13,,,8,1,527
2914,はひせこ (HAHISEKO) #2914,21,903.6477307182647,10,8,3,39,,,,,,,,37,9,131,,3,9,527,1,3,32,11,,,10,10,10,10,,,8,2,19
384,くなむら (KUNAMURA) #384,22,892.4752883490181,9,90,3,22,11,9,11,10,12,12,12,,9,10,17,4,9,32,2,2,,,376,164,,,11,13,,,8,2,18
1273,もはちへ (MOHACHIHE) #1273,23,879.6242091229433,293,9,3,36,11,9,12,11,10,11,11,48,10,164,40,3,10,23,2,2,25,12,16,,18,10,12,12,,,8,2,31
510,へへす (HEHESU) #510,24,877.3169759617485,10,8,3,,,,,,,,,16,9,21,17,3,9,23,1,2,,11,19,,10,10,10,13,,,8,2,659
968,ほすしき (HOSUSHIKI) #968,25,855.7278277448972,293,17,3,39,11,9,12,12,12,11,11,65,9,11,26,3,17,87,2,2,25,38,20,,10,46,10,11,,,9,2,17
342,そま (SOMA) #342,26,854.2955323319735,9,8,3,,11,9,12,11,10,11,11,17,9,12,,3,9,527,2,2,22,11,36,,,20,21,12,,,8,1,31
320,いれほ (IREHO) #320,27,836.8040316973645,9,9,3,,13,10,11,10,10,11,12,37,18,22,,3,9,527,2,3,21,11,,,10,10,10,13,,,8,2,19
3035,たとわ (TATOWA) #3035,28,822.7153821038648,9,9,3,,11,9,12,12,10,13,12,37,39,12,35,3,9,20,2,2,23,,439,,10,,39,13,,,9,2,17
876,せき (SEKI) #876,29,819.9603960828751,43,18,3,23,11,10,11,12,14,13,12,,28,10,19,4,9,20,2,2,263,11,188,,10,10,10,13,,,16,2,18
1479,むも (MUMO) #1479,30,802.6887438449617,9,8,3,23,11,9,12,11,14,11,12,,,11,27,3,9,155,2,2,21,,376,,,10,10,13,,,8,2,19
1652,ねて (NETE) #1652,31,798.1147703342897,44,18,3,22,,,,,,,,16,9,10,53,3,15,23,1,2,21,18,439,,10,,39,13,,,8,1,17
378,りき (RIKI) #378,32,788.8754838924225,293,17,3,23,13,9,12,10,10,11,12,16,9,12,20,3,10,18,2,2,21,12,138,,10,10,36,13,,,8,2,21
1078,さへそき (SAHESOKI) #1078,33,772.0797178992888,15,9,3,,11,9,11,13,11,13,12,37,10,11,17,3,15,18,2,2,17,12,439,,10,,10,13,,,8,2,23
2783,るへし (RUHESHI) #2783,34,762.8951026750187,6,9,3,,,,,,,,,21,,12,32,3,10,527,1,3,,11,39,,18,,10,22,,,8,2,17
2504,そそから (SOSOKARA) #2504,35,752.344502571256,9,8,3,,13,10,12,12,14,11,11,17,9,39,,4,9,85,2,3,18,,376,,10,,21,12,,,8,1,23
1703,くねは (KUNEHA) #1703,36,750.7072229248907,90,8,3,,11,9,12,12,11,11,12,,,12,,3,9,18,2,3,25,,439,,,,10,13,,,8,1,17
1744,ほけし (HOKESHI) #1744,37,750.1299562423982,43,9,3,,13,9,11,12,10,13,11,16,19,12,40,3,15,52,2,2,329,12,19,,10,10,11,12,,,16,1,19
2758,すれ (SURE) #2758,38,741.4219200839538,10,18,3,,,,,,,,,16,28,12,17,3,17,31,1,2,36,,439,,10,39,10,11,,,8,1,17
529,ろこ (ROKO) #529,39,738.7449144838328,6,9,3,,,,,,,,,35,10,12,,4,9,21,1,2,21,11,19,,,10,10,11,,,8,1,527
2236,ふもね (FUMONE) #2236,40,718.8171055898889,6,8,3,22,,,,,,,,,,12,20,3,18,,1,2,21,175,164,,10,10,10,11,,,8,2,202
1189,らわゆ (RAWAYU) #1189,41,717.7017776587187,14,8,3,,11,10,12,12,12,12,12,,,47,67,4,9,,2,3,17,11,376,,11,,12,11,,,8,1,21
2531,そたむて (SOTAMUTE) #2531,42,716.0889720932751,293,9,3,36,13,9,11,12,14,11,11,48,9,39,17,3,9,20,2,2,21,10,16,,10,20,11,13,,,8,1,18
