ID,Name,Rank,Rarity_Score,Accessories,Attributes,Background,Body,Clothes,Face,Glasses,Hat,Legendary,Necklace
139,BFMC #139,1,3318.8571428571427,,1,,,,,,,Clockwork Orange,
1779,BFMC #1779,1,3318.8571428571427,,1,,,,,,,Caveman,
1935,BFMC #1935,1,3318.8571428571427,,1,,,,,,,Aquaman,
2514,BFMC #2514,1,3318.8571428571427,,1,,,,,,,Freddie,
2677,BFMC #2677,1,3318.8571428571427,,1,,,,,,,Matrix,
2853,BFMC #2853,1,3318.8571428571427,,1,,,,,,,Hell Boy,
3777,BFMC #3777,1,3318.8571428571427,,1,,,,,,,Navy,
458,BFMC #458,8,832.5693104054485,,3,Dark Green 1,Brown,,Knife,,,,
4727,BFMC #4727,9,770.1153632535209,,3,Pink,Brown,,Sad,,,,
2580,BFMC #2580,10,758.8875905426537,,3,Dark Green 1,Green,,Smiling Braces,,,,
208,BFMC #208,11,748.1085815157314,,3,Dark Blue,Brown,,Smiling,,,,
3436,BFMC #3436,12,517.9335132127392,Bear,8,Dark,Pink,Green Leafs,Teeth,Purple,Saint Patricks,,Bitcoin Gold
2511,BFMC #2511,13,484.74245743136737,Bear,8,Light,Brown,Tank Top Militar,Angry Teeth,Thug Life,Purple,,Big Foot Gold
4522,BFMC #4522,14,451.37497230167503,Claws,8,Dark Blue,Pink,Blue Bananas,Curious,Yellow And Blue,Angel,,Bitcoin Gold
1199,BFMC #1199,15,435.93065780479594,Bear,8,Light Blue,Green,Light Green Jacket,Teeth,Green Aviator,Blue,,Bitcoin Gold
629,BFMC #629,16,433.00848702795525,Bear,8,Dark Green 1,Blue,Red Hoddie,Smiling,Yellow,Vietinamite With Horns On Fire,,Teeth
4058,BFMC #4058,17,420.54656684902,Claws,8,Pink,Orange,Grey Militar,Teeth,Yellow Aviator,Hunter,,Teeth
120,BFMC #120,18,413.9931236534861,Triple Bear,8,Dark Green 1,Green,Basic Light,Angry,Yellow And Blue,Laurel Wreath,,Big Foot Gold
975,BFMC #975,19,403.2763339151552,Bear,8,Dark Green 2,Blue,Yellow Gold,Curious,Sun Glasses,Big Foot Hat,,Teeth
4385,BFMC #4385,20,399.23488344084365,Triple Bear,8,Dark,Green,Light Brown,Golden Teeth,Yellow,Chicken Hat,,Big Foot Gold
2986,BFMC #2986,21,396.65261931408975,Bear,8,Yellow,Green,Black Hoddie,Bubble Gum,Sun Glasses,Angel With Horns On Fire,,Teeth
3182,BFMC #3182,22,386.93591205762084,Claws,8,Dark Green 1,Blue,Green Militar,Very Angry,Yellow Aviator,Green Brain,,Teeth
2099,BFMC #2099,23,383.79454872546523,Claws,8,Light Blue,Green,Tank Top White,Bubble Gum,Green Aviator,Black Power,,Teeth
1296,BFMC #1296,24,380.585432313759,,7,Light Blue,Brown,Green Stars,Golden Teeth,Purple,Elf 2,,Bitcoin Gold
989,BFMC #989,25,379.81404987018294,Bear,8,Orange,Brown,Green Militar,Upset,Thug Life,Blue Frenchie,,Teeth
652,BFMC #652,26,373.7603428377357,Bear,8,Pink,Blue,Brown Hoddie,Angry Teeth,Blue Stars,Blue Frenchie,,Teeth
