ID,Name,Rank,Rarity_Score,Accessories,Attributes,Background,Body,Clothes,Face,Glasses,Hat,Legendary,Necklace,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
139,BFMC #139,1,3318.8571428571427,,1,,,,,,,Clockwork Orange,,ipfs://QmYxgZki71XtsrRwXYxd5wFGkhbTGo2KkN974Cco8TrfHw/139.json,ipfs://QmXSK96pUyjFgig5MpTMYZpWPi7DMFpP7MP4D7rFRfwQ1U,ipfs://QmXUEHeBCeLN1g1HHKKBhdVJHZKJJng7D7TUkJ1LGnTSMc,ipfs://QmSKFstu1SHHKWcCkGiSe51GwZ6rhEoPks2s6D7wuyrB2q
1779,BFMC #1779,1,3318.8571428571427,,1,,,,,,,Caveman,,ipfs://QmarQiRC6TWFRt2Zsqf9f6kX1h4NcvGA7dZtHfLh976iPy/1779.json,ipfs://QmQKr9NdoyoUAgvydM2sDHciCHntU9pTwB82h7NcEhJuBJ,ipfs://QmZqucA46qHGTP3rggPSzsj1kBbiyS5RTvNaNwLvJcyUk7,ipfs://QmStpUhewc2zxRyvYk8m1K9TtiHa2BGsGippkZQhZA1PMY
1935,BFMC #1935,1,3318.8571428571427,,1,,,,,,,Aquaman,,ipfs://QmbjqsjRBXkBkLSyQztomFx6ECREEbwCG4AoKdYAYATtma/1935.json,ipfs://QmaDjLXBwUag4GeWC6KXRBAqCkonxgJANeNrTeCPZUSM6s,ipfs://QmZjRSaP83YS5QWTdNiL3ZjRqeBwMwoUBrXdjNbWRq26wj,ipfs://QmbBNK9X8sz9nbAbHS7i7KmmnCLZrXCoy38V9HqjZERwob
2514,BFMC #2514,1,3318.8571428571427,,1,,,,,,,Freddie,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2514.json,ipfs://QmPfSxTq73cJUX3SsMnPqTtNgUJbmBtN5csdYmX8YXDB8D,ipfs://QmYENQpvv5PPn452wqVoj1iZXTiAFeW1nXXUihSdzQdwBt,ipfs://QmVRS1wMrY8Dy88gSocc4i8aomUhKV9sH3wLFLgYiAVf6C
2677,BFMC #2677,1,3318.8571428571427,,1,,,,,,,Matrix,,ipfs://QmSZXxQnTHCcrEGg2uGSteh1aRguSmPJxg7w6c57fubD4a/2677.json,ipfs://QmZMCqvjRNUv9AKmnwzLuD5DWaaY788w5PtfkGtpUWkf9r,ipfs://QmRRJaNeJ3UGJN34u2bQHSR39p2aHPp8aqVYn1zc4ToxvH,ipfs://QmRBA7nAUWYY1yQ8MkU8HePfQ5psZyurYBuQyb11xJELgh
2853,BFMC #2853,1,3318.8571428571427,,1,,,,,,,Hell Boy,,ipfs://QmZfbSA3eaDaJ8SN1K9rRvRxLoUHLkVgwKmrcNppjkXEbH/2853.json,ipfs://QmbGmsXrAi4sxrbdcdt8dsDWefCGrStd6vEruEsUTKhWJT,ipfs://QmUSxqMRYJDKyCdi6EQh9iznMraWWhg6LTZ4AQ7wKx6Y6R,ipfs://QmZhnkD7aE5ry7tZY3Y8t295m1DRF6bh41xz1NTQu8GD1p
3777,BFMC #3777,1,3318.8571428571427,,1,,,,,,,Navy,,ipfs://QmRq9Br2TZtgPCDnpzY7bSkb4BhZHZRWHymz634Q8347oG/3777.json,ipfs://QmReCwy811QRS2ZYeAa25xRLJgqD9wa36JCNxPrThh5Xch,ipfs://QmaBh8FssGqks67NCGVsie7zds9VzG58FFkGr92WNjczAP,ipfs://QmXEKYpsbfB1a3oEr7Jpy5M7wNqwZycj4p4XQ6vXw5ZJ46
458,BFMC #458,8,832.5693104054485,,3,Dark Green 1,Brown,,Knife,,,,,ipfs://QmaW3kyH4mnDAdWpXGDTuybKj98stG4ZJsGXBpQKpLCb8F/458.json,ipfs://QmWg17GooR54e2soRkJDFsAYbZDdjcNyi5P4t3VLUBKHSD,ipfs://QmQ5m1rZKCGEAnMoKLpfuHwCXwZQMiMt3AjbXrGBoMi4Pz,ipfs://QmUxVBt1hd4TY3eqWWK8bRvPMZcdaAsnrAWHRLbVr8G5kx
4727,BFMC #4727,9,770.1153632535209,,3,Pink,Brown,,Sad,,,,,ipfs://QmRMkanBYopJJd9FWdkkGsFcfzKWEuU6jEBpb9UPMgWqws/4727.json,ipfs://QmVgBxPr3kjfqvczpgedny1v2pxpdmCjJk4uEBRKbdJu9g,ipfs://QmVwwcMrkyBNnFfUAE2fR76PkcqrcVahZf7gSiahVnKmAG,ipfs://QmU8CuFErfLAjr9QLk9twxHNwTATNF4TQ4vVH9Sj5bzwHx
2580,BFMC #2580,10,758.8875905426537,,3,Dark Green 1,Green,,Smiling Braces,,,,,ipfs://QmVt6h9oS7EyXsZbgArXHsjU4MtbyuK4hMP3zsy7T273uZ/2580.json,ipfs://QmQRFXZkbtYZAC3NFs5rT6sb4frDoTR23g65nKXy6qKehc,ipfs://QmfRz9XnjBAhM24AZMUz7BK84HnWTHdDUd2Ybbih7RWt4Q,ipfs://QmRWJddkizvjfipiHSziGeviDS8CGZ6g6NKw1Tou2cGjcB
