ID,Name,Rank,Rarity_Score,Accessories-Scores,Attributes-Scores,Background-Scores,Body-Scores,Clothes-Scores,Face-Scores,Glasses-Scores,Hat-Scores,Legendary-Scores,Necklace-Scores
139,BFMC #139,1,3318.8571428571427,,414,,,,,,,2904,
1779,BFMC #1779,1,3318.8571428571427,,414,,,,,,,2904,
1935,BFMC #1935,1,3318.8571428571427,,414,,,,,,,2904,
2514,BFMC #2514,1,3318.8571428571427,,414,,,,,,,2904,
2677,BFMC #2677,1,3318.8571428571427,,414,,,,,,,2904,
2853,BFMC #2853,1,3318.8571428571427,,414,,,,,,,2904,
3777,BFMC #3777,1,3318.8571428571427,,414,,,,,,,2904,
458,BFMC #458,8,832.5693104054485,,726,7,2,,96,,,,
4727,BFMC #4727,9,770.1153632535209,,726,14,2,,27,,,,
2580,BFMC #2580,10,758.8875905426537,,726,7,5,,20,,,,
208,BFMC #208,11,748.1085815157314,,726,7,2,,12,,,,
3436,BFMC #3436,12,517.9335132127392,17,207,7,9,26,33,74,96,,44
2511,BFMC #2511,13,484.74245743136737,17,207,11,2,40,19,24,138,,23
4522,BFMC #4522,14,451.37497230167503,20,207,7,9,88,20,22,31,,44
1199,BFMC #1199,15,435.93065780479594,17,207,16,5,29,33,25,56,,44
629,BFMC #629,16,433.00848702795525,17,207,7,5,96,12,15,53,,17
4058,BFMC #4058,17,420.54656684902,20,207,14,8,51,33,32,34,,17
120,BFMC #120,18,413.9931236534861,39,207,7,5,21,20,22,67,,23
975,BFMC #975,19,403.2763339151552,17,207,6,5,88,20,16,24,,17
4385,BFMC #4385,20,399.23488344084365,39,207,7,5,31,19,15,50,,23
2986,BFMC #2986,21,396.65261931408975,17,207,15,5,46,17,16,52,,17
3182,BFMC #3182,22,386.93591205762084,20,207,7,5,34,18,32,44,,17
2099,BFMC #2099,23,383.79454872546523,20,207,16,5,35,17,25,38,,17
1296,BFMC #1296,24,380.585432313759,,13,16,2,116,19,74,93,,44
989,BFMC #989,25,379.81404987018294,17,207,15,2,34,20,24,39,,17
652,BFMC #652,26,373.7603428377357,17,207,14,5,33,19,18,39,,17
2460,BFMC #2460,27,359.76640772136284,39,2,7,5,103,69,,132,,
2517,BFMC #2517,28,344.37175626414614,,2,7,2,107,121,,103,,
499,BFMC #499,29,341.15655650684903,,2,15,2,90,121,15,93,,
2649,BFMC #2649,30,337.2298118107649,,13,7,5,100,17,16,132,,44
27,BFMC #27,31,335.3132335707758,20,13,15,5,51,58,32,138,,
2226,BFMC #2226,32,331.11858525346213,17,13,7,5,96,44,15,132,,
2555,BFMC #2555,33,328.5036517703695,,2,7,5,116,19,74,103,,
4500,BFMC #4500,34,325.8871677824187,20,13,15,2,96,33,50,93,,
1140,BFMC #1140,35,325.2325235388031,,2,7,2,34,121,18,138,,
4142,BFMC #4142,36,321.4948502123737,17,2,15,2,116,121,,46,,
231,BFMC #231,37,320.69433955890935,,13,7,2,74,121,24,53,,23
1634,BFMC #1634,38,320.20345770093974,,2,14,2,96,121,,82,,
