ID,Name,Rank,Rarity_Score,Agility,Alignment,Ancestor,Attributes,Background,Class,Dexterity,Fur,Gender,Head Accessory,Intelligence,Magic,Morality,Race,Rank,Strength,Weapon
837,Bunny Knights #837,1,13022.700947080319,3,Loyal,400,15,Dimensional Green,Mystic Squire,1,White,Male,Mystic Hood,0,,Good,Half Demigod-Bunny,1,6,The Peacemaker
1914,Bunny Knights #1914,2,12306.700614709762,3,Bold,?,15,Dimensional Green,Squire,2,Lizard Skin,Male,Party Pal Hat,1,,Neutral,Tezzard,2,4,Fukkr Sword
2233,Bunny Knights #2233,3,8996.0757719269,1,Arrogant,20,16,Dimensional Green,Enchanter,2,Pale,Male,,5,Dark,Evil,Bunny Witch,4,2,Elder Wand
2333,Bunny Knights #2333,4,8700.067534726219,3,Offensive,421,14,Dimensional Green,Squire,3,Frog Skin,Male,,1,,Good,Frog,3,3,Frog's Sword
769,Bunny Knights #769,5,7872.40165180262,1,Friendly,410,17,Dimensional Green,Acolyte,1,Beige,Female,Holy Hood,6,Healing,Good,Bunny,6,1,Staff
1985,Bunny Knights #1985,6,6727.097351501675,3,Confident,290,15,Dimensional Green,Hunter,5,Brown,Male,Bunnin Hood's Hat,1,,Good,Bunny,5,1,Bunnin Hood's Bow
1683,Bunny Knights #1683,7,5473.299918557605,5,Machiavellian,494,14,Dimensional Green,Thief,2,Beige,Male,,1,,Evil,Bunny,7,2,Pistol
771,Bunny Knights #771,8,5390.415051612985,1,Nostalgic,140,17,Dimensional Green,Apprentice,2,Beige,Male,Wizard Hat,6,Water,Neutral,Bunny,8,1,Staff
2471,Bunny Knights #2471,9,4494.502944016693,1,Confident,202,14,Moss Green,Squire,1,Grey,Male,,1,,Evil,Bunny,1369,7,Pitchfork
730,Bunny Knights #730,10,4301.519420044267,3,Sensitive,88,14,Blue,Hunter,3,Brown,Male,,2,,Good,Bunny,93,2,Emerald Bow
776,Bunny Knights #776,11,4251.249399811812,2,Nostalgic,129,14,Teal,Squire,3,Peanut,Female,,1,,Evil,Bunny,121,4,Morning Star
539,Bunny Knights #539,12,4240.509833808307,2,Weird,12,16,Teal,Acolyte,3,Pink,Male,Straw Hat,3,Bronze,Neutral,Bunny,222,2,Bronze Cross Wand
