ID,Name,Rank,Rarity_Score,Agility-Scores,Alignment-Scores,Ancestor-Scores,Attributes-Scores,Background-Scores,Class-Scores,Dexterity-Scores,Fur-Scores,Gender-Scores,Head Accessory-Scores,Intelligence-Scores,Magic-Scores,Morality-Scores,Race-Scores,Rank-Scores,Strength-Scores,Weapon-Scores
837,Bunny Knights #837,1,13022.700947080319,5,16,666,2,250,2000,2,19,1,2000,2000,,3,2000,2000,55,2000
1914,Bunny Knights #1914,2,12306.700614709762,5,15,2000,2,250,6,3,2000,1,2000,3,,2,2000,2000,16,2000
2233,Bunny Knights #2233,3,8996.0757719269,3,14,666,4,250,5,3,2000,1,,6,24,3,2000,2000,3,2000
2333,Bunny Knights #2333,4,8700.067534726219,5,14,400,2,250,6,5,2000,1,,3,,3,2000,2000,7,2000
769,Bunny Knights #769,5,7872.40165180262,3,16,500,1000,250,5,2,666,4,2000,6,9,3,1,2000,2,1000
1985,Bunny Knights #1985,6,6727.097351501675,5,15,400,2,250,5,18,18,1,2000,3,,3,1,2000,2,2000
1683,Bunny Knights #1683,7,5473.299918557605,17,15,500,2,250,6,3,666,1,,3,,3,1,2000,3,2000
771,Bunny Knights #771,8,5390.415051612985,3,15,333,1000,250,6,3,666,1,35,6,33,2,1,2000,2,1000
2471,Bunny Knights #2471,9,4494.502944016693,3,15,2000,2,11,6,2,19,1,,3,,3,1,2000,400,23
730,Bunny Knights #730,10,4301.519420044267,5,14,2000,2,10,5,5,18,1,,7,,3,1,2000,3,222
776,Bunny Knights #776,11,4251.249399811812,3,15,2000,2,10,6,5,24,4,,3,,3,1,2000,16,153
539,Bunny Knights #539,12,4240.509833808307,3,18,2000,4,10,5,5,22,1,41,14,52,2,1,2000,3,52
2081,Bunny Knights #2081,13,4221.649980455782,9,14,2000,2,12,6,3,19,4,,3,,2,1,2000,7,133
707,Bunny Knights #707,14,4214.302674273167,5,14,2000,2,10,5,18,18,4,80,3,,3,1,2000,2,44
878,Bunny Knights #878,15,4206.465544722711,3,15,2000,2,10,5,64,19,1,29,3,,3,1,2000,2,44
1606,Bunny Knights #1606,16,4197.650523386134,3,17,2000,2,18,5,3,18,1,,10,52,3,1,2000,7,52
1177,Bunny Knights #1177,17,4177.9498587537955,5,16,2000,2,18,5,5,19,1,29,7,,2,1,2000,3,58
2048,Bunny Knights #2048,18,4175.158082809665,3,14,2000,2,28,6,2,22,4,,7,,3,1,2000,55,23
927,Bunny Knights #927,19,4168.314590027204,5,17,2000,4,10,5,2,19,1,41,6,23,3,1,2000,2,23
1012,Bunny Knights #1012,20,4163.720773488808,9,15,2000,2,19,6,3,19,4,50,3,,3,1,2000,7,18
1413,Bunny Knights #1413,21,4163.231879610523,3,15,2000,4,10,5,3,19,1,36,10,23,3,1,2000,3,23
1049,Bunny Knights #1049,22,4162.75866561532,3,15,2000,4,10,5,3,18,4,35,6,24,3,1,2000,2,25
809,Bunny Knights #809,23,4160.474196518472,9,14,2000,2,18,6,5,20,1,50,3,,3,1,2000,3,20
2052,Bunny Knights #2052,24,4158.744619641452,3,15,2000,4,10,6,2,19,1,6,15,33,3,1,2000,2,33
1471,Bunny Knights #1471,25,4152.9485361695115,3,18,2000,2,19,6,3,20,1,,7,,3,1,2000,16,50
1068,Bunny Knights #1068,26,4151.850484919797,3,15,2000,4,10,6,2,20,1,6,15,29,3,1,2000,2,29
874,Bunny Knights #874,27,4147.635277286906,3,16,2000,2,10,5,64,19,4,,3,,3,1,2000,2,11
1973,Bunny Knights #1973,28,4145.496864601923,3,15,2000,2,18,5,10,19,4,,14,,3,1,2000,2,44
2267,Bunny Knights #2267,29,4143.15638639087,5,14,2000,2,18,5,18,19,4,,3,,3,1,2000,2,44
1237,Bunny Knights #1237,30,4142.435065033269,3,17,2000,4,11,6,3,18,1,6,6,28,3,1,2000,2,29
2160,Bunny Knights #2160,31,4139.408067730002,3,16,2000,2,18,5,10,18,1,36,7,,2,1,2000,3,11
753,Bunny Knights #753,32,4138.467194630184,5,15,2000,2,10,5,10,19,1,,3,,3,1,2000,3,57
1358,Bunny Knights #1358,33,4133.548220650553,3,16,2000,2,10,5,3,19,1,,6,29,3,1,2000,2,29
589,Bunny Knights #589,34,4131.531368905596,5,17,2000,2,11,5,10,17,4,,3,,2,1,2000,3,44
