ID,Name,Rank,Rarity_Score,Attributes,Background,Colour Scheme,Exploded?,Metallic Slice Percentage,Number of Cuts,Slice Angle,Slice Colour Weight,Special
1211,SUMO #1211,1,3500.0,1,,,,,,,,Golden Sumo
1930,SUMO #1930,1,3500.0,1,,,,,,,,Sphere Sumo
1994,SUMO #1994,1,3500.0,1,,,,,,,,Mega Slice Sumo
2223,SUMO #2223,1,3500.0,1,,,,,,,,Pixel Sumo
2235,SUMO #2235,1,3500.0,1,,,,,,,,Lava Sumo
2762,SUMO #2762,1,3500.0,1,,,,,,,,Glass Sumo
2145,SUMO #2145,7,78.50920759458138,7,Black,Captain America,Sumo Explode!,83.59%,28,-40°,17.87%,
1326,SUMO #1326,8,75.06192272259106,7,Reaction Diffusion,Green Lantern,Sumo Explode!,98.98%,28,80°,17.87%,
80,SUMO #80,9,74.20852347086742,7,Black,Aquaman,Sumo Explode!,83.59%,28,80°,17.87%,
174,SUMO #174,10,73.06434118840312,7,Black,Green Lantern,Sumo Explode!,24.43%,28,80°,17.87%,
2394,SUMO #2394,11,71.77148903949517,7,Black,Green Lantern,Sumo Explode!,11.1%,28,80°,32.59%,
555,SUMO #555,12,71.47693488401569,7,Black,Aquaman,Sumo Explode!,98.98%,28,80°,21.17%,
601,SUMO #601,13,71.2667832692149,7,Black,Green Lantern,Sumo Explode!,83.59%,28,80°,49.64%,
1031,SUMO #1031,14,71.03182086319987,7,Black,Green Lantern,Sumo Explode!,24.43%,28,80°,49.64%,
2960,SUMO #2960,15,70.7662329498924,7,Black,Martian Manhunter,Sumo Explode!,83.59%,28,80°,17.87%,
684,SUMO #684,16,70.39334355274633,7,Black,Aquaman,Sumo Explode!,98.98%,28,80°,90.98%,
1616,SUMO #1616,17,70.32160754126858,7,Black,Aquaman,Sumo Explode!,98.98%,28,80°,49.64%,
2925,SUMO #2925,18,69.77201947502877,7,Black,The Thing,Sumo Explode!,24.43%,28,80°,21.17%,
95,SUMO #95,19,68.95530218441776,7,Reaction Diffusion,Green Lantern,Undetonated,24.43%,28,-40°,32.59%,
30,SUMO #30,20,68.92162385141492,7,Reaction Diffusion,Brainiac 5,Sumo Explode!,75.8%,200,10°,39.22%,
2860,SUMO #2860,21,68.75482009510927,7,Reaction Diffusion,Aquaman,Undetonated,11.1%,28,-40°,32.59%,
1188,SUMO #1188,22,68.662317509271,7,Black,The Thing,Sumo Explode!,11.1%,28,80°,21.17%,
