ID,Name,Rank,Rarity_Score,ACCESSORIES,Attributes,BACKGROUND,BACKGROUNDOVERLAY,BODY,BORDER,HEAD
2388,IDENTITY 2388,1,883.178976775433,PaperWhiteAlbumFrame,6,SkyBlueBackground,SkyBlueBenDayDots,BlueEasternDrip,BlueBorder,GrayRaincloud
3093,IDENTITY 3093,2,881.799309447074,WhiteSparkles,6,BlueBackground,OrangeBenDayDots,RedEasternDrip,HotPinkBorder,GrayRaincloud
3507,IDENTITY 3507,3,865.637496333018,WhiteSparkles,6,SkyBlueBackground,NoOverlay,RedEasternDrip,OrangeBorder,GrayRaincloud
5355,IDENTITY 5355,4,861.8913224639138,YellowSparkles,6,OrangeBackground,RedBenDayDots,RedEverydayDrip,BlueBorder,GrayRaincloud
3066,IDENTITY 3066,5,850.5561941320577,YellowSparkles,6,GreenBackground,NoOverlay,RedEverydayDrip,RedBorder,GrayRaincloud
2036,IDENTITY 2036,6,846.8814662173014,MidnightBlackAlbumFrame,6,HotPinkBackground,NoOverlay,OrangeHoodie,RoyalBlueBorder,GrayRaincloud
1450,IDENTITY 1450,7,839.5293707268626,MidnightBlackAlbumFrame,6,GreenBackground,NoOverlay,RedHoodie,RedBorder,GrayRaincloud
744,IDENTITY 0744,8,647.677334093719,,5,GreenBackground,RoyalBlueBenDayDots,MidnightBlackEverydayDrip,GreenBorder,PrismaticMusicNotes
5503,IDENTITY 5503,9,561.1555737489957,,5,PrismaticBackground,BlueBenDayDots,MidnightBlackHoodie,SkyBlueBorder,BlueTv
775,IDENTITY 0775,10,539.8390863321292,MidnightBlackAlbumFrame,6,PrismaticBackground,ShaystethicPatternOverlay,OrangeHoodie,YellowBorder,PaperWhiteHeadphones
2340,IDENTITY 2340,11,537.0892814687419,,5,RoyalBlueBackground,YellowBenDayDots,PaperWhiteEverydayDrip,GreenBorder,PrismaticMusicNotes
4920,IDENTITY 4920,12,529.634284040557,,4,PaperWhiteBackground,HotPinkBenDayDots,MidnightBlackEasternDrip,,MidnightBlackBoombox
1733,IDENTITY 1733,13,529.6263179290535,YellowSparkles,6,MidnightBlackBackground,PaperWhiteBenDayDots,YellowEverydayDrip,YellowBorder,PrismaticMusicNotes
1892,IDENTITY 1892,14,511.6504774227249,,5,MidnightBlackBackground,YellowBenDayDots,GreenEverydayDrip,YellowBorder,PrismaticMusicNotes
3689,IDENTITY 3689,15,481.29887016681835,MidnightBlackAlbumFrame,6,SkyBlueBackground,CloudscapeOverlay,MidnightBlackEverydayDrip,YellowBorder,MidnightBlackMusicNotes
235,IDENTITY 0235,16,477.68261739282127,MidnightBlackPins,6,PaperWhiteBackground,NoOverlay,GreenHoodie,YellowBorder,PrismaticBoombox
5072,IDENTITY 5072,17,475.9013179748676,,5,OrangeBackground,NoOverlay,OrangeHoodie,GoldBorder,PrismaticMusicNotes
2367,IDENTITY 2367,18,473.37829648197726,MidnightBlackAlbumFrame,6,BlueBackground,YellowBenDayDots,OlympiaWindbreaker,RedBorder,PrismaticBoombox
1232,IDENTITY 1232,19,466.08582807278225,YellowSparkles,6,PrismaticBackground,NoOverlay,GoldEverydayDrip,YellowBorder,PaperWhiteMusicNotes
334,IDENTITY 0334,20,465.45953868050003,WhiteSparkles,6,GreenBackground,NoOverlay,GreenEasternDrip,GreenBorder,PrismaticMusicNotes
2031,IDENTITY 2031,21,465.2924418971843,MidnightBlackPins,5,BlueBackground,YellowBenDayDots,OrangeEasternDrip,,PrismaticBoombox
3938,IDENTITY 3938,22,463.7932076035315,,5,BlueBackground,BlueBenDayDots,GoldEverydayDrip,YellowBorder,PrismaticMusicNotes
4164,IDENTITY 4164,23,463.76580317972656,,5,RedBackground,BlueBenDayDots,GoldEverydayDrip,BlueBorder,PrismaticMusicNotes
140,IDENTITY 0140,24,462.47198979372183,YellowSparkles,6,SkyBlueBackground,NoOverlay,GreenEverydayDrip,RoyalBlueBorder,PrismaticBoombox
5130,IDENTITY 5130,25,462.4522429192885,PaperWhiteAlbumFrame,6,BlueBackground,GoldBenDayDots,BlueHoodie,GreenBorder,PrismaticMusicNotes
5508,IDENTITY 5508,26,462.08996758499967,WhiteSparkles,5,SkyBlueBackground,YellowBenDayDots,MidnightBlackHoodie,,SkyBlueRaincloud
3118,IDENTITY 3118,27,460.101135365758,PaperWhiteAlbumFrame,6,GreenBackground,RedBenDayDots,RedEverydayDrip,GreenBorder,PrismaticMusicNotes
1568,IDENTITY 1568,28,458.0291278556042,,5,OrangeBackground,YellowBenDayDots,RedEasternDrip,YellowBorder,PrismaticBoombox
2493,IDENTITY 2493,29,456.4217723065989,,5,SkyBlueBackground,PaperWhiteBenDayDots,GreenHoodie,RedBorder,PrismaticMusicNotes
5346,IDENTITY 5346,30,454.93426977945103,PaperWhiteAlbumFrame,6,RedBackground,OrangeBenDayDots,BlueHoodie,OrangeBorder,PrismaticBoombox
4601,IDENTITY 4601,31,453.81715699856164,PrismaticPins,6,YellowBackground,NoOverlay,OrangeHoodie,RoyalBlueBorder,PrismaticMusicNotes
