ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Coat,Eyes,Gear,Head,Mouth,Neck,Shirt,Special
575,CyberKidz Club #575,1,7999.2,1,,,,,,,,,,Cyclops Kid
1232,CyberKidz Club #1232,1,7999.2,1,,,,,,,,,,Alien Kid
2577,CyberKidz Club #2577,1,7999.2,1,,,,,,,,,,Psycho Punk Kid
2667,CyberKidz Club #2667,1,7999.2,1,,,,,,,,,,Skele Kid
2687,CyberKidz Club #2687,1,7999.2,1,,,,,,,,,,Cyborg Kid
3206,CyberKidz Club #3206,1,7999.2,1,,,,,,,,,,Rainbow Kid
3245,CyberKidz Club #3245,1,7999.2,1,,,,,,,,,,Robo Kid
3928,CyberKidz Club #3928,1,7999.2,1,,,,,,,,,,Empress Kid
5570,CyberKidz Club #5570,1,7999.2,1,,,,,,,,,,Phoenix Kid
5976,CyberKidz Club #5976,1,7999.2,1,,,,,,,,,,SPECOPS Kid
3197,CyberKidz Club #3197,11,2382.225438182,9,Rose,Ash,none,Insomniac,none,Scouter,Sad,Golden Beads,none,
3791,CyberKidz Club #3791,12,2374.0212118776,9,Grape,Lazuli,Suit,Confused,Katana,Scouter,Impressed,none,none,
2130,CyberKidz Club #2130,13,2300.3311923079,9,Aqua,Lazuli,none,Insomniac,none,Scouter,Vampire,none,none,
1712,CyberKidz Club #1712,14,1984.7651129849,9,Snow,Lazuli,Grape Hoodie,Mad,Aqua Shoulder Bag,Busted,Blank,Silver Necklace,Ice V Neck,
2221,CyberKidz Club #2221,15,1941.2508653571,9,Scarlet,Lazuli,Citrus Hoodie,Mad,none,Busted,Wavy,Gold Chain,Scarlet Turtleneck,
5180,CyberKidz Club #5180,16,1941.0433997217,9,Snow,Carib,Ash Hoodie,Lol,Katana,Busted,Indifferent,Golden Pendant,Sand Tee,
2726,CyberKidz Club #2726,17,1919.5067585224,9,Citrus,Lime,Merlot Cotton Sweater,Unimpressed,none,Busted,Shark,none,Aqua Short T,
4662,CyberKidz Club #4662,18,1705.4879310655,9,Scarlet,Ash,Scarlet Team Jacket,Plain,Double Blades,Hazel Angelic,Stuck Out Tongue,Bubblegum Pendant,Mint V Neck,
2600,CyberKidz Club #2600,19,1685.5308906483,9,Aqua,Citrus,Ice Puffer,Dead,Aqua Shoulder Bag,Ash Angelic,Stuck Out Tongue,Bone Necklace,Navy Tee,
3395,CyberKidz Club #3395,20,1656.7791022394,9,Citrus,Lime,Snow Hoodie,Blink,AK,Hazel Angelic,Wavy,Bubblegum Pendant,Rose and Scarlet Hawaiian,
790,CyberKidz Club #790,21,1637.7136252365,9,Citrus,Lime,Royal Shawl,Lol,none,Scarlet Emo and Nerdy Glasses,Cthullu,Skull Pendant,Scarlet Turtleneck,
4122,CyberKidz Club #4122,22,1631.2527350673,9,Citrus,Lazuli,Merlot Cotton Sweater,Wide,Dual Katana,Scarlet Emo and Nerdy Glasses,Beak,Ova Pendant,Grape Tee,
2201,CyberKidz Club #2201,23,1576.811074633,9,Lemon,Lazuli,none,Lol,none,Hazel Angelic,Wavy,Silver Chain,Rose and Scarlet Hawaiian,
4892,CyberKidz Club #4892,24,1560.9641748044,9,Scarlet,Snow,Carib Team Jacket,Awkward,Ash Shoulder Bag,Lemon Angelic,Indifferent,Aqua Bandanna,Navy Flanel,
4359,CyberKidz Club #4359,25,1539.4971487339,9,Mint,Ash,Royal Cotton Sweater,Glad,none,Scarlet Emo and Nerdy Glasses,Sad,Planet Pendant,Tan Turtleneck,
1168,CyberKidz Club #1168,26,1511.9762307233,9,Carib,Mint,none,Confused,Angel Wings,Hazel Angelic,Sad,Shroom Pendant,none,
2970,CyberKidz Club #2970,27,1511.7590119003,9,Citrus,Lime,Lemon Windbreaker,Plain,Yoga Mat,Scarlet Emo and Nerdy Glasses,Orc,Bubblegum Pendant,none,
3465,CyberKidz Club #3465,28,1506.2419404754,9,Snow,Scarlet,none,Plain,Yoga Mat,Hazel Angelic,Surprised,Bud Pendant,Sand Tee,
5642,CyberKidz Club #5642,29,1491.2753408682,9,Rose,Ash,none,Glad,none,Ash Angelic,Blank,none,Ice and Aqua Hawaiian,
2658,CyberKidz Club #2658,30,1482.2952397388,9,Mint,Hazel,none,Doubtful,none,Ash Angelic,Meh,none,Grape Tee,
4747,CyberKidz Club #4747,31,1471.5679153493,9,Grape,Mint,none,Confused,none,Scarlet Emo and Nerdy Glasses,Stitched,none,Sand Tee,
4782,CyberKidz Club #4782,32,1469.6114939353,9,Carib,Ash,Desert Scarf,Full of it,Snow Shoulder Bag,Ash Bun and Cyclops,Glad,Planet Pendant,Lemon Hawaiian,
414,CyberKidz Club #414,33,1469.172041123,9,Lemon,Snow,none,Wide,Snow Shoulder Bag,Ash Angelic,Meh,Aqua Bandanna,none,
395,CyberKidz Club #395,34,1453.4611535903,9,Mint,Lime,none,Squint,Trident,Ash Angelic,Sad,none,none,
