ID,Name,Rank,Rarity_Score,Attributes,Background,Clothes,Degen Level,Ear rings,Eyes,Fur color,Head,Hood,Legendary,Mouth,Mutation,Nose piercing,Object,Tattoo
509,Degen Fox #509,1,4815.5555555556,1,,,,,,,,,Zombie Fox,,,,,
970,Degen Fox #970,1,4815.5555555556,1,,,,,,,,,Dr Foxus,,,,,
1006,Degen Fox #1006,1,4815.5555555556,1,,,,,,,,,Ninja Fox,,,,,
1073,Degen Fox #1073,1,4815.5555555556,1,,,,,,,,,Degen8or,,,,,
1387,Degen Fox #1387,1,4815.5555555556,1,,,,,,,,,RoboFox,,,,,
3375,Degen Fox #3375,1,4815.5555555556,1,,,,,,,,,Ghost Fox,,,,,
3531,Degen Fox #3531,1,4815.5555555556,1,,,,,,,,,Space Fox,,,,,
4038,Degen Fox #4038,1,4815.5555555556,1,,,,,,,,,Fox of Some Street,,,,,
4137,Degen Fox #4137,1,4815.5555555556,1,,,,,,,,,Thunder Fox,,,,,
3716,Degen Fox #3716,10,2303.0109261014,5,Basic green,,Competent,,05 spyral,green,,,,1,,,,
3933,Degen Fox #3933,11,2214.2890995065,5,Rays red,,Competent,,7,red,,,,12,,,,
2738,Degen Fox #2738,12,2182.593476672,11,City blue,T-shirt white,Noob,4,Dollar glasses,Color,Hair01 pink,,,15 bored,Bat wings,5,Rose,
3165,Degen Fox #3165,13,1982.4753652656,11,Moon violet,No sleeve white,Noob,3,02 blue,violet,Hair06 violet,,,8,,4,Martini,btc
1022,Degen Fox #1022,14,1940.9166555629,11,Rays green,No sleeve white,Noob,4,7,Color,Hair07 black,,,10,,4,Rose,tezos
3621,Degen Fox #3621,15,1226.2897936309,8,Bridge yellow,Hoodie golden,Noob,,04 green,red,Kitsune mask,,,8,Swan wings,,,
3032,Degen Fox #3032,16,1149.4590119554,9,City red,No sleeve black,Noob,1,04 green,pink,Kitsune mask,,,8,,,,3
2737,Degen Fox #2737,17,1126.1190250561,9,Rays blue,Shirt short sleeve red,Noob,,03 red,green,Kitsune mask,,,2,,6,Wine,
3581,Degen Fox #3581,18,1042.7474961281,9,Bridge violet,Hoodie stripes,Noob,,04 blue,red,Kitsune mask,,,9,,5,Rose,
3997,Degen Fox #3997,19,1003.0201619037,8,Rays red,Suit stripes,Noob,2,04 blue,green,Kitsune mask,,,12,,,,
2817,Degen Fox #2817,20,952.2925783325,9,City blue,No sleeve black,Noob,,03 green,red,Cowboy hat,,,8,,3,,1
1473,Degen Fox #1473,21,930.3005478511,8,Rays blue,No sleeve blue,Noob,,Nerdy glasses,violet,Hair04 white,,,04 rainbow,,,,1
3204,Degen Fox #3204,22,835.67839508,8,Bridge violet,No sleeve black,Noob,,Pineapple glasses,Red tiger,Knitted hat,,,10,,,,1
1958,Degen Fox #1958,23,833.6930395385,9,Party blue,No sleeve blue,Noob,2,5,red,Hair04 black,,,15 bored,,,,1
90,Degen Fox #90,24,826.2836155117,8,Bridge yellow,No sleeve blue,Elite,,04 green,black,Hair07 violet,,,8,,,,1
