ID,Name,Rank,Rarity_Score,Attributes,arm,armor,backdrop,class,headdress,katana,skin
4446,Diplomat #4446,1,9254.9243377484,7,Hammer Black,Blackadder,Unoracle,Royal,Lilac Amaterasu,Tsukuyomi,Spotted Skin
2363,Diplomat #2363,2,5581.0493377484,7,White Guard,Imitation McFly,ZenFi,Royal,Elite Visor,Samebito,Zebra Skin
3954,Diplomat #3954,3,5551.5068377484,7,Opal Pad,Poor Man Armor,Lofi,Royal,Shogunata Rays,Raljin,Human Light
414,Diplomat #414,4,4732.6493377484,7,Copper Top,The Zoot,HiDef,Royal,Shogunata Teeth,Mizuchi,Unoborn
3931,Diplomat #3931,5,2473.5148275862,7,Gold Grip,Captain Bliss,Uno Explosion,Royal,Prisi Mask,Mononoke,Human Tan
3216,Diplomat #3216,6,2437.625,7,Green Spirit,Blue Cloak,HiDef,Royal,Fire Susanoo,Waira,Human Tan
740,Diplomat #740,7,2407.7122481961,7,Foreguard,Opal Crest,Black Portal,Royal,Bolt Susanoo,Ogama,Human Light
3542,Diplomat #3542,8,2388.5898136646,7,Diodot,Captain Bliss,Blue Wave,Royal,Copper Amaterasu,Mizuchi,Human Dark
1296,Diplomat #1296,9,2387.9054545455,7,Corsaira Red,Athletica,Grey Wave,Royal,Fire Susanoo,Hihi,Human Tan
4338,Diplomat #4338,10,2352.785,7,Bishop Steel,Steelknit,Blue Wave,Royal,Bolt Susanoo,Waira,Human Tan
2976,Diplomat #2976,11,1774.055,7,Glo Grip,Vanguard Lite,Gold Portal,Royal,Lilac Amaterasu,Kappa,Redborn
2251,Diplomat #2251,12,1647.3518377484,7,Malven Steel,Poor Man Armor,Red Wave,Royal,Meka,Waira,Redborn
3018,Diplomat #3018,13,1645.8368377484,7,Copper Top,Poor Man Armor,Red Stripe,Royal,Gui Amaterasu,Kappa,Human Dark
2342,Diplomat #2342,14,1633.16,7,Imitation Opal,Trix Azul,Purple Portal,Royal,Sho Amaterasu,Iyaya,Redborn
464,Diplomat #464,15,1632.9593377484,7,Oculeper,Naucloth,Purple Portal,Royal,Meka,Ningen,Human Dark
1685,Diplomat #1685,15,1632.9593377484,7,Oculeper,Trix Azul,Gold Portal,Royal,Face Guard,Ogama,Human Dark
3010,Diplomat #3010,17,1630.2465384615,7,Ragnarake,Jettison Jacket,Purple Portal,Royal,Ryu,Issie,Human Light
1663,Diplomat #1663,18,1626.1418377484,7,Hammer Black,Poor Man Armor,Blue Portal,Royal,Horn Mount,Kappa,Redborn
2126,Diplomat #2126,19,1626.09,7,D'orki Spike,McFly Black,Purple Portal,Royal,Ryu,Mononoke,Nekrit
1270,Diplomat #1270,20,1622.8304545455,7,Green Spirit,Athletica,Steel Portal,Royal,Ryu,Mizuchi,Redborn
829,Diplomat #829,21,1622.555,7,Orion Steel,Blue Cloak,Blue Portal,Royal,Meka,Oni,Redborn
757,Diplomat #757,22,1621.04,7,Iron Pad,Trix Azul,Steel Portal,Royal,Quadnik,Waira,Nekrit
2902,Diplomat #2902,23,1296.6293377484,7,White Guard,Emerald Crock,Red Wave,Royal,Verbo,Kechibi,Human Tan
4322,Diplomat #4322,24,1294.3879104478,7,Ferret Grip,Trix Verde,Black Portal,Royal,Shogunata Teal,Mizuchi,Human Light
81,Diplomat #81,25,1287.74,7,Shimonti Spike,Trix Verde,Grey Wave,Royal,Copper Amaterasu,Teke Teke,Woodborn
1662,Diplomat #1662,26,1273.4640384615,7,Ragnarake,The Zoot,White Stripe,Royal,Verbo,Waira,Redborn
847,Diplomat #847,27,1267.8443377484,7,Hammer Top,Ragged Wear,Blue Wave,Royal,Verbo,Keneo,Human Tan
3133,Diplomat #3133,28,1261.7843377484,7,Hammer Black,Trix Verde,Gold Portal,Royal,Prisi Mask,Issie,Human Tan
3879,Diplomat #3879,29,1247.8798275862,7,Gold Grip,Opal Crest,Steel Portal,Royal,Verbo,Keneo,Human Dark
