ID,Name,Rank,Rarity_Score,Attributes,Bonding level,Breed,Breeding count,Eyes color,Friendliness,Fur color,Gender,Generation,Group,Intelligence,Obedience,Primary personality,Rarity tier,Secondary personality,Size,Status,Strength,Vitality
4451,Dogami #4451,1,7760.893088877727,18,1,Border Collie,0,Green & brown #2,4,Lilac #5,Female,Alpha,Herding,5,9,Dreamer,Bronze,Foodie,Large female,Puppy,4,4
2920,BlockChienne,2,7272.183547757593,18,1,Rottweiler,0,Grey #1,6,Shinny black & mahogany #3,Female,Alpha,Working,3,4,Needy,Bronze,Shy,Large female,Puppy,9,7
2368,Dogami #2368,3,7168.576568283321,18,1,Husky,0,Purple #5,3,Agouti #12,Female,Alpha,Working,5,3,Lazy,Bronze,Naive,Large female,Puppy,7,10
2621,Dogami #2621,4,7120.876215981047,18,1,Border Collie,0,Blue & brown #4,3,Lilac #1,Female,Alpha,Herding,7,5,Gentle,Bronze,Independent,Large female,Puppy,3,4
5417,Dogami #5417,5,7103.585371262088,18,1,Rottweiler,0,Black #5,3,Shinny black & mahogany #10,Female,Alpha,Working,3,5,Cool,Bronze,Excentric,Small female,Puppy,8,10
1143,Dogami #1143,6,7101.326900950833,18,1,Rottweiler,0,Brown #1,5,Shinny black & mahogany #11,Male,Alpha,Working,3,5,Gentle,Silver,Leader,Large male,Puppy,9,8
5491,Dogami #5491,7,7097.9298101895265,18,1,Border Collie,0,Brown #4,3,Lilac #2,Female,Alpha,Herding,10,4,Curious,Silver,Leader,Large female,Puppy,3,8
3778,Garcon,8,7097.1891266410175,18,1,French Bulldog,0,Brown #3,9,Brindle pied #1,Male,Alpha,Non-Sporting,4,5,Excentric,Gold,Jolly,Large male,Puppy,3,4
1028,Dogami #1028,9,7078.2180037000835,18,1,Golden Retriever,0,Brown #1,11,Dark gold #2,Male,Alpha,Sporting,6,9,Serious,Gold,Precious,Small male,Puppy,3,6
6150,Dogami #6150,10,7076.773551075468,18,1,Rottweiler,0,Brown #1,3,Shinny black & mahogany #2,Female,Alpha,Working,5,9,Excentric,Bronze,Needy,Small female,Puppy,6,4
5530,Dogami #5530,11,7076.029502914604,18,1,Border Collie,0,Green #5,3,Lilac #6,Male,Alpha,Herding,7,4,Foodie,Bronze,Serious,Large male,Puppy,4,11
6297,Dogami #6297,12,7070.954688974774,18,1,Husky,0,Green #4,3,Agouti #4,Female,Alpha,Working,7,3,Foodie,Bronze,Playful,Medium female,Puppy,11,12
7319,Dogami #7319,13,7062.768904482403,18,1,Husky,0,Green #2,3,Agouti #11,Male,Alpha,Working,9,3,Charming,Bronze,Zen,Medium male,Puppy,7,7
2754,Dogami #2754,14,7061.866870289612,18,1,Border Collie,0,Green #4,3,Lilac #7,Female,Alpha,Herding,6,9,Curious,Gold,Emotional,Medium female,Puppy,4,8
3713,Richy,15,7060.36982194654,18,1,French Bulldog,0,Black #1,9,Brindle pied #12,Male,Alpha,Non-Sporting,3,5,Loyal,Silver,Dramaqueen,Small male,Puppy,3,7
2819,Dogami #2819,16,7056.42500141743,18,1,Rottweiler,0,Black #1,4,Shinny black & mahogany #6,Female,Alpha,Working,4,6,Dramaqueen,Silver,Devoted,Medium female,Puppy,11,7
7611,Dogami #7611,17,7045.02513255965,18,1,Border Collie,0,Green #3,3,Lilac #12,Female,Alpha,Herding,7,8,Jolly,Bronze,Playful,Small female,Puppy,5,10
6661,Dogami #6661,18,7038.226514366712,18,1,Golden Retriever,0,Black #4,8,Dark gold #4,Male,Alpha,Sporting,3,7,Brave,Bronze,Funny,Large male,Puppy,4,4
4596,Dogami #4596,19,7024.885747115913,18,1,Toy Poodle,0,Black #2,4,Grey #6,Female,Alpha,Non-Sporting,6,6,Cool,Gold,Naive,Small female,Puppy,7,3
463,Dogami #463,20,7024.741827939366,18,1,Rottweiler,0,Brown #5,3,Shinny black & mahogany #9,Female,Alpha,Working,3,6,Adventurer,Bronze,Gentle,Small female,Puppy,11,5
7609,Dogami #7609,21,7021.677336890645,18,1,French Bulldog,0,Brown #1,12,Brindle pied #5,Female,Alpha,Non-Sporting,3,10,Funny,Bronze,Cool,Large female,Puppy,3,5
4409,jonko,22,7021.628087050038,18,1,Golden Retriever,0,Orange #5,6,Dark gold #12,Male,Alpha,Sporting,6,6,Lazy,Bronze,Gentle,Medium male,Puppy,4,3
3629,Dogami #3629,23,7019.532217979194,18,1,Golden Retriever,0,Brown #2,5,Dark gold #9,Male,Alpha,Sporting,5,9,Naive,Bronze,Dramaqueen,Small male,Puppy,3,5
7206,Dogami #7206,24,7017.929398049878,18,1,Rottweiler,0,Orange #2,3,Shinny black & mahogany #7,Female,Alpha,Working,3,8,Curious,Bronze,Funny,Large female,Puppy,5,9
2293,Dogami #2293,25,7016.003570282699,18,1,Golden Retriever,0,Orange #5,5,Dark gold #11,Female,Alpha,Sporting,5,5,Foodie,Bronze,Stubborn,Small female,Puppy,4,6
7258,Dogami #7258,26,7013.138900225615,18,1,French Bulldog,0,Black #1,11,Brindle pied #8,Female,Alpha,Non-Sporting,3,6,Devoted,Bronze,Funny,Large female,Puppy,3,4
2331,Dogami #2331,27,7012.327620690611,18,1,Toy Poodle,0,Black #3,3,Grey #3,Male,Alpha,Non-Sporting,9,7,Shy,Silver,Talkative,Large male,Puppy,7,6
6999,Dogami #6999,28,7011.885459659866,18,1,Golden Retriever,0,Black #3,7,Dark gold #7,Male,Alpha,Sporting,4,4,Curious,Silver,Lazy,Medium male,Puppy,5,7
733,Dogami #733,29,7011.845999849911,18,1,Golden Retriever,0,Black #5,9,Dark gold #1,Male,Alpha,Sporting,3,10,Jolly,Bronze,Talkative,Small male,Puppy,3,4
6574,Dogami #6574,30,7010.045294101078,18,1,Golden Retriever,0,Brown #5,8,Dark gold #5,Female,Alpha,Sporting,3,10,Cool,Bronze,Charming,Large female,Puppy,5,5
221,Dogami #221,31,7008.6726972810275,18,1,Border Collie,0,Brown #4,3,Lilac #11,Male,Alpha,Herding,6,8,Foodie,Bronze,Gentle,Small male,Puppy,3,11
7382,Dogami #7382,32,6997.59070381137,18,1,Golden Retriever,0,Brown #4,5,Dark gold #10,Female,Alpha,Sporting,6,7,Charming,Silver,Funny,Small female,Puppy,4,3
7465,BURAKA,33,6985.947030301715,18,1,Border Collie,0,Brown #2,3,Lilac #3,Male,Alpha,Herding,7,7,Shy,Bronze,Devoted,Medium male,Puppy,3,7
5362,Dogami #5362,34,3699.888843355425,18,1,Border Collie,0,Green #1,3,Lilac #10,Female,Alpha,Herding,11,4,Fashionista,Bronze,Needy,Large female,Puppy,5,8
7703,Dogami #7703,35,3656.3629336389577,18,1,Border Collie,0,Brown #2,4,Blue merle #7,Female,Alpha,Herding,4,9,Stubborn,Bronze,Fashionista,Small female,Puppy,3,6
2697,Dogami #2697,36,3655.729604317149,18,1,Husky,0,Brown #2,4,Agouti #7,Male,Alpha,Working,3,3,Playful,Bronze,Fashionista,Small male,Puppy,6,5
3798,Dogami #3798,37,3643.926683904606,18,1,Border Collie,0,Brown #4,3,Blue merle #7,Male,Alpha,Herding,4,6,Dreamer,Bronze,Jolly,Medium male,Puppy,4,7
1015,Dogami #1015,38,3638.7252784322727,18,1,Husky,0,Blue & brown #2,3,Agouti #7,Male,Alpha,Working,8,3,Playful,Bronze,Cool,Large male,Puppy,6,6
4557,Dogami #4557,39,3619.58500919666,18,1,Rottweiler,0,Brown #5,4,Shinny black & mahogany #12,Male,Alpha,Working,3,8,Naive,Silver,Cool,Medium male,Puppy,12,6
7273,Dogami #7273,40,3618.112365726361,18,1,Toy Poodle,0,Black #1,3,Grey #11,Male,Alpha,Non-Sporting,6,3,Gentle,Bronze,Talkative,Large male,Puppy,12,5
874,Dogami #874,41,3611.1883676725374,18,1,Rottweiler,0,Orange #5,4,Shinny black & tan #10,Female,Alpha,Working,5,9,Shy,Gold,Charming,Small female,Puppy,8,9
6708,Dogami #6708,42,3608.302701572354,18,1,Rottweiler,0,Brown #4,6,Shinny black & mahogany #8,Female,Alpha,Working,3,5,Stubborn,Bronze,Precious,Small female,Puppy,7,8
3060,Dogami #3060,43,3589.838820659055,18,1,Toy Poodle,0,Black #2,3,Grey #11,Female,Alpha,Non-Sporting,10,7,Cool,Bronze,Lazy,Large female,Puppy,8,5
391,Dogami #391,44,3589.4271396491836,18,1,Border Collie,0,Brown #3,3,Blue merle #11,Male,Alpha,Herding,7,10,Adventurer,Bronze,Cool,Large male,Puppy,5,8
7881,Dogami #7881,45,3586.5727559753236,18,1,Rottweiler,0,Black #2,3,Shinny black & mahogany #8,Male,Alpha,Working,3,6,Dramaqueen,Bronze,Funny,Medium male,Puppy,4,5
3834,Pixel,46,3586.252862755638,18,1,French Bulldog,0,Black #5,12,Brindle pied #9,Male,Alpha,Non-Sporting,3,4,Playful,Bronze,Naive,Medium male,Puppy,3,4
6968,Callie,47,3581.69905000841,18,1,Border Collie,0,Brown #3,4,Blue merle #8,Female,Alpha,Herding,7,9,Naive,Silver,Playful,Medium female,Puppy,5,10
896,Dogami #896,48,3579.46119897685,18,1,Border Collie,0,Brown #5,3,Blue merle #8,Female,Alpha,Herding,4,5,Brave,Bronze,Charming,Small female,Puppy,3,4
1317,Dogami #1317,49,3577.9511716979414,18,1,Border Collie,0,Green #1,3,Blue merle #11,Female,Alpha,Herding,6,5,Naive,Bronze,Stubborn,Large female,Puppy,4,5
7723,Dogami #7723,50,3574.7299774075186,18,1,Rottweiler,0,Brown #1,6,Shinny black & mahogany #12,Female,Alpha,Working,4,4,Charming,Bronze,Foodie,Large female,Puppy,8,4
5023,Dogami #5023,51,3570.27683866667,18,1,Golden Retriever,0,Brown #2,7,Dark gold #6,Female,Alpha,Sporting,4,4,Devoted,Silver,Funny,Small female,Puppy,5,3
6809,Dogami #6809,52,3569.2199958350507,18,1,French Bulldog,0,Brown #5,8,Brindle pied #9,Male,Alpha,Non-Sporting,3,10,Charming,Silver,Funny,Medium male,Puppy,3,7
7145,Dogami #7145,53,3566.9362715612974,18,1,German Shepherd,0,Brown #1,3,Black & red #3,Male,Alpha,Herding,7,14,Serious,Bronze,Jolly,Small male,Puppy,3,6
1039,Dogami #1039,54,3566.8676802585646,18,1,Golden Retriever,0,Brown #3,8,Dark gold #6,Female,Alpha,Sporting,3,8,Curious,Bronze,Charming,Medium female,Puppy,5,6
2386,Dogami #2386,55,3557.594907888423,18,1,Rottweiler,0,Brown #5,5,Shinny black & tan #10,Male,Alpha,Working,4,5,Cool,Bronze,Talkative,Medium male,Puppy,4,6
782,Dogami #782,56,3557.184877550224,18,1,Husky,0,Brown #2,3,Agouti #10,Female,Alpha,Working,3,4,Shy,Bronze,Playful,Medium female,Puppy,7,5
6333,Dogami #6333,57,3549.599622303177,18,1,Husky,0,Brown #4,3,Agouti #10,Male,Alpha,Working,5,3,Charming,Bronze,Gentle,Small male,Puppy,6,5
1215,Dogami #1215,58,3547.397968180506,18,1,Border Collie,0,Brown #4,3,Lilac #10,Male,Alpha,Herding,4,7,Foodie,Bronze,Funny,Large male,Puppy,4,6
6188,Dogami #6188,59,3207.006529026377,18,1,Border Collie,0,Green & brown #1,4,Blue & white #8,Male,Alpha,Herding,4,5,Curious,Bronze,Independent,Small male,Puppy,3,10
3608,Dogami #3608,60,3037.9081983362867,18,1,Border Collie,0,Green & brown #1,3,Blue & white #2,Female,Alpha,Herding,10,8,Funny,Bronze,Stubborn,Large female,Puppy,3,7
