ID,Name,Rank,Rarity_Score,Attributes-Scores,Bonding level-Scores,Breed-Scores,Breeding count-Scores,Eyes color-Scores,Friendliness-Scores,Fur color-Scores,Gender-Scores,Generation-Scores,Group-Scores,Intelligence-Scores,Obedience-Scores,Primary personality-Scores,Rarity tier-Scores,Secondary personality-Scores,Size-Scores,Status-Scores,Strength-Scores,Vitality-Scores
4451,Dogami #4451,1,7760.893088877727,1,1,9,1,687,9,6871,1,1,5,6,10,114,1,19,6,1,5,6
2920,BlockChienne,2,7272.183547757593,1,1,10,1,274,15,6871,1,1,5,4,8,18,1,19,6,1,20,8
2368,Dogami #2368,3,7168.576568283321,1,1,9,1,167,2,6871,1,1,5,6,5,20,1,19,6,1,19,26
2621,Dogami #2621,4,7120.876215981047,1,1,9,1,118,2,6871,1,1,5,10,8,21,1,48,6,1,3,6
5417,Dogami #5417,5,7103.585371262088,1,1,10,1,20,2,6871,1,1,5,4,8,21,1,101,5,1,18,26
1143,Dogami #1143,6,7101.326900950833,1,1,10,1,12,12,6871,2,1,5,4,8,21,3,109,5,1,20,10
5491,Dogami #5491,7,7097.9298101895265,1,1,9,1,12,2,6871,1,1,5,29,8,19,3,109,6,1,3,10
3778,Garcon,8,7097.1891266410175,1,1,10,1,12,21,6871,2,1,3,6,8,107,12,20,5,1,3,6
1028,Dogami #1028,9,7078.2180037000835,1,1,9,1,12,28,6871,2,1,4,7,10,46,12,52,5,1,3,6
6150,Dogami #6150,10,7076.773551075468,1,1,10,1,12,2,6871,1,1,5,6,10,107,1,18,5,1,12,6
5530,Dogami #5530,11,7076.029502914604,1,1,9,1,50,2,6871,2,1,5,10,8,20,1,44,5,1,5,33
6297,Dogami #6297,12,7070.954688974774,1,1,9,1,37,2,6871,1,1,5,10,5,20,1,19,6,1,24,49
7319,Dogami #7319,13,7062.768904482403,1,1,9,1,40,2,6871,2,1,5,16,5,20,1,50,6,1,19,8
2754,Dogami #2754,14,7061.866870289612,1,1,9,1,37,2,6871,1,1,5,7,10,19,12,57,6,1,5,10
3713,Richy,15,7060.36982194654,1,1,10,1,21,21,6871,2,1,3,4,8,42,3,49,5,1,3,8
2819,Dogami #2819,16,7056.42500141743,1,1,10,1,21,9,6871,1,1,5,6,8,54,3,19,6,1,24,8
7611,Dogami #7611,17,7045.02513255965,1,1,9,1,49,2,6871,1,1,5,10,8,21,1,19,5,1,6,26
6661,Dogami #6661,18,7038.226514366712,1,1,9,1,19,20,6871,2,1,4,4,8,52,1,19,5,1,5,6
4596,Dogami #4596,19,7024.885747115913,1,1,10,1,20,9,6871,1,1,3,7,8,21,12,19,5,1,19,8
463,Dogami #463,20,7024.741827939366,1,1,10,1,11,2,6871,1,1,5,4,8,47,1,19,5,1,24,5
7609,Dogami #7609,21,7021.677336890645,1,1,10,1,12,41,6871,1,1,3,4,14,20,1,19,6,1,3,5
4409,jonko,22,7021.628087050038,1,1,9,1,35,15,6871,2,1,4,7,8,20,1,19,6,1,5,8
3629,Dogami #3629,23,7019.532217979194,1,1,9,1,12,12,6871,2,1,4,6,10,18,1,49,5,1,3,5
7206,Dogami #7206,24,7017.929398049878,1,1,10,1,42,2,6871,1,1,5,4,8,19,1,19,6,1,6,12
2293,Dogami #2293,25,7016.003570282699,1,1,9,1,35,12,6871,1,1,4,6,8,20,1,21,5,1,5,6
7258,Dogami #7258,26,7013.138900225615,1,1,10,1,21,28,6871,1,1,3,4,8,20,1,19,6,1,3,6
2331,Dogami #2331,27,7012.327620690611,1,1,10,1,20,2,6871,2,1,3,16,8,20,3,19,5,1,19,6
6999,Dogami #6999,28,7011.885459659866,1,1,9,1,20,20,6871,2,1,4,6,8,19,3,19,6,1,6,8
733,Dogami #733,29,7011.845999849911,1,1,9,1,20,21,6871,2,1,4,4,14,21,1,19,5,1,3,6
6574,Dogami #6574,30,7010.045294101078,1,1,9,1,11,20,6871,1,1,4,4,14,21,1,22,6,1,6,5
221,Dogami #221,31,7008.6726972810275,1,1,9,1,12,2,6871,2,1,5,7,8,20,1,19,5,1,3,33
7382,Dogami #7382,32,6997.59070381137,1,1,9,1,12,12,6871,1,1,4,7,8,20,3,19,5,1,5,8
7465,BURAKA,33,6985.947030301715,1,1,9,1,12,2,6871,2,1,5,10,8,20,1,19,6,1,3,8
5362,Dogami #5362,34,3699.888843355425,1,1,9,1,42,2,3435,1,1,5,34,8,110,1,18,6,1,6,10
7703,Dogami #7703,35,3656.3629336389577,1,1,9,1,12,9,3435,1,1,5,6,10,20,1,122,5,1,3,6
2697,Dogami #2697,36,3655.729604317149,1,1,9,1,12,9,3435,2,1,5,4,5,18,1,122,5,1,12,5
3798,Dogami #3798,37,3643.926683904606,1,1,9,1,12,2,3435,2,1,5,6,8,114,1,20,6,1,5,8
