ID,Rank,Rarity_Score,Attributes,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
8135,1,668.2116479800286,7,Army Green,Hip Hop,Silver Stud,Hypnotized,Black,Trippy Captain's Hat,Bored Unshaven Dagger
2794,2,616.6698587755207,5,Aquamarine,Cowboy Shirt,None,Cyborg,Robot,None,Bored Unshaven Pizza
7678,3,613.947218707461,6,Purple,Sailor Shirt,None,Robot,Cheetah,King's Crown,Bored Unshaven Pizza
8976,4,602.0791806376355,7,Yellow,Tweed Suit,Silver Stud,X Eyes,White,Safari,Bored Unshaven Pizza
208,5,574.1806555770094,7,Army Green,Prom Dress,Silver Stud,Coins,Pink,Fez,Bored Unshaven Pizza
7658,6,571.4497305733069,6,Aquamarine,Pimp Coat,None,Closed,Gray,Bayc Hat Black,Bored Unshaven Dagger
7253,7,564.477559882234,6,Army Green,Smoking Jacket,None,Closed,Cream,Party Hat 2,Bored Unshaven Pizza
7265,8,564.4275922964821,7,Aquamarine,Tie Dye,Gold Stud,Heart,White,Seaman's Hat,Bored Unshaven Pizza
1135,9,560.3046299198389,6,Blue,Sailor Shirt,None,Holographic,Dmt,Bayc Hat Black,Bored Unshaven Dagger
8811,10,547.191369823388,7,Orange,Black Holes T,Diamond Stud,Zombie,Brown,Bayc Flipped Brim,Bored Unshaven Dagger
2980,11,534.8724704053362,7,New Punk Blue,Sleeveless Logo T,Silver Hoop,Sunglasses,Red,Army Hat,Bored Unshaven Dagger
8921,12,533.5084986572388,6,Orange,Sleeveless Logo T,None,Eyepatch,Dark Brown,Halo,Bored Unshaven Pizza
1459,13,531.8981199605421,7,Yellow,Prison Jumpsuit,Silver Hoop,Zombie,Black,Horns,Bored Unshaven Pizza
5353,14,530.6074012485071,6,Aquamarine,Navy Striped Tee,None,X Eyes,Blue,Bayc Flipped Brim,Bored Unshaven Pizza
4300,15,529.4410072260032,6,Yellow,Tie Dye,None,3d,Tan,Spinner Hat,Bored Unshaven Dagger
4151,16,528.3052168151174,7,New Punk Blue,Biker Vest,Gold Hoop,Bored,Dark Brown,Party Hat 1,Bored Unshaven Dagger
6250,17,527.3800983154375,7,Orange,Lab Coat,Gold Stud,Bored,Cream,Bayc Flipped Brim,Bored Unshaven Dagger
5491,18,522.4821455643192,7,Army Green,Leather Jacket,Silver Stud,Bloodshot,Black,Bayc Hat Black,Bored Unshaven Pizza
3730,19,521.8815860426944,7,Gray,Black T,Silver Hoop,Heart,Brown,Prussian Helmet,Bored Unshaven Dagger
2402,20,520.4279604515656,7,Orange,Striped Tee,Gold Hoop,Closed,Dark Brown,Spinner Hat,Bored Unshaven Pizza
3609,21,515.8115507381466,5,New Punk Blue,None,None,Robot,Blue,Ww2 Pilot Helm,Bored Unshaven Dagger
8746,22,515.277055739422,6,Orange,Black Suit,None,Blue Beams,Cheetah,Halo,Bored Unshaven
7728,23,514.4370500471501,6,Army Green,Bone Tee,None,Sad,Dark Brown,Police Motorcycle Helmet,Bored Unshaven Dagger
8097,24,510.23269550370236,7,New Punk Blue,Sleeveless Logo T,Silver Hoop,Sleepy,Dark Brown,Bowler,Bored Unshaven Dagger
7495,25,509.6206268339475,7,Aquamarine,Wool Turtleneck,Cross,Cyborg,Dmt,Irish Boho,Bored Dagger
5615,26,506.98615536769944,6,Aquamarine,Bone Necklace,None,Coins,Black,Commie Hat,Bored Unshaven Pizza
7130,27,505.94281458539047,6,Army Green,Bandolier,Gold Stud,Scumbag,Dark Brown,None,Bored Unshaven Dagger
3563,28,503.89621590295565,6,Yellow,Caveman Pelt,None,Crazy,Cream,Army Hat,Bored Unshaven Dagger
7244,29,497.7024429135307,6,Purple,Tie Dye,None,3d,Cream,Seaman's Hat,Bored Unshaven Dagger
4922,30,496.67945442178296,6,Army Green,Tie Dye,None,Bored,Black,Beanie,Bored Unshaven Pizza
6445,31,494.5991523627921,6,Army Green,Black T,None,Coins,Black,Horns,Bored Unshaven Pizza
2646,32,494.0308136407501,6,Gray,Toga,None,Sad,Solid Gold,Bayc Flipped Brim,Bored Unshaven Bubblegum
3284,33,493.0993874074761,5,Yellow,Rainbow Suspenders,None,Robot,Cream,None,Bored Unshaven Dagger
9796,34,492.89578867600034,7,Gray,Hawaiian,Silver Stud,Bored,Golden Brown,Cowboy Hat,Bored Unshaven Pizza
7345,35,492.1693528417786,5,Army Green,None,None,Laser Eyes,Golden Brown,Party Hat 2,Bored Unshaven Party horn
2800,36,492.0902053542532,6,Orange,Tuxedo Tee,None,Sleepy,Cheetah,Bayc Flipped Brim,Bored Unshaven Dagger
7565,37,489.42490295018496,6,Blue,Wool Turtleneck,None,Robot,Black,S&m Hat,Bored Unshaven Dagger
9455,38,487.24516346414885,6,Orange,Wool Turtleneck,None,Bored,Gray,Seaman's Hat,Bored Unshaven Pizza
7653,39,484.6182624902592,5,Blue,None,None,Sunglasses,Cheetah,Cowboy Hat,Bored Unshaven Pizza
8274,40,484.0562188874243,6,Yellow,Wool Turtleneck,None,3d,Cheetah,Fisherman's Hat,Bored Unshaven Dagger
3953,41,483.98451088486706,4,Gray,None,None,Crazy,Cream,None,Bored Unshaven Pizza
