ID,Rank,Rarity_Score,Attributes,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth,IPFS_URI
8135,1,668.2116479800286,7,Army Green,Hip Hop,Silver Stud,Hypnotized,Black,Trippy Captain's Hat,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8135
2794,2,616.6698587755207,5,Aquamarine,Cowboy Shirt,None,Cyborg,Robot,None,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/2794
7678,3,613.947218707461,6,Purple,Sailor Shirt,None,Robot,Cheetah,King's Crown,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7678
8976,4,602.0791806376355,7,Yellow,Tweed Suit,Silver Stud,X Eyes,White,Safari,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8976
208,5,574.1806555770094,7,Army Green,Prom Dress,Silver Stud,Coins,Pink,Fez,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/208
7658,6,571.4497305733069,6,Aquamarine,Pimp Coat,None,Closed,Gray,Bayc Hat Black,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7658
7253,7,564.477559882234,6,Army Green,Smoking Jacket,None,Closed,Cream,Party Hat 2,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7253
7265,8,564.4275922964821,7,Aquamarine,Tie Dye,Gold Stud,Heart,White,Seaman's Hat,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7265
1135,9,560.3046299198389,6,Blue,Sailor Shirt,None,Holographic,Dmt,Bayc Hat Black,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1135
8811,10,547.191369823388,7,Orange,Black Holes T,Diamond Stud,Zombie,Brown,Bayc Flipped Brim,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8811
2980,11,534.8724704053362,7,New Punk Blue,Sleeveless Logo T,Silver Hoop,Sunglasses,Red,Army Hat,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/2980
8921,12,533.5084986572388,6,Orange,Sleeveless Logo T,None,Eyepatch,Dark Brown,Halo,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8921
1459,13,531.8981199605421,7,Yellow,Prison Jumpsuit,Silver Hoop,Zombie,Black,Horns,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1459
5353,14,530.6074012485071,6,Aquamarine,Navy Striped Tee,None,X Eyes,Blue,Bayc Flipped Brim,Bored Unshaven Pizza,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5353
4300,15,529.4410072260032,6,Yellow,Tie Dye,None,3d,Tan,Spinner Hat,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/4300
4151,16,528.3052168151174,7,New Punk Blue,Biker Vest,Gold Hoop,Bored,Dark Brown,Party Hat 1,Bored Unshaven Dagger,QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/4151
