ID,Name,Rank,Rarity_Score,Armor,Attributes,Background,Bracelet,Clan,Earring,Hair Type,Hair color,Hat / Helm,Item Left Hand,Item Right Hand,Main Cloth,Necklace,Piercing,Ring,Secondary Cloth
668,Ilmeresh #668,1,72033.27165639847,,11,Black,Gold Wavy Bracelet,,Golden Moon,Type 39,Gold,Golden Wizard Hat,,Golden Magic Staff Ancientum Vortex,Golden Wizard's Robe,Gold Wavy Necklace,Gold Upper Lip Piercing,Gold Wavy Ring,
5484,Ilmeresh #5484,2,72022.37841021111,,11,Black,Gold Bands Bracelet,,Golden Star,Type 30,Gold,Golden Wizard Hat,,Golden Magic Staff Ancientum Flame,Golden Wizard's Robe,Gold Bands Necklace,Gold Lower Lip Piercing,Gold Bands Ring,
9491,Ilmeresh #9491,3,70012.56957385628,Frozen Metal Platemail Armor,8,Ice,,,,Type 41,Brown,,Frozen Metal Round Shield,Scepter of the Fellowship,Sash MB,,,,Cloak MB
2225,Ilmeresh #2225,4,47426.16480861228,Gold Platemail Armor,10,Black,,,Gold Bar,Type 04,Gold,,Golden Kite Shield,Golden War Hammer with Spike,Golden Sash,,Gold Eyebrow Ring,,Golden Cloak
8212,Ilmeresh #8212,5,47409.76422806076,Gold Platemail Armor,10,Black,,,Gold Chain,Type 10,Gold,,Golden Round Shield,Golden Chain Mace,Golden Sash,,Gold Ring Tooth Piercing,,Golden Cloak
2863,Ilmeresh #2863,6,47408.93511705201,Gold Platemail Armor,10,Black,,,Gold Earring,Type 14,Gold,,Golden Buckler,Golden Battle Axe,Golden Sash,,Gold Ball Tongue Piercing,,Golden Cloak
6321,Ilmeresh #6321,7,37441.506102599895,Gold Leather Armor,9,Black,,,Gold Thorn,Type 20,Gold,,,Golden Double Crossbow,Golden Sash,,Gold Eyebrow Large Ring,,Golden Cloak
7090,Ilmeresh #7090,8,37415.94111640499,Gold Leather Armor,9,Black,,,Gold U Shaped,Type 23,Gold,,,Golden Ring Blade,Golden Sash,,Gold Ball Tooth Piercing,,Golden Cloak
479,Ilmeresh #479,9,37410.8176130073,Gold Leather Armor,9,Black,,,Gold Spiral,Type 07,Gold,,,Golden Longbow,Golden Sash,,Gold Thorn Tongue Piercing,,Golden Cloak
1766,Ilmeresh #1766,10,37406.96617444295,Gold Chainmail Armor,9,Black,,,Gold Tusk,Type 43,Gold,,,Golden Harpoon,Golden Sash,,Gold Triple Eyebrow Ring,,Golden Cloak
8148,Ilmeresh #8148,11,37406.51115742531,Gold Chainmail Armor,9,Black,,,Gold Triple Sphere,Type 19,Gold,,,Golden Bardiche,Golden Sash,,Gold Circular Bearbell,,Golden Cloak
9296,Ilmeresh #9296,12,37404.81962523545,Gold Chainmail Armor,9,Black,,,Gold Ear Plug,Type 08,Gold,,,Golden Halberd,Golden Sash,,Gold Circular Bearbell Tongue Piercing,,Golden Cloak
223,Ilmeresh #223,13,20327.493427972484,Dragon Leather Armor,10,Yellow,,Armezeen,Spiral,Type 14,Black,,,Bluecrystalluss Longbow,Sash GOR,,Circular Bearbell,,Cloak GOR
