ID,Name,Rank,Rarity_Score,Attributes,Composition,High weight brush,Palette,Style,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1157232,Flustels #86,1,80.37298985167838,4,Composition #5,False,Palette #20,Style #6,QmSfemEwnB5S1vVMSPck1ZgNN1K5K2nZujCT2EQe5c6dcJ,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oo9oZqnwCqsiY3jcDvMHvrz1rjYCMZZFCoW2o5drJqf4X1QnJnE,ipfs://QmP8H33GX3i2Fcy4nZ1FhndrfnAHRKqshprn4FQrULvmxU,ipfs://QmP9Lm6FH3DyKehSdzo6S9eFcAymwEWCAdAdRCwqH7FFLp
1156646,Flustels #25,2,78.71428571428571,4,Composition #3,True,Palette #6,Style #3,QmXzLNAKyw1EQV4So4egiEJpz24BYyGmademPEUPkuA2Rj,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=op1X7BFmaehVWjwAfis6SBTSs8Xd2K5LJDvkW58Pv51DUCsbCPd,ipfs://QmbvM4RcrusrpqR61CpC73jJiQmLWLcDsFfCiQkoVofhAf,ipfs://QmdhB6iS2aReSfq7fXP5wH6d9w1eAYbdpGmMSwD2sPLrfJ
1157287,Flustels #121,3,77.2357349497176,4,Composition #5,False,Palette #20,Style #4,Qmd6oQd6QpsBkjjXxvDTuYfhaSWdWHcKmsuMovtyzfMezw,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=onkYoPBAqdnNRwFKew6aoap6x85A8Mcp1JtJCh6Kro3RvBi3tat,ipfs://QmU1oUihsR5JMp2KUeh2iuk1W7coBMjpNhNDv62pVEEd6t,ipfs://Qmc52dHFdheafgCxhGG6NYuf8FowkjmpwtWyJcNxkA5Mim
1155373,Flustels #13,4,71.00560224089635,4,Composition #1,True,Palette #5,Style #2,Qmf4kbKs7uH8LPuuXLLrgqcv2b5KdXAc5eUA7Hrqnf6W6C,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oorPABs23MyoV6u7FjcuifQjHJkysQWeGTyHXvFJxgGhhXpSUEo,ipfs://QmP6QygbaGkmVaWnyJ4ts5AY5uGRSkDjpNbrkhDEWPSc2w,ipfs://QmNqVxYwchfVx1RswXEomgmCwXqozYA7FJMXAUev9uAyqn
1157020,Flustels #48,5,68.18251366120218,4,Composition #2,False,Palette #15,Style #8,QmaKbatJhE3zr1QmTjHcZHRb5bEYJq65DmV9UkyPUAMjWA,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=op7FEyHKzo2Hk8PWQuJ4ddym8PQGogxdYBqKiQEG1t2FKn1Kmj9,ipfs://QmenCnp63zydt7S6j6Kt1FeG7DoNeJzvNwTYJAKpFtUE1R,ipfs://QmYtEGkbnRKumuhcEZ9AVUGy7EEgm9wP91wXAZLBwMxnF9
1157268,Flustels #109,6,67.74285714285713,4,Composition #1,True,Palette #14,Style #3,QmfKc62U3Nu4BYznokpHvnJm4BzPpEiVuQZTE4p4U7mgKU,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ookeEJ8eDT7qkfEwQT3cwrgqvbW6WcmQF4MfFdVSi3xxXEEn7Yp,ipfs://QmYy1jPvuXivG5rYMsq37rk7McaeupJxWxmkBHSDzW7kEE,ipfs://QmWrVWYUtjVvZCGb6swtsrv5kHWGAzLhvGSrN8Xf2oD2mz
1157281,Flustels #118,7,67.47140255009107,4,Composition #2,False,Palette #1,Style #5,QmPPvyoi1DN4QJ1Sc5Qz8FBXzJKRsFKd3Hmv1rSsdx6LTm,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooj4hNm7Hv7gTKktdkTjpdugnrXyWyp9yzf3a5EffxxwXKXkzbf,ipfs://QmbQGgPUi8MyBxP3A9wrpemqPWH9CDbR3XYaHWjKgaNHYF,ipfs://QmUe8yzLrfS5g4Vh2fsJDQkJZr9WJ9iH5ndrcSHWVzwBmW
1157255,Flustels #100,8,65.86274509803921,4,Composition #4,True,Palette #5,Style #4,Qma9jDv1GDJBqdde3SvtAaeawGRNgEzfn65Br1QkBSDodD,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opJ2rurs58MRKmm48v9winS1YgLoAigusaifKsZLQoMkmYmeWVi,ipfs://QmW1kd3ukFrhRtYPUEjknHXJHkm9yKCTfSXrQVSpu7mnxm,ipfs://QmYHZtFxgdFZAt6gRjR9frq7DEYWAGKtqFaQv3JhAwTmZ4
1155367,Flustels #12,9,61.858704137392664,4,Composition #1,False,Palette #3,Style #7,QmYLCwWMVdTmg2GL4XX8W96nxttPnhv1oLG9CGU1FkieC1,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oot48izAtrpJF7qj1oDm8nrPrzpAcMyLJfjq5HbHtKWGS1at6RV,ipfs://Qmd6F748bhG5jwtNkos4M5N985CTRBqHvMDV9WC6iFzzho,ipfs://QmTNbVDE2uggfvM7KuVQfGUcc8mEZsH23cByT3MfgweZfd
1156738,Flustels #43,10,60.15711683580536,4,Composition #2,False,Palette #13,Style #5,QmdkaDmhtn1vo8jQPyV7XyqYM7NLHq8Qkxq5ZTR2Vy765c,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opNmeuabh7rFPAkCgvvnSv98coUL2FAy34UbFGZorQ2F1aBzL6P,ipfs://QmT3856UaecBsTLYRAxfqi7SAs2cdwTLZwzHrHFakEGciu,ipfs://QmWoZKwycEvnLe5NkdpFJCKYftbN3jCCErkuwaKjzr2GVH
1156701,Flustels #40,11,59.03965651834504,4,Composition #5,False,Palette #16,Style #6,Qmcg7isLSkXC2EjD2nHwUgDMs574BF5rZFae21zswRWoPP,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opaiNZmxB91LWkPRRc8DcS2xxcRQiPhdR4KTyB6nvdBNsNCBPV6,ipfs://QmTNwoLfKc1nXHmiqFeN23KXUfNBeKxfEXqn1HheNdzDu8,ipfs://QmefyiSN8AwaGp6ADjAgyXY5394jrmkvzMSaLRH1VaxRh6
1157284,Flustels #119,12,57.51584699453552,4,Composition #5,False,Palette #16,Style #1,QmQgCfxKWG58s3Wybg5sZe4mF7wWva32V1nEVFvP7iypgQ,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooXjAroEWmLQYQJzud8Ezgapp4bD4YXr8M4PhaYwHxfYnwUAxto,ipfs://QmPfT38CsbdTTs9QKwhMLWT9RxFJf77GaDPkh6EB5Ty6nN,ipfs://QmaT9BTykmnfAeiS2sEXoGFaWs86ZfRsUbLQxQRubUEe9i
1156651,Flustels #28,13,57.24918032786885,4,Composition #4,False,Palette #6,Style #8,QmRfj7XAgXV8AKYyi5ACQcRaTdDsdPmux7sbDp5EhavgBE,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oogyDr5T4vroxG85s5CWpcinvnVhC4iStUK6jC75WDYHzCLoXui,ipfs://QmYjQrg6fauZ3mJiKkNz868fUD9ZV7fSF6bBmwo1dRg5Gt,ipfs://QmUFJf2c2wezDAYWv3JGFaivUBJMBsHiZme66RJzLksEay
1155749,Flustels #18,14,56.71584699453552,4,Composition #4,False,Palette #3,Style #7,QmcrY9dH5wdb5pmjZV1dQTh1mEbsWGSXEBb9pwANNV8RXx,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooMBPNzXAuohcAHJ6aXwtEmo2vXu5BoJLhMo3eepoN4KqAjRfG4,ipfs://Qmbad2eD4Unv6TS6qCDtcza62Wez1gJjeXWJwowV8wb8zR,ipfs://QmaasdcFwRw1qVEtPGDyqyW9HRvwHGuzbP2hLnCFp53htC
1157177,Flustels #62,14,56.71584699453552,4,Composition #4,False,Palette #6,Style #7,QmV56z5kf5s7jR6dTVtAPeNVSBc1zYaDpgdHJKkgRVGkAh,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooXB2TvyKCQZbGr1Ece4BmQXsLPN1onoBZUHRPMkBqHde2eToiW,ipfs://QmXUX9SFiK7GX61TxvkLH2d2SDHPEis4TtfxNbJ68yVyzX,ipfs://QmbQfrFdY8efucVVSjy9W2H9m5Uwry6AxJCH6iN16fd2n6
1157200,Flustels #75,16,56.2452587592414,4,Composition #4,False,Palette #3,Style #4,QmX8wTbhg5YoP7PzDHQgVkNdKZJA2ixgCTqRDVF6CftURF,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opWQ3e6g9bJAvkjYxLmMzWUU7digMTj8RoQoVEvvVGpxgagduTb,ipfs://QmUXitGvTBsskaowoJzL76FpiUaxAsLTpFFZRUV7eEc6z1,ipfs://QmaYzo31DNRFFkPeVvfqfwvCErAEUH3W6LaBb3u7NpuAZ5
1156684,Flustels #37,17,55.76346604215456,4,Composition #3,False,Palette #16,Style #7,QmNyv5BK4x7Y4mVUb9odewc3JUfKb7zhwmuRzczksCA26z,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oohYV8NfDS3z1x6G9zgPkYociBNHKMjru3hYaxrEW26XZh8fnVR,ipfs://QmdgXVpA6sB6uVgNoWgerq1bJhBpWsg5PUQJyZC1ywKFPm,ipfs://QmaDKjRymgCk6JpGq13Je19BeSEHz59DqMZ939nhhaueQ8
1157195,Flustels #72,18,53.93489461358314,4,Composition #2,False,Palette #13,Style #7,QmSkCgK5CpZE34xwYCqcsVuBLQvENVMajjdRtwUDD5GExg,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooCmmjyWKP3F64fdSEArRTsTqi6J8Sfzn36mPzoTtQCMJsUNMFb,ipfs://QmUtBeZ3zJgfyszw97j67EvqcdfGMLadK3wEdiKpXfq5oe,ipfs://Qmdd7tNpyqQJKJxNHv6PKj8yHExiVTL5YxDPRa5TtjSAYi
