ID,Name,Rank,Rarity_Score,Arms,Attributes,Background,Bandana,Eyes,Grill,Head,Nose,Skin,Torso,Tribe,Wings
3133,Flux #3133,1,5726.1783899275,5k Armour,10,Orange Sunny,none,Golden Mask,5k Grill,5k Crown,Bullish Golden,Golden,JPEGS,Yesterdays Children,Patchwork Golden
1684,Flux #1684,2,4777.3528751592,Golden Eggs,11,Tribal Kush,Crips,Pink Eye,Blueprint,5k Crown,Honour Bone,Ocean Print,Panther Furrr,Creative Creatures,Level Up
3763,Flux #3763,3,2984.7245242636,Cheetah,11,Tribal Purple Haze,Cheetah Gang,Shadow Warrior,Cheetah Laker,5k Crown,Bullish Silver,Purple Haze,Golden Artifact,Fatcap Fanatics,NY Fat
1528,Flux #1528,4,2743.4791937428,Sicheezy Armour,10,Tribal Green Goblin,none,Golden Eye,Gold Digger,5k Crown,Bullish Golden,Stone,Golden Artifact,Trackside Tyrants,Damascus
179,Flux #179,5,2061.2142514442,420,9,Tribal Blue Dreams,none,Husky,Sativa,5k Crown,Golden Bone,Hulk,Acapulco Gold,420 Familia,none
2807,Flux #2807,6,2047.0658968633,Vines,11,Tribal Khaki,Crips,3rd Eye Trust,Cracked Gold,5k Crown,Bullish Golden,Stone,Acapulco Gold,Blockchain Vandals,Stock Cap
271,KrONic,7,2000.8399233679,420,10,Tribal Green Goblin,Sunny Side,Golden Mask,Kush,Happy Camper,Golden Bone,Golden,Acapulco Gold,Future Primitives,none
4143,Flux #4143,8,1219.7809858818,none,7,Pinky Power,none,Hornet,Purps,Happy Camper,Bullish Golden,Khaki,none,ab,none
4199,Flux #4199,9,1206.7415783406,none,7,Tribal Blue Dreams,none,Headset,Sativa,Stoned,Phat,Overcast,none,Blockchain Vandals,none
3467,Flux #3467,10,1204.2108465207,none,7,Purple Haze,none,Headset,Berry,Drippy,Bullish Golden,Grape,none,Future Primitives,none
4067,Flux #4067,11,1203.3807250431,none,7,Regz,none,SUS,Tribal,Universal Banana,Honour Bone,Minty Fresh,none,420 Familia,none
4,Flux #4,12,1001.04942257,Golden Eggs,10,Tribal Sunny,none,Headset,Tribal,5k Crown,Worship,Animal Chin,Meta Clouds,Meta Maker,Archangel
93,Flux #93,13,995.8994769007,5k Armour,10,Tribal Green Goblin,Sunny Side,Shadow Warrior,5k Grill,Stoned,Worship,Grape,none,Trackside Tyrants,Panther Buff
124,Flux #124,14,993.9306004117,Lurkers,10,Tribal Sunny,Sunny Side,Night Vision,5k Grill,Lurkers,Worship,Minty Fresh,Thug Life,420 Familia,none
210,Flux #210,15,976.0875208811,5k Armour,11,Orange Kush,Cheetah Gang,Blasted,5k Grill,Lurkers,Golden Bone,Tangerine,Gold Tooth,Future Primitives,Patchwork Golden
1141,KingKON the First,16,952.9636541906,Lurkers,11,Tribal Regz,Magneto,Blind King,Panther,5k Crown,Tracks,Grimm,Baller,Late Night Lurkers,Ocean Buff
182,Flux #182,17,760.5253956413,5k Armour,11,Tribal Minty Fresh,Crips,SUS,Tribal,Marker,Jr Bone,Urban Camo,Meta Clouds,Future Primitives,Panther Buff
4141,Flux #4141,18,736.065518339,Tribal Signs Armour,11,Tribal Minty Fresh,Minty Fresh,Scanner,Dope Grill,5k Crown,Worship,Pinky Power,Suede,Deviant Devs,Mint Buff
42,Flux #42,19,704.8028664268,Lurkers,10,Tribal Purple Haze,Cheetah Gang,Golden Mask,Gold Digger,Floater,Tracks,Khaki,Panther Furrr,Fatcap Fanatics,none
6,Flux #6,20,697.4753050352,5k Droids,11,Tribal Regz,Cheetah Gang,3rd Eye Trust,Shattered,Angel,Honour Bone,Tangerine,Furrr,Trackside Tyrants,NY Fat
5,Flux #5,21,691.4374128792,420,11,Tribal Sunny,Minty Fresh,Headset,OG,Floater,Honour Bone,Pinky Power,Meta Clouds,420 Familia,Archangel
19,Flux #19,22,686.5982260356,XTZS,11,Tribal Sunny,Magneto,Golden Mask,Gold Digger,Stoned,Jr Bone,Animal Chin,Gold Tooth,Meta Maker,Patchwork Golden
194,Flux #194,23,682.6250123758,Fire Signs,11,Tribal Green Goblin,Crips,Laker,5k Grill,3rd Eye Fly,Golden Bone,Minty Fresh,Baller,Fatcap Fanatics,Patchwork Golden
207,Flux #207,24,681.9259216748,Rope Bind,10,Regz,none,Hornet,5k Grill,Hardcore Fat,Smol,Grape,Meta Clouds,Deviant Devs,Stock Cap
2427,Flux #2427,25,680.7645933626,Sensei Armour,10,Tribal Pinky Power,none,Cyclops Mask,Tribal,5k Crown,Golden Bone,Pool,Strong,Future Primitives,Panther Buff
12,Flux #12,26,678.2412289726,5k Armour,11,Tribal Khaki,Cheetah Gang,SUS,Bandaged,Gas Wars 21,Smol,Grape,Gold Tooth,Fatcap Fanatics,Archangel
117,Flux #117,27,674.5780053506,420,11,Tribal Sunny,Sunny Side,3rd Eye Trust,Purps,Stoned,Smol,Golden,Baller,Fatcap Fanatics,Damascus
34,Flux #34,28,671.6560097279,Tribal Signs Armour,11,Tribal Pinky Power,Magneto,3rd Eye Trust,5k Grill,3rd Eye Fly,Golden Bone,Tangerine,Suede,Future Primitives,Level Up
110,Flux #110,29,669.9653429474,5k Droids,11,Tribal Purple Haze,Crips,Emerald Gaze,GM,Panther Print,Tracks,Grape,Hungry,Deviant Devs,Level Up
