ID,Name,Rank,Rarity_Score,Attributes,Background,Ears,Eyes,Hat,Head,Mouth
1363337,Blockheads #126,1,217.17020757020757,6,Green,Wings,Sunglasses,Sombrero,Silver,Smiling Wide
1363322,Blockheads #115,2,177.1146457407327,6,Green,Fried Egg,Glasses,Hair,Purple,Monster
1357632,Blockheads #95,3,175.1236589497459,5,Blue,None,Long,Horn,Red,Smiling Wide
1351627,Blockheads #17,4,151.80209162817857,6,Orange,Fried Egg,Robot,Robo Stem,Black,Smiling Wide
1353592,Blockheads #70,5,142.08369408369407,5,Red,None,Dead,Burglar Hat,Aquamarine,Black-Beard
1359907,Blockheads #97,6,134.65923448532143,6,Green,Fried Egg,Mean,Sombrero,Gold,Old Face
1351981,Blockheads #56,7,132.5259011519881,6,Red,Lightning Bolt,Robot,Sombrero,Gold,Squigly
1353268,Blockheads #66,8,124.71794871794872,6,Red,Wings,Mean,Robo Stem,Orange,Facemask
1362993,Blockheads #100,9,121.87350427350427,6,Blank,Frankenstein,Monster,Red Cap,Green,Facemask
1353237,Blockheads #65,10,116.0767466451677,6,Blank,Second Eye,Mean,Hair,Brown,Smiling Wide
1353811,Blockheads #75,11,114.7227265488135,6,Orange,Lightning Bolt,Monster,Clown Wig,Purple,Facemask
1363308,Blockheads #108,12,112.77178859787554,6,Green,Fried Egg,Pleasant,Fruit Hat,Black,Robot
1351569,Blockheads #5,13,110.94197031039135,6,Purple,Hole,Squinting,Horn,Brown,Old Face
1362992,Blockheads #99,14,109.10937950937951,5,Blue,Horn,Sunglasses,None,Grey,Flat
1351631,Blockheads #19,15,104.46371406371405,6,Grey,Hole,Robot,Cat Ears,Red,Alien
1363073,Blockheads #105,16,102.99607659058461,6,Green,Scratch,Long,Eye Hat,Brown,Robot
1363333,Blockheads #122,17,97.34798534798534,6,Grey,Frankenstein,Evil,Silver Bar Hat,Aquamarine,Animal
1363315,Blockheads #111,18,94.74481074481074,6,Grey,Frankenstein,Glasses,Silver Bar Hat,Purple,Smiling Wide
