ID,Name,Rank,Rarity_Score,Attributes-Scores,Background-Scores,Ears-Scores,Eyes-Scores,Hat-Scores,Head-Scores,Mouth-Scores
1363337,Blockheads #126,1,217.17020757020757,1,8,32,25,12,128,9
1363322,Blockheads #115,2,177.1146457407327,1,8,5,4,11,18,128
1357632,Blockheads #95,3,175.1236589497459,11,9,64,5,64,11,9
1351627,Blockheads #17,4,151.80209162817857,1,8,5,32,32,64,9
1353592,Blockheads #70,5,142.08369408369407,11,10,64,18,11,14,11
1359907,Blockheads #97,6,134.65923448532143,1,8,5,32,12,64,10
1351981,Blockheads #56,7,132.5259011519881,1,10,5,32,12,64,6
1353268,Blockheads #66,8,124.71794871794872,1,10,32,32,32,9,7
1362993,Blockheads #100,9,121.87350427350427,1,12,14,64,9,12,7
1353237,Blockheads #65,10,116.0767466451677,1,12,42,32,11,6,9
1353811,Blockheads #75,11,114.7227265488135,1,8,5,64,10,18,7
1363308,Blockheads #108,12,112.77178859787554,1,8,5,11,9,64,12
1351569,Blockheads #5,13,110.94197031039135,1,8,12,7,64,6,10
1362992,Blockheads #99,14,109.10937950937951,11,9,18,25,14,14,16
1351631,Blockheads #19,15,104.46371406371405,1,5,12,32,25,11,16
1363073,Blockheads #105,16,102.99607659058461,1,8,42,5,25,6,12
1363333,Blockheads #122,17,97.34798534798534,1,5,14,10,42,14,9
1363315,Blockheads #111,18,94.74481074481074,1,5,14,4,42,18,9
1355658,Blockheads #91,19,94.60062642671338,1,8,5,18,42,9,9
1363331,Blockheads #120,20,92.39110261718957,1,16,5,18,25,9,16
1351620,Blockheads #15,21,92.14494877103571,1,8,5,32,10,18,16
1351658,Blockheads #28,22,90.94017094017093,1,5,42,10,10,9,10
1351590,Blockheads #12,23,90.85237467846163,11,16,5,18,14,16,9
1351961,Blockheads #48,24,90.78290598290599,1,12,32,4,10,14,16
1351649,Blockheads #24,25,89.50367892976588,1,14,5,25,12,14,16
1351978,Blockheads #53,26,87.73388950231056,1,12,11,12,32,6,10
1355068,Blockheads #84,27,87.56419253261357,1,12,21,4,25,6,16
1355161,Blockheads #85,28,87.51491214099909,1,8,42,5,10,9,9
1351746,Blockheads #37,29,86.99483523012935,1,14,7,11,32,9,10
1351657,Blockheads #27,30,86.56226478835174,1,25,5,10,25,11,6
1351585,Blockheads #11,31,86.39312582841995,1,12,7,32,11,14,7
1363339,Blockheads #128,32,85.7965145965146,11,8,11,18,14,9,11
1353225,Blockheads #60,33,85.41816078658184,1,8,42,7,10,6,9
1353224,Blockheads #59,34,83.24824547433242,1,8,42,5,9,9,6
1353232,Blockheads #63,35,82.9044733044733,11,9,12,12,14,11,10
1363304,Blockheads #106,36,81.80302402911099,11,25,5,4,14,11,9
1351567,Blockheads #4,37,80.68447108447108,1,9,14,11,25,9,9
1353708,Blockheads #73,38,78.07179487179486,1,8,12,25,10,12,7
1351979,Blockheads #54,39,77.94942834942833,1,8,18,11,12,12,12
1351977,Blockheads #52,40,77.73893373344174,1,25,5,4,25,6,9
1353228,Blockheads #61,41,77.23831723831722,1,14,21,10,9,11,9
1351748,Blockheads #38,42,77.07681690290386,1,8,5,18,9,18,16
1353276,Blockheads #67,43,76.96410256410256,1,25,12,7,9,9,10
1354764,Blockheads #82,44,76.8068376068376,1,8,21,4,25,9,6
1351583,Blockheads #10,45,76.0068376068376,1,5,12,10,25,9,10
1363326,Blockheads #117,46,75.54942834942834,1,8,32,4,9,11,9
1363336,Blockheads #125,47,73.85858585858585,11,5,12,10,14,12,6
1351960,Blockheads #47,48,73.17482517482517,1,8,21,7,10,12,11
1363314,Blockheads #110,49,73.09273732803145,11,14,7,4,14,9,11
1363332,Blockheads #121,50,72.5178203439073,1,8,5,25,11,14,6
1363003,Blockheads #101,51,72.35750915750916,1,8,18,10,10,16,7
1351632,Blockheads #20,52,72.25517489046901,1,25,7,4,10,14,9
1355945,Blockheads #92,53,71.98448701057396,1,5,21,5,11,14,12
1363306,Blockheads #107,54,71.04149184149185,1,16,12,7,11,16,6
1351954,Blockheads #45,55,71.01479004087699,1,16,5,12,10,14,10
1360985,Blockheads #98,56,70.94452214452214,1,12,11,11,10,16,7
1353229,Blockheads #62,57,70.67350427350426,1,12,12,12,10,9,10
1356498,Blockheads #93,58,69.23701226309922,1,8,5,7,25,14,7
1351959,Blockheads #46,59,69.06515706515705,1,9,14,10,11,11,10
1355201,Blockheads #86,60,69.05923448532144,1,8,5,12,12,12,16
1351965,Blockheads #49,61,68.58131240739937,1,8,11,5,10,18,12
1363317,Blockheads #113,62,68.50132873662285,1,14,7,10,9,9,16
1351579,Blockheads #9,63,68.27350427350427,1,14,14,4,9,14,10
1363334,Blockheads #123,64,67.31623931623932,1,16,14,4,10,14,7
1354624,Blockheads #81,65,66.87060572277963,1,8,5,5,25,9,10
1351652,Blockheads #25,66,66.66678249286944,11,9,5,7,14,9,9
1351595,Blockheads #13,67,66.27226706677507,1,5,5,12,25,6,9
1355325,Blockheads #89,68,66.21609501609501,1,5,18,12,10,11,6
1363338,Blockheads #127,69,66.11912531912532,1,9,12,11,10,11,9
1355323,Blockheads #88,70,65.91671151121952,1,9,5,10,25,6,7
1351644,Blockheads #22,71,65.72548835529048,1,12,7,5,25,6,6
1352128,Blockheads #58,72,65.67393390922803,1,10,7,7,11,11,16
1352125,Blockheads #57,73,65.56874236874236,1,8,12,18,9,9,6
1351577,Blockheads #8,74,65.21765018607124,11,8,14,4,14,6,6
1351572,Blockheads #6,75,65.18737301345996,1,5,18,5,11,11,11
1351670,Blockheads #33,76,65.14161394161394,1,9,14,11,12,9,6
1353387,Blockheads #68,77,64.88276168276167,1,8,11,4,10,18,10
1354524,Blockheads #79,78,64.7179487179487,1,10,21,4,10,9,7
1363024,Blockheads #103,79,64.52747252747253,1,8,12,7,9,9,16
1363330,Blockheads #119,80,64.5178203439073,1,8,5,12,11,14,10
1351639,Blockheads #21,81,63.612439847733974,1,16,7,4,9,9,16
1351629,Blockheads #18,82,63.359218559218554,1,10,12,10,9,9,9
1351944,Blockheads #40,83,62.970679765187775,1,14,18,5,10,6,6
1351664,Blockheads #31,84,62.93388950231056,1,16,12,4,10,6,11
1363323,Blockheads #116,85,62.740042566129524,1,5,5,7,25,11,6
1351663,Blockheads #30,86,62.27508530117226,1,12,5,11,10,9,10
1351980,Blockheads #55,87,62.18315018315018,1,5,18,7,9,9,10
1351648,Blockheads #23,88,61.91952974561671,1,10,5,7,9,11,16
1363316,Blockheads #112,89,61.66585310114723,1,5,7,12,11,11,11
1351952,Blockheads #44,90,61.31029754559167,1,10,7,7,11,11,11
1363071,Blockheads #104,91,61.13353313353313,1,9,11,7,11,9,10
1351749,Blockheads #39,92,61.08593628593629,1,10,12,7,10,11,7
1351234,Blockheads #1,93,60.86251526251527,1,5,12,12,9,9,9
1353812,Blockheads #76,94,60.75127577736273,1,10,12,5,11,9,9
1351947,Blockheads #42,95,59.904983904983915,1,9,11,4,10,14,9
1353942,Blockheads #78,96,59.19413919413919,1,8,12,7,9,9,10
1363327,Blockheads #118,97,59.18448701057397,1,5,5,11,10,14,10
1351742,Blockheads #35,98,58.878594073102086,1,8,5,11,9,6,16
1351565,Blockheads #3,99,58.845651080945196,1,8,7,4,10,14,12
1351971,Blockheads #51,100,58.58342623560015,1,16,5,5,9,9,10
1355229,Blockheads #87,101,58.57034559643255,1,5,12,5,10,16,7
1351667,Blockheads #32,102,58.56628600158012,1,8,7,4,12,16,9
1351744,Blockheads #36,103,58.39312582841995,1,8,7,4,12,11,12
1363335,Blockheads #124,104,58.008418634505595,1,10,11,5,9,12,6
1351712,Blockheads #34,105,57.762264788351736,1,5,5,10,10,11,12
1351945,Blockheads #41,106,57.11389877527985,1,14,7,5,10,11,6
1351624,Blockheads #16,107,56.747812573899544,1,5,11,5,9,11,11
1353854,Blockheads #77,108,56.203939056112965,1,5,5,5,12,9,16
1354526,Blockheads #80,109,56.083028083028076,1,8,12,4,10,9,9
1351654,Blockheads #26,110,55.20120663650076,1,5,7,7,10,12,10
1351660,Blockheads #29,111,55.103678929765884,1,10,5,4,10,16,7
1363005,Blockheads #102,112,54.46686646686647,1,9,11,4,11,9,7
1353709,Blockheads #74,113,53.81166100616901,1,8,5,11,9,6,11
1357827,Blockheads #96,114,53.75847159376571,1,14,7,4,10,9,6
1351575,Blockheads #7,115,52.41161543770239,1,9,5,4,10,12,9
1357604,Blockheads #94,116,51.59414884632276,1,5,5,5,11,16,6
