ID,Name,Rank,Rarity_Score,Attributes,black & white,board material,feeling,free will,mode,number of layers,rendering,round pads drilling,shape,side
1046705,Bright Circuits #19,1,261.22603829851886,10,no,75k pink,bloody angry,artistic rebellion,text,2,isometric 3D,never,freedom,bright
1046723,Bright Circuits #29,2,239.42543101106946,10,no,75k pink,blissfully doubtful,obedient,text,2,isometric 3D,never,boxed,bright
1048100,Bright Circuits #114,3,234.2293485675727,10,no,paper,randomly sad,cartesian rebellion,text,1,flat 2D,never,boxed,dark
1046487,Bright Circuits #2,4,226.50291776287827,10,yes,paper,approximately lustful,obedient,random points,1,flat 2D,never,heart,dark
1047156,Bright Circuits #64,5,222.78918208393517,10,no,sandpaper,chiefly clueless,cartesian rebellion,text,2,isometric 3D,never,heart,dark
1047661,Bright Circuits #105,6,222.5967292537465,10,no,paper,vaguely bewitched,cartesian rebellion,text,2,isometric 3D,never,heart,dark
1047359,Bright Circuits #74,7,220.56166756952317,10,no,glass,slightly sad,artistic rebellion,text,3,isometric 3D,never,heart,bright
1063564,Bright Circuits #140,8,215.7370801309395,10,no,paper,half bewitched,cartesian rebellion,text,2,isometric 3D,never,freedom,dark
1046993,Bright Circuits #57,9,214.98872586772077,10,no,paper,vaguely relieved,artistic rebellion,random points,3,isometric 3D,never,circle,dark
1047435,Bright Circuits #81,10,213.9182345911372,10,no,paper,almost melancholic,cartesian rebellion,text,2,isometric 3D,never,circle,bright
1087563,Bright Circuits #154,11,211.9159959127985,10,yes,paper,vaguely enthusiastic,obedient,random points,3,flat 2D,never,freedom,dark
1046483,Bright Circuits #1,12,208.8437947107649,10,no,glass,perhaps sad,obedient,text,3,isometric 3D,never,skull,dark
1047475,Bright Circuits #86,13,208.7007167148223,10,no,sandpaper,almost happy,obedient,text,3,isometric 3D,never,skull,bright
1048099,Bright Circuits #113,14,208.50232905285682,10,no,paper,partly happy,artistic rebellion,random points,2,isometric 3D,never,circle,dark
1047908,Bright Circuits #109,15,208.13326967164787,10,no,sandpaper,almost joyful,obedient,text,2,flat 2D,never,skull,bright
1046743,Bright Circuits #39,16,207.99622143096255,10,no,glass,clearly tormented,artistic rebellion,random points,2,isometric 3D,never,freedom,bright
1053991,Bright Circuits #127,17,207.96858433453235,10,no,glass,chiefly joyful,obedient,random points,1,flat 2D,never,freedom,bright
1055504,Bright Circuits #132,17,207.96858433453235,10,no,glass,eventually shameless,obedient,random points,1,flat 2D,never,freedom,bright
1069633,Bright Circuits #153,19,207.76691880166354,10,no,paper,half melancholic,artistic rebellion,text,2,isometric 3D,never,freedom,bright
1046724,Bright Circuits #30,20,207.21506145328198,10,no,glass,sadly thrilled,obedient,random points,1,flat 2D,never,boxed,dark
1047658,Bright Circuits #104,21,207.17821165417163,10,no,sandpaper,particularly restless,obedient,text,1,flat 2D,never,boxed,dark
1046704,Bright Circuits #18,22,206.80726416137367,10,no,paper,approximately adventurous,obedient,text,1,flat 2D,never,circle,bright
1055835,Bright Circuits #134,22,206.80726416137367,10,no,paper,slightly puzzled,obedient,text,1,flat 2D,never,circle,bright
1047527,Bright Circuits #93,24,206.29138365822902,10,no,sandpaper,randomly envious,obedient,text,1,flat 2D,never,boxed,bright
1047194,Bright Circuits #66,25,206.28360408799253,10,no,glass,randomly restless,artistic rebellion,text,2,isometric 3D,never,circle,bright
1047930,Bright Circuits #110,25,206.28360408799253,10,no,glass,oddly shameless,artistic rebellion,text,2,isometric 3D,never,circle,bright
1048128,Bright Circuits #116,27,206.25596699156233,10,no,glass,approximately nostalgic,obedient,text,1,flat 2D,never,circle,bright
1046715,Bright Circuits #25,28,205.81900127924072,10,yes,glass,definitely confused,obedient,random points,2,isometric 3D,never,heart,dark
