ID,Name,Rank,Rarity_Score,Attributes,black & white,board material,feeling,free will,mode,number of layers,rendering,round pads drilling,shape,side,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1046705,Bright Circuits #19,1,261.22603829851886,10,no,75k pink,bloody angry,artistic rebellion,text,2,isometric 3D,never,freedom,bright,Qmf4YYio8eXBQtUKokSrJtGoReFGXkCUDSvrnmwxAbBC8o,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooxrPC1puQoHGed9MwJK4kYC8oDxRmJSsyhuZAErmuGwPFSf3f5,ipfs://QmQ4EDd7FT1f4j9NdwKgHnfVM3PRBW2K9MB9Eq5cxcfP1y,ipfs://QmSopDy1ULr8vbi7mS8ZHBuVUdQqkDawyNPYDW9JmjTNHu
1046723,Bright Circuits #29,2,239.42543101106946,10,no,75k pink,blissfully doubtful,obedient,text,2,isometric 3D,never,boxed,bright,QmTie8PCMqEjjNzXMhuHMaZGeWHqmTsfxu9gfpMbZg4f3y,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo5nLQJkDZNaK2DG1ms6vnFvvAjvp8ST4uTsed6dAYQUpuaPXKV,ipfs://QmfEUuav22DNmS9Ek9o4EW8AZC2hrJYM8Mu2xsy6sxpjdF,ipfs://QmZX8so3Da52KvTV38emRBCLdobtAXvWdmfBzdZnCvcFgv
1048100,Bright Circuits #114,3,234.2293485675727,10,no,paper,randomly sad,cartesian rebellion,text,1,flat 2D,never,boxed,dark,QmabmG1PHf63KPx6a8ZryjRD1rak84MnNjysQKnBe8BgB4,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opMXPiJFGzuwmhVuwQfMfQww81E6AuAJoHoiEjZyKUXetUmsJTR,ipfs://QmQAedU7fxzLYQkAb7JjZ4BsHfyHhR5Gg5xTer8cnFwsgx,ipfs://QmQ22MT6Wn4PPnvdfe9x5yFeTftEBdzvg9cpzRwkZfR38M
1046487,Bright Circuits #2,4,226.50291776287827,10,yes,paper,approximately lustful,obedient,random points,1,flat 2D,never,heart,dark,QmQB6bjPACZNxuaTmqBixVk68bNLScN4eW1N44gTE3wRNm,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo1iwTjRJsEBrCVvpmM9mK2PogGMcjZyc7ZRtYKPtWiYfrsFNbj,ipfs://QmcHBzscDF7yLcwLhpYPACeH8afaBqvKhurTmuMovWZBKJ,ipfs://QmcaQc9BNQFey4jkXxZUksLBZAsbUradksRktKWxu47ECY
1047156,Bright Circuits #64,5,222.78918208393517,10,no,sandpaper,chiefly clueless,cartesian rebellion,text,2,isometric 3D,never,heart,dark,QmX5eZkq7RSzzDgVfZ3FxqMqwnPhEL8V7MuZmP6V5rPaAS,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=onr6HuV7RkzKjUj5rsMVNVqPyFcE6c4iKQ49wHgkyVhhphw8XLa,ipfs://QmY3AVCSMncFCnrFpb3Nv54S3F8Qrd286zygDQsgSMzGQQ,ipfs://QmTpBxCTfaVwSZ95wmG7wP5k7tSGMjbk57RNjiSADBFqee
1047661,Bright Circuits #105,6,222.5967292537465,10,no,paper,vaguely bewitched,cartesian rebellion,text,2,isometric 3D,never,heart,dark,QmRHZ6bKWd5HmojsuGkLw8csbPPhrgF62c9N915GsZqq7d,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opHfPniozmWX5VbJKtAaPVAW8eUM6DN989KDmA3Y24UpmUNFaGj,ipfs://QmVV9SMEsRX5FZ9iCLt3TUbUd1zo3rdXhKwSButshmdakg,ipfs://QmSBQwidJbwdBeZBYQiJGNpEQxHTSQXDnzA7aSGMYwXf8a
1047359,Bright Circuits #74,7,220.56166756952317,10,no,glass,slightly sad,artistic rebellion,text,3,isometric 3D,never,heart,bright,QmRLrud3TVNWuSzHXgYZGgcigsLTn8TM3hAS6m3tY93hCA,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opaNe8SkMhRPkJeXgyHoSS8WhVndeduyESpZ2nf5gpwrXaFMsdH,ipfs://QmZZpHTTtWTwhLNHEmh199rycewebBp4FfajFsVHM5V32h,ipfs://Qmf8TqVX2NZs5QxaEPtYUkgNP8jct1xvHcjyj3pdqoD55f
1063564,Bright Circuits #140,8,215.7370801309395,10,no,paper,half bewitched,cartesian rebellion,text,2,isometric 3D,never,freedom,dark,QmQmKkKWY48CRyMLfwA1sRsfqTfJkCnA2pSAj3pTqFt2Xd,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo1BC1Fib67LDTJ7fwyNLUv76wW166jc8nv2Py25ietyzPnijed,ipfs://QmdfZm3RDpoYEyrDZgv6mott82axNCdJH3mR2UF2rVPtSS,ipfs://Qma9j4bxCxeUZMN5hHZb1vWonNv4HoLBhzg4bBcwo7UzEe
1046993,Bright Circuits #57,9,214.98872586772077,10,no,paper,vaguely relieved,artistic rebellion,random points,3,isometric 3D,never,circle,dark,QmZxLJgSnYwX8BLo7Qnhx7k4paLpkfp99GmNveUFGyy6P9,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oni37PiSeLrt6nrupGiVyQsHaAYrhc9wGi8TLr7r9rpCfseLsG7,ipfs://QmUWEwjSJhmeBWnL5Hms13URYq3VBDtJd6m1vEzbNmtU6f,ipfs://QmS2EdTpcxXY3UV2X1LNNdgDp9SXM5ZSQjSHSskUabgsG2
1047435,Bright Circuits #81,10,213.9182345911372,10,no,paper,almost melancholic,cartesian rebellion,text,2,isometric 3D,never,circle,bright,QmT2DgfjBbin6MxJ6yPYdZXs9xuazoveCzuhcdnLqyoPoF,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opXXbpzeYEHree2FsyuGNpR5UTHC1wN4A2afLHWcGnibh1oKRQS,ipfs://QmcWsZQPvmp1NEzt688RJmgKwhrnS6gcrYkdFTMs1sqRTJ,ipfs://QmeVdE9r2PVzgKYpFjv1XiiV1AtQW48yE2fFbNmccBvNLn
1087563,Bright Circuits #154,11,211.9159959127985,10,yes,paper,vaguely enthusiastic,obedient,random points,3,flat 2D,never,freedom,dark,QmeDKMRh3VpxTYEezWtGtNRifQRXqwSc3vFHrzxWwRKF3e,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo3obPHZLWnXKzZNaWVtnK8NWajxEpVKWAUWv2JmFhrW54MJJz8,ipfs://QmSBw1dTJHNycKEueaJVy7HWmXanLcDr29Z3iYoJqdLoC4,ipfs://QmT6rmFWWrTHk6jhMGWmGFVPqc5GbQZG3nxWdD4u7s95h2
1046483,Bright Circuits #1,12,208.8437947107649,10,no,glass,perhaps sad,obedient,text,3,isometric 3D,never,skull,dark,QmdQ162hwhhSgusBaeUHFUkbPsYrdKZK2iTcziRCkdTbuY,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooe2fXWaBTkgjTTufKaKSZdYikiYstiHPJsuGWdSUtPX6Bbuwkc,ipfs://QmPAayeLG9ky55yHH4ptQpfsrXaHPdjbJSK8yvoiKRE5iF,ipfs://QmVtgyNB25drwBMvT71YXGQ2g99siUrUW6D9eB5yEzuiJe
1047475,Bright Circuits #86,13,208.7007167148223,10,no,sandpaper,almost happy,obedient,text,3,isometric 3D,never,skull,bright,QmZCqXUtaLL5HoRA2LZtaZATrMrSPreFfm3SLfsJ8R7Qk5,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=onwtbUqj9gHQBtMQoCwK8GstYTTeznye8G99iQExmKPLfetSUkG,ipfs://QmY9StA3PKmgn88QEatFEV8mKksDGRiidXQDk3N6zA5wdP,ipfs://QmQmYhvKkyUHhNiS2jMEFRbytCso25nkGPKxaG5zGrpp1g
1048099,Bright Circuits #113,14,208.50232905285682,10,no,paper,partly happy,artistic rebellion,random points,2,isometric 3D,never,circle,dark,QmSRc3bEn2mNseXVTdG9512MrFxQMaZ9GELwfkjvbiAsiQ,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo9qYMAz2s7BMW5nPFf4cqEfaQUkmU3XudffC4djtTXN6k1mv9y,ipfs://QmdWNEGAnmKDUFQAncvbgaB8ZC3eayufRLc9wvA6qdRHqx,ipfs://Qma2Yw8EoyiEUMhitddfwG1kwoX9NGrqLz6qxZmBFAJTwG
1047908,Bright Circuits #109,15,208.13326967164787,10,no,sandpaper,almost joyful,obedient,text,2,flat 2D,never,skull,bright,QmRyGnbrs9HTmvBHGBYytedzsHMjkue5eGVfaMt4hwgLBi,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ookUsugzv7biBZNDWZVcE4LioPWuHPG1mNempt69fELfGQXgQ7t,ipfs://Qma6M3ngVgFdgywegDXxr6koQGsS6FkhDR7dMcqMXF72gY,ipfs://Qmeag1mr7b4zbZqS5ev5bhCz4y9J7aMay7udLozUDWKDcb
1046743,Bright Circuits #39,16,207.99622143096255,10,no,glass,clearly tormented,artistic rebellion,random points,2,isometric 3D,never,freedom,bright,QmeE9PRR2wPj81GVY2ZTLYfF9jfnAJqjx4SnJq93TMjqnx,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opEzTFbWHgNt4Q8Hcpi8APC6dY4cbu1pcmV8nYHwXMuq6ndyBB7,ipfs://QmZGJehSjMnkdW4u92xmktyVuo9ct6MZiRyNuPqJjVFv4E,ipfs://QmW3H7W2VpvTUNwZMv7AWvhUFdeWqJ8HnbCWvnMHEx9LCW
1053991,Bright Circuits #127,17,207.96858433453235,10,no,glass,chiefly joyful,obedient,random points,1,flat 2D,never,freedom,bright,QmW443iavDf7MKH25fTvMzQCYytZZFhoHtcZ6ZhgwTxmGM,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooRThq7FoR5PkBhxNZdoiixU4Q3swrBpzSHv1SmtuHmeXT6D4zE,ipfs://QmQzRSM3GLNj1EnYocuMfCEAHhdgTKVGshd5oXrybqoEch,ipfs://QmZ59PQCLH7Hkykxd1aVoFYpYkAWaC2aZLzPvmS4TVHMA4
1055504,Bright Circuits #132,17,207.96858433453235,10,no,glass,eventually shameless,obedient,random points,1,flat 2D,never,freedom,bright,QmQ6fh3bBDfzWBxatKrbXqcMJ2R1WnprMaMg6orZWeef55,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooatimjw6s6DQtvGyEC8MMwW3VpAojCsmKB2q4CxAE1M9ddtTXk,ipfs://QmVmp99C8onNr8R8MkkdDJyPsM9T7xpj1Mwr7JWfbHDHjM,ipfs://Qmbmar153kKMJhXcn12JtTPTbAFDEo5mSTKYzH56RD18gH
1069633,Bright Circuits #153,19,207.76691880166354,10,no,paper,half melancholic,artistic rebellion,text,2,isometric 3D,never,freedom,bright,QmVayjabEabdocmW2P5pTNA1oLEiS696GJW29CFLiFjBfu,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=onpwbasUiHi22wA6anRz5mhP5MCDx2ULyYEhxK87a2AXYY7C2RD,ipfs://QmYaUDW2zivHGeS19iu5v4Yp1FJnuXQ5Wnuja1B1Pcu1fc,ipfs://QmTvvRwTnT1185PiQW77bhggMjHHSntWWo77oNujQnKivr
1046724,Bright Circuits #30,20,207.21506145328198,10,no,glass,sadly thrilled,obedient,random points,1,flat 2D,never,boxed,dark,QmX9wKzrRukT6XXNwvufM4HnZkxVnpbhrSHmXV3juT4MeC,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=op2Qeke12XoqHZZ3K77WWdXzNJ7UxfzCUYePQYCcEpVwBwQDB4U,ipfs://QmPEVSH8iGqZDdQxbVb326Fyda11cUALG5N1qMrx82AQLg,ipfs://QmcWZMCCVy1G8cPBGX93KnRoETPS5SkPWkyCZNvnAh4Tpp
1047658,Bright Circuits #104,21,207.17821165417163,10,no,sandpaper,particularly restless,obedient,text,1,flat 2D,never,boxed,dark,QmPsiyWpANxrBehJMVnGPPnTwtCKFCGKpxMCYjvkexYj2A,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=oo3WQ93jJUjHESsGBMhSKPARuNEW1uYRPuWEwbknXtvRLqZFL7T,ipfs://QmdFJ2f97roUbz793ZouQoi1W4BjYgNdpziWdARfzZkBdz,ipfs://QmRAkzKEGK7QYjVADFYj4yZCzKf9ZYUvc4HdRfrNT9x6RE
