ID,Name,Rank,Rarity_Score,Attributes-Scores,black & white-Scores,board material-Scores,feeling-Scores,free will-Scores,mode-Scores,number of layers-Scores,rendering-Scores,round pads drilling-Scores,shape-Scores,side-Scores
1046705,Bright Circuits #19,1,261.22603829851886,1,1,56,170,21,1,1,1,1,4,1
1046723,Bright Circuits #29,2,239.42543101106946,1,1,56,170,1,1,1,1,1,2,1
1048100,Bright Circuits #114,3,234.2293485675727,1,1,3,170,28,1,15,7,1,2,2
1046487,Bright Circuits #2,4,226.50291776287827,1,11,3,170,1,2,15,7,1,11,2
1047156,Bright Circuits #64,5,222.78918208393517,1,1,3,170,28,1,1,1,1,11,2
1047661,Bright Circuits #105,6,222.5967292537465,1,1,3,170,28,1,1,1,1,11,2
1047359,Bright Circuits #74,7,220.56166756952317,1,1,2,170,21,1,7,1,1,11,1
1063564,Bright Circuits #140,8,215.7370801309395,1,1,3,170,28,1,1,1,1,4,2
1046993,Bright Circuits #57,9,214.98872586772077,1,1,3,170,21,2,7,1,1,3,2
1047435,Bright Circuits #81,10,213.9182345911372,1,1,3,170,28,1,1,1,1,3,1
1087563,Bright Circuits #154,11,211.9159959127985,1,11,3,170,1,2,7,7,1,4,2
1046483,Bright Circuits #1,12,208.8437947107649,1,1,2,170,1,1,7,1,1,18,2
1047475,Bright Circuits #86,13,208.7007167148223,1,1,3,170,1,1,7,1,1,18,1
1048099,Bright Circuits #113,14,208.50232905285682,1,1,3,170,21,2,1,1,1,3,2
1047908,Bright Circuits #109,15,208.13326967164787,1,1,3,170,1,1,1,7,1,18,1
1046743,Bright Circuits #39,16,207.99622143096255,1,1,2,170,21,2,1,1,1,4,1
1053991,Bright Circuits #127,17,207.96858433453235,1,1,2,170,1,2,15,7,1,4,1
1055504,Bright Circuits #132,17,207.96858433453235,1,1,2,170,1,2,15,7,1,4,1
1069633,Bright Circuits #153,19,207.76691880166354,1,1,3,170,21,1,1,1,1,4,1
1046724,Bright Circuits #30,20,207.21506145328198,1,1,2,170,1,2,15,7,1,2,2
1047658,Bright Circuits #104,21,207.17821165417163,1,1,3,170,1,1,15,7,1,2,2
1046704,Bright Circuits #18,22,206.80726416137367,1,1,3,170,1,1,15,7,1,3,1
1055835,Bright Circuits #134,22,206.80726416137367,1,1,3,170,1,1,15,7,1,3,1
1047527,Bright Circuits #93,24,206.29138365822902,1,1,3,170,1,1,15,7,1,2,1
1047194,Bright Circuits #66,25,206.28360408799253,1,1,2,170,21,1,1,1,1,3,1
1047930,Bright Circuits #110,25,206.28360408799253,1,1,2,170,21,1,1,1,1,3,1
1048128,Bright Circuits #116,27,206.25596699156233,1,1,2,170,1,1,15,7,1,3,1
1046715,Bright Circuits #25,28,205.81900127924072,1,11,2,170,1,2,1,1,1,11,2
1048394,Bright Circuits #117,29,204.9321732832981,1,11,2,170,1,2,1,1,1,11,1
1056158,Bright Circuits #139,30,204.89532348418777,1,11,3,170,1,1,1,1,1,11,1
1046693,Bright Circuits #8,31,203.1379976950113,1,1,2,170,1,2,1,1,1,18,2
1063569,Bright Circuits #142,32,202.68926746886305,1,11,3,170,1,1,7,1,1,2,1
1134486,Bright Circuits #158,33,202.2511696990687,1,1,2,170,1,2,1,1,1,18,1
1051958,Bright Circuits #122,34,202.21431989995835,1,1,3,170,1,1,1,1,1,18,1
1047526,Bright Circuits #92,35,202.02186706976968,1,1,3,170,1,1,1,1,1,18,1
1054028,Bright Circuits #129,36,201.47056989995835,1,1,2,170,1,1,1,1,1,18,1
1145389,Bright Circuits #166,37,201.28823915520937,1,1,2,170,1,1,7,1,1,11,2
1047558,Bright Circuits #97,38,201.12813960320221,1,1,2,170,1,2,7,7,1,4,2
