ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168263,BRUTALIST MOVEMENT #233,1,120.70852381456666,7,3,Medium,Tosh Two,Black,Deep Pink,White,Cerulean
1168095,BRUTALIST MOVEMENT #92,2,119.18984653326785,7,6,Tall,Tosh Two,Black,Deep Pink,White,Cerulean
1168093,BRUTALIST MOVEMENT #90,3,118.83918818260949,7,8,Tall,Tosh Two,Black,Deep Pink,White,Cerulean
1168415,BRUTALIST MOVEMENT #248,4,108.39759138448794,7,6,Short,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168032,BRUTALIST MOVEMENT #29,5,108.27299252434787,7,3,Short,Comodo,Black,Blueberry,Moody Blue,White
1168253,BRUTALIST MOVEMENT #231,6,101.39762348190489,7,5,Medium,Tosh Two,Indigo,Cerulean,White,Deep Pink
1168156,BRUTALIST MOVEMENT #151,7,98.20437366889068,7,5,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink
1168044,BRUTALIST MOVEMENT #41,8,97.29647893204857,7,4,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink
1168139,BRUTALIST MOVEMENT #135,8,97.29647893204857,7,4,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink
1168213,BRUTALIST MOVEMENT #208,10,97.04647893204857,7,7,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink
1168058,BRUTALIST MOVEMENT #55,11,95.98751786070906,7,3,Medium,Tosh Two,Indigo,Blaze Orange,White,Cerulean
1168089,BRUTALIST MOVEMENT #86,12,95.40709355707737,7,6,Tall,Tosh Two,Black,Deep Pink,Cerulean,White
1168152,BRUTALIST MOVEMENT #147,13,94.46884057941024,7,6,Tall,Tosh Two,Indigo,Blaze Orange,White,Cerulean
1168088,BRUTALIST MOVEMENT #85,14,94.11818222875189,7,8,Tall,Tosh Two,Indigo,Blaze Orange,White,Cerulean
1168096,BRUTALIST MOVEMENT #93,15,93.1310027415724,7,7,Tall,Tosh Two,Indigo,Blaze Orange,White,Cerulean
1168009,BRUTALIST MOVEMENT #6,16,88.62881148986511,7,3,Short,Signature,Black,White,Red,Blue
