ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1168263,BRUTALIST MOVEMENT #233,1,120.70852381456666,7,3,Medium,Tosh Two,Black,Deep Pink,White,Cerulean,Qmc13GRhGGkDzgLfn14RDJD2G6eB5kJQiBWGRFXvXav37H,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oopiSt6JXANfsJJfz1T1pfzP51r938gBLF6fv7VBxEuzk9SzwVK,ipfs://QmcWhNR7WWNKH7Uptc8DzTHyKcdXCz3QMgEtEnddT5Q5pr,ipfs://QmaNiSvpg4UZxLod15pJkxg5nJyNL6wf5K1J6TbDkpqBwG
1168095,BRUTALIST MOVEMENT #92,2,119.18984653326785,7,6,Tall,Tosh Two,Black,Deep Pink,White,Cerulean,QmbNH75Xxt5mVAaEujtbY3Cn9VH61QfmHxWku6wXmJvTvZ,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=opSS91V3qVZKLVNY7vbVEDHDsarLGsLrUXzhVMUVrv7ejtoc6xf,ipfs://QmZRbfpBdGTFYs4huXqV5cEHLScZ2rBrWZ5sdX4znVR18F,ipfs://QmSUWY1G1nPkWBpDB6F5dVF4YBLKi7JRqk6qE16CFbhDft
1168093,BRUTALIST MOVEMENT #90,3,118.83918818260949,7,8,Tall,Tosh Two,Black,Deep Pink,White,Cerulean,QmdK6brnzbAynMfD9JwKgfAQUyindCVn5Z3PzAxMVMv9AT,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooS1VoHKkvT6oS2MQhGBy9WqTiPzSciQDnHJ7FadJ7rowU7mjF3,ipfs://QmQC5LrTDL74TM4FWgPqdScSWwgcaMX3Cay6ziw11u3uti,ipfs://QmXoc26rAbS7Zy9zUGwxksQaccvCLnkYz34UfnAdEZWUM8
1168415,BRUTALIST MOVEMENT #248,4,108.39759138448794,7,6,Short,Tosh Two,Indigo,White,Cerulean,Blaze Orange,QmXx1WzKNi432qbHjT7bL3J7bfkd5rPB5SdhWsbxYUr7vm,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooHEBaSaH6iWHnMjLGfY3xbFL7ruDGbCkFFngQzQz2vYsiSTWm1,ipfs://QmNsqmhBvS446euUDxYssH9ebhyELt25XYXsvxFSXy3swY,ipfs://QmUx1AtrpSmad9X77cDTnN4CE4wPmqifE2KTkfLM7UjGpd
1168032,BRUTALIST MOVEMENT #29,5,108.27299252434787,7,3,Short,Comodo,Black,Blueberry,Moody Blue,White,QmaT3cWJgv1RqyR8Y3ed2Tuz691kFApbMhd7smYGZPVsVb,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onzwjvVGGEjNZNWVdxYhzx8tVR9jxH2pg7DJoF9KEVW2nMb71Pi,ipfs://QmNe4Bgfxmkxe4NZRdpvQna4NyCrf7ubPydizcaPomazds,ipfs://QmaCqJHzE9KgqxgheeSFbN1z8RdAzQkCW5MWLuEg1fvotH
1168253,BRUTALIST MOVEMENT #231,6,101.39762348190489,7,5,Medium,Tosh Two,Indigo,Cerulean,White,Deep Pink,QmYmR3vYCCPjNQysgUsnMdGp92YdSDwB2Gno1genEuBDpj,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooknrAbygLywTE6hpGVmMswVY9F9Pz3dohzdKxwC2pZNucyoTGd,ipfs://QmZLFGoebGGAgSqU81p3YWyAvzaTf8oZxNDZconAit3LiY,ipfs://QmNw4nrfw3ptj8aUUznAau6JQNAqLvJShyKF9xhqvojHHU
1168156,BRUTALIST MOVEMENT #151,7,98.20437366889068,7,5,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink,QmS5Wx7a23T4kUFGuN7kwxrrcees9ZYUd7n9sQRFcusoRP,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oo8AQEVfTmrLfDEFVy3bb15PWpj28WqdJHVC5adgkNvhUabMb4r,ipfs://QmRaqbMmUa3Zw7dBEzRhPfdYfnXsFVDUgx8wWQGLBPpf2T,ipfs://QmPAP241TmGmA3N49nfwV9DVN3TVPHAeKEvfRST6567HG2
1168044,BRUTALIST MOVEMENT #41,8,97.29647893204857,7,4,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink,QmYWcPdY1UdvJLrUKXoumrForRAQvpVNFtwLFbmpFWu6fN,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooCyEoXhjfB9B7n2Ya82Qj8saHyW6pu91N2nVKLqUbVCCAkBwN5,ipfs://QmTEMKJjsoAgz5MSF34vh7nrRYvn1yuZcEibBLKiEiaWYG,ipfs://QmRVtSHbhSe2iSiCMFJEjYsyB6WRbsn25vzU7HcERhtJ5J
1168139,BRUTALIST MOVEMENT #135,8,97.29647893204857,7,4,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink,QmapRTRaeREq7udeZJ9UunKawLXSfUywNchfRhNR8b2feX,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onhpUs1ytSDKgvgmM2YdFh7eaxUp1gHiSeraEsft3KyLCtFTdRJ,ipfs://QmZYYeXegqNPJz6m26tpFsmNGcQp5YRGDpjSAQ5L9h7VWT,ipfs://QmSVkSMqun3BRNfvWEZ1Lt8ow6XsYjAiuSPByuT5duga1E
1168213,BRUTALIST MOVEMENT #208,10,97.04647893204857,7,7,Tall,Tosh Two,Indigo,Cerulean,White,Deep Pink,QmYZLNUkMr9do1d9x1o2AHkxoU4pChEfhLwfVbD9LRxvFu,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oo4oe9Hjg2kdRCDcaaBVMUCNsMZjKDKM6KfLdk2kxmKJWMiRY3Y,ipfs://QmZ3aVXRo2ZV5xrpBX4WgyaTsAZVNna5w8p5GJBMdaCuzn,ipfs://QmRbznUSHLK4rmVK411vQypNgVBqXUKoPPfLAmYo4iQasF
