ID,Name,Rank,Rarity_Score,Attributes-Scores,Base Blocks-Scores,Height-Scores,Palette-Scores,Shadow-Scores,Sky-Scores,Sun-Scores,Window-Scores
1168263,BRUTALIST MOVEMENT #233,1,120.70852381456666,1,5,4,6,1,63,1,36
1168095,BRUTALIST MOVEMENT #92,2,119.18984653326785,1,6,1,6,1,63,1,36
1168093,BRUTALIST MOVEMENT #90,3,118.83918818260949,1,6,1,6,1,63,1,36
1168415,BRUTALIST MOVEMENT #248,4,108.39759138448794,1,6,42,6,8,4,10,28
1168032,BRUTALIST MOVEMENT #29,5,108.27299252434787,1,5,42,7,1,23,23,4
1168253,BRUTALIST MOVEMENT #231,6,101.39762348190489,1,6,4,6,8,50,1,21
1168156,BRUTALIST MOVEMENT #151,7,98.20437366889068,1,6,1,6,8,50,1,21
1168044,BRUTALIST MOVEMENT #41,8,97.29647893204857,1,5,1,6,8,50,1,21
1168139,BRUTALIST MOVEMENT #135,8,97.29647893204857,1,5,1,6,8,50,1,21
1168213,BRUTALIST MOVEMENT #208,10,97.04647893204857,1,5,1,6,8,50,1,21
1168058,BRUTALIST MOVEMENT #55,11,95.98751786070906,1,5,4,6,8,31,1,36
1168089,BRUTALIST MOVEMENT #86,12,95.40709355707737,1,6,1,6,1,63,10,4
1168152,BRUTALIST MOVEMENT #147,13,94.46884057941024,1,6,1,6,8,31,1,36
1168088,BRUTALIST MOVEMENT #85,14,94.11818222875189,1,6,1,6,8,31,1,36
1168096,BRUTALIST MOVEMENT #93,15,93.1310027415724,1,5,1,6,8,31,1,36
1168009,BRUTALIST MOVEMENT #6,16,88.62881148986511,1,5,42,4,1,4,16,12
1168056,BRUTALIST MOVEMENT #53,17,84.06040865384615,1,5,42,5,10,6,1,11
1168342,BRUTALIST MOVEMENT #242,18,83.26214482319844,1,5,42,4,1,7,16,4
1168048,BRUTALIST MOVEMENT #45,19,74.7782206632653,1,5,4,7,21,12,1,21
1168085,BRUTALIST MOVEMENT #82,20,73.07960028097075,1,6,1,7,21,12,1,21
1168203,BRUTALIST MOVEMENT #198,20,73.07960028097075,1,6,1,7,21,12,1,21
1168237,BRUTALIST MOVEMENT #227,20,73.07960028097075,1,6,1,7,21,12,1,21
1168029,BRUTALIST MOVEMENT #26,23,73.02782714781094,1,6,1,7,1,21,21,12
1168117,BRUTALIST MOVEMENT #113,24,72.90888503130813,1,6,1,7,21,12,1,21
1168177,BRUTALIST MOVEMENT #172,24,72.90888503130813,1,6,1,7,21,12,1,21
1168226,BRUTALIST MOVEMENT #220,26,72.67716879715259,1,6,1,7,1,21,21,12
1168217,BRUTALIST MOVEMENT #212,27,71.9399893099731,1,5,1,7,1,21,21,12
1168181,BRUTALIST MOVEMENT #176,28,71.92170554412864,1,5,1,7,21,12,1,21
1168192,BRUTALIST MOVEMENT #187,28,71.92170554412864,1,5,1,7,21,12,1,21
