ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are
708,Blobby #65,1,8449.866596638654,None,6,Lime,None,Peachy,None,None,None,None,5,None,None,None,None,None,None,2,0,None,None,Dusk,None,None,None,None,None,None,None,None
5806,c i r c u l a r #40,2,7497.867647058822,None,5,None,None,None,None,None,None,None,None,None,None,jk idgaf,None,None,None,None,None,None,None,None,None,interesting,6,None,None,None,yes,rad
14134,b u b b l e s 2 . 0 #64,3,6545.868697478991,None,4,None,yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,no get your own,O0oOO0oO0oOOO,ahh,None,None
19529,FXHASH Logo with Features #811,4,288.4700361392813,False,13,None,None,None,high,very low,False,True,None,normal,very high,None,False,high,False,None,None,normal,very high,None,very high,None,None,None,None,None,None,None
18805,FXHASH Logo with Features #651,5,255.1000838865596,False,13,None,None,None,high,normal,True,True,None,normal,normal,None,True,low,False,None,None,very high,high,None,normal,None,None,None,None,None,None,None
18912,FXHASH Logo with Features #668,6,247.250290801077,False,13,None,None,None,high,very high,False,True,None,very low,low,None,False,very high,False,None,None,very high,low,None,very low,None,None,None,None,None,None,None
8140,FXHASH Logo with Features #323,7,245.96698453218556,False,13,None,None,None,high,very low,False,True,None,high,normal,None,False,low,False,None,None,very low,very high,None,very low,None,None,None,None,None,None,None
217,FXHASH Logo with Features #26,8,244.5499370319133,False,13,None,None,None,high,very high,False,True,None,normal,very low,None,False,normal,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None
1778,FXHASH Logo with Features #117,9,150.82437706374404,False,13,None,None,None,normal,very high,False,True,None,high,high,None,False,normal,False,None,None,normal,high,None,high,None,None,None,None,None,None,None
19510,FXHASH Logo with Features #808,10,141.4253619121585,False,13,None,None,None,normal,very high,True,True,None,very high,very high,None,False,low,False,None,None,high,normal,None,normal,None,None,None,None,None,None,None
1747,FXHASH Logo with Features #115,11,141.15929915390922,False,13,None,None,None,normal,high,False,True,None,high,high,None,False,very high,False,None,None,high,high,None,normal,None,None,None,None,None,None,None
