ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
708,Blobby #65,1,8449.866596638654,None,6,Lime,None,Peachy,None,None,None,None,5,None,None,None,None,None,None,2,0,None,None,Dusk,None,None,None,None,None,None,None,None,Qmaw9HDeRj7pu65h7xUBorjUeTqGBTHSaivubdkx3iUSiv,ipfs://QmSxMF2mPDDrcoNFgwwfroV1UC3sJPvuaCLrUf64v5GXDA,ipfs://QmdeyYuakEhKA5SWA6cc9p4E7L8Zp8ioR53oMeSDgkxE3F,ipfs://QmRxeLxQgvDb7xRcmwHuXrKVPYgHpYBCMRecypvfAEbbFZ
5806,c i r c u l a r #40,2,7497.867647058822,None,5,None,None,None,None,None,None,None,None,None,None,jk idgaf,None,None,None,None,None,None,None,None,None,interesting,6,None,None,None,yes,rad,Qmd6wY8QjwNF8z8VWB6TbVUvRavSw4ubwHnxEN2s6YqiYV,ipfs://QmPV1jwwrao3jK52Xf3aaFqHfrFZBojGYuSYHnvpYpcuKs,ipfs://QmPZpEU2B63a6LAftEZWidUncvk5MKreRqTbN7SdggFzVr,ipfs://QmSEdXPJ3gYq92wrgFK7M4BVbTjWiryxDRPUGAfVgkm7CA
14134,b u b b l e s 2 . 0 #64,3,6545.868697478991,None,4,None,yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,no get your own,O0oOO0oO0oOOO,ahh,None,None,QmbMXpiaWGKp1hhcqEzXmgC3RfJNSkQHtyxgZhnGfjLaen,ipfs://QmVDofFiZH8J8EFHbEWi1rvvHFhEwMJG2ZAdu5Mc8Q1gbd,ipfs://QmWKHi7N32M7DN4dxR2oPqueuhT6kJ7LQbefZjYDLZAFEv,ipfs://QmPs1jTcD1FBMBkHcqFyxrwSfCwYW5u1rRMNFdDZe1pu9T
19529,FXHASH Logo with Features #811,4,288.4700361392813,False,13,None,None,None,high,very low,False,True,None,normal,very high,None,False,high,False,None,None,normal,very high,None,very high,None,None,None,None,None,None,None,QmTAWAheXyRZheFBCtUDqM2k6UVUoMkVVdZKfQyTDRfe5e,ipfs://QmRw2Lmc4RTHdkvmnzV27wvBiNv68rLNHggZLukTK9n5tk,ipfs://Qme5DPBcJd2bYLHnjf4XMuFtre1m9GLgGs3fmcUGCZW2vR,ipfs://QmX82VTPgJZm6XTdHmgzLZP4RmXeSHmyaosgCsnjtE6ug2
18805,FXHASH Logo with Features #651,5,255.1000838865596,False,13,None,None,None,high,normal,True,True,None,normal,normal,None,True,low,False,None,None,very high,high,None,normal,None,None,None,None,None,None,None,QmNPP1TcLz9ATkaEkSXan6in4qJgW3Ezphv2T5ns6duhYC,ipfs://QmbAwt1SSu55ED8ePKXfi9qimbK1iHHuwausdkSTCHZ6JH,ipfs://QmcJqc7PG6esXV4PvuZdt9YVqCErn3ykobztiBTpKm2Kq5,ipfs://QmYs3EsL8i35695af7rzbhayDeewaP9iZQiBKLpC9D8DjM
18912,FXHASH Logo with Features #668,6,247.250290801077,False,13,None,None,None,high,very high,False,True,None,very low,low,None,False,very high,False,None,None,very high,low,None,very low,None,None,None,None,None,None,None,QmXBNM6WtRowHLpDnEVjmB4ALNZ3sRWGhm6MV884RhVatV,ipfs://QmW8rR2DCxcZPkT6LY442jcRQLNTRPxPNaqHBcr8xWo48t,ipfs://QmWmhAzKFRwHsmU3gsVwds2nu5jsLYvL42Tjao8A5KcR8k,ipfs://QmYK9tHP8wWptQK9QvewSuKCdJ8QhAVcP1JegXqcwRumQ6
8140,FXHASH Logo with Features #323,7,245.96698453218556,False,13,None,None,None,high,very low,False,True,None,high,normal,None,False,low,False,None,None,very low,very high,None,very low,None,None,None,None,None,None,None,QmUhh7XZppQgappmGjGDPQDCm7Ek6DsEtNqb8vJgUDRpTK,ipfs://QmZikwzCmb2MLddo8yipc7NFCpeguLobDWjCbVRf17szR6,ipfs://QmcunTJ7CmL6XmufmgQsTyyRKkVjMiC7sZmBZ3AvZVFm9z,ipfs://QmcgJ8iEriGSHMvWYULpBaKkBxwBSU4XPQyvjUjUeeU9mh
217,FXHASH Logo with Features #26,8,244.5499370319133,False,13,None,None,None,high,very high,False,True,None,normal,very low,None,False,normal,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None,QmUVCtTAeurougwW1LGMKSbzhd8PvRo25GgkaoQvuV5a8g,ipfs://QmYdAz4Fz5smwgqnffu4ppfcndYqJtP4HGTYycPaXXxBMX,ipfs://QmY1Ud9giupeZ3gFLTKiRfH3q4CoP2jMwj6vUNJ4Fcbz9T,ipfs://QmTwSXFK9EmsaBvZCuXigfCQi4ee3BmKmr3Ky38c1RC1kA
1778,FXHASH Logo with Features #117,9,150.82437706374404,False,13,None,None,None,normal,very high,False,True,None,high,high,None,False,normal,False,None,None,normal,high,None,high,None,None,None,None,None,None,None,QmWGeTzL9ye8KaoB4DNbFqAN2cDYN46xgMXD3zMtVTv3sc,ipfs://QmNcy4fxtU2kET4vqoUYe2tXVx5toVym3zudd6Tzwf48h9,ipfs://QmepoXSkWyeB2YbYx3EpFXj3gRhxbhknFVgXp1iaeUMLbj,ipfs://QmRtF4QjCiDKYCH8JGLz7Tb5gMGir4dMF3jgCbCa5VPwzx
19510,FXHASH Logo with Features #808,10,141.4253619121585,False,13,None,None,None,normal,very high,True,True,None,very high,very high,None,False,low,False,None,None,high,normal,None,normal,None,None,None,None,None,None,None,QmS61SqxpA97WEVk32HbABQFGs9zd5VDUtqeFVTYNbHHiG,ipfs://QmRJmQAGXK6Uv4DwiV8Zc3bqXH4TS4kMC3qrSXzqzuq6uL,ipfs://QmRR51Q5VJoGVcpEKb2AQ5Cxize3qFzkAfW2YYB31RYkvo,ipfs://QmXoJ4CLQMipeBJyZzZP5pM4JYgSsDdGXfhgL5TrRAcMf5
1747,FXHASH Logo with Features #115,11,141.15929915390922,False,13,None,None,None,normal,high,False,True,None,high,high,None,False,very high,False,None,None,high,high,None,normal,None,None,None,None,None,None,None,QmcqPAZsRrZRRmUBfUCRbAcy5paEsvnJsgoAxXvRVNS4vX,ipfs://QmcMKRGHup4oLELQnwDJXoYoBooA9cjGQcqEK5CZgQWHqd,ipfs://QmV4V5SC4DKJFbLpbuvgMbcnKL9ud6eRL6LDo44kXhXcvn,ipfs://QmbygwkEHY1Kvx5poRpFa8wKEZMw18LhHeyrGAVfjrEm6h
16321,FXHASH Logo with Features #521,12,139.2443370709671,False,13,None,None,None,normal,high,False,True,None,very high,high,None,False,very high,False,None,None,low,very low,None,low,None,None,None,None,None,None,None,QmWmXMFWoJP4deuNYjuZdntAruCNuKZvy8i3NbSofQtv9R,ipfs://QmaAnvxWSo7vakLnit6h59EMTs3VvgMCscn2pZL9dCEUDe,ipfs://QmR2n6m6CEb2pBjPb3tkyc4VZwQvoaR82ay9XMpxoEPDru,ipfs://QmVaH25f543iSr9h9EtTtMeD2Q2ncnr2A8ZK1r5QHQeRBk
