ID,Name,Rank,Rarity_Score,Acid-Scores,Attributes-Scores,Background color-Scores,Bubbles?-Scores,Color palette-Scores,Color variation-Scores,Deposit-Scores,Discrete division-Scores,Discrete turns-Scores,Displacement level (0-9)-Scores,Division angle-Scores,Division chances-Scores,How are you?-Scores,Inverted-Scores,Mutation-Scores,Pointillism-Scores,Spike level (0-9)-Scores,Stripe level (0-9)-Scores,Termination chances-Scores,Termination threshold-Scores,Tinge palette-Scores,Turn-Scores,You smell-Scores,Your hotness 1-10-Scores,can I touch the bubble?-Scores,ooOo0ooOO?-Scores,ooh?-Scores,oooh?-Scores,you are-Scores
708,Blobby #65,1,8449.866596638654,136,953,953,1,953,136,136,136,136,953,136,136,1,136,136,136,953,953,136,136,953,136,1,1,1,1,1,1,1
5806,c i r c u l a r #40,2,7497.867647058822,136,953,1,1,1,136,136,136,136,1,136,136,953,136,136,136,1,1,136,136,1,136,953,953,1,1,1,953,953
14134,b u b b l e s 2 . 0 #64,3,6545.868697478991,136,953,1,953,1,136,136,136,136,1,136,136,1,136,136,136,1,1,136,136,1,136,1,1,953,953,953,1,1
19529,FXHASH Logo with Features #811,4,288.4700361392813,1,1,1,1,1,190,5,1,1,1,4,5,1,1,4,1,1,1,4,4,1,45,1,1,1,1,1,1,1
18805,FXHASH Logo with Features #651,5,255.1000838865596,1,1,1,1,1,190,4,2,1,1,4,5,1,5,5,1,1,1,4,4,1,7,1,1,1,1,1,1,1
18912,FXHASH Logo with Features #668,6,247.250290801077,1,1,1,1,1,190,5,1,1,1,5,4,1,1,5,1,1,1,4,5,1,1,1,1,1,1,1,1,1
8140,FXHASH Logo with Features #323,7,245.96698453218556,1,1,1,1,1,190,5,1,1,1,4,5,1,1,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
217,FXHASH Logo with Features #26,8,244.5499370319133,1,1,1,1,1,190,5,1,1,1,4,4,1,1,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1
1778,FXHASH Logo with Features #117,9,150.82437706374404,1,1,1,1,1,79,5,1,1,1,4,5,1,1,4,1,1,1,4,4,1,18,1,1,1,1,1,1,1
19510,FXHASH Logo with Features #808,10,141.4253619121585,1,1,1,1,1,79,5,2,1,1,5,5,1,1,5,1,1,1,5,5,1,7,1,1,1,1,1,1,1
1747,FXHASH Logo with Features #115,11,141.15929915390922,1,1,1,1,1,79,5,1,1,1,4,5,1,1,5,1,1,1,5,4,1,7,1,1,1,1,1,1,1
16321,FXHASH Logo with Features #521,12,139.2443370709671,1,1,1,1,1,79,5,1,1,1,5,5,1,1,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
299,FXHASH Logo with Features #36,13,137.9976334413986,1,1,1,1,1,79,5,1,2,1,4,5,1,1,5,1,1,1,5,5,1,4,1,1,1,1,1,1,1
18983,FXHASH Logo with Features #680,14,137.09972501142167,1,1,1,1,1,79,5,2,1,1,4,5,1,1,4,1,1,1,5,4,1,4,1,1,1,1,1,1,1
20120,FXHASH Logo with Features #910,15,136.7631640429052,1,1,1,1,1,79,5,1,2,1,4,4,1,1,4,1,1,1,5,5,1,4,1,1,1,1,1,1,1
583,FXHASH Logo with Features #65,16,136.4661696046607,1,1,1,1,1,79,4,2,1,1,4,5,1,1,5,1,1,1,5,4,1,4,1,1,1,1,1,1,1
20519,FXHASH Logo with Features #976,17,136.0206545767013,1,1,1,1,1,79,4,2,2,1,4,5,1,1,4,1,1,1,4,5,1,4,1,1,1,1,1,1,1
20138,FXHASH Logo with Features #915,18,135.4901380879436,1,1,1,1,1,79,5,1,1,1,5,4,1,1,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1
17732,FXHASH Logo with Features #572,19,134.73031796576046,1,1,1,1,1,79,5,2,2,1,4,4,1,1,5,1,1,1,4,4,1,1,1,1,1,1,1,1,1
18794,FXHASH Logo with Features #649,20,134.63173816998147,1,1,1,1,1,79,4,1,1,1,5,4,1,1,4,1,1,1,5,5,1,1,1,1,1,1,1,1,1
19947,FXHASH Logo with Features #873,21,115.89197512893057,1,1,1,1,1,16,4,1,1,1,4,4,1,1,5,1,1,1,5,5,1,45,1,1,1,1,1,1,1
20016,FXHASH Logo with Features #890,22,109.8622142007287,20,1,1,1,1,1,5,1,1,1,4,4,1,5,4,30,1,1,5,5,1,1,1,1,1,1,1,1,1
2250,FXHASH Logo with Features #140,23,106.59385129968926,1,1,1,1,1,16,4,1,2,1,4,5,1,1,4,30,1,1,4,5,1,7,1,1,1,1,1,1,1
5968,FXHASH Logo with Features #239,24,104.67879672618062,1,1,1,1,1,1,5,2,2,1,5,4,1,5,5,1,1,1,4,5,1,45,1,1,1,1,1,1,1
19363,FXHASH Logo with Features #750,25,103.05829999558526,1,1,1,1,1,1,4,2,2,1,4,5,1,1,5,30,1,1,4,5,1,18,1,1,1,1,1,1,1
18494,FXHASH Logo with Features #622,26,101.55318367267817,1,1,1,1,1,1,5,2,1,1,4,5,1,1,5,1,1,1,5,5,1,45,1,1,1,1,1,1,1
17465,FXHASH Logo with Features #551,27,100.8782416030069,1,1,1,1,1,1,4,2,2,1,5,5,1,1,5,1,1,1,4,4,1,45,1,1,1,1,1,1,1
17310,FXHASH Logo with Features #540,28,100.85428615360435,1,1,1,1,1,1,5,1,2,1,4,5,1,1,5,1,1,1,5,5,1,45,1,1,1,1,1,1,1
