ID,Name,Rank,Rarity_Score,Angle Mod,Attributes,Center Effect,Circles Amount,Color Blink,Color Changes,Distribution,Inks,Inks Count,Noise Amp,Noise Animation,Noise Frequency
770183,Plottable Field (8 frames) #73,1,740.466310921705,None,8,None,Medium,None,"Circles, Group",Circles,Evergreen + Indigo,2,Low,Fast,Medium
843038,Plottable Field (8 frames) #160,2,720.1321841352421,Exactly 5,8,None,None,None,"Y-Split, Group",CrossLines,Amber + Pumpkin,2,High,Slow,Medium
901761,Plottable Field (8 frames) #218,3,702.1169077354089,Around 5,9,None,Low,None,"Circles, Y-Split, 45deg",Parametric,Bloody Brexit + Hope Pink,2,High,Slow,Low
925339,Plottable Field (8 frames) #271,4,608.291032609719,Around 3,9,None,None,2,"X-Split, 45deg",GoldSpiralCircle,Indigo + Pink,2,Medium,Normal,Medium
1126451,Plottable Field (8 frames) #368,5,602.8071125610988,None,7,None,None,None,"X-Split, Group",NestedTriangles,Bloody Brexit + Pink,2,Medium,Partially Normal,High
921673,Plottable Field (8 frames) #268,6,574.1149176206973,None,7,None,None,None,Group,NestedCircles,Pink + Poppy Red,2,Medium,Partially Very Slow,Medium
771413,Plottable Field (8 frames) #91,7,570.0488967011802,None,7,None,None,None,"X-Split, Group, Rot",NestedCircles,FireAndIce + Poppy Red,2,High,Intense,Medium
765494,Plottable Field (8 frames) #9,8,567.1635781238809,None,8,None,Low,None,"Circles, X-Split, Y-Split",YLines,FireAndIce + Pink,2,High,Partially Fast,Medium
1131786,Plottable Field (8 frames) #385,9,561.1481040311666,Around 5,8,None,None,None,"X-Split, Y-Split",NestedSquares,Evergreen + FireAndIce,2,Medium,Intense,Low
1131785,Plottable Field (8 frames) #384,10,554.9621650383216,None,8,None,Low,None,Circles,XLines,Evergreen + Soft Mint,2,High,Slow,Low
917641,Plottable Field (8 frames) #244,11,546.1131531836777,Around 6,8,None,None,None,"X-Split, Y-Split, 45deg",GoldSpiralCircle,Hope Pink + Imperial Purple,2,High,Fast,Low
998616,Plottable Field (8 frames) #328,12,525.5750372273206,None,7,None,None,None,"X-Split, Y-Split",GoldSpiral,Hope Pink + Indigo,2,Medium,Intense,Medium
767355,Plottable Field (8 frames) #26,13,524.3243340346369,None,8,None,Low,None,"Circles, X-Split",GoldSpiral,Bloody Brexit + Pumpkin,2,Medium,Slow,Medium
883180,Plottable Field (8 frames) #197,14,521.9800116903145,None,8,None,Low,None,"Circles, X-Split, Rot",NestedCircles,Poppy Red + Soft Mint,2,Medium,Slow,Medium
766093,Plottable Field (8 frames) #16,15,518.8217865995559,None,8,None,Low,None,"Circles, X-Split, Group",TriangleSpiral,Amber + Hope Pink,2,Medium,Fast,Low
998638,Plottable Field (8 frames) #350,16,506.0882464649028,Exactly 7,8,None,High,None,None,Circles,Imperial Purple,1,High,Intense,Low
810011,Plottable Field (8 frames) #148,17,504.3912828796349,Exactly 6,8,None,None,None,Y-Split,Curve,Amber + Pink,2,Very High,Partially Very Slow,Medium
895797,Plottable Field (8 frames) #213,18,503.06408120221363,None,7,None,None,None,Y-Split,NestedSquares,Evergreen + Pumpkin,2,Very High,Slow,Medium
919009,Plottable Field (8 frames) #249,19,501.7341486334802,Around 6,7,None,None,None,None,MillSpiral,Indigo + Poppy Red,2,High,Partially Slow,Medium
810015,Plottable Field (8 frames) #149,20,490.5425022218924,Exactly 3,7,None,None,None,None,GoldSpiral,Pumpkin,1,Medium,Fast,Medium
1122971,Plottable Field (8 frames) #365,21,479.73034057008584,None,7,None,None,None,"X-Split, 45deg",GoldSpiralCircle,Hope Pink + Pink,2,Low,Fast,Medium
906493,Plottable Field (8 frames) #224,22,479.3501013206925,None,7,Yes,None,None,None,GoldSpiral,Amber + Sherwood Green,2,Very High,Partially Normal,Medium
997886,Plottable Field (8 frames) #304,23,475.8793048718579,None,8,None,None,4,"Y-Split, Group",NestedCircles,FireAndIce + Pumpkin,2,Low,Intense,High
998608,Plottable Field (8 frames) #321,24,464.08367125145037,None,7,None,None,None,"X-Split, 45deg",NestedSquares,Imperial Purple + Pink,2,Medium,Normal,Low
