ID,Name,Rank,Rarity_Score,Angle Mod,Attributes,Center Effect,Circles Amount,Color Blink,Color Changes,Distribution,Inks,Inks Count,Noise Amp,Noise Animation,Noise Frequency,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
770183,Plottable Field (8 frames) #73,1,740.466310921705,None,8,None,Medium,None,"Circles, Group",Circles,Evergreen + Indigo,2,Low,Fast,Medium,Qmarw11FiwTHu3TJgx3AbXhfAfqqjXhgHqZHKLK6cTZZjq,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=oopTnf94TWBwyC2ynQcizsXFz5UFsutZXKDY2rdRKXxv5yfruYV,ipfs://QmXK4jqYKWdmyQf2hMhqfCmCYpZChwy1ELNPMbMdAk3YMS,ipfs://QmNTUbgDWNG6xrxkgsLLU4TBadrdAt2j7FuNMR5hYDvBC7
843038,Plottable Field (8 frames) #160,2,720.1321841352421,Exactly 5,8,None,None,None,"Y-Split, Group",CrossLines,Amber + Pumpkin,2,High,Slow,Medium,QmSRpya8rGZHY3uu8iT9zAN7xoyH1hhqPR4VvLEA5wi4t1,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooedSKMGGANWzbxvwqPcgJ5zpqzgZ1n5ZnnYr75GqfWh1jSu4dr,ipfs://QmW3sSC8rBMddR5dQqKRbHRw98q8cF4CGUbrjCLrjhCf9V,ipfs://QmXfmYuVDMsuRPCPYqKFEahVKbbFJR4S5TMQBB4f9QWwYK
901761,Plottable Field (8 frames) #218,3,702.1169077354089,Around 5,9,None,Low,None,"Circles, Y-Split, 45deg",Parametric,Bloody Brexit + Hope Pink,2,High,Slow,Low,QmRjDUzy6kiN2pwCkrDEDLyXQ7VtdQG4sXZ9oQLVm2UEsB,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooMa8fiDDK8Xcpr9tGZc6QfXocupn39kLraio6XQaBrc2GYoGgT,ipfs://QmYhUadtdALxPkNchnVWDuGy73A1pgV7F49zf52qQ74Nri,ipfs://Qmc6Whf6vCpDUgvijRtNknnBqnWFu56iwiVWHv1DVYC57J
925339,Plottable Field (8 frames) #271,4,608.291032609719,Around 3,9,None,None,2,"X-Split, 45deg",GoldSpiralCircle,Indigo + Pink,2,Medium,Normal,Medium,QmbhAX4oHFPZeAkTudS8st5QpD12gqTaDbcgPFg9fQ3Maa,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooR6rwfUgtMsXf2m23kArhM5CRbTqvKXoXfnY5zmxiDKUP6Cv3E,ipfs://QmVXRrqgvaSrahKDWqFrurW71ZrbYP3JGQn5LY4supdHxx,ipfs://QmUFVpw5ddZGv7AYCcyL2p5uB66Rn6fpuUtej6jSq7VpHi
1126451,Plottable Field (8 frames) #368,5,602.8071125610988,None,7,None,None,None,"X-Split, Group",NestedTriangles,Bloody Brexit + Pink,2,Medium,Partially Normal,High,QmScrEbq1H5M31D6LJ5oreFhM1GVG9kLJvzUsHpbP8xv4F,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=oosULSvSKfb1jMh9Nquqmwao6oNfsZnCHFfzxRnmmW7YNRs3U3c,ipfs://QmZtXX34BipdHAvsYSEoj5NWg5Avh3q8ZUNHNPz5Gvc72Y,ipfs://QmNeYy85jAcjCCQ3H61o9DKpXnJkR8FJKoqYzZBtNj3Zo5
921673,Plottable Field (8 frames) #268,6,574.1149176206973,None,7,None,None,None,Group,NestedCircles,Pink + Poppy Red,2,Medium,Partially Very Slow,Medium,QmXkSLDaMu6PnURBuN3iL4bicki6sv7wq41gRLmov2nwFX,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=op4wgD3dRgTnDKif8kRs1vheEyiEFcrKd5QMCEEFiiNV1jaPhmS,ipfs://QmV8KJABFgwrEyA1koajh61RMFwrs96nxE5qos9fhjyRV3,ipfs://QmZxddPxoAg6ZkGZbmEJFTciugFxyoz2aReU63jpugFmX3
771413,Plottable Field (8 frames) #91,7,570.0488967011802,None,7,None,None,None,"X-Split, Group, Rot",NestedCircles,FireAndIce + Poppy Red,2,High,Intense,Medium,QmbBkCf98rKS4GJDQsVc2RQCASfjEcWw5tcgyu9vK4e9sZ,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opaBwA4waioSZXvW4KPjuHQUqAVuiDDZ42KJJaTMjN2Ec4zwQvY,ipfs://QmRZhQ2c8YhzHyWTUrzP2bcdewhVobBj7DjpN6zis2zRDk,ipfs://QmXTF5WXLQREyezdyMeXisr62hHwTA13LvLS4nXP93oZBD
765494,Plottable Field (8 frames) #9,8,567.1635781238809,None,8,None,Low,None,"Circles, X-Split, Y-Split",YLines,FireAndIce + Pink,2,High,Partially Fast,Medium,QmVYASRQpeCybitXFeu7pnGwC9QpyU9TVKx99VdaY4SUQs,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opFAFZaBdSRyKUJUQgxM2z2NDft5i2nT6aU1XrmXMTJKiRQHKdz,ipfs://QmRspXRgvBqrwPc8QtxqEufEFuRJ635e9u4tnRnDbX8Erz,ipfs://QmPbrd26bQr2BMQM2Xni4G1kkUuMmgTnTfJrNxpoouXMwM
1131786,Plottable Field (8 frames) #385,9,561.1481040311666,Around 5,8,None,None,None,"X-Split, Y-Split",NestedSquares,Evergreen + FireAndIce,2,Medium,Intense,Low,QmZj5xKHzsQrbGZvRNEgxRPARU9B9MnNRWbVXGvSahcjJc,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooCdHqExWE7r2jQXEVgdgERY4LnmrZwMi3PzbYeDhZnt2NfbWGi,ipfs://QmaA6YQhEdBAPqN3rqc8X6krSAWbRoCBaWz3KmmYpyGVnt,ipfs://QmUUi6QvJz2hwjSjaWZRGdYkJyy7w73HuEVTvUxnB9GGSF
1131785,Plottable Field (8 frames) #384,10,554.9621650383216,None,8,None,Low,None,Circles,XLines,Evergreen + Soft Mint,2,High,Slow,Low,QmPij4mfKijBaApi2yF9WnUHZQ1ykLq74Bhv9Ywp3RexZF,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opXUnnAnDjEMs7sMXg8VqWCuxaAZpQpHjQF1wUUQ4sEVgXf5G7s,ipfs://QmRkXjV6N25B3pfJBvhu65gGESq6MHF4Nub1pPqPCNfwxf,ipfs://QmUwCM2rKeuo1CJyqhS2T9wwVmatj7Y9x67u9BgyoeTPHu
