ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
770183,Plottable Field (8 frames) #73,1,740.466310921705,1,6,1,200,1,100,11,400,2,8,6,1
843038,Plottable Field (8 frames) #160,2,720.1321841352421,66,6,1,1,1,200,30,400,2,2,6,1
901761,Plottable Field (8 frames) #218,3,702.1169077354089,26,26,1,17,1,400,14,200,2,2,6,3
925339,Plottable Field (8 frames) #271,4,608.291032609719,80,26,1,1,36,36,16,400,2,2,3,1
1126451,Plottable Field (8 frames) #368,5,602.8071125610988,1,2,1,1,1,400,25,133,2,2,14,18
921673,Plottable Field (8 frames) #268,6,574.1149176206973,1,2,1,1,1,11,15,400,2,2,133,1
771413,Plottable Field (8 frames) #91,7,570.0488967011802,1,2,1,1,1,400,15,133,2,2,7,1
765494,Plottable Field (8 frames) #9,8,567.1635781238809,1,6,1,17,1,400,26,66,2,2,40,1
1131786,Plottable Field (8 frames) #385,9,561.1481040311666,26,6,1,1,1,100,9,400,2,2,7,3
1131785,Plottable Field (8 frames) #384,10,554.9621650383216,1,6,1,17,1,80,33,400,2,2,6,3
917641,Plottable Field (8 frames) #244,11,546.1131531836777,25,6,1,1,1,80,16,400,2,2,6,3
998616,Plottable Field (8 frames) #328,12,525.5750372273206,1,2,1,1,1,100,4,400,2,2,7,1
767355,Plottable Field (8 frames) #26,13,524.3243340346369,1,6,1,17,1,80,4,400,2,2,6,1
883180,Plottable Field (8 frames) #197,14,521.9800116903145,1,6,1,17,1,400,15,66,2,2,6,1
766093,Plottable Field (8 frames) #16,15,518.8217865995559,1,6,1,17,1,400,20,57,2,2,6,3
998638,Plottable Field (8 frames) #350,16,506.0882464649028,400,6,1,12,1,1,11,57,1,2,7,3
810011,Plottable Field (8 frames) #148,17,504.3912828796349,200,6,1,1,1,40,57,23,2,36,133,1
895797,Plottable Field (8 frames) #213,18,503.06408120221363,1,2,1,1,1,40,9,400,2,36,6,1
