ID,Name,Rank,Rarity_Score,Attributes,Backgrounds,Body,Browz,Clothes,Eyes,Face,FaceWear,Hats&Hair,Jersey,Mouth,Shirt
0,GloGang 0000,1,48896.75276025236,11,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple,Multiple
2,GloGang 0002,2,22336.68972405955,10,SmokeyAshCamoGlow,ChainGrey,RedBand,GloFamily,BlackFlash,Hologram,GloRedFit,SkinnyDread,,HappyTeeth,ScopeZoomBlack
4,GloGang 0004,3,9424.583129972587,10,DragonBreathCamoGlo,ChainGrey,GloAshBand,,TigerStyle,DirtySilverScales,JasonHockeyMask 1,SacrificeThorns,GloGangicks,BrushYourTeeth,GloArmyBlack
3,GloGang 0003,4,4879.635230608981,8,SmokeyAshCamoGlo,YankeeWhite,Mad,,BabyBlueFlash,DoubleOrange,,,GloAngeles,Sharp,WhiteChalk
1,GloGang 0001,5,4853.337006548242,10,GasFlamesCamoGlo,RainbowBright,AnthonyEyes,GangShit,BlackFlash,GoldenBoy,Glorown,GloDread,,SharpTongue,ScopeZoomBlack
28,GloGang 0028,6,4789.97567774864,11,TigerArmyCamoGlo,SmokeyIce,Evil,GangShit,OrangeDroopy,GoldenBoy,SkiMaskFlex,NightmareJasonHockeyMask,GloRedHockey,SuperDuperSmile,StreetHoody
110,GloGang 0110,7,1484.1722472346742,9,DragonBreathCamoGlo,DarkTeal,,GloryDay,OrangeDroopyStoned,DoubleOrange,FlowerGreenGlo,SmokePuff,GloGlory,TwoTeeth,
148,GloGang 0148,8,1376.3666352832402,10,Ambush,SmokePurple,,BrokenHeart,OrangeStars,SnowWhite,SkiMaskFlex,SacrificeThorns,GloRedHockey,TwoTeeth,ArmyBrownCamo
116,GloGang 0116,9,1355.9776852441973,11,PurpleRain,FadedSmoke,Evil,GloryBlock,Snoopy,FungiTeal,GloryBoy,KoofHat,GloBlueHockey,TwoTeeth,CreamHoody
155,GloGang 0155,10,1277.61107912179,11,TigerStarsCamo,YankeeWhite,Evil,GloShip,OrangeDroopy,DirtySilverScales,SkullMask,KoofHat,GloBlackHockey,TwoTeeth,AmryMacaroniOrangeCamo
158,GloGang 0158,11,1018.8713582960208,11,BurstRed,RainbowBright,Evil,Glorriors,BabyBlueBug,TrippyRain,GasMask,PeeWee,GloBlueHockey,WonderfulDaySmile,MurderRedChalk
732,GloGang 0732,12,890.8338420812396,7,GasFlamesCamoGlo,FadedSmoke,,,OrangeStars,SnowWhite,SkiMaskFlex,,,GloSmile,FusionChalk
4294,GloGang 4294,13,840.7075415950051,7,BrightCarrot,HelloYellow,Shocked,GloBoyz,PurpleToon,DoubleOrange,,,,HappyTeeth,
160,GloGang 0160,14,839.222894802677,7,DustyCamo,FadedSmoke,,,RedDroopy,DoubleOrange,SkullMask,,GloryGlo,WhatWhat,
2996,GloGang 2996,15,838.0715783802528,7,PurpleRain,FadedSmoke,AnthonyEyes,BearGlo,BlueDroopy,WaveyTeal,,,,HappyTeeth,
