ID,Name,Rank,Rarity_Score,Accessory,Attributes,Aura,Background,Bling,Body,Face,Hair,Hand,Hat,Head,Stress,Tool
1501,GOGO #1501,1,23058.39351851852,Skateboard,6,,Special,,Reaper,,,,,Reaper,11,Scythe
2643,GOGO #2643,2,22833.887625735875,,6,,Special,,Cyborgia,Exposed,,Mask,,Cyborgia,3,
3949,GOGO #3949,2,22833.887625735875,Mask,6,,Special,,Builder A,,,Eyeball,,Builder A,3,
4185,GOGO #4185,2,22833.887625735875,Sweatband,6,,Special,,Demon Alburn,,,,,Demon Alburn,3,Pitchfork
786,GOGO #786,5,22830.92298130866,Sunglasses,6,,Special,,Aokuma,,,Number 1,,Aokuma,2,
2280,GOGO #2280,5,22830.92298130866,,6,,Special,,Chief,,,Thumbs Up,Chief Beanie,Chief,2,
2814,GOGO #2814,5,22830.92298130866,Cyberware,6,,Special,,Bunny Scout,,,Cherries,,Bunny Scout,2,
3400,GOGO #3400,5,22830.92298130866,,6,,Special,,Cyberjunk Droid,Open,,Junk,,Cyberjunk Droid,2,
1040,GOGO #1040,9,22829.290995193667,,6,,Special,,Maung,,,Knives,,Maung,1,Knife
5045,GOGO #5045,9,22829.290995193667,Headband,6,,Special,,Agent 7734,,,Heart,,Agent 7734,1,
5077,GOGO #5077,11,3210.9555100605876,,5,Yellow,Swamp,,Purple Tee,,,,,Space Cadet,1,
4061,GOGO #4061,12,2837.1926552937866,,5,Yellow,Marsh,,Purple Tee,,,,,Skull,1,
2311,GOGO #2311,13,636.1358123148052,Red Scarf,9,Blue and Orange,Swamp,Chain,Dinosaur,Bear,,,,Ashen,10,Sword
3199,GOGO #3199,14,526.0437785815409,Headset,10,Red,Marsh,,Zombie,Ghoul,Blue,,Bucket,Blue,10,Skull
4585,GOGO #4585,15,521.0980186882019,,6,Blue,Forest,,Polo,,,Birdy,,Space Cadet,3,
2645,GOGO #2645,16,508.8390793489042,,10,Yellow,City,Chain,Dinosaur,Bear,Blue,Skull,Padded,Blue,10,
2697,GOGO #2697,17,501.62321369499375,,6,Blue and Orange,Forest,,Armour,,,Skull,,Space Cadet,2,
4494,GOGO #4494,18,498.1036786313614,,6,Blue and Orange,Mountain,,Skully,,,,,Space Cadet,1,Skull
3331,GOGO #3331,19,494.9080195033713,,6,Yellow,Marsh,,Skully,,,Roboto,,Space Cadet,2,
5455,GOGO #5455,20,490.6921029158207,,8,Red,Island,Sword,Denim Vest,,,Claw,,Space Cadet,1,Sword
926,GOGO #926,21,490.6638949709628,Headset,10,Blue,Island,Sword,Denim Vest,Angry,Green,Roboto,,Flushed,10,
2990,GOGO #2990,22,487.1651033122252,,6,Blue,Desert,,Space Jacket,,,Phone,,Space Cadet,2,
4190,GOGO #4190,23,486.600253651435,,6,Blue,Marsh,,Armour,,,Mace,,Space Cadet,2,
4214,GOGO #4214,24,485.7837723781605,,6,Red,Marsh,,Hoodie,,,Birdy,,Space Cadet,1,
172,GOGO #172,25,484.39371486798063,,6,Blue and Orange,City,,Armour,,,OK,,Space Cadet,1,
4132,GOGO #4132,26,473.28973265999883,,7,Blue,Desert,,Skully,Laughing,,OK,,Imp,10,
5350,GOGO #5350,27,472.8474773879472,,7,Blue and Orange,Earth,Chain,Space Jacket,,,Flames,,Space Cadet,1,
4510,GOGO #4510,28,472.2456337755629,Headset,10,Yellow,Swamp,Chain,Hoodie,Tripping,Bowl,Mace,,Ashen,10,
2625,GOGO #2625,29,471.6028746219172,,9,Yellow,Desert,,Chef,Ripped,Blue,OK,Bucket,Bot,10,
2164,GOGO #2164,30,467.80046478954534,,9,Blue,Swamp,,Denim Vest,Ripped,Blue,OK,Bowler,Bot,10,
3979,GOGO #3979,31,464.460806355849,,8,Red,Swamp,,Space Jacket,Disgusted,Blue,Phone,,Bot,10,
1438,GOGO #1438,32,459.1292635976963,,7,Blue,Marsh,Sword,Denim Vest,,,Dagger,,Space Cadet,4,
1812,GOGO #1812,33,457.6616872591812,,8,Yellow,Swamp,,Purple Tee,Unimpressed,Red,,Padded,Peachy,10,
882,GOGO #882,34,456.9239652198848,Headset,10,Blue and Orange,Desert,Chain,Armour,Blazed,Green,OK,,Blue Goblin,10,
1801,GOGO #1801,35,456.38024452322315,,7,Red,Desert,Sword,Dinosaur,,,Dagger,,Space Cadet,2,
3608,GOGO #3608,36,456.1217419416784,,8,Blue and Orange,City,,Armour,Laughing,Red,Torch,,Purple Goblin,10,
4029,GOGO #4029,37,452.39705812845193,,7,Blue,Mountain,,Chef,,,OK,,Space Cadet,1,Skull
4088,GOGO #4088,38,448.6344424019405,,8,Blue and Orange,Desert,,Armour,Happy,Bubblegum,OK,,Ashen,10,
4371,GOGO #4371,39,447.3025671267569,,8,Blue,City,,Armour,Tripping,Blue,Dagger,,Ashen,10,
