ID,Name,Rank,Rarity_Score,Attributes,Centered,Color Palette,Extra Rotation,Outlined,Padding,Petals,Segments,Shape Type,Shrink,Use Palette Background,X Movement,Y Movement
300,Hash Three Points #300,1,2138.217659619716,12,No,Mint,1,No,-256,21,8,Strip,0.29,Yes,-68,106
598,Hash Three Points #598,2,2137.185574568388,12,No,Earth,7,Yes,-256,23,7,Strip,0.41,Yes,-94,-112
690,Hash Three Points #690,3,2136.0161737306494,12,No,Viva la Vida,-6,No,-256,21,7,Strip,0.2,No,99,-120
441,Hash Three Points #441,4,2135.676469500886,12,No,Rose,-6,Yes,-256,23,8,Strip,0.47,No,-103,-84
206,Hash Three Points #206,5,2135.4998913032555,12,No,Viva la Vida,-1,Yes,-256,23,8,Strip,0.44,No,-120,73
734,Hash Three Points #734,6,2133.2827940650895,12,No,Spring,2,No,-256,27,6,Strip,0.23,Yes,93,-47
555,Hash Three Points #555,7,2132.8265714475374,12,No,Rocketpop,2,Yes,-256,25,7,Strip,0.38,No,-95,74
153,Hash Three Points #153,8,2131.227428564376,12,No,Rocketpop,1,No,-256,21,6,Strip,0.05,No,-107,-83
856,Hash Three Points #856,9,2120.6307315763975,12,No,Safford,-1,No,-256,21,8,Strip,0.26,Yes,-127,-63
435,Hash Three Points #435,10,1631.6539624130887,12,No,Mint,-9,Yes,-256,29,6,Strip,0.14,Yes,65,-61
205,Hash Three Points #205,11,1623.6042876956326,12,No,Hunter,-6,No,-256,21,7,Strip,0.5,No,52,124
11,Hash Three Points #11,12,1621.769862564187,12,No,Wasteland,-4,Yes,-256,21,8,Strip,0.2,Yes,-83,110
184,Hash Three Points #184,13,1621.5462236740998,12,No,Rocketpop,-8,No,-256,27,7,Strip,0.47,No,62,83
90,Hash Three Points #90,14,1620.9872970658857,12,No,Ketchup and Mustard,4,No,-256,21,6,Strip,0.5,No,-53,88
909,Hash Three Points #909,15,1620.8355503338134,12,No,Kanagawa,1,No,-256,29,7,Strip,0.44,Yes,-46,-68
333,Hash Three Points #333,16,1620.6115966771554,12,No,Hunter,6,Yes,-256,27,6,Strip,0.5,No,73,108
123,Hash Three Points #123,17,1618.2278463274074,12,No,Wasteland,7,No,-256,27,7,Strip,0.35,Yes,-67,-99
192,Hash Three Points #192,18,1618.1372286082378,12,No,Bone,2,Yes,-256,21,7,Strip,0.05,Yes,-106,108
459,Hash Three Points #459,19,1616.735332058201,12,No,Safford,7,Yes,-256,29,8,Strip,0.38,No,55,-89
791,Hash Three Points #791,20,1614.548648512448,12,No,Mint,-7,No,-256,23,8,Strip,0.38,Yes,-85,66
15,Hash Three Points #15,21,1613.5229572828102,12,No,Wasteland,-7,No,-256,27,6,Strip,0.23,Yes,82,-81
473,Hash Three Points #473,22,1611.8318720741547,12,No,Safford,-4,No,-256,33,8,Strip,0.08,Yes,56,-77
489,Hash Three Points #489,23,1471.3812020153357,12,No,Mint,-4,Yes,278,21,6,Strip,0.35,Yes,-79,44
721,Hash Three Points #721,24,1467.5075087788573,12,No,Spring,-3,No,362,23,6,Fan,0.2,Yes,63,57
280,Hash Three Points #280,25,1443.9199372705743,12,No,Wasteland,-3,No,-256,31,7,Strip,0.17,Yes,-59,-74
600,Hash Three Points #600,26,1372.1814163961483,12,No,Kanagawa,-9,Yes,-256,33,7,Strip,0.32,Yes,79,79
101,Hash Three Points #101,27,1368.1862522703973,12,No,Spring,1,No,-256,27,6,Strip,0.44,Yes,-70,-39
55,Hash Three Points #55,28,1366.3258067607499,12,No,Sonoran Sunset,-2,No,-256,31,6,Strip,0.47,No,54,-60
888,Hash Three Points #888,29,1364.5637456086597,12,No,Mint,-5,No,-256,35,6,Strip,0.17,Yes,61,-60
585,Hash Three Points #585,30,1357.7902777269576,12,No,Safford,-4,No,-256,29,6,Strip,0.14,Yes,-64,64
373,Hash Three Points #373,31,1357.2399181109272,12,No,Wasteland,2,No,-256,44,7,Strip,0.32,Yes,53,-56
565,Hash Three Points #565,32,1329.2675640255577,12,No,Mint,5,No,278,23,6,Strip,0.35,Yes,57,-49
346,Hash Three Points #346,33,1318.3305341611388,12,No,Monochrome,-2,No,-256,23,7,Strip,0.2,No,-56,69
783,Hash Three Points #783,34,1315.0274647060535,12,No,Ketchup and Mustard,4,Yes,-256,23,6,Strip,0.5,No,-102,48
930,Hash Three Points #930,35,1287.670335628165,12,No,Spring,-2,Yes,-256,33,8,Strip,0.26,Yes,77,-42
119,Hash Three Points #119,36,1286.6413909001496,12,No,Earth,-9,No,-256,29,8,Strip,0.41,Yes,22,-90
9,Hash Three Points #9,37,1286.136965505321,12,No,Spring,3,Yes,-256,21,6,Strip,0.11,Yes,-48,-85
799,Hash Three Points #799,38,1274.4701826293872,12,No,Viva la Vida,-4,No,427,31,7,Fan,0.44,No,35,32
1003,Hash Three Points #1003,39,1267.0548913663993,12,No,Rose,-7,No,337,23,7,Strip,0.2,Yes,60,18
763,Hash Three Points #763,40,1260.9337219966494,12,No,Ketchup and Mustard,10,Yes,427,33,7,Fan,0.14,No,45,2
103,Hash Three Points #103,41,1260.450789203188,12,No,Rose,7,No,-256,31,7,Strip,0.29,Yes,-28,-51
156,Hash Three Points #156,42,1258.810448707508,12,No,Hunter,6,Yes,-256,21,7,Strip,0.29,No,-41,89
545,Hash Three Points #545,43,1257.97801022064,12,No,Rocketpop,17,No,315,52,6,Strip,0.32,No,-15,14
558,Hash Three Points #558,44,1256.2416437659115,12,No,Rocketpop,-5,No,-256,25,7,Strip,0.23,No,43,-71
374,Hash Three Points #374,45,1253.7189928558685,12,No,Hunter,-14,Yes,-256,44,8,Strip,0.29,No,-4,-67
320,Hash Three Points #320,46,1247.7582271621359,12,No,Ketchup and Mustard,5,Yes,-256,33,7,Strip,0.05,Yes,-47,-72
626,Hash Three Points #626,47,1247.1174560208126,12,No,Safford,-4,No,-256,27,8,Strip,0.26,No,-42,63
550,Hash Three Points #550,48,1247.0644135788796,12,No,Safford,-4,Yes,362,25,6,Fan,0.05,No,-51,-33
70,Hash Three Points #70,49,1246.0831700622875,12,No,Vaporwave,6,No,315,25,6,Strip,0.11,Yes,-35,-73
479,Hash Three Points #479,50,1244.707931097,12,No,Earth,8,No,-256,40,6,Strip,0.05,Yes,-61,-40
589,Hash Three Points #589,51,1239.5365982581804,12,No,Kanagawa,4,No,-256,42,7,Strip,0.23,Yes,51,-40
806,Hash Three Points #806,52,1231.937032839846,12,No,Bone,6,No,-256,27,7,Strip,0.5,Yes,-36,91
501,Hash Three Points #501,53,1230.4973470920536,12,No,Bone,6,No,-256,50,7,Strip,0.05,Yes,-49,21
313,Hash Three Points #313,54,1230.2012302037383,12,No,Rose,-2,No,-256,27,7,Strip,0.23,No,32,-82
190,Hash Three Points #190,55,1230.1996007612004,12,No,Spring,-7,No,-256,29,7,Strip,0.14,Yes,86,-35
204,Hash Three Points #204,56,1228.5575568325194,12,No,Mint,-2,No,-256,33,8,Strip,0.23,Yes,-88,7
622,Hash Three Points #622,57,1222.291414252862,12,No,Earth,4,Yes,-256,31,8,Strip,0.2,Yes,-4,87
16,Hash Three Points #16,58,1222.1983563192543,12,No,Viva la Vida,-2,No,-256,21,6,Strip,0.11,Yes,78,40
13,Hash Three Points #13,59,1220.2864343642373,12,No,Rocketpop,-3,No,-256,35,7,Strip,0.32,No,-26,-57
542,Hash Three Points #542,60,1218.375562810506,12,No,Viva la Vida,-1,No,-256,27,6,Strip,0.47,No,-82,39
224,Hash Three Points #224,61,1216.388651456714,12,No,Rose,4,Yes,-256,21,8,Strip,0.5,No,-32,94
698,Hash Three Points #698,62,1212.9110304543763,12,No,Safford,5,No,-256,23,8,Strip,0.08,No,-80,-3
201,Hash Three Points #201,63,1197.2464577365731,12,No,Mint,-7,No,-256,25,6,Strip,0.38,Yes,16,86
433,Hash Three Points #433,64,1196.203911872567,12,No,Safford,9,No,-256,27,7,Strip,0.44,No,16,-75
855,Hash Three Points #855,65,1190.2621799849212,12,No,Bone,10,No,-256,38,6,Strip,0.29,Yes,3,65
861,Hash Three Points #861,66,1184.3210547687268,12,No,Wasteland,-8,No,-256,35,8,Strip,0.44,Yes,-14,-65
232,Hash Three Points #232,67,1182.5787597654594,12,No,Rocketpop,-5,No,-256,27,7,Strip,0.47,No,107,14
713,Hash Three Points #713,68,1181.946449833185,12,No,Sonoran Sunset,8,No,-256,35,6,Strip,0.32,No,10,59
682,Hash Three Points #682,69,1177.6650432953886,12,No,Rocketpop,-4,No,-256,31,7,Strip,0.26,No,83,11
272,Hash Three Points #272,70,1177.6352488408695,12,No,Hunter,-5,No,-256,27,8,Strip,0.2,No,58,17
969,Hash Three Points #969,71,1176.2251957070157,12,No,Earth,2,No,-256,21,8,Strip,0.08,Yes,3,-146
96,Hash Three Points #96,72,1174.6303696750845,12,No,Wasteland,-7,No,295,25,8,Strip,0.26,Yes,-9,53
332,Hash Three Points #332,73,1173.9664061664967,12,No,Wasteland,6,No,-256,23,8,Strip,0.47,Yes,-113,11
432,Hash Three Points #432,74,1169.8013281104734,12,No,Hunter,-7,No,-256,29,6,Strip,0.41,No,4,61
336,Hash Three Points #336,75,1166.8069696837338,12,No,Viva la Vida,3,No,-256,27,7,Strip,0.05,No,-9,76
321,Hash Three Points #321,76,1165.748607530167,12,No,Viva la Vida,2,No,-256,29,7,Strip,0.5,No,6,62
340,Hash Three Points #340,77,1160.9752768205528,12,No,Monochrome,-2,Yes,-256,23,8,Strip,0.05,No,8,52
753,Hash Three Points #753,78,1153.4231876374179,12,No,Sonoran Sunset,-6,No,-256,27,6,Strip,0.41,No,-86,1
288,Hash Three Points #288,79,1152.3254048044955,12,No,Vaporwave,4,No,-256,25,7,Strip,0.41,Yes,80,1
216,Hash Three Points #216,80,1150.4440299760897,12,No,Rose,6,No,-256,25,8,Strip,0.35,No,8,-93
864,Hash Three Points #864,81,1143.4257942015927,12,No,Safford,4,No,-256,21,7,Strip,0.41,No,106,1
956,Hash Three Points #956,82,1117.2917808957354,12,Yes,Safford,-17,No,-256,52,6,Strip,0.26,No,0,0
84,Hash Three Points #84,83,1112.76471249238,12,No,Kanagawa,-4,No,-256,40,7,Strip,0.17,Yes,40,47
251,Hash Three Points #251,84,1100.3281165583876,12,No,Vaporwave,-7,No,-256,23,7,Strip,0.41,Yes,-83,68
957,Hash Three Points #957,85,931.7662559550395,12,No,Mint,-1,No,-256,23,7,Strip,0.41,Yes,41,-44
421,Hash Three Points #421,86,931.62984657523,12,No,Safford,-3,No,-256,33,7,Strip,0.29,No,-62,-58
960,Hash Three Points #960,87,926.0183879191172,12,No,Ketchup and Mustard,6,No,-256,29,7,Strip,0.47,No,46,-28
809,Hash Three Points #809,88,920.6328115041542,12,No,Safford,2,No,-256,29,7,Strip,0.47,No,-60,-43
904,Hash Three Points #904,89,871.8121278857192,12,No,Hunter,7,Yes,315,23,8,Strip,0.41,No,-69,30
474,Hash Three Points #474,90,856.8819925193586,12,No,Wasteland,1,Yes,-256,40,8,Strip,0.26,Yes,50,-69
576,Hash Three Points #576,91,854.1304323644124,12,No,Rocketpop,8,No,-256,46,6,Strip,0.35,No,9,58
275,Hash Three Points #275,92,851.443063827078,12,No,Earth,-4,Yes,-256,23,7,Strip,0.47,Yes,64,-64
366,Hash Three Points #366,93,830.4794486129506,12,No,Safford,-12,Yes,-256,40,6,Strip,0.23,No,46,-27
696,Hash Three Points #696,94,804.4359217179066,12,No,Viva la Vida,6,No,-256,25,8,Strip,0.23,No,-56,-79
661,Hash Three Points #661,95,802.3716411567625,12,No,Bone,-1,Yes,-256,21,8,Strip,0.23,Yes,84,-50
292,Hash Three Points #292,96,802.0184581959741,12,No,Mint,3,Yes,-256,48,7,Strip,0.41,Yes,-46,-21
409,Hash Three Points #409,97,793.0611044410925,12,No,Sonoran Sunset,12,Yes,-256,46,7,Strip,0.35,No,56,34
874,Hash Three Points #874,98,783.1336899347174,12,No,Kanagawa,1,No,295,35,7,Strip,0.05,Yes,-53,34
591,Hash Three Points #591,99,781.4412016471717,12,No,Mint,-1,No,392,21,8,Fan,0.17,Yes,30,-69
594,Hash Three Points #594,100,769.0782068860676,12,No,Vaporwave,8,No,-256,29,7,Strip,0.11,Yes,-57,50
807,Hash Three Points #807,101,768.6656786693824,12,No,Monochrome,1,Yes,-256,23,8,Strip,0.32,No,-58,50
599,Hash Three Points #599,102,762.8560157884535,12,No,Wasteland,-5,No,-256,21,7,Strip,0.05,Yes,49,-58
477,Hash Three Points #477,103,744.9506587868741,12,No,Earth,4,No,427,25,6,Fan,0.26,Yes,-36,-43
708,Hash Three Points #708,104,740.5010702042816,12,No,Wasteland,2,No,-256,40,6,Strip,0.35,Yes,-69,46
3,Hash Three Points #3,105,739.138523597641,12,No,Earth,-5,No,295,27,6,Strip,0.32,Yes,36,-33
277,Hash Three Points #277,106,738.9323680101973,12,No,Spring,6,No,-256,27,8,Strip,0.32,Yes,-13,75
389,Hash Three Points #389,107,738.6569238695718,12,No,Monochrome,-1,Yes,-256,25,7,Strip,0.47,No,23,68
31,Hash Three Points #31,108,738.608980859022,12,No,Monochrome,-7,No,337,25,7,Strip,0.26,No,-36,55
125,Hash Three Points #125,109,733.2867215887404,12,No,Mint,-7,No,295,23,8,Strip,0.26,Yes,-62,-23
130,Hash Three Points #130,110,728.291287983282,12,No,Wasteland,7,Yes,295,27,6,Strip,0.32,Yes,40,20
492,Hash Three Points #492,111,724.6109546408861,12,No,Spring,-5,No,-256,25,7,Strip,0.32,Yes,-36,83
128,Hash Three Points #128,112,724.4802582881191,12,No,Earth,8,No,-256,29,7,Strip,0.35,Yes,59,-6
488,Hash Three Points #488,113,723.4692760546895,12,No,Kanagawa,-9,No,-256,40,8,Strip,0.05,Yes,-58,26
393,Hash Three Points #393,114,717.9551754343569,12,No,Safford,1,Yes,-256,21,7,Strip,0.11,No,84,27
218,Hash Three Points #218,115,716.9284676878915,12,No,Monochrome,4,Yes,-256,40,6,Strip,0.2,No,41,-20
875,Hash Three Points #875,116,714.018453956771,12,No,Spring,-3,No,-256,21,8,Strip,0.11,Yes,68,39
814,Hash Three Points #814,117,712.0078726757865,12,No,Safford,-10,No,-256,46,7,Strip,0.32,No,-57,-29
782,Hash Three Points #782,118,710.577289475511,12,No,Safford,7,Yes,427,33,7,Fan,0.11,No,15,-46
715,Hash Three Points #715,119,709.9341914969899,12,No,Earth,9,No,263,31,7,Strip,0.32,Yes,36,-9
410,Hash Three Points #410,120,708.7629158098453,12,No,Wasteland,-12,No,-256,38,7,Strip,0.26,Yes,-43,-41
369,Hash Three Points #369,121,708.0264076053861,12,No,Safford,-8,Yes,-256,33,7,Strip,0.23,No,68,-29
376,Hash Three Points #376,122,706.9695028384004,12,No,Rocketpop,7,No,427,23,7,Fan,0.32,No,59,-19
418,Hash Three Points #418,123,706.9374718041561,12,No,Earth,-5,No,-256,29,7,Strip,0.5,Yes,20,-59
984,Hash Three Points #984,124,700.3841986000119,12,No,Spring,10,No,-256,35,6,Strip,0.38,Yes,-65,-14
554,Hash Three Points #554,125,700.3152668049858,12,No,Safford,-6,No,362,21,7,Fan,0.23,No,16,37
355,Hash Three Points #355,126,699.1691777604335,12,No,Viva la Vida,13,Yes,-256,42,7,Strip,0.38,No,-14,47
293,Hash Three Points #293,127,689.9645004851188,12,No,Monochrome,-10,No,-256,40,8,Strip,0.11,Yes,21,58
934,Hash Three Points #934,128,685.6268853410273,12,No,Hunter,-1,No,-256,31,7,Strip,0.14,Yes,69,-14
613,Hash Three Points #613,129,684.708074651323,12,No,Wasteland,-2,Yes,-256,31,8,Strip,0.35,Yes,27,75
777,Hash Three Points #777,130,684.490967739039,12,No,Spring,-9,Yes,-256,35,6,Strip,0.38,Yes,34,-64
583,Hash Three Points #583,131,684.0833913500757,12,No,Earth,-6,Yes,-256,27,7,Strip,0.26,Yes,-52,-39
1022,Hash Three Points #1022,132,684.0545182678827,12,No,Earth,-3,Yes,362,21,8,Fan,0.17,Yes,55,6
496,Hash Three Points #496,133,680.1519119928316,12,No,Spring,5,No,315,21,7,Strip,0.11,Yes,-2,37
771,Hash Three Points #771,134,679.8641521373986,12,No,Rose,-1,No,-256,50,6,Strip,0.08,No,52,-8
