ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores
545,Hash Three Points #545,1,1093.875446118076,1,1,15,1024,1,13,16,3,1,14,1
956,Hash Three Points #956,2,1091.2015504510746,1,16,7,1024,1,1,16,3,1,15,1
2,Hash Three Points #2,3,430.58065520604754,1,16,16,341,1,15,14,3,1,17,1
504,Hash Three Points #504,4,414.5230674113608,1,16,14,341,3,1,14,2,1,17,2
147,Hash Three Points #147,5,402.1133926162963,1,1,15,341,3,1,16,2,1,15,1
990,Hash Three Points #990,6,332.5483382450601,1,1,18,256,3,13,16,3,1,15,1
248,Hash Three Points #248,7,312.4771749901291,1,1,17,256,1,1,14,2,1,14,1
234,Hash Three Points #234,8,311.02757191586534,1,1,14,256,3,1,14,2,1,13,2
100,Hash Three Points #100,9,305.47960067231645,1,1,7,256,1,1,14,3,1,15,1
245,Hash Three Points #245,10,211.46635698706106,1,1,17,146,3,1,16,3,1,16,1
560,Hash Three Points #560,11,210.02247101150692,1,1,16,146,1,1,16,3,1,17,1
670,Hash Three Points #670,12,208.4118503724781,1,1,7,146,1,13,16,2,1,15,1
955,Hash Three Points #955,13,202.3829695855386,1,1,14,146,1,1,14,3,1,15,2
1014,Hash Three Points #1014,14,200.88861133508382,1,1,14,146,1,1,14,3,1,13,2
109,Hash Three Points #109,15,197.8589087790212,1,1,7,146,1,1,16,3,1,15,1
924,Hash Three Points #924,16,195.42510060914347,1,1,7,146,1,1,14,2,1,16,1
959,Hash Three Points #959,17,191.71467765211153,1,1,16,113,1,14,16,3,5,16,2
197,Hash Three Points #197,18,190.67865989995906,1,1,15,113,1,17,16,2,5,15,2
289,Hash Three Points #289,19,184.48503899430233,1,1,14,113,1,15,14,3,1,15,1
111,Hash Three Points #111,20,178.54517261913094,1,1,17,113,3,1,16,3,1,16,2
657,Hash Three Points #657,21,177.6126436380635,1,1,17,113,1,1,14,3,1,18,2
505,Hash Three Points #505,22,175.99194698083863,1,1,17,113,1,1,16,2,1,17,2
81,Hash Three Points #81,23,173.95837223467933,1,1,14,113,1,1,14,3,1,18,1
615,Hash Three Points #615,24,169.2161832362957,1,1,7,113,1,1,14,3,1,20,2
151,Hash Three Points #151,25,164.88646277085041,1,1,15,85,3,14,16,3,5,17,2
644,Hash Three Points #644,26,162.23254447148832,1,16,17,85,1,1,17,3,1,15,2
