ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores,X Movement-Scores,Y Movement-Scores
300,Hash Three Points #300,1,2138.217659619716,1,1,15,24,1,1,17,3,1,20,2,1024,1024
598,Hash Three Points #598,2,2137.185574568388,1,1,16,27,3,1,16,2,1,16,2,1024,1024
690,Hash Three Points #690,3,2136.0161737306494,1,1,18,26,1,1,17,2,1,15,1,1024,1024
441,Hash Three Points #441,4,2135.676469500886,1,1,17,26,3,1,16,3,1,13,1,1024,1024
206,Hash Three Points #206,5,2135.4998913032555,1,1,18,19,3,1,16,3,1,17,1,1024,1024
734,Hash Three Points #734,6,2133.2827940650895,1,1,17,21,1,1,16,3,1,17,2,1024,1024
555,Hash Three Points #555,7,2132.8265714475374,1,1,15,21,3,1,17,2,1,17,1,1024,1024
153,Hash Three Points #153,8,2131.227428564376,1,1,15,24,1,1,17,3,1,14,1,1024,1024
856,Hash Three Points #856,9,2120.6307315763975,1,1,7,19,1,1,17,3,1,15,2,1024,1024
435,Hash Three Points #435,10,1631.6539624130887,1,1,15,33,3,1,13,3,1,18,2,512,1024
205,Hash Three Points #205,11,1623.6042876956326,1,1,17,26,1,1,17,2,1,16,1,512,1024
11,Hash Three Points #11,12,1621.769862564187,1,1,14,24,3,1,17,3,1,15,2,512,1024
184,Hash Three Points #184,13,1621.5462236740998,1,1,15,30,1,1,16,2,1,13,1,1024,512
90,Hash Three Points #90,14,1620.9872970658857,1,1,14,24,1,1,17,3,1,16,1,512,1024
909,Hash Three Points #909,15,1620.8355503338134,1,1,17,24,1,1,13,2,1,17,2,512,1024
333,Hash Three Points #333,16,1620.6115966771554,1,1,17,20,3,1,16,3,1,16,1,1024,512
123,Hash Three Points #123,17,1618.2278463274074,1,1,14,27,1,1,16,2,1,13,2,512,1024
192,Hash Three Points #192,18,1618.1372286082378,1,1,16,21,3,1,17,2,1,14,2,1024,512
459,Hash Three Points #459,19,1616.735332058201,1,1,7,27,3,1,13,3,1,17,1,512,1024
791,Hash Three Points #791,20,1614.548648512448,1,1,15,17,1,1,16,3,1,17,2,512,1024
15,Hash Three Points #15,21,1613.5229572828102,1,1,14,17,1,1,16,3,1,17,2,1024,512
473,Hash Three Points #473,22,1611.8318720741547,1,1,7,24,1,1,14,3,1,16,2,512,1024
489,Hash Three Points #489,23,1471.3812020153357,1,1,15,24,3,22,17,3,1,13,2,1024,341
721,Hash Three Points #721,24,1467.5075087788573,1,1,17,24,1,14,16,3,5,15,2,341,1024
280,Hash Three Points #280,25,1443.9199372705743,1,1,14,24,1,1,13,2,1,15,2,341,1024
600,Hash Three Points #600,26,1372.1814163961483,1,1,17,33,3,1,14,2,1,14,2,1024,256
101,Hash Three Points #101,27,1368.1862522703973,1,1,17,24,1,1,16,3,1,17,2,1024,256
55,Hash Three Points #55,28,1366.3258067607499,1,1,15,31,1,1,13,3,1,13,1,1024,256
888,Hash Three Points #888,29,1364.5637456086597,1,1,15,24,1,1,17,3,1,15,2,1024,256
585,Hash Three Points #585,30,1357.7902777269576,1,1,7,24,1,1,13,3,1,18,2,1024,256
373,Hash Three Points #373,31,1357.2399181109272,1,1,14,21,1,1,16,2,1,14,2,256,1024
565,Hash Three Points #565,32,1329.2675640255577,1,1,15,22,1,22,16,3,1,13,2,1024,204
346,Hash Three Points #346,33,1318.3305341611388,1,1,16,31,1,1,16,2,1,15,1,204,1024
783,Hash Three Points #783,34,1315.0274647060535,1,1,14,24,3,1,16,3,1,16,1,1024,204
930,Hash Three Points #930,35,1287.670335628165,1,1,17,31,3,1,14,3,1,15,2,1024,170
119,Hash Three Points #119,36,1286.6413909001496,1,1,16,33,1,1,13,3,1,16,2,170,1024
9,Hash Three Points #9,37,1286.136965505321,1,1,17,26,3,1,17,3,1,16,2,170,1024
799,Hash Three Points #799,38,1274.4701826293872,1,1,18,24,1,15,13,2,5,17,1,1024,146
1003,Hash Three Points #1003,39,1267.0548913663993,1,1,17,17,1,22,16,2,1,15,2,1024,146
763,Hash Three Points #763,40,1260.9337219966494,1,1,14,31,3,15,14,2,5,18,1,1024,128
103,Hash Three Points #103,41,1260.450789203188,1,1,17,27,1,1,13,2,1,20,2,146,1024
156,Hash Three Points #156,42,1258.810448707508,1,1,17,20,3,1,17,2,1,20,1,146,1024
545,Hash Three Points #545,43,1257.97801022064,1,1,15,1024,1,13,16,3,1,14,1,85,78
558,Hash Three Points #558,44,1256.2416437659115,1,1,15,24,1,1,17,2,1,17,1,146,1024
374,Hash Three Points #374,45,1253.7189928558685,1,1,17,46,3,1,16,3,1,20,1,113,1024
320,Hash Three Points #320,46,1247.7582271621359,1,1,14,22,3,1,14,2,1,14,2,146,1024
626,Hash Three Points #626,47,1247.1174560208126,1,1,7,24,1,1,16,3,1,15,1,146,1024
550,Hash Three Points #550,48,1247.0644135788796,1,1,7,24,3,14,17,3,5,14,1,1024,128
70,Hash Three Points #70,49,1246.0831700622875,1,1,15,20,1,13,17,3,1,16,2,128,1024
479,Hash Three Points #479,50,1244.707931097,1,1,16,30,1,1,20,3,1,14,2,1024,128
589,Hash Three Points #589,51,1239.5365982581804,1,1,17,24,1,1,16,2,1,17,2,1024,128
806,Hash Three Points #806,52,1231.937032839846,1,1,16,20,1,1,16,2,1,16,2,128,1024
501,Hash Three Points #501,53,1230.4973470920536,1,1,16,20,1,1,16,2,1,14,2,1024,128
313,Hash Three Points #313,54,1230.2012302037383,1,1,17,31,1,1,16,2,1,17,1,113,1024
190,Hash Three Points #190,55,1230.1996007612004,1,1,17,17,1,1,13,2,1,18,2,1024,128
204,Hash Three Points #204,56,1228.5575568325194,1,1,15,31,1,1,14,3,1,17,2,1024,113
622,Hash Three Points #622,57,1222.291414252862,1,1,16,24,3,1,13,3,1,15,2,113,1024
16,Hash Three Points #16,58,1222.1983563192543,1,1,18,31,1,1,17,3,1,16,2,1024,102
13,Hash Three Points #13,59,1220.2864343642373,1,1,15,24,1,1,17,2,1,14,1,113,1024
542,Hash Three Points #542,60,1218.375562810506,1,1,18,19,1,1,16,3,1,13,1,1024,113
224,Hash Three Points #224,61,1216.388651456714,1,1,17,24,3,1,17,3,1,16,1,102,1024
698,Hash Three Points #698,62,1212.9110304543763,1,1,7,22,1,1,16,3,1,16,1,1024,113
201,Hash Three Points #201,63,1197.2464577365731,1,1,15,17,1,1,17,3,1,17,2,93,1024
433,Hash Three Points #433,64,1196.203911872567,1,1,7,26,1,1,16,2,1,17,1,93,1024
855,Hash Three Points #855,65,1190.2621799849212,1,1,16,31,1,1,17,3,1,20,2,68,1024
861,Hash Three Points #861,66,1184.3210547687268,1,1,14,30,1,1,17,3,1,17,2,68,1024
232,Hash Three Points #232,67,1182.5787597654594,1,1,15,24,1,1,16,2,1,13,1,1024,78
713,Hash Three Points #713,68,1181.946449833185,1,1,15,30,1,1,17,3,1,14,1,68,1024
682,Hash Three Points #682,69,1177.6650432953886,1,1,15,24,1,1,13,2,1,15,1,1024,73
272,Hash Three Points #272,70,1177.6352488408695,1,1,17,24,1,1,16,3,1,15,1,1024,68
969,Hash Three Points #969,71,1176.2251957070157,1,1,16,21,1,1,17,3,1,16,2,68,1024
96,Hash Three Points #96,72,1174.6303696750845,1,1,14,17,1,17,17,3,1,15,2,56,1024
332,Hash Three Points #332,73,1173.9664061664967,1,1,14,20,1,1,16,3,1,13,2,1024,73
432,Hash Three Points #432,74,1169.8013281104734,1,1,17,17,1,1,13,3,1,16,1,68,1024
336,Hash Three Points #336,75,1166.8069696837338,1,1,18,26,1,1,16,2,1,14,1,56,1024
321,Hash Three Points #321,76,1165.748607530167,1,1,18,21,1,1,13,2,1,16,1,60,1024
340,Hash Three Points #340,77,1160.9752768205528,1,1,16,31,3,1,16,3,1,14,1,44,1024
