ID,Name,Rank,Rarity_Score,Attributes,BG Overlay 1,BG Overlay 2,Background,Ears,Extras,Eyes,Hat,Head,Head Detail,Mouth,Nose,Title
210,Inkspunk #210,1,1510.198070277093,12,Dawn,Gummi,Newsprint 05,Ear 3,Refined,Twenty,Captain,Washed,White Spray,Bearded,Bulbous,Logo 8
322,Inkspunk #322,2,1104.914893524246,12,Tsunami,Sriracha,Newsprint 05,Alien Ear,Wake Up,Alien,Captain,Washed,Alien Head,Confused,Blue,Logo 7
428,Inkspunk #428,3,1015.9186066721154,12,Coagulated,Pepper,Newsprint 07,Ape Ear,Death,Death,Captain,Splattered,Ape Head 1,Confused,Ape Nose 1,Logo 3
501,Inkspunk #501,4,888.993562168728,24,Splattered,Icing,Newsprint 04,Ear 9,Freedom,Annoyed,Gta,Rage,Shadow,Renaissance,Skull,Logo 2
502,Inkspunk #502,5,876.8577633797124,24,Splattered,Sriracha,Newsprint 02,Ear 2,Defi,Relaxed,Ernest,Markt,Spawn,Shout,Bloody,Logo 1
171,Inkspunk #171,6,845.9183310711256,12,Dawn,Too Hot,Newsprint 11,Ape Ear,420,Graphic,Night King,Liberty,Ape Head 2,Growl,Ape Nose 1,Logo 5
150,Inkspunk #150,7,833.4831881931751,12,Tsunami,Hot Sauce,Newsprint 05,Alien Ear,Stand,Alien,Night Queen,Indigo,Alien Head,Fear,Papermache,Logo 5
286,Inkspunk #286,8,829.0098398495253,12,Tsunami,Sriracha,Newsprint 12,Alien Ear,Stand,Alien,Night King,Indigo,Alien Head,Censored,Bulbous,Logo 8
503,Inkspunk #503,9,814.8562886635029,24,Sunset,Hubba,Newsprint 08,Ear 9,Life,Death,Tourist,Washed,Dusk,Renaissance,Cold,Logo 6
369,Inkspunk #369,10,807.6372781062447,12,Tsunami,Frozen,Newsprint 03,Alien Ear,Pharoah,Alien,Transcendence,Indigo,Alien Head,Sick,Papermache,Logo 5
444,Inkspunk #444,11,777.7269234594659,12,Coagulated,Bubblegum,Newsprint 10,Ape Ear,Pharoah,Annoyed,Transcendence,Skull,Ape Head 1,Shout,Ape Nose 2,Logo 5
402,Inkspunk #402,12,759.6689085800741,12,Splattered,Tundra,Newsprint 11,Ape Ear,Crowned,X Ray,Magician,Murdered,Ape Head 2,Saw Tooth,Ape Nose 2,Logo 2
410,Inkspunk #410,13,754.4560212613849,12,Bright Spot,Sriracha,Newsprint 07,Ape Ear,Lies,Sprayed,Punk,Indigo,Ape Head 2,Shout,Ape Nose 2,Logo 4
163,Inkspunk #163,14,749.7909105806443,12,Blood Wash,Tundra,Newsprint 02,Ape Ear,Defi,Hexed,Paper King,Splattered,Ape Head 1,Hungry,Ape Nose 1,Logo 7
358,Inkspunk #358,15,747.955263088568,12,Hades,Pepper,Newsprint 05,Ape Ear,Wake Up,Confused,Tilley,Red,Ape Head 1,Growl,Ape Nose 1,Logo 2
486,Inkspunk #486,16,744.4037361080821,12,Hades,Tundra,Newsprint 04,Ape Ear,Sleeping,Ar,Storm,Liberty,Ape Head 2,Fear,Ape Nose 2,Logo 3
478,Inkspunk #478,17,686.5429831501648,12,Tsunami,Hubba,Newsprint 06,Ape Ear,Data,Alert,Caddy,Rage,Ape Head 2,Hungry,Ape Nose 1,Logo 6
698,Inkspunk #698,18,676.9690932302243,12,Tsunami,Spearmint,Newsprint 01,Ear 3,Sleeping,Incensed,Ghost Captain,Rage,Dusk,Renaissance,Surly,Logo 7
824,Inkspunk #824,19,667.2974566184096,12,Hades,Icing,Newsprint 09,Ear 11,Right Click,Fuchsia,Ghost Captain,Grey,Frigid,Shout,Pinched,Logo 4
399,Inkspunk #399,20,628.0486270918673,12,New Day,Hubba,Newsprint 11,Alien Ear,Sleeping,Ar,Paper King,Washed,Alien Head,Renaissance,Blue,Logo 8
408,Inkspunk #408,21,616.6326317267302,12,New Day,Candy,Newsprint 07,Ear 6,420,Clarity,Transcendence,Splattered,Evil,Vampire,Surly,Logo 2
267,Inkspunk #267,22,475.3313450295631,12,Coagulated,Too Hot,Newsprint 11,Ear 9,Defi,Clarity,Tilley,Markt,Hollow,Vampire,Crooked,Logo 5
480,Inkspunk #480,23,470.09005534648486,12,Coagulated,Hubba,Newsprint 03,Ear 3,Power,Clarity,Paper King,Grey,Frigid,Rotted,Bulbous,Logo 5
139,Inkspunk #139,24,457.5860331895546,12,Blood Wash,Spearmint,Newsprint 13,Ear 10,Watching,Clarity,Night King,Indigo,Cold,Vampire,Bloody,Logo 4
916,Inkspunk #916,25,440.65977716568403,12,Power Struggle,Gummi,Newsprint 10,Ear 5,Death,Confused,Daftendirekt,Indigo,Dusk,Renaissance,Faded,Logo 6
884,Inkspunk #884,26,438.2549586572423,12,Hades,Candy,Newsprint 12,Ear 9,Lies,Furious,Daftendirekt,Grey,Hollow,Rotted,Bloody,Logo 3
563,Inkspunk #563,27,424.56885360496966,12,Tsunami,Spearmint,Newsprint 04,Ear 6,Sleeping,Ready,Daftendirekt,Markt,Head Hole,Anguish,Cold,Logo 7
152,Inkspunk #152,28,422.97660267333356,12,Coagulated,Sriracha,Newsprint 10,Ear 8,420,Dripped,Thorns,Red,Splats,Censored,Crooked,Logo 6
598,Inkspunk #598,29,420.7529938518056,12,Power Struggle,Pepper,Newsprint 06,Ear 1,Freedom,Old Timer,Daftendirekt,Red,Arctic,Saw Tooth,Needle,Logo 1
141,Inkspunk #141,30,412.56252210884213,12,New Day,Bubblegum,Newsprint 02,Ear 4,420,Ar,Punk,Headlines,Splats,Shout,Pinched,Logo 3
420,Inkspunk #420,31,398.45207536052584,12,Splattered,Candy,Newsprint 06,Ear 6,420,Suspicious,Night King,Indigo,Frigid,Grillz,Crooked,Logo 2
325,Inkspunk #325,32,384.97223631214433,12,Hades,Frosty,Newsprint 06,Zombie Ear,Wagmi,Sprayed,Scarecrow,Skull,Zombie Head,Grillz,Faded,Logo 8
331,Inkspunk #331,33,369.28351844246504,12,Scratches,Icing,Newsprint 05,Zombie Ear,Pawn,Afraid,Bro,Skull,Zombie Head,Snarl,Skull,Logo 2
496,Inkspunk #496,34,367.0768981653879,12,Bright Spot,Frozen,Newsprint 01,Ear 1,Watching,Suspicious,Paper King,Murdered,Splats,Louie,Bandaged,Logo 4
295,Inkspunk #295,35,365.0389849643273,12,Blood Wash,Frozen,Newsprint 04,Zombie Ear,Data,Confused,Kango,Liberty,Zombie Head,Rotted,Cold,Logo 7
361,Inkspunk #361,36,356.977117265221,12,Coagulated,Candy Floss,Newsprint 12,Zombie Ear,Box,X Ray,Paper King,Grey,Zombie Head,Grillz,Long,Logo 5
815,Inkspunk #815,37,351.32325824218015,12,New Day,Candy Floss,Newsprint 02,Ear 11,Lies,Confused,Tourist,Rheinische,Black And White,Louie,Needle,Logo 5
498,Inkspunk #498,38,348.9148731925037,12,Coagulated,Frozen,Newsprint 11,Ear 11,Watching,Graphic,Tidy Dreads,Bleached,White Outline,Louie,Bulbous,Logo 5
364,Inkspunk #364,39,347.2927242249476,12,Blood Wash,Gummi,Newsprint 01,Zombie Ear,Watching,Cavernous,Sabrina,Skull,Zombie Head,Snarl,Skull,Logo 4
279,Inkspunk #279,40,347.0601063649317,12,Splattered,Frozen,Newsprint 06,Zombie Ear,Frazzled,Graffiti,Night Queen,Grey,Zombie Head,Vampire,Skull,Logo 7
811,Inkspunk #811,41,345.45079865376556,12,Coagulated,Peppermint,Newsprint 02,Ear 4,Anarchy,Graphic,Dominator,Blue,Old Time,Louie,Faded,Logo 8
411,Inkspunk #411,42,345.3549185264228,12,Blood Wash,Peppermint,Newsprint 09,Zombie Ear,Power,Graphic,Tilley,Grey,Zombie Head,Rotted,Skull,Logo 1
733,Inkspunk #733,43,344.9328403849078,12,Scratches,Candy Floss,Newsprint 01,Ear 11,Pawn,14a Exes And Ohs,Ernest,Headlines,Washed,Hungry,Blue,Logo 8
359,Inkspunk #359,44,342.38245085980344,12,Blood Wash,Peppermint,Newsprint 05,Zombie Ear,Crowned,Twenty,Puck Head,Skull,Zombie Head,Snarl,Cold,Logo 8
661,Inkspunk #661,45,342.01267602118486,12,Power Struggle,Frosty,Newsprint 07,Ear 5,Rise Up,Fuchsia,Pinkhawk,Grey,Black And White,Louie,Long,Logo 7
595,Inkspunk #595,46,341.10226393440297,12,Scratches,Hubba,Newsprint 07,Ear 8,Manic,14a Exes And Ohs,Afro,Red,Cyber Skull,Sick,Wide,Logo 1
362,Inkspunk #362,47,338.5579111793426,12,Bright Spot,Pepper,Newsprint 04,Zombie Ear,Frazzled,Cavernous,Rambo,Grey,Zombie Head,Vampire,Skull,Logo 8
436,Inkspunk #436,48,337.26616369997197,12,Coagulated,Spearmint,Newsprint 03,Zombie Ear,Wake Up,Annoyed,Snoop,Rheinische,Zombie Head,Boney,Wide,Logo 3
541,Inkspunk #541,49,336.721906901061,12,Tsunami,Frosty,Newsprint 12,Ear 10,Frazzled,Ready,Tattooed,Blue,White Outline,Louie,Bleached,Logo 2
623,Inkspunk #623,50,336.03620908171655,12,Power Struggle,Pepper,Newsprint 13,Ear 1,Bullet,14a Exes And Ohs,Afro,Liberty,Fuchsia Skull,Sick,Pinched,Logo 4
316,Inkspunk #316,51,335.2864542461916,12,Hades,Candy,Newsprint 10,Zombie Ear,Frazzled,Fire,Rambo,Headlines,Zombie Head,Snarl,Blue,Logo 5
433,Inkspunk #433,52,335.2399997663913,12,Hades,Candy Floss,Newsprint 02,Zombie Ear,Life,Death,Punk,Skull,Zombie Head,Vampire,Papermache,Logo 1
