ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Eyes,Hair,Prop,Skin
1601,Les Elefants Terribles #1601,1,3183.9129394995,6,Ninth Album,Gibes Gambols Gone,Look Closer,Not A Concept,Johnpaulyounge,Neoplastifant C
1124,Les Elefants Terribles #1124,2,3055.1973846154,6,Android Dream,IAMTHEOBJECT,Hello Goodbye,Not A Concept,Silk Scarf,Pure Uzzell
1646,Les Elefants Terribles #1646,3,3004.5713285229,6,The Color,Santiago Heroin,Telephone,VR,Wibbling Rival,Dead Eleman
185,Les Elefants Terribles #185,4,2961.3146568834,6,Sixth Album,Formaldefant,TCB,Seduce Destroy,La Jete,PARTWhy
1099,Les Elefants Terribles #1099,5,2957.8880833151,6,Ninth Album,Salts Mill,Club 27,Seven Death,Brocli Moss,Sixtynine Slides
1950,Les Elefants Terribles #1950,6,2924.3685038752,6,Ninth Album,Pearblossom Highway,Sunken,Son Of Man,Renelefant,Great Masturbator
1751,Les Elefants Terribles #1751,7,2924.1242985634,6,Dorian,Wedding Present,DeDroog,Booky Fook,Steven Allanaphone,Manuelefant
287,Les Elefants Terribles #287,8,2918.4986223757,6,Dorian,OneSixZeroCM,Stoopid,Reginald,Wibbling Rival,Warners
2154,Les Elefants Terribles #2154,9,1842.7898900658,6,Seventh Album,Never Forgetting,Chromoluminarism,VR,Treachery,Mad As Hell
538,Les Elefants Terribles #538,10,1809.9276516001,6,Edwood,Replace Yourself,Stoopid,Be Miyine,Pourpourpour,For The Love
1645,Les Elefants Terribles #1645,11,1802.9494177973,6,Ninth Album,Good Girl,Moon Bark,Suspense,Treachery,Under The Surface
938,Les Elefants Terribles #938,12,1776.5248321903,6,Buscemi,Charles Spiegel,Stefanti Joanne,Bodies Need Rest,Devon Saw,Daft Evil
1510,Les Elefants Terribles #1510,13,1751.6830817831,6,Ninth Album,Eleven Eleven,Rob Liefant,Elefant 2003,Brocli Moss,Fwloyd
2209,Les Elefants Terribles #2209,14,1742.9416405963,6,Dorian,MPAA Desaturate,Elewise,Bodies Need Rest,Quatre Cents Coups,Mad As Hell
1485,Les Elefants Terribles #1485,15,1710.6177760423,6,The Color,Milk Surgery,DeDroog,Attention Please,Bodega Bay,SisterDaughterSister
2120,Les Elefants Terribles #2120,16,1709.1278965129,6,Cornetto Films,Never Forgetting,D Fens,VR,1962,What You Deserve
1330,Les Elefants Terribles #1330,17,1653.5364175258,6,Seventh Album,Camera Drawing,Stefanti Joanne,Saulefant Hudson,1962,Dead Eleman
1652,Les Elefants Terribles #1652,18,1628.4252973142,6,Pretty In,Replace Yourself,Extracurricular,Seven Death,Balloon,Prayer Accepted
1582,Les Elefants Terribles #1582,19,1607.6714075398,6,Electric Sheep,Loveisinthespray,Party Over,Contagious,Quatre Cents Coups,Mad As Hell
1379,Les Elefants Terribles #1379,20,1575.2299071044,6,Cornetto Films,Lick Smile,DeDroog,Suspense,SNL 1992,Fwloyd
5277,Les Elefants Terribles #5277,21,1575.1331844431,6,Seventh Album,MPAA Desaturate,Splash,Seduce Destroy,Charles Camilla,Under The Surface
5208,Les Elefants Terribles #5208,22,1564.0966078253,6,Kieslowski,The Shrink,Gonzo Journalism,Saulefant Hudson,Bodega Bay,Wrath
354,Les Elefants Terribles #354,23,1556.3314346497,6,Ninth Album,Dolly Zoom,DeDroog,Attention Please,Steven Allanaphone,Blow Lips
1778,Les Elefants Terribles #1778,24,1544.0531100479,6,Ninth Album,Royalmore Rushbaum,Telephone,Elefant 2003,Maria,Sixtynine Slides
5242,Les Elefants Terribles #5242,25,1531.7846261795,6,Cyberpunk,Loveisinthespray,Club 27,Vincent 82,Rogerz Koonz,SisterDaughterSister
1617,Les Elefants Terribles #1617,26,1524.8976786769,6,Edwood,Royalmore Rushbaum,TCB,Booky Fook,Rogerz Koonz,Structured Jewel
2210,Les Elefants Terribles #2210,27,1443.6736604702,6,Edwood,Fuck Boris,Gonzo Journalism,Stoke On Trent,Love,Cosmic Jive
1986,Les Elefants Terribles #1986,28,1435.554597578,6,Warmest Colour,Five One Eight,Esari Dot,Sic Transit Gloria,Yesterday Today,Great Masturbator
