ID,Name,Rank,Rarity_Score,Alpha,Attributes,Axel Mount,Background,Base Neck,Beta,Cheek Shield,Chest,Core Drive,Crest,Delta,Ears,Energy,Equipment,Firepower,Gamma,Head,Jaw nut,K9 Matrix,Lower Jaw,Neck,Nose,Prosternum,Psi,Shield Strength,Sigma,Single Body,Snout,Speed,Tech,Throat,Vision Tech,Withers,Zeta
5456,Mekatron K9 #5456,1,6964.709739875971,,23,AGMount,Nadeshikopink,XtzBN,,Darktech,,NutrenoReactor,TritC,,Hightech,19,,15,,TigerH,JsGunMetal,14,Shimmer,,JBGroupSense,NanitePST,Psi,12,,,MajBParticleGenerator,07,18,NetherT,EvbStern,ColorsW,
114,Mekatron K9 #114,2,6217.563670373751,Alpha,19,Deepskyblue,Nadeshikopink,,,Cybergrape,,ReactorCoreDrive,,,RedFlame,09,InvisibleTurret,14,,,Independence,14,Shimmer,,HashCorp,,,14,,K9Iron,FlameRingCore,12,19,,EvRAnger,,
877,Mekatron K9 #877,3,4379.649141732053,,19,Darkmetal,Russianviolet,,,Carbon,,HiveDrive,,,Carborandum,13,ClokedTorpedo,20,Gamma,,Carbon,16,Carbon,,Fiberwheels,,,19,,Bats,Carbon,17,24,,EvRAnger,,
2512,Mekatron K9 #2512,4,4091.138380815276,,26,Pumkin,YellowOrange,DusteezBN,,Cybergrape,Trit,hexDrive,PlatedC,Delta,Proximitysensor,16,CloakedPhotonCanon,15,,LeopH,Labrynth,12,Laventech,DesertSquadN,JesonPak3,BluesPST,,22,,,AndromedaAlpha,13,20,NetherT,Juggernaut,CobaltblueW,
2415,Mekatron K9 #2415,5,3879.397159465614,,26,Onyx,WeezyBlue,ZebBN,,PunkShield,Xtz,Mk4Antimater,ByzaniumC,Delta,Orangered,14,PlasmaCannon,09,,ZebH,Oxblood,11,Honolu,WhitechipN,Ringtechmodel2,BrowneePST,,13,,,StandardMekaGenMk5,16,16,CarbonT,GreenLaser,ZebW,
3225,Mekatron K9 #3225,6,3644.803156945135,,26,KillerMount,Orangeyellow,MustardBN,,Teal,Skyblue,Photomatter,TritC,,Cargonite,12,ArmorCrackerMK4,12,,AlientechH,Independence,17,Titanforge,SnowyN,PJSNCorpNose,SkybluePST,,13,,,ExoticParticleGenerator,17,09,SavageT,TrippleRed,FlW,Zeeta
1173,Mekatron K9 #1173,7,3517.619032967565,,26,Pumkin,GreenLizard,Zeb2BN,,Jazzberry,Prussianblue,TacheonReactor,AndromedaC,,Pearlesence,15,SideCanon1,12,Gamma,K9FeH,JsMeka,09,KissofDeath,WhitechipN,AeroTechz,PlatedPST,,18,,,ParticleGeneratorGen2,23,17,DusteezT,Astratech,MustardW,
3794,Mekatron K9 #3794,8,3504.61055794586,,19,KillerMount,Steelblue,,,Darkgreen,,ThoronPlasma,,,Mystique,18,GreenRayTurret,13,,,Outrageous,24,Curvedbayo,,AeroTechz,,,22,Sigma,CK9,AndromedaAlpha,06,10,,Peace,,
2379,Mekatron K9 #2379,9,3463.3829874669177,,26,CanonMount,Orangeyellow,ShimmerBN,,Rajah,Prussianblue,HiveDrive,FlC,Delta,Goblin,21,ArmorCrackerMK2,25,,AtiumH,JsEncorp,15,slyaluminum,CarbonN,ColNetwork,AtiumPST,,15,,,Prussgreen,23,13,SavageT,Solvision,ChlorophyteW,
2002,Mekatron K9 #2002,10,3459.482829287545,,19,RedOx,Acidgreen,,,Carbon,,ReinforcedDeuterium,,Delta,Plasmanix,16,ArmorCrackerMK2,15,,,Mahagony,15,Redgiant,,NGtechmodel3,,,13,,Spidey,AntimaterGenerator,09,08,,EvbStern,,
4649,Mekatron K9 #4649,11,3454.449367629929,,19,OceanicAxel,Palatinatepurple,,,Darkgreen,,ThoronPlasma,,,Ivory,13,StingerMissile,22,,,Illumemrald,09,slyaluminum,,Ringtechmodel2,,Psi,11,,CK9,MekaGenMk1,12,18,,Evangry,,
3214,Mekatron K9 #3214,12,3430.9555179881427,,26,Sepia,Battleshipgrey,AndromedaBN,,Eminance,Xtz,hexDrive,ShimmerC,,Cargonite,19,CoreBuster,17,,PlatedH,LockedNut,22,Soltech,TritN,AeroTechz,ShimmerPSt,,16,,,OldGeneralCorpReplacement,16,15,CapT,RedCrimson,ScarletW,Zeeta
3798,Mekatron K9 #3798,13,3396.7821801272166,,19,Deeprose,DarkBrown,,,Timberwolf,,FieldInjection,,,Persianindego,17,CloakedPhotonCanon,20,,,Chiptech,17,Laventech,,JesonPak1,,,15,Sigma,AndromedaMk3,OldGeneralCorpReplacement,16,06,,BlueEye,,
