ID,Name,Rank,Rarity_Score,Antenna,Attributes,Eyewear,Gang,Gear,Hair,Headgear,Helmet,Mask,Tattoo
6661,NEONZ #6661,1,25006.5832784727,,3,,Daft Pinkz,Daft Suit,,,Human,,
8517,NEONZ #8517,1,25006.5832784727,,3,,Daft Pinkz,Daft Jacket,,,Daft Neon,,
5859,NEONZ #5859,3,11911.3451832346,,3,,Night Riderz,N Jacket,,,Straylight,,
1290,NEONZ #1290,4,11889.7001615896,,3,,Night Riderz,Robo Shield,,,RoboDrop,,
3625,NEONZ #3625,5,11869.9373157398,,3,,Night Riderz,Puffer Jacket,,,Apocalypto,,
8892,NEONZ #8892,5,11869.9373157398,,3,,Night Riderz,Flux Suit,,,Pilot,,
708,NEONZ #708,7,11851.8213737108,,3,,Night Riderz,Raver,,,Geisha,,
6832,NEONZ #6832,8,11805.5250774145,,3,,Night Riderz,Hacker Jacket,,,Gassed,,
3957,NEONZ #3957,9,11738.1850100744,,3,,Night Riderz,Battle Jacket,,,Skellie,,
6152,NEONZ #6152,10,8226.6865965486,Ear Bladez,6,Flies Eyes,Cherry Bombz,Robo Shield,,Raiden,,Atom Sniffer,
5837,NEONZ #5837,11,7687.9670064066,Ear Bladez,6,Mindtronics,Reactorz,N Jacket,,Sensor,,Grillz,
5993,NEONZ #5993,12,7510.7446582242,Bunnies,6,Mindtronics,Vaporwavez,N Jacket,,Transmitters,,Big Breather,
9557,NEONZ #9557,13,1744.4349804767,Ear Bladez,5,,Cherry Bombz,Hacker Jacket,Pris,,,,Neural Link
1028,NEONZ #1028,14,1705.63192868,Bunnies,5,Mindtronics,Cherry Bombz,N Jacket,,Pincers,,,
3951,NEONZ #3951,15,1662.9634952351,,4,,Cherry Bombz,Raver,Eraserhead,,,,Spaceface
4056,NEONZ #4056,16,1637.0917997213,,4,Precogs,Cherry Bombz,Battle Jacket,,,,,Sentient
8355,NEONZ #8355,17,1625.5905316387,Boomnodes,4,,Cherry Bombz,,Tigerhawk,,,,Void
808,NEONZ #808,18,1612.3142644588,Boomnodes,4,,Cherry Bombz,Data Choker,Tigerhawk,,,,
1112,NEONZ #1112,19,1583.2273782308,Bunnies,5,,Cherry Bombz,Horn Plates,Eraserhead,,,,Neural Link
5239,NEONZ #5239,20,1571.4596731961,Bunnies,5,,Cherry Bombz,Battle Vest,Tigerhawk,,,Hannibal,
9586,NEONZ #9586,21,1565.8210983666,,4,Tycho Chic,Cherry Bombz,Robo Shield,,Demon Pleaser,,,
1306,NEONZ #1306,22,1053.4579187178,,5,Polyvision,Reactorz,Data Choker,,Transmitters,,,Neural Link
9020,NEONZ #9020,23,1049.4311520567,,4,,Reactorz,N Jacket,Cryo Pony,,,,Plotter
8527,NEONZ #8527,24,1048.7686760791,,5,Flies Eyes,Reactorz,Raver,,Transmitters,,,Tesseract
6284,NEONZ #6284,25,1048.0045535285,Bunnies,5,,Reactorz,Robo Shield,Grease Punk,,,,Dat Tribe
7872,NEONZ #7872,26,1047.1650600692,,4,Flies Eyes,Reactorz,Flux Suit,,,,,Dat Tribe
7997,NEONZ #7997,27,1043.89422066,,5,Precogs,Reactorz,Data Choker,,Pincers,,,Halo
5476,NEONZ #5476,28,1040.839769589,Bunnies,5,,Reactorz,Flux Suit,Helmet,,,,Sentient
9866,NEONZ #9866,29,1039.7446446624,,5,Laser Blades,Reactorz,N Jacket,,Transmitters,,,Plotter
6587,NEONZ #6587,30,1039.0565070974,Bunnies,5,,Reactorz,Robo Shield,Pris,,,,Void
4064,NEONZ #4064,31,1037.3945053675,Bunnies,5,,Reactorz,Robo Shield,Pris,,,,Plotter
6609,NEONZ #6609,32,1037.2944944434,,5,Cyclops,Reactorz,N Jacket,,Mind Reader,,,Void
7493,NEONZ #7493,33,1034.6328523281,,5,Cyclops,Reactorz,N Jacket,,Death Spikes,,,Void
2835,NEONZ #2835,34,1031.929756559,,5,Dimension Splitters,Reactorz,N Jacket,,Mind Reader,,Big Breather,
2489,NEONZ #2489,35,1031.3574914567,,5,Beamers,Reactorz,N Jacket,,Sensor,,,Plotter
4158,NEONZ #4158,36,1025.4126202066,Bunnies,5,,Reactorz,Flux Suit,Cryo Pony,,,,Matrix
7196,NEONZ #7196,37,1022.3795389498,,3,,Reactorz,,Eraserhead,,,,Neural Link
4087,NEONZ #4087,38,1022.2960474747,,4,,Reactorz,Puffer Jacket,Cryo Pony,,,,Stacker
8873,NEONZ #8873,39,1016.5752236761,,4,,Reactorz,Flux Suit,Cryo Pony,,,,Sentient
7323,NEONZ #7323,40,1015.4210401133,,4,,Reactorz,Puffer Jacket,Helmet,,,,Void
1108,NEONZ #1108,41,864.3872434545,,5,Greeble Eaters,Vaporwavez,Robo Shield,,Shocker Cap,,,Stacker
7955,NEONZ #7955,42,863.9751350836,,5,Brain Feeders,Vaporwavez,N Jacket,,Transmitters,,,Prism
224,NEONZ #224,43,863.2612240699,Bunnies,5,Broadcasters,Vaporwavez,N Jacket,,Mind Reader,,,
6126,NEONZ #6126,44,862.3395925778,,5,Tycho Chic,Vaporwavez,Robo Shield,,Mind Reader,,,Dat Tribe
2889,NEONZ #2889,45,861.5018342523,Ear Bladez,5,Tycho Chic,Vaporwavez,N Jacket,,Mind Reader,,,
1727,NEONZ #1727,46,860.5259094892,,5,Cyclops,Vaporwavez,N Jacket,,Synaptic Shield,,Atom Sniffer,
583,NEONZ #583,47,856.9394610773,,5,Mindtronics,Vaporwavez,N Jacket,,Death Spikes,,Big Breather,
4237,NEONZ #4237,48,854.9099698518,Bunnies,5,,Vaporwavez,N Jacket,,Transmitters,,Grillz,
1796,NEONZ #1796,49,852.7803777283,,5,Broadcasters,Vaporwavez,Flux Suit,,Synaptic Shield,,,Stacker
9024,NEONZ #9024,50,852.626994581,Bunnies,5,,Vaporwavez,Puffer Jacket,Pris,,,,Void
1257,NEONZ #1257,51,851.2081649556,,5,Beamers,Vaporwavez,Robo Shield,,Death Spikes,,,BOLT
8067,NEONZ #8067,52,850.9598433841,Bunnies,5,Beamers,Vaporwavez,N Jacket,,Transmitters,,,
7665,NEONZ #7665,53,850.5708075998,Bunnies,5,,Vaporwavez,N Jacket,,Death Spikes,,Big Breather,
4047,NEONZ #4047,54,850.547603914,,5,Dimension Splitters,Vaporwavez,Robo Shield,,Sensor,,,Void
7073,NEONZ #7073,55,849.2627609236,Ear Bladez,5,,Vaporwavez,Raver,Grease Punk,,,,Stacker
9038,NEONZ #9038,56,848.5643842176,,5,Tycho Chic,Vaporwavez,Robo Shield,,Synaptic Shield,,,Matrix
9364,NEONZ #9364,57,847.7461457373,,5,Dimension Splitters,Vaporwavez,Robo Shield,,Sensor,,,Matrix
2930,NEONZ #2930,58,846.4038874722,,5,Hunters,Vaporwavez,Puffer Jacket,,Sensor,,,Void
575,NEONZ #575,59,844.707804875,,5,Beamers,Vaporwavez,Robo Shield,,Sensor,,,Void
6577,NEONZ #6577,60,844.6824891403,,5,Beamers,Vaporwavez,Robo Shield,,Death Spikes,,,Void
1823,NEONZ #1823,61,844.6805251692,,4,Brain Feeders,Vaporwavez,N Jacket,,,,,Halo
2505,NEONZ #2505,62,843.7494109248,,4,,Vaporwavez,N Jacket,,Synaptic Shield,,,Prism
3535,NEONZ #3535,63,841.8405560318,,4,Mindtronics,Vaporwavez,N Jacket,,,,,Matrix
8743,NEONZ #8743,64,839.7582828536,,4,Crickets,Vaporwavez,Robo Shield,,,,,Spaceface
3226,NEONZ #3226,65,836.298080486,,5,Broadcasters,Vaporwavez,Flux Suit,,Shocker Cap,,,Seed Phrase
4888,NEONZ #4888,66,832.9822506144,Bunnies,5,,Vaporwavez,Robo Shield,,Sensor,,Grillz,
9950,NEONZ #9950,67,822.8532610915,,4,Hunters,Vaporwavez,Puffer Jacket,,,,,Plotter
2256,NEONZ #2256,68,821.6563969237,,4,Cyclops,Vaporwavez,Robo Shield,,,,,Matrix
5294,NEONZ #5294,69,820.5707801347,,3,Portals,Vaporwavez,Puffer Jacket,,,,,
9783,NEONZ #9783,70,497.5423634975,,2,Tycho Chic,,Robo Shield,,,,,
5304,NEONZ #5304,71,495.9665494022,,2,,,Robo Shield,,Mind Reader,,,
6207,NEONZ #6207,72,492.7731627253,,2,,,Puffer Jacket,,,,,Sentient
967,NEONZ #967,73,488.8283780178,,4,Beamers,,Flux Suit,,Death Spikes,,,Tesseract
8385,NEONZ #8385,74,488.7543287157,Bunnies,5,Beamers,,Flux Suit,,Synaptic Shield,,Atom Sniffer,
4279,NEONZ #4279,75,488.1708099262,,4,Beamers,,Robo Shield,,Transmitters,,Big Breather,
9632,NEONZ #9632,76,487.5996735532,,4,Mindtronics,,Flux Suit,,Shocker Cap,,,BOLT
963,NEONZ #963,77,486.0772553916,,4,Crickets,,Flux Suit,,Mind Reader,,,Seed Phrase
9665,NEONZ #9665,78,485.9621978122,,4,Tycho Chic,,Puffer Jacket,,Sensor,,,Sentient
2640,NEONZ #2640,79,485.7914047711,,4,Dimension Splitters,,Puffer Jacket,,Raiden,,,Plotter
5027,NEONZ #5027,80,484.6519483244,,4,Dimension Splitters,,Flux Suit,,Raiden,,,Matrix
8239,NEONZ #8239,81,484.0835380367,,2,,,,Tigerhawk,,,,Seed Phrase
3571,NEONZ #3571,82,483.6148029803,,3,,,X Armour,Tigerhawk,,,,Prism
7347,NEONZ #7347,83,483.611564118,,3,Beamers,,Flux Suit,,,,,Tesseract
6745,NEONZ #6745,84,482.5348602749,,4,Cyclops,,Flux Suit,,Shocker Cap,,,Void
1625,NEONZ #1625,85,480.5671123727,,3,,,Heavy Fetish,Tigerhawk,,,,BOLT
3098,NEONZ #3098,86,480.1786941698,,3,Beamers,,Robo Shield,,Transmitters,,,
4987,NEONZ #4987,87,479.6471595562,,3,Mindtronics,,Robo Shield,,,,Atom Sniffer,
