ID,Name,Rank,Rarity_Score,Attributes,Background,Clothing,Eyes,Eyewear,Fur,Headgear,Magnificent,Mouth,Piercings,Tail
871,Ottez #871,1,4579.428571428572,1,,,,,,,The Golden Otter,,,
1167,Ottez #1167,1,4579.428571428572,1,,,,,,,Terminus,,,
1213,Ottez #1213,1,4579.428571428572,1,,,,,,,Shimada Knife-tail,,,
1287,Ottez #1287,1,4579.428571428572,1,,,,,,,Robo-Otter,,,
1937,Ottez #1937,1,4579.428571428572,1,,,,,,,The Crypt Keeper,,,
3426,Ottez #3426,1,4579.428571428572,1,,,,,,,Valentina,,,
3684,Ottez #3684,1,4579.428571428572,1,,,,,,,The Tez Ninja,,,
3129,Ottez #3129,8,457.2322574618632,8,Green,Prison Jumpsuit,Cheeky Eyes,Morpheus,Brown,Luffy Hat,,Happy,,White
404,Ottez #404,9,425.8754323668655,8,Purple,Bulletproof Vest,Brown Eyes,Aviators,Brown,Bucket Hat,,Gold,,Rainbow
87,Ottez #87,10,414.8344547743365,8,Navy,Prison Jumpsuit,Closed Eyes,,Grey,Army Helmet,,Smile,Nose Ring,White
1635,Ottez #1635,11,409.89614232698005,8,Dark Grey,Prison Jumpsuit,Brown Eyes,Heart Shades,Brown,Bobble Hat,,Ape,,Plain
2707,Ottez #2707,12,405.0867458265174,8,Purple,Prison Jumpsuit,Blue Eyes,3D,Fawn,Pink Cowboy,,Human,,White
2540,Ottez #2540,13,392.8448098433872,9,Yellow,Bebop Suit,Heterochromia,Heart Shades,Grey,Yellow Beanie,,Gritted,Nose Ring,Rainbow
1964,Ottez #1964,14,383.1505569955216,8,Navy,Straight Jacket,Blue Eyes,Tortoise Shell,Albino,Exposed Brain,,Happy,,Plain
2426,Ottez #2426,15,381.38771578327163,8,Blue,Bebop Suit,Brown Eyes,Aviators,Stripey Sand,Propeller Hat,,Bubblegum,,Metal
3738,Ottez #3738,16,380.6581058707348,8,Purple,Prison Jumpsuit,Pretty Eyes,Aviators,Grey,Orange Beanie,,Drool,,Fire
357,Ottez #357,17,370.3305212587579,8,Blue,Straight Jacket,Closed Eyes,Morpheus,Sand,Captains Hat,,Gap Tooth,,Fire
2811,Ottez #2811,18,367.6573754088861,6,Purple,Red Leather Jacket,Green Eyes,,Brown,,,Freaky Teeth,,White
1997,Ottez #1997,19,365.570184583805,8,Navy,Bulletproof Vest,Closed Eyes,Tortoise Shell,Brown,Army Helmet,,Gap Tooth,,Plain
1250,Ottez #1250,20,364.8450245637677,8,Green,Prison Jumpsuit,Hypnotised,Tortoise Shell,Brown,Bucket Hat,,Happy,,Plain
191,Ottez #191,21,362.3939779351395,7,Pink,Prison Jumpsuit,Pretty Eyes,,Brown,Orange Beanie,,Whistle,,Plain
1625,Ottez #1625,22,361.9417461659186,8,Purple,Prison Jumpsuit,Cheeky Eyes,Tortoise Shell,Stripey Sand,Orange Beanie,,Smile,,Fire
2034,Ottez #2034,23,360.6821544373192,8,Dark Grey,Prison Jumpsuit,Blue Eyes,Xterminator Shades,Brown,Cycling Cap,,Smile,,Plain
1189,Ottez #1189,24,355.11368853781016,9,Blue,Prison Jumpsuit,Suspicious Eyes,Rap Shades,Grey,Bucket Hat,,Happy,Bull Ring,Plain
3869,Ottez #3869,25,354.09133398697196,8,Green,Prison Jumpsuit,Sexy Eyes,Rap Shades,Grey,Party Hat,,Closed,,White
44,Ottez #44,26,351.98359716239685,8,Dark Grey,Bulletproof Vest,Hypnotised,Heart Shades,Purple,Pink Cowboy,,Drool,,White
2101,Ottez #2101,27,350.8888612017525,8,Yellow,Bulletproof Vest,Suspicious Eyes,Black Wayfarer,Grey,Exposed Brain,,Whistle,,White
2866,Ottez #2866,28,348.32379292978777,9,Navy,Bebop Suit,Pretty Eyes,Adventurer,Purple,Pink Cowboy,,Closed,Nose Ring,Plain
216,Ottez #216,29,348.1708538416575,6,Dark Grey,,Blue Eyes,,Stripey Fawn,Bamboo Hat,,Bubblegum,,White
33,Ottez #33,30,346.8036465400287,6,Dark Grey,Black Hoodie,Suspicious Eyes,,Brown,,,Ape,,Plain
1288,Ottez #1288,31,346.2288244485501,8,Orange,Bebop Suit,Tired Eyes,Black Wayfarer,Brown,Bunny Ears,,Gritted,,White
1775,Ottez #1775,32,345.93359573396896,8,Orange,Prison Jumpsuit,Brown Eyes,Aviators,Grey,Backwards Cap,,Happy,,Metal
1238,Ottez #1238,33,345.5796790856033,8,Navy,Prison Jumpsuit,Cheeky Eyes,,Fawn,Captains Hat,,Happy,Bull Ring,Plain
1618,Ottez #1618,34,342.73370186010914,8,Orange,Bebop Suit,Tired Eyes,Morpheus,Stoner,Blue Wig,,Gritted,,Fire
3798,Ottez #3798,35,342.121006350364,8,Pink,Bebop Suit,Cheeky Eyes,Heart Shades,Stoner,Propeller Hat,,Closed,,Plain
2169,Ottez #2169,36,341.3716805825379,7,Yellow,Prison Jumpsuit,Brown Eyes,,Purple,Backwards Cap,,Happy,,Plain
1101,Ottez #1101,37,339.2533735740751,6,Green,,Heart Eyes,,Stripey Sand,Backwards Cap,,Closed,,Metal
314,Ottez #314,38,338.34598542383355,8,Yellow,Puffer Jacket,Tired Eyes,Xterminator Shades,Brown,Viking Helmet,,Gold,,White
3708,Ottez #3708,39,337.39511659443133,6,Purple,Aviator Jacket,Hypnotised,,Fawn,,,Gritted,,White
1552,Ottez #1552,40,335.0722547523894,8,Dark Grey,Bebop Suit,Blue Eyes,Aviators,Purple,Bandana,,Freaky Teeth,,Plain
