ID,Name,Rank,Rarity_Score,Attributes,Background,Beak Color,Chest,Clothes,Eye,Feathers,Glasses,Hat,Holding In Beak,Holding In Foot,One of One
1422,Parrotz #1422,1,12000.0,1,,,,,,,,,,,Greek God
3903,Parrotz #3903,1,12000.0,1,,,,,,,,,,,Mummy
4575,Parrotz #4575,1,12000.0,1,,,,,,,,,,,Pharaoh
7344,Parrotz #7344,1,12000.0,1,,,,,,,,,,,Gold
9211,Parrotz #9211,1,12000.0,1,,,,,,,,,,,Zombie
3293,Parrotz #3293,6,5098.820262451564,10,Sunset,White,Tie,Hoodie,Sleepy,Purple,Neon Party Glasses,Space Helmet,Whistle,Saber,
6651,Parrotz #6651,7,5067.26726674662,10,Sunset,Black,Diamond Necklace,SleevlessShirt,Sleepy,Red,Rayban Sunglasses,Vizor,Lollipop Candy,Telescope,
4551,Parrotz #4551,8,424.4757243885288,10,Waterfall,Black,Bowtie,SleevlessShirt,Sleepy,Orange,Bitcoin,Viking Hat,Cigar,Map,
129,Parrotz #129,9,424.0242432476745,10,Waterfall,White,Diamond Necklace,HawaianShirt,Confused,Cyan Blue,Bitcoin,Top Hat,Lollipop Candy,Telescope,
1510,Parrotz #1510,10,423.0908914753907,10,Waterfall,Red,Gemstone Necklace,Military Jacket,Basic,Dark Blue,Bitcoin,Party Hat,Lollipop Candy,Map,
2655,Parrotz #2655,11,407.06931432099566,10,Seasons,Light Green,Gold Chain,HawaianShirt,Confused,Green,Cyborg,Cowboy Hat,Pizza,Dice,
6096,Parrotz #6096,12,386.69933310440115,10,Seasons,Black,Bowtie,HawaianShirt,Surprised,Orange,Cyborg,Crown,Lollipop Candy,Map,
1848,Parrotz #1848,13,368.8182085128746,10,Seasons,Red,Tie,SleevlessShirt,Demonic,White,Cyborg,Vizor,Lollipop Candy,Map,
421,Parrotz #421,14,333.96663302053923,10,Palm Road,Black,Bowtie,Hoodie,Angry,Black,Cyborg,Turban,Nose Ring,Cash,
4728,Parrotz #4728,15,331.36490073708205,10,Pyramid Palm Sun,Black,Tie,Tuxido,Red Glow,Purple,Cyborg,Pirate Captain Hat,Pipe,Dice,
9825,Parrotz #9825,16,327.6883079695427,10,Seasons,Orange,Titanic Movie Necklace,Hoodie,Sleepy,Blue,Monocle,Pirate Captain Hat,Lollipop Candy,Saber,
4152,Parrotz #4152,17,324.8006408339477,10,Red Lasers,Black,Diamond Necklace,Tuxido,Angry,White,Bitcoin,Trapper Hat,Whistle,Dice,
4574,Parrotz #4574,18,321.78444024665293,10,Seasons,Black,Gold Chain,Tuxido,Surprised,White,Steampunk Glasses,Pirate Captain Hat,Lollipop Candy,Dice,
1473,Parrotz #1473,19,321.3978555854714,10,Seasons,White over Black,Bamboo Necklace,SleevlessShirt,Angry,Red,Monocle,Space Helmet,Pipe,Thanos Gauntlet,
8620,Parrotz #8620,20,317.01066923475804,10,Red Lasers,Red,Bowtie,SleevlessShirt,Angry,Dark Blue,Bitcoin,Party Hat,Pipe,Golden Cobra Cane,
9694,Parrotz #9694,21,316.5419801933793,10,Snow,Orange,Pharaoh Necklace,Picasso Shirt,Sleepy,Blue,Bitcoin,Vizor,Gold Token,Thanos Gauntlet,
6669,Parrotz #6669,22,313.2086055533785,10,Seasons,Light Green,Tie,Tuxido,Angry,Green,Deal With It Glasses,Trapper Hat,Cigar,Golden Cobra Cane,
6467,Parrotz #6467,23,310.7696995272866,10,Waterfall,White,Bowtie,SleevlessShirt,Angry,Cyan Blue,Eye Patch,Boater,Nose Ring,Indiana Jones Whip,
6712,Parrotz #6712,24,308.67335361834967,10,Sequence,Orange,Yoda Necklace,Tuxido,Hypnotised,Orange,Cyborg,Turban,Nose Ring,Telescope,
4329,Parrotz #4329,25,306.6575544780012,10,Disco Lights,Black,Tie,SleevlessShirt,Sleepy,Black,Bitcoin,Ruffled Feathers,Lollipop Candy,Indiana Jones Whip,
5649,Parrotz #5649,26,304.42479055564644,10,Sun Palm Beach,Orange,Diamond Necklace,Picasso Shirt,Red Glow,Black,Bitcoin,Vizor,Pipe,Dice,
7479,Parrotz #7479,27,304.1013451140849,10,Rome,White,Titanic Movie Necklace,Tuxido,Demonic,Red,Bitcoin,Cowboy Hat,Nose Ring,Map,
473,Parrotz #473,28,303.76651582507924,10,Waterfall,Black,Titanic Movie Necklace,Hoodie,Angry,Purple,Deal With It Glasses,Newsboy,Cigar,Dice,
5818,Parrotz #5818,29,300.8667940180801,10,Seasons,White,Bowtie,Hoodie,Hypnotised,Green,Deal With It Glasses,Beret,Cigar,Magic Lamp,
4404,Parrotz #4404,30,300.76746044975044,10,Matrix,Orange,Gemstone Necklace,Tuxido,Hypnotised,Yellow,Bitcoin,Panama,Joint,Dice,
9988,Parrotz #9988,31,298.3703186599486,10,Waterfall,White over Black,Yoda Necklace,SleevlessShirt,Confused,Dark Blue,Deal With It Glasses,Turban,Whistle,Cash,
8924,Parrotz #8924,32,297.85948261877667,10,Palm Road,Red,Bowtie,Hoodie,Red Glow,Black,Cyborg,Ruffled Feathers,Pipe,Cash,
4392,Parrotz #4392,33,297.03562764220555,10,Seasons,Black,Bowtie,HawaianShirt,Basic,Black,Deal With It Glasses,Crown,Nose Ring,Cash,
5843,Parrotz #5843,34,296.30364007747573,10,Matrix,Red,Bamboo Necklace,Tuxido,Sleepy,Cyan Blue,Cyborg,Halo,Gold Token,Indiana Jones Whip,
3883,Parrotz #3883,35,296.0552284646578,10,Bills,White,Diamond Necklace,Picasso Shirt,Basic,Yellow,Bitcoin,Boat Captain,Lollipop Candy,Thanos Gauntlet,
4086,Parrotz #4086,36,294.9100448617365,10,80s Retro Palm,White,Titanic Movie Necklace,Picasso Shirt,Surprised,Dark Blue,Bitcoin,Cowboy Hat,Lollipop Candy,Magic Lamp,
4957,Parrotz #4957,37,291.10195219020693,10,Starbursts,Red,Titanic Movie Necklace,Tuxido,Demonic,Yellow,Cyborg,Vizor,Pizza,Golden Cobra Cane,
