ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Eye Accessory,Facial Expression,Head Wear,Outfit,Special
812,Pixel Panda #812,1,972.5,1,,,,,,,Creator
1290,Pixel Panda #1290,1,972.5,1,,,,,,,Dr.Gloo
1300,Pixel Panda #1300,1,972.5,1,,,,,,,Potter head
1576,Pixel Panda #1576,1,972.5,1,,,,,,,Great Sage
470,Pixel Panda #470,5,145.16858391628634,6,Rainbow,Black Current,Cute Pirate,Howdy,Ruler of the Sun,Jet Pack,
533,Pixel Panda #533,6,134.8602771828087,6,Blood Lust,Purple Panda,Puppet,Rainbow,Ruler of the Sun,Sweater on Top,
2777,Pixel Panda #2777,7,133.59591075377537,6,Rainbow,Cyan,Battle Scar,Game Over,Ruler of the Sun,Hoodie,
1736,Pixel Panda #1736,8,127.72493343265313,6,Water Splash,Shades of Blue,Love Struck,Game Over,Ruler of the Sun,Black Tee,
1242,Pixel Panda #1242,9,125.632349351221,6,Dojo,Red Mist,Disco Power,Angry,Ruler of the Sun,Sleeveless Top,
1626,Pixel Panda #1626,10,123.641060877218,6,Rising Sun,Vanishing Gaze,Mecha Terminator,Oopsie,Ruler of the Sun,Tank Top,
2099,Pixel Panda #2099,11,121.62899163053441,6,Water Splash,Cyan,Mecha Terminator,Devil's Smile,Ruler of the Sun,Shirt,
1702,Pixel Panda #1702,12,121.50942677645831,6,Water Splash,Yellow Fellow,Love Me,Magic Shroom,Ruler of the Sun,The Flirt,
2180,Pixel Panda #2180,13,120.98186270769827,6,Night Fall,Yippie Trippy,Love Me,Howdy,Ruler of the Sun,Sleeveless Top,
1880,Pixel Panda #1880,14,118.37186550670029,6,Flying Love,Cyan,Cute Pirate,Yaay,Ruler of the Sun,Hanfu,
1642,Pixel Panda #1642,15,117.61421109165929,6,Disco,Black Current,Love Me,Angry,Ruler of the Sun,The Flirt,
1786,Pixel Panda #1786,16,116.86338916208695,6,Blood Lust,Vanishing Gaze,Tale of Shunga,Magic Shroom,Rainbow Jack,Hanfu,
1695,Pixel Panda #1695,17,115.3898586917282,6,Night Fall,Yellow Fellow,Cute Pirate,Stoned,Ruler of the Sun,Sleeveless Top,
2540,Pixel Panda #2540,18,110.97090936240316,6,Disco,Brown Power,Battle Scar,Love Struck,Ruler of the Sun,Black Tee,
1340,Pixel Panda #1340,19,110.95341605368304,6,Rainbow,Red Mist,Rainbow,Drool,Angel,Mystique,
1020,Pixel Panda #1020,20,109.87131153481084,6,Water Splash,Shades of Blue,Mecha Terminator,Yaay,Rainbow Jack,Jet Pack,
1755,Pixel Panda #1755,21,109.68185882820424,6,Rainbow,Yellow Fellow,Rainbow,Rainbow,Pixie,Hoodie,
1864,Pixel Panda #1864,22,108.81647858081206,6,Rainbow,Cyan,Rainbow,Magic Shroom,Dragon Ball,Tank Top,
1686,Pixel Panda #1686,23,106.33310009743357,6,Rainbow,Cyan,Tale of Shunga,Yippie Trippy,Alien Power,Shirt,
895,Pixel Panda #895,24,105.92956328972986,6,Water Splash,Yippie Trippy,Rainbow,Rainbow,Angel,Tank Top,
290,Pixel Panda #290,25,105.07071589665492,6,Blood Lust,Deep Blue,Techie Nerd,Yaay,Rainbow Jack,Hanfu,
2215,Pixel Panda #2215,26,104.2391064491049,6,Rainbow,Black Current,Professor,Yaay,Rainbow Jack,Hoodie,
1036,Pixel Panda #1036,27,104.16833563013742,6,Water Splash,Yippie Trippy,Disco Power,Love Struck,Rainbow Jack,Mr. Cool,
1379,Pixel Panda #1379,28,102.94711033149753,6,Blood Lust,Cyan,Love Me,Magic Shroom,Rainbow Jack,Tank Top,
2705,Pixel Panda #2705,29,102.9445694217159,6,Setting Sun,Yippie Trippy,Rainbow,Oopsie,Rainbow Jack,Hoodie,
1184,Pixel Panda #1184,30,102.79805759282937,6,Subtle Wall,Yippie Trippy,Rainbow,Yippie Trippy,Alien Power,Mr. Cool,
443,Pixel Panda #443,31,102.48150977659603,6,Setting Sun,Rainbow,Techie Nerd,Embarassed,Rainbow Jack,The Flirt,
1050,Pixel Panda #1050,32,101.797048585348,6,Subtle Wall,Pinky Peach,Puppet,Howdy,Rainbow Jack,Jet Pack,
1211,Pixel Panda #1211,33,101.54586969956739,6,Brickwork,Yippie Trippy,Mecha Terminator,Rainbow,Dragon Ball,Hoodie,
942,Pixel Panda #942,34,101.32303168164016,6,Rainbow,Purple Panda,Love Me,Oopsie,Mecha Warrior,Jet Pack,
874,Pixel Panda #874,35,101.3202037758209,6,Subtle Wall,Shades of Blue,Cute Pirate,Yippie Trippy,Mecha Warrior,Rainbow,
452,Pixel Panda #452,36,101.26294699085807,6,Dojo,Red Mist,Mecha Terminator,Drool,Rainbow Jack,Black Tee,
542,Pixel Panda #542,37,101.1791635636038,6,Rainbow,Cyan,Cute Pirate,Devil's Smile,Pixie,Rainbow,
1597,Pixel Panda #1597,38,100.82434315171997,6,Night Fall,Vanishing Gaze,Tale of Shunga,Embarassed,Rainbow Jack,Hoodie,
152,Pixel Panda #152,39,99.93403192941679,6,Disco,Yellow Fellow,Disco Power,Rainbow,Rainbow Jack,Sleeveless Top,
