ID,Name,Rank,Rarity_Score,Attributes,Background,Foreground,Hat,Head,Jacket,Left Eye,Mouth,Nose,Overlay,Right Eye,Shirt
4021,RAGGEDZ #4021,1,1210.9078227098,7,Evil,,Wizard,Box,Worn-out-,,,Plasters,Picture,,Anarchy
4119,RAGGEDZ #4119,2,1150.749028617,7,Warm,,Worn-out,Foam,Doctor,,,Stick,Smoke,,White
3845,RAGGEDZ #3845,3,413.9629070809,11,Warm,Crows,Heisenberg,Foam,Doctor,Button,Saw,Rustydrill,Signed,Tezos,Basic
4279,RAGGEDZ #4279,4,365.4074254712,8,Ufo,,Pirate,Soccer,Doctor,,,Clay,Smoke,Obsidian,Sewn
3822,RAGGEDZ #3822,5,355.3928332809,11,Warm,Wheat,Wizard,Soccer,Scarecrow,Spring,Zip,Rustydrill,Signed,Button,Anarchy
4561,RAGGEDZ #4561,6,349.2044963767,11,Warm,Wheat,Worn-out,Soccer,Worn-out-,Button,Saw,Stick,Signed,Button,Basic
4073,RAGGEDZ #4073,7,330.8340624144,10,Warm,,,Foam,Hanged,Clip,Sewn,Rottencarrot,Signed,Obsidian,Basic
3769,RAGGEDZ #3769,8,325.5957665611,8,Evil,,Pirate,Soccer,Scarf,Painted,,Plasters,Haze,,Anarchy
4372,RAGGEDZ #4372,9,321.749522194,8,Warm,,Worn-out,Pumpkin,Scarecrow,,,Rottencarrot,Glitter,Tezos,Anarchy
3865,RAGGEDZ #3865,10,312.2830233325,8,Forest,Cat,Worn-out,Foam,Hanged,,,Plasters,Snowy,,Anarchy
4364,RAGGEDZ #4364,11,296.9445298716,8,Misty,,Wizard,Foam,Doctor,,,Icecreamcone,Smoke,Button,Basic
3816,RAGGEDZ #3816,12,296.7328643736,8,Warm,,,Bucket,Doctor,Clip,,Clay,Evil,,Stained
3619,RAGGEDZ #3619,13,294.0294514899,8,Starry,,,Soccer,Worn-out-,,Courier,Clay,Snowy,,Basic
4278,RAGGEDZ #4278,14,293.4128408868,8,Dark,,1800,Foam,Scarecrow,,Zip,Rottencarrot,Haze,,Stained
4487,RAGGEDZ #4487,15,286.1005302013,8,Milkyway,,Worn-out,Soccer,Doctor,,Lucky,Rottencarrot,Smoke,,Basic
4478,RAGGEDZ #4478,16,281.2835270084,11,Evil,Wheat,1800,Box,Doctor,Obsidian,Bling,Tetsuo,Web,Cross,Basic
3992,RAGGEDZ #3992,17,262.1499894789,10,Swamp,,,Bucket,Doctor,Bling,Joker,Icecreamcone,Picture,Obsidian,Basic
3920,RAGGEDZ #3920,18,237.8973025872,11,Dark,Wheat,Worn-out,Pumpkin,Hanged,Bling,Courier,Rottencarrot,Lightning,Spring,Stained
4196,RAGGEDZ #4196,19,237.6975086304,10,Cold,,Worn-out,Bucket,Hanged,Tezos,Bling,Icecreamcone,Smoke,Clip,Basic
4335,RAGGEDZ #4335,20,222.1065450556,10,Warm,,Wizard,Foam,Scarecrow,Clip,Bling,Icecreamcone,Tvstatic,Tezos,Anarchy
3716,RAGGEDZ #3716,21,218.3448305588,9,Warm,,Worn-out,Soccer,Doctor,,Bling,Fake,Tvstatic,Clip,Anarchy
3829,RAGGEDZ #3829,22,216.4774400868,11,Misty,Sunflower,Worn-out,Foam,Worn-out-,Cross,Zip,Bling,Smoke,Cross,Sewn
4034,RAGGEDZ #4034,23,216.1188922633,11,Dark,Wheat,,Soccer,Doctor,Bling,Courier,Rottencarrot,Evil,Button,Hay
3770,RAGGEDZ #3770,24,212.7707535589,11,Evil,Sunflower,Pirate,Soccer,Hanged,Bling,Sewn,Clay,Smoke,Clip,Anarchy
4571,RAGGEDZ #4571,25,210.6389696387,10,Evil,,1800,Foam,Scarf,Bling,Sewn,Rottencarrot,Haze,Button,Stained
3928,RAGGEDZ #3928,26,208.7088721627,11,Dark,Pitchfork,Worn-out,Soccer,Scarecrow,Bling,Zip,Icecreamcone,Evil,Obsidian,Basic
4462,RAGGEDZ #4462,27,207.5329358764,11,Starry,Crows,1800,Foam,Doctor,Obsidian,Courier,Bling,Glitter,Painted,Basic
3678,RAGGEDZ #3678,28,206.8491546613,10,Cold,,Worn-out,Bucket,Hanged,Spring,Bling,Stick,Web,Obsidian,Basic
