ID,Name,Rank,Rarity_Score,Accessory,Attributes,Background,Clothes,Eyes,Head,Legendary,Mouth,Skin,Tattoo
2935,SadPython #2935,1,1966.0,,1,,,,,Pambo,,,
721,SadPython #721,2,334.0626884884751,Alienblaster,8,Myday,Vaultboy,Lament,Windy,,Mouth 12,Cyan,Solana
814,SadPython #814,3,307.25910187183723,Pypotion,7,Cemento,Mesa,Sceptic,Ser,,Mouth 7,Ultramar,
1714,SadPython #1714,4,302.79096518543,Vaxpass,7,Myday,Vaultboy,Closed,Livingstone,,Mouth 10,Pinky,
1672,SadPython #1672,5,296.4946518845868,Enzyme,8,95S,Jaunes,Sceptic,Glasses,,Mouth 9,Cyan,Solana
149,SadPython #149,6,281.8523760712314,Zubenyakov,7,Misty,Vaultboy,Dead,Livingstone,,Mouth 5,Ultramar,
1065,SadPython #1065,7,278.5626429468577,Psycho,7,Dark,Vaultboy,Energetic,French,,Mouth 6,Honeycheese,
3076,SadPython #3076,8,260.60222458314564,Calc,8,Misty,Jaunes,Dead,Xtzblu,,Mouth 6,Amarillo,Bitcoin
3237,SadPython #3237,9,255.99997044989195,Alienblaster,7,Misty,Mets,Dazed,Ser,,Mouth 10,Ultramar,
1503,SadPython #1503,10,249.34530744746587,Herrig,7,95S,Mets,Sorry,Ser,,Mouth 11,Amarillo,
3425,SadPython #3425,11,247.6656797202267,Zippo,8,Myday,Office,Sceptic,Livingstone,,Mouth 9,Violet,Bitcoin
3087,SadPython #3087,12,247.20729710897592,Gun,7,Misty,Astro,Painful,Ser,,Mouth 8,Violet,
2795,SadPython #2795,13,247.16929214550888,Lambokeys,8,Myday,Sweater,Closed,Firefighter,,Mouth 11,Violet,Solana
2285,SadPython #2285,14,246.05621014157197,Herrig,8,Myday,Dale,Shocked,Shao,,Mouth 10,Pinky,Bitcoin
1745,SadPython #1745,15,245.6748339780212,Psycho,8,Misty,Sweater,Crying,Dora,,Mouth 1,Stone,Bitcoin
451,SadPython #451,16,240.47944310792016,Knife,7,Misty,Vaultboy,Crying,Rider,,Mouth 14,Green,
2721,SadPython #2721,17,240.11327209086284,Iwatch,8,Cemento,Pylice,Shocked,French,,Mouth 13,Amarillo,Bitcoin
1053,SadPython #1053,18,237.71281359558643,Dope,7,95S,Firefight,Sceptic,Cuisine,,Mouth 4,Green,
2652,SadPython #2652,19,237.10460798681137,Zubenyakov,8,Myday,Dungeonmaster,Painful,Jokage,,Mouth 1,Green,Solana
639,SadPython #639,20,233.76005642830012,Razorblade,8,95S,Jaunes,Shocked,Mrsdavis,,Mouth 13,Amarillo,Solana
970,SadPython #970,21,232.80982603184484,Razorblade,7,Dark,Marty,Dead,Cuisine,,Mouth 5,Pinky,
900,SadPython #900,22,230.83440926448662,Nitrilglove,7,Myday,Feelsgood,Distracted,Dora,,Mouth 12,Cyan,
2766,SadPython #2766,23,230.44504035366623,Iwatch,8,95S,Casual,Shocked,Glasses,,Mouth 4,Stone,Solana
3130,SadPython #3130,24,226.77979467133358,Gun,8,Myday,Pylice,Dazed,Fishman,,Mouth 13,Green,Tezos
493,SadPython #493,25,226.43219032067498,,6,Myday,Feelsgood,Distracted,Xtzred,,Mouth 1,Honeycheese,
2855,SadPython #2855,26,225.96612695468343,Psycho,7,Cemento,Deliveryboy,Shocked,Xtzred,,Mouth 1,Charcoal,
1895,SadPython #1895,27,224.57896736079184,Knife,7,Myday,Firefight,Painful,Xtzred,,Mouth 11,Stone,
459,SadPython #459,28,223.3805685361408,Pypotion,7,Myday,Mesa,Painful,Jokage,,Mouth 12,Violet,
311,SadPython #311,29,223.09567756646595,Iwatch,7,95S,Sweater,Dazed,Ser,,Mouth 9,Charcoal,
1567,SadPython #1567,30,222.9929539759886,Psycho,7,Misty,Astro,Dazed,Shao,,Mouth 8,Pinky,
362,SadPython #362,31,222.2370085558132,Herrig,8,Myday,Redshirt,Sorry,Chocohaircut,,Mouth 1,Pinky,Tezos
2360,SadPython #2360,32,221.18891066155317,Spoon,7,Cemento,Astro,Shocked,,,Mouth 14,Violet,Bitcoin
3218,SadPython #3218,33,221.12923505039387,Alienblaster,8,95S,Deliveryboy,Shocked,Fishman,,Mouth 5,Cyan,Tezos
2331,SadPython #2331,34,218.23120035422335,Strike,7,95S,Bag,Energetic,Xtzred,,Mouth 2,Stone,
396,SadPython #396,35,216.64539205186873,Cigarettes,8,95S,Dale,Distracted,Dora,,Mouth 11,Violet,Tezos
1826,SadPython #1826,36,215.85411445589187,Mechatail,7,95S,Chester,Energetic,Dora,,Mouth 14,Green,
3097,SadPython #3097,37,214.18744997674847,Nitrilglove,8,Misty,Mets,Painful,Oldy,,Mouth 9,Charcoal,Tezos
1699,SadPython #1699,38,210.50051582075665,Egg,8,Myday,Deliveryboy,Painful,Pfc,,Mouth 14,Ultramar,Bitcoin
2176,SadPython #2176,39,209.60290084641235,Lambokeys,7,95S,Fishman,Painful,Starducks,,Mouth 5,Stone,
2148,SadPython #2148,40,209.59455947865257,Zubenyakov,7,Cemento,Tatoes,Energetic,Cuisine,,Mouth 5,Ultramar,
2085,SadPython #2085,41,209.42956815871844,Phone,7,Misty,Sweater,Crying,Cuisine,,Mouth 11,Violet,
2932,SadPython #2932,42,208.62682254551788,Phone,7,95S,Rocknrolla,Shocked,Ser,,Mouth 2,Charcoal,
1603,SadPython #1603,43,207.5932517783416,Vaxpass,7,Misty,Dungeonmaster,Closed,Firefighter,,Mouth 4,Pinky,
3135,SadPython #3135,44,205.65455076177668,,6,95S,Vaultboy,Sceptic,Jokage,,Mouth 1,Amarillo,
1569,SadPython #1569,45,205.13432821107827,Palm,7,Myday,Prisoner,Dazed,Glasses,,Mouth 13,Amarillo,
2681,SadPython #2681,46,203.3865891286119,Fishrode,7,Myday,Marty,Crying,Pfc,,Mouth 16,Cyan,
3282,SadPython #3282,47,202.92289422844752,Herrig,7,Misty,Tommy,Dazed,Shao,,Mouth 9,Stone,
3371,SadPython #3371,48,202.79173175291103,Tnt,6,Cemento,Vaultboy,Lament,,,Mouth 7,Green,
2484,SadPython #2484,49,202.20783498906752,Soap,7,Cemento,Pylice,Crying,Mrsdavis,,Mouth 6,Ultramar,
444,SadPython #444,50,201.4542193157062,Spoon,7,Misty,Bag,Distracted,Pylice,,Mouth 14,Ruby,
889,SadPython #889,51,201.43768284123354,Iwatch,8,Misty,Deliveryboy,Lament,Mrsdavis,,Mouth 3,Charcoal,Tezos
3312,SadPython #3312,52,200.9555779713868,Cigarettes,8,Misty,Fishman,Sceptic,French,,Mouth 13,Cyan,Tezos
1231,SadPython #1231,53,200.54701211100894,Cigarettes,7,Cemento,Dale,Energetic,Xtzred,,Mouth 9,Green,
1302,SadPython #1302,54,199.79093112117806,Gun,7,95S,Rocknrolla,Sceptic,Cuisine,,Mouth 1,Ruby,
245,SadPython #245,55,199.5203835824956,Mechatail,6,Dark,Jaunes,Closed,,,Mouth 3,Green,
6,SadPython #6,56,198.81113873759665,Nitrilglove,8,Dark,Sweater,Closed,Punk,,Mouth 6,Stone,Tezos
705,SadPython #705,57,198.72891984455515,Nitrilglove,7,Misty,Feelsgood,Distracted,Windy,,Mouth 5,Honeycheese,
1446,SadPython #1446,58,197.44741940909745,Pypotion,7,Misty,Jaunes,Closed,Fishman,,Mouth 2,Green,
3201,SadPython #3201,59,197.06494591643818,Dope,8,Misty,Redshirt,Distracted,Rider,,Mouth 15,Ultramar,Tezos
1474,SadPython #1474,60,196.8839138802636,Fishrode,7,Dark,Bag,Shocked,,,Mouth 13,Green,Tezos
2798,SadPython #2798,61,196.6906887285385,Dope,8,Myday,Starducks,Energetic,Punk,,Mouth 12,Green,Bitcoin
1441,SadPython #1441,62,196.60002146819954,,7,Myday,Dungeonmaster,Distracted,Pfc,,Mouth 4,Cyan,Solana
1276,SadPython #1276,63,195.8447952896402,Gun,7,Cemento,Deliveryboy,Distracted,Cuisine,,Mouth 13,Amarillo,
1765,SadPython #1765,64,194.75670496333728,Knife,8,Dark,Chester,Closed,Fishman,,Mouth 7,Green,Tezos
1122,SadPython #1122,65,193.80315901490917,Mechatail,7,Myday,Office,Painful,Lordofwar,,Mouth 13,Pinky,
95,SadPython #95,66,193.44322043182586,Enzyme,7,Cemento,Fishman,Crying,Shao,,Mouth 13,Violet,
325,SadPython #325,67,193.26237718606325,Pypotion,7,Cemento,Dale,Crying,Livingstone,,Mouth 6,Ruby,
2998,SadPython #2998,68,193.24569900072737,Vaxpass,7,Myday,Mesa,Lament,Windy,,Mouth 5,Green,
1114,SadPython #1114,69,192.97701025401966,Calc,8,Myday,Office,Dead,Rider,,Mouth 2,Green,Tezos
