ID,Name,Rank,Rarity_Score,Accessory-Scores,Attributes-Scores,Background-Scores,Clothes-Scores,Eyes-Scores,Head-Scores,Legendary-Scores,Mouth-Scores,Skin-Scores,Tattoo-Scores
2935,SadPython #2935,1,1836.0,,918,,,,,918,,,
721,SadPython #721,2,322.527461248429,65,28,4,131,9,26,,20,9,26
1672,SadPython #1672,3,299.7761696052895,76,28,4,51,9,76,,17,9,26
814,SadPython #814,4,296.3388122194681,57,2,5,83,9,114,,11,12,
1714,SadPython #1714,5,293.5026834710245,45,2,4,131,19,65,,15,8,
149,SadPython #149,6,270.7169169960474,27,2,5,131,12,65,,13,12,
1065,SadPython #1065,7,270.0714767923011,70,2,5,131,9,27,,12,9,
970,SadPython #970,8,266.46089173872934,48,2,5,21,12,153,,13,8,
1053,SadPython #1053,9,265.755265152951,29,2,4,45,9,153,,12,8,
2795,SadPython #2795,10,264.7813594014681,114,28,4,13,19,32,,16,8,26
3076,SadPython #3076,11,255.94767317342792,41,28,5,51,12,57,,12,7,38
1745,SadPython #1745,12,251.49086969001146,70,28,5,13,13,57,,13,10,38
3237,SadPython #3237,13,246.59590928788097,65,2,5,19,10,114,,15,12,
3425,SadPython #3425,14,244.46702961672474,51,28,4,22,9,65,,17,8,38
2285,SadPython #2285,15,242.30267237963147,65,28,4,18,11,51,,15,8,38
1503,SadPython #1503,16,240.48485319028796,65,2,4,19,8,114,,16,7,
3087,SadPython #3087,17,238.79646245059288,20,2,5,54,16,114,,17,8,
2148,SadPython #2148,18,238.29469546665567,27,2,5,14,9,153,,13,12,
2721,SadPython #2721,19,235.81423668630558,36,28,5,65,11,27,,14,7,38
639,SadPython #639,20,234.52894968304008,48,28,4,51,11,41,,14,7,26
900,SadPython #900,21,230.49768993278812,43,2,4,83,8,57,,20,9,
451,SadPython #451,22,229.86004884889743,27,2,5,131,13,22,,19,8,
1302,SadPython #1302,23,229.53375495797295,20,2,4,11,9,153,,13,14,
2652,SadPython #2652,24,229.2000314983524,27,28,4,76,16,27,,13,8,26
1826,SadPython #1826,25,227.6721322849214,102,2,4,22,9,57,,19,8,
3130,SadPython #3130,26,226.3491813419139,20,28,4,65,10,35,,14,8,38
2766,SadPython #2766,27,225.80560726875942,36,28,4,18,11,76,,12,10,26
1276,SadPython #1276,28,224.7535887472881,20,2,5,12,8,153,,14,7,
396,SadPython #396,29,223.150934701944,41,28,4,18,8,57,,16,8,38
2176,SadPython #2176,30,222.6544916182216,114,2,4,24,16,35,,13,10,
2360,SadPython #2360,31,222.44215568451366,83,2,5,54,11,,,19,8,38
459,SadPython #459,32,220.81990400903445,57,2,4,83,16,27,,20,8,
3218,SadPython #3218,33,220.8108099649299,65,28,4,12,11,35,,13,9,38
2855,SadPython #2855,34,220.45148638337412,70,2,5,12,11,91,,13,12,
1567,SadPython #1567,35,219.79596495192988,70,2,5,54,10,51,,17,8,
362,SadPython #362,36,219.4600799386913,65,28,4,15,8,36,,13,8,38
755,SadPython #755,37,216.07922212414252,,2,5,15,13,153,,14,12,
1895,SadPython #1895,38,215.30302089215132,27,2,4,45,16,91,,16,10,
2331,SadPython #2331,39,214.93627002288332,30,2,4,48,9,91,,16,10,
493,SadPython #493,40,214.0828498896385,,2,4,83,8,91,,13,9,
3097,SadPython #3097,41,212.42222134774102,43,28,5,19,16,30,,17,12,38
311,SadPython #311,42,212.17100330642944,36,2,4,13,10,114,,17,12,
1699,SadPython #1699,43,210.73370060790273,27,28,4,12,16,51,,19,12,38
2681,SadPython #2681,44,205.41941482395458,70,2,4,21,13,51,,31,9,
1603,SadPython #1603,45,204.05380316214425,45,2,5,76,19,32,,12,8,
444,SadPython #444,46,203.82436162308895,83,2,5,48,8,21,,19,14,
245,SadPython #245,47,202.91085091349103,102,2,5,51,19,,,13,8,
6,SadPython #6,48,202.43349491092866,43,28,5,13,19,29,,12,10,38
2932,SadPython #2932,49,201.99030310924272,28,2,4,11,11,114,,16,12,
1569,SadPython #1569,50,200.14935888176538,61,2,4,22,10,76,,14,7,
2484,SadPython #2484,51,200.1140380657261,45,2,5,65,13,41,,12,12,
889,SadPython #889,52,199.21982201605385,36,28,5,12,9,41,,13,12,38
1474,SadPython #1474,53,198.99549815173384,70,2,5,48,11,,,14,8,38
3312,SadPython #3312,54,198.88060823302334,41,28,5,24,9,27,,14,9,38
1122,SadPython #1122,55,198.3562358041633,102,2,4,22,16,27,,14,8,
2798,SadPython #2798,56,197.69481407442487,29,28,4,27,9,29,,20,8,38
1765,SadPython #1765,57,197.49513509945433,27,28,5,22,19,35,,11,8,38
3135,SadPython #3135,58,197.01868621320276,,2,4,131,9,27,,13,7,
1446,SadPython #1446,59,195.83801757738829,57,2,5,51,19,35,,16,8,
3282,SadPython #3282,60,195.42510183446484,65,2,5,32,10,51,,17,10,
1231,SadPython #1231,61,195.2744942393116,41,2,5,18,9,91,,17,8,
3371,SadPython #3371,62,195.25121340523881,27,2,5,131,9,,,11,8,
95,SadPython #95,63,195.21315953358365,76,2,5,24,13,51,,14,8,
1114,SadPython #1114,64,195.17195226147408,41,28,4,22,12,22,,16,8,38
3201,SadPython #3201,65,194.48554174182863,29,28,5,15,8,22,,34,12,38
994,SadPython #994,66,194.3519614253024,114,2,5,13,8,30,,11,8,
2998,SadPython #2998,67,194.27396245059288,45,2,4,83,9,26,,13,8,
1962,SadPython #1962,68,194.1704508306339,48,2,5,24,9,76,,13,14,
705,SadPython #705,69,193.27100162109983,43,2,5,83,8,26,,13,9,
316,SadPython #316,70,192.99184650792478,27,28,4,32,8,29,,16,7,38
1441,SadPython #1441,71,191.22419923429743,,2,4,76,8,51,,12,9,26
2415,SadPython #2415,72,191.16144320751002,76,2,5,22,8,51,,12,12,
2961,SadPython #2961,73,191.01289246480988,83,2,5,19,8,27,,34,9,
2037,SadPython #2037,74,190.4631340897645,83,2,4,12,9,51,,12,14,
325,SadPython #325,75,190.41788778743296,57,2,5,18,13,65,,12,14,
891,SadPython #891,76,189.11131242898978,70,2,4,48,12,27,,11,10,
54,SadPython #54,77,189.07942362600278,45,28,4,21,12,22,,13,12,26
2465,SadPython #2465,78,188.3350084697911,102,2,4,22,9,21,,16,8,
426,SadPython #426,79,187.34136841050736,29,2,5,48,8,51,,34,8,
135,SadPython #135,80,187.0798136645963,65,2,4,18,19,57,,11,7,
1072,SadPython #1072,81,186.8002008308567,70,2,5,22,8,35,,34,8,
2065,SadPython #2065,82,186.60019383601474,28,28,4,18,13,41,,17,8,26
2347,SadPython #2347,83,186.32049941716127,30,2,5,83,9,32,,13,8,
806,SadPython #806,84,186.22257189421225,102,2,5,31,19,,,12,12,
934,SadPython #934,85,185.91250597228859,27,2,4,65,8,35,,34,8,
1926,SadPython #1926,86,185.86622027746753,76,2,5,27,9,,,16,8,38
1306,SadPython #1306,87,185.84781618340276,27,2,5,83,9,30,,19,7,
815,SadPython #815,88,185.75695305921087,51,2,5,12,8,76,,20,8,
3023,SadPython #3023,89,185.34038921390223,45,2,5,18,11,76,,17,8,
555,SadPython #555,90,185.2088412189038,30,2,4,18,13,91,,14,8,
2486,SadPython #2486,91,185.14650438234534,27,2,5,83,9,35,,13,8,
2437,SadPython #2437,92,184.47499290072528,83,2,5,32,8,26,,17,8,
180,SadPython #180,93,184.3357168152582,36,2,5,65,12,36,,12,12,
3236,SadPython #3236,94,184.30187916460892,41,2,4,65,9,35,,16,9,
1059,SadPython #1059,95,184.11545799627046,114,2,5,22,12,,,17,8,
3088,SadPython #3088,96,183.87644340858031,27,2,5,83,9,27,,19,8,
2376,SadPython #2376,97,183.76163388357418,30,2,5,83,8,27,,16,9,
2621,SadPython #2621,98,183.4327321019941,28,2,5,54,11,57,,16,8,
1808,SadPython #1808,99,183.07108977978544,20,28,4,45,9,21,,17,7,26
1460,SadPython #1460,100,183.02699173772166,57,2,5,15,9,65,,15,12,
1557,SadPython #1557,101,181.38359664288527,27,28,5,32,13,20,,17,9,26
2752,SadPython #2752,102,181.13870961279505,65,2,5,19,8,57,,13,8,
1140,SadPython #1140,103,181.04038473798292,28,2,4,21,8,91,,13,9,
2092,SadPython #2092,104,180.9906176948497,20,28,4,15,8,35,,34,7,26
2115,SadPython #2115,105,180.44276898417152,83,2,5,27,9,20,,20,9,
2419,SadPython #2419,106,180.20796524081132,48,2,4,51,13,30,,15,14,
3094,SadPython #3094,107,180.14081780844742,45,2,5,65,9,27,,13,9,
1150,SadPython #1150,108,179.68664899737513,57,2,5,83,9,,,12,8,
363,SadPython #363,109,179.65312047874784,114,2,5,21,9,,,17,8,
592,SadPython #592,110,179.46728483381025,114,2,5,22,9,,,17,8,
84,SadPython #84,111,179.3346493952272,36,2,4,24,9,57,,34,10,
2049,SadPython #2049,112,178.84260748099223,20,28,4,22,10,32,,20,10,26
1170,SadPython #1170,113,178.80039700832128,83,2,4,54,9,,,14,9,
216,SadPython #216,114,178.65233816372262,102,2,5,14,8,26,,12,7,
2598,SadPython #2598,115,178.29859482816374,28,28,5,22,9,20,,16,7,38
18,SadPython #18,116,178.21935773866645,27,2,5,21,8,91,,11,9,
1754,SadPython #1754,117,177.93784350292066,29,2,4,14,9,76,,34,7,
509,SadPython #509,118,177.25198760879633,45,2,5,51,9,41,,11,9,
1560,SadPython #1560,119,177.2493956658724,30,2,5,76,13,20,,15,12,
2522,SadPython #2522,120,176.96237736400096,,2,5,21,8,91,,11,9,26
2552,SadPython #2552,121,176.8224866971643,114,2,5,19,9,,,17,7,
44,SadPython #44,122,176.79926732195625,43,2,4,21,9,51,,34,8,
267,SadPython #267,123,176.71981856815952,27,2,5,76,11,26,,17,10,
2489,SadPython #2489,124,176.45398147059075,70,2,4,11,9,57,,13,7,
3386,SadPython #3386,125,176.22116003491195,70,2,5,12,16,35,,20,12,
2421,SadPython #2421,126,175.7478260869565,65,2,4,45,11,21,,11,12,
811,SadPython #811,127,175.00040600397952,83,2,5,13,10,30,,16,12,
1602,SadPython #1602,128,174.9660000794607,27,2,4,18,8,91,,13,8,
771,SadPython #771,129,174.68017943576635,76,2,4,18,8,,,16,9,38
3404,SadPython #3404,130,174.50231522982048,28,2,4,65,11,20,,31,8,
2227,SadPython #2227,131,174.32839243065024,70,2,5,32,11,30,,12,8,
1526,SadPython #1526,132,174.13703350999242,36,2,5,76,8,22,,13,8,
439,SadPython #439,133,174.1037471395881,57,2,5,22,9,51,,17,8,
3324,SadPython #3324,134,173.89770894966188,57,2,5,54,9,22,,14,8,
1432,SadPython #1432,135,173.79036377488373,65,2,5,32,8,36,,12,9,
1397,SadPython #1397,136,173.7310513652132,41,2,5,65,9,27,,13,8,
1507,SadPython #1507,137,173.56213202658498,57,2,5,22,8,57,,11,8,
326,SadPython #326,138,173.39005004427426,27,2,4,31,9,76,,13,8,
2566,SadPython #2566,139,173.37923226924744,65,2,4,12,10,51,,11,14,
614,SadPython #614,140,171.65735494909677,,2,5,11,8,114,,20,8,
1056,SadPython #1056,141,171.22078475512913,57,2,5,15,9,57,,16,8,
1430,SadPython #1430,142,170.61388856983822,76,2,5,19,8,32,,12,12,
824,SadPython #824,143,170.30600118675156,,2,4,14,12,76,,11,9,38
3263,SadPython #3263,144,169.86690097200642,45,2,4,31,16,,,19,10,38
2840,SadPython #2840,145,169.61922686001594,27,2,4,24,9,76,,12,12,
2844,SadPython #2844,146,169.57461500364042,102,2,5,27,9,,,14,8,
196,SadPython #196,147,169.52303845928571,41,2,5,22,9,57,,20,8,
85,SadPython #85,148,168.3682978654011,76,2,5,24,9,20,,17,12,
2490,SadPython #2490,149,168.0575212531161,83,2,4,13,10,27,,13,12,
910,SadPython #910,150,168.02901833497913,,2,5,11,12,114,,13,8,
