ID,Name,Rank,Rarity_Score,Attributes-Scores,Background-Scores,Clothing-Scores,Eyes-Scores,Eyewear-Scores,Fur-Scores,Headgear-Scores,Magnificent-Scores,Mouth-Scores,Piercings-Scores,Tail-Scores
871,Ottez #871,1,4579.428571428572,572,,,,,,,4007,,,
1167,Ottez #1167,1,4579.428571428572,572,,,,,,,4007,,,
1213,Ottez #1213,1,4579.428571428572,572,,,,,,,4007,,,
1287,Ottez #1287,1,4579.428571428572,572,,,,,,,4007,,,
1937,Ottez #1937,1,4579.428571428572,572,,,,,,,4007,,,
3426,Ottez #3426,1,4579.428571428572,572,,,,,,,4007,,,
3684,Ottez #3684,1,4579.428571428572,572,,,,,,,4007,,,
3129,Ottez #3129,8,457.2322574618632,1,8,286,8,15,3,125,,5,,3
404,Ottez #404,9,425.8754323668655,1,7,210,5,8,3,11,,166,,9
87,Ottez #87,10,414.8344547743365,1,8,286,77,,6,21,,5,4,3
1635,Ottez #1635,11,409.89614232698005,1,7,286,5,9,3,20,,71,,2
2707,Ottez #2707,12,405.0867458265174,1,7,286,8,25,5,32,,33,,3
2540,Ottez #2540,13,392.8448098433872,3,7,250,66,9,6,28,,5,4,9
1964,Ottez #1964,14,383.1505569955216,1,8,200,8,7,74,74,,5,,2
2426,Ottez #2426,15,381.38771578327163,1,7,250,5,8,25,33,,39,,9
3738,Ottez #3738,16,380.6581058707348,1,7,286,13,8,6,13,,37,,6
357,Ottez #357,17,370.3305212587579,1,7,200,77,15,8,20,,32,,6
2811,Ottez #2811,18,367.6573754088861,235,7,81,12,,3,,,22,,3
1997,Ottez #1997,19,365.570184583805,1,8,210,77,7,3,21,,32,,2
1250,Ottez #1250,20,364.8450245637677,1,8,286,37,7,3,11,,5,,2
191,Ottez #191,21,362.3939779351395,7,7,286,13,,3,13,,27,,2
1625,Ottez #1625,22,361.9417461659186,1,7,286,8,7,25,13,,5,,6
2034,Ottez #2034,23,360.6821544373192,1,7,286,8,27,3,15,,5,,2
1189,Ottez #1189,24,355.11368853781016,3,7,286,12,11,6,11,,5,6,2
3869,Ottez #3869,25,354.09133398697196,1,8,286,11,11,6,18,,6,,3
44,Ottez #44,26,351.98359716239685,1,7,210,37,9,10,32,,37,,3
2101,Ottez #2101,27,350.8888612017525,1,7,210,12,6,6,74,,27,,3
2866,Ottez #2866,28,348.32379292978777,3,8,250,13,14,10,32,,6,4,2
216,Ottez #216,29,348.1708538416575,235,7,,8,,18,34,,39,,3
33,Ottez #33,30,346.8036465400287,235,7,12,12,,3,,,71,,2
1288,Ottez #1288,31,346.2288244485501,1,8,250,12,6,3,53,,5,,3
1775,Ottez #1775,32,345.93359573396896,1,8,286,5,8,6,14,,5,,9
1238,Ottez #1238,33,345.5796790856033,1,8,286,8,,5,20,,5,6,2
1618,Ottez #1618,34,342.73370186010914,1,8,250,12,15,21,20,,5,,6
3798,Ottez #3798,35,342.121006350364,1,7,250,8,9,21,33,,6,,2
2169,Ottez #2169,36,341.3716805825379,7,7,286,5,,10,14,,5,,2
1101,Ottez #1101,37,339.2533735740751,235,8,,40,,25,14,,6,,9
314,Ottez #314,38,338.34598542383355,1,7,16,12,27,3,97,,166,,3
3708,Ottez #3708,39,337.39511659443133,235,7,41,37,,5,,,5,,3
