ID,Name,Rank,Rarity_Score,Attributes,Background,Bling,Eyes,Face,Filling,Hair,Head,Outfit,Special,Taco Dude
504,TacoDudez #504,1,1308.5186558948,8,Red,,Glasses - Brown Rim,Big Beard - Grey,Taco Filling 2,Arugula,Bunny Ears - Gold,Steampunk Jacket,,Wheat Tortilla
82,TacoDudez #82,2,1241.7058823529,1,,,,,,,,,King A Dude,
141,TacoDudez #141,2,1241.7058823529,1,,,,,,,,,The Dudette,
253,TacoDudez #253,2,1241.7058823529,1,,,,,,,,,Mime Dude,
335,TacoDudez #335,2,1241.7058823529,1,,,,,,,,,Multiverse Dudez,
609,TacoDudez #609,2,1241.7058823529,1,,,,,,,,,Kenny Dude,
631,TacoDudez #631,2,1241.7058823529,1,,,,,,,,,Spooky Dude,
643,TacoDudez #643,2,1241.7058823529,1,,,,,,,,,Baker Dude,
838,TacoDudez #838,2,1241.7058823529,1,,,,,,,,,Spider Dude,
925,TacoDudez #925,2,1241.7058823529,1,,,,,,,,,Infinity Dude,
927,TacoDudez #927,2,1241.7058823529,1,,,,,,,,,Zombie Dude,
1046,TacoDudez #1046,2,1241.7058823529,1,,,,,,,,,Dragon Ball Dude,
1092,TacoDudez #1092,2,1241.7058823529,1,,,,,,,,,Dudebot 1000,
1107,TacoDudez #1107,2,1241.7058823529,1,,,,,,,,,Sebuh Dude,
1108,TacoDudez #1108,2,1241.7058823529,1,,,,,,,,,Klick Dude,
1109,TacoDudez #1109,2,1241.7058823529,1,,,,,,,,,Kirk Dude,
1110,TacoDudez #1110,2,1241.7058823529,1,,,,,,,,,Kevtez Dude,
1111,TacoDudez #1111,2,1241.7058823529,1,,,,,,,,,CodeCraft Dude,
548,TacoDudez #548,19,510.7721686505,9,Violet,Silver Bling Max,Shades - Gold,Clown Paint,Taco Filling 9,Arugula,Burning Taco,Zigzag Jumper - Blue,,Seeded Tortilla
825,TacoDudez #825,20,509.3614136887,6,Signature Blue,,,,Taco Filling 10,Red Oak Lettuce,Beanie - Gold Camo,Bow Tie - Blue,,Red Corn Tortilla
427,TacoDudez #427,21,485.1277943776,5,Special Blue,,,,Taco Filling 4,Extra Cheese,,Bow Tie - Blue,,Red Corn Tortilla
238,TacoDudez #238,22,477.3349580018,8,Baby Blue,,Teary Eyes,Party Horn,Taco Filling 4,Light Spinach,Crypto Sorting Hat,Scarf Jumper - Blue_Orange,,Almond Flour Tortilla
