ID,Name,Rank,Rarity_Score,Attributes,Background,BodyObj,CardBank,Class,ClothPattern,ClothesObj,Ear,Expression,Extra,FaceObj,FaceTex,Foreground,Hair,HandObj,HandObj2,Hat,HeadObj,LeftHand,LeftShoulder,Mouth,Nose,RightHand,RightShoulder,Skin,Smock,Tail,Team,Whiskers
2466,Tez Dozen Team λ #066,1,6593.621902098269,13,#ff6a03,,regular,artist_original,,,,,potted_plants2,,,lambda_fg5,,scissors,broom,lambda_hat5,,yes,butterfly4,,,yes,,dogH_0,,,lambda,
227,Tez Dozen Team β #107,2,6338.107047387985,17,#9eabef,,regular,artist_original,,rainbow,,,,beta_typeD,,spider_flower,,cane,,top_hat,beta_typeD,no,caterpillar,,beta_typeD,yes,,brown,cloak,beta_typeD,beta,
2407,Tez Dozen Team λ #007,3,6125.450076053557,15,#ffea57,lambda_bodyObj2,regular,artist_original,,,,,bug5,,,lambda_fg2,,baseball,bat,lambda_hat2,,yes,bug3,,,yes,,dogD_0,,lambda_tail0,lambda,
3044,Tez Dozen Team μ #164,4,5856.730920279413,14,#fec735,mu_bodyObj15,regular,artist_original,mu_ptn2,,,,boar,mu_faceObj18,,mu_fg6,,bull_skull_eel,,mu_hat2,,no,,,,yes,,pigE_0,,,mu,
2854,Tez Dozen Team λ #454,5,5580.486259792727,13,#0090c7,lambda_bodyObj0,sextuple,artist_original,lambda_ptn0,,,,bird_on_boat,,,lambda_fg0,,anchor,,lambda_hat0,,no,,,,yes,,dogA_0,,,lambda,
3188,Tez Dozen Team μ #308,6,5470.060441789871,11,#f0d458,,sextuple,artist_original,,,,,piggy_twins,mu_faceObj12,,mu_fg1,,hammer,,,,no,,,,yes,,pigA_0,,,mu,
69,Tez Dozen Team α #069,7,5454.102010039977,17,#37b85c,,regular,artist_original,,no,,,,alpha_typeD,,mushroom,,flower,,leaves,alpha_typeD,no,butterfly,,,yes,bee,pink,,alpha_typeD,alpha,alpha_typeD
109,Tez Dozen Team α #109,8,5305.7259726026805,16,#ff5d1a,,sextuple,artist_original,,yes,,,,alpha_typeC,,book,,cup,,cap,alpha_typeC,no,mouse,,,yes,,yellow,,alpha_typeC,alpha,alpha_typeC
3354,Tez Dozen Team μ #474,9,5229.882652373162,13,#b5ccf4,mu_bodyObj8,sextuple,regular,mu_ptn29,,,,,,,mu_fg34,,,,mu_hat46,,no,bug4,,,no,firefly,pigF_1,,,mu,
8,Tez Dozen Team α #008,10,5193.879239083602,15,#38b85c,,regular,regular,,no,,,,alpha_typeB,,frog,,,,leaves,alpha_typeD,no,dragonfly,,,yes,,pink,,alpha_typeB,alpha,alpha_typeC
383,Tez Dozen Team δ #023,11,5190.290714416184,17,#f8687e,,sextuple,artist_original,hills,no,,delta_typeC,rabbit,,,delta_typeC,,carrot,,,delta_typeC,no,leaves2,delta_typeC,,yes,,pink,,,delta,delta_typeC
2861,Tez Dozen Team λ #461,12,5183.078503750678,15,#75653b,lambda_bodyObj2,regular,regular,lambda_ptn13,,,,tea,lambda_faceObj9,,lambda_fg22,,ham,,lambda_hat30,,no,flower3,,,yes,,dogA_2,,,lambda,
2450,Tez Dozen Team λ #050,13,5140.71180222665,13,#ed9eff,lambda_bodyObj1,regular,regular,lambda_ptn11,,,,,,,lambda_fg6,,broom,,lambda_hat27,,no,little_monkey,,,yes,,dogA_1,,,lambda,
152,Tez Dozen Team β #032,14,5053.570504474216,15,#ffb502,,regular,artist_original,,sun,,,,,,fire,,fan,,volcano,beta_typeB,no,flower2,,beta_typeB,yes,,peach,,beta_typeB,beta,
217,Tez Dozen Team β #097,15,5051.4223516514685,15,#275fb4,,regular,artist_original,,,,,,,,tri-eye,,fork,,palm_tree,beta_typeC,no,snake,,beta_typeC,yes,,dark_ash,apron,beta_typeC,beta,
2806,Tez Dozen Team λ #406,16,5038.6846239282695,13,#f6dd47,lambda_bodyObj2,sextuple,regular,lambda_ptn0,,,,,,,lambda_fg24,,yellow_chick,,lambda_hat25,,yes,mouse,,,yes,,dogA_1,,,lambda,
3252,Tez Dozen Team μ #372,17,5007.26854544467,12,#ecd89c,,regular,artist_original,,,,,,,,mu_fg8,,drum_sticks_and_drum,,mu_hat4,,yes,cat3,,,yes,piggy,pigG_0,,,mu,
235,Tez Dozen Team β #115,18,4988.73200586234,14,#9bcced,,regular,regular,,lace,,,,beta_typeA,,fire,,,,bamboo_hat,beta_typeD,no,,,beta_typeA,yes,,peach,,beta_typeB,beta,
410,Tez Dozen Team δ #050,19,4973.990658667845,17,#f6ca44,,regular,regular,hills,no,,delta_typeD,flowerpot,,,delta_typeA,,carrot,,,delta_typeB,no,pin,delta_typeA,,yes,,lightblue,,,delta,delta_typeC
2907,Tez Dozen Team μ #027,20,4970.8890857959495,14,#d0d0f7,mu_bodyObj6,regular,regular,mu_ptn11,,,,,mu_faceObj7,,mu_fg30,,snake3,,,,yes,calligraphy,,,yes,smilebird,pigA_1,,,mu,
3236,Tez Dozen Team μ #356,21,4904.5070331521565,15,#8cd2e4,mu_bodyObj22,regular,regular,mu_ptn18,,,,fire,mu_faceObj12,,mu_fg18,,hammer,,mu_hat49,,no,calligraphy,,,yes,,pigG_5,,,mu,
38,Tez Dozen Team α #038,22,4839.404471963629,15,#9fcda4,,regular,regular,,no,,,,,,mushroom,,flower,,leaves,alpha_typeC,no,mouse,,,yes,,yellow,,alpha_typeD,alpha,alpha_typeC
2976,Tez Dozen Team μ #096,23,4823.017431411488,13,special_ed,,regular,regular,mu_ptn22,,,,,,,mu_fg40,,donut,,mu_hat31,,yes,little_hamburger,,,yes,firefly,pigE_0,,,mu,
3070,Tez Dozen Team μ #190,24,4694.081372322818,9,#92ffe8,,regular,regular,,,,,,,,mu_fg32,,peacock,,,,no,,,,yes,,pigH_5,,,mu,
246,Tez Dozen Team γ #006,25,4687.620378475384,16,#fe697f,,regular,artist_original,horizon,no,,,,,,gamma_typeB,,rabbit,,,,yes,tiger,gamma_typeB,,yes,butterfly2,blue,,gamma_typeB,gamma,gamma_typeB
2708,Tez Dozen Team λ #308,26,4639.702203435271,13,#80ced3,,regular,regular,lambda_ptn30,,,,,,,lambda_fg0,,,,lambda_hat24,,no,bug3,,,no,butterfly3,dogC_2,,lambda_tail5,lambda,
295,Tez Dozen Team γ #055,27,4545.0926569015355,16,#a6a18e,,regular,artist_original,triplet,no,,,,,,gamma_typeC,,jellyfish,,,,yes,coconut_tree,gamma_typeC,,yes,spider,black,,gamma_typeC,gamma,gamma_typeC
2671,Tez Dozen Team λ #271,28,4510.527130543865,14,#b5d4cb,lambda_bodyObj0,regular,regular,lambda_ptn9,,,,,lambda_faceObj11,,lambda_fg23,,,,lambda_hat29,,no,cat,,,yes,pinetree2,dogA_5,,,lambda,
3330,Tez Dozen Team μ #450,29,4447.238497243958,12,#b9d6c7,mu_bodyObj14,regular,regular,,,,,,,,mu_fg30,,,,mu_hat1,,no,chafer,,,no,piggy,pigD_2,,,mu,
2406,Tez Dozen Team λ #006,30,4439.797864011259,14,#ffea57,lambda_bodyObj2,sextuple,regular,lambda_ptn13,,,,,lambda_faceObj6,,lambda_fg3,,flag2,lotus3,lambda_hat32,,yes,,,,yes,,dogA_6,,,lambda,
286,Tez Dozen Team γ #046,31,4344.5565941280265,16,#31aecc,,regular,regular,,no,,,,,,gamma_typeB,,tiger,,leaves,,yes,tiger,gamma_typeD,,yes,pinetree,blue,,gamma_typeD,gamma,gamma_typeD
321,Tez Dozen Team γ #081,32,4305.809255824202,15,#c8b980,,regular,artist_original,cloud,no,,,,,,,,tiger,,,,yes,flatfish,gamma_typeD,,yes,pinetree,red,,gamma_typeD,gamma,gamma_typeD
2550,Tez Dozen Team λ #150,33,4268.324360114969,13,#ffd626,lambda_bodyObj0,regular,regular,lambda_ptn11,,,,,,,lambda_fg17,,baseball,anchor,lambda_hat31,,yes,,,,yes,,dogA_4,,,lambda,
236,Tez Dozen Team β #116,34,4266.5775710722255,13,#02883f,,sextuple,regular,,rainbow,,,,,,,,fan,,,beta_typeA,yes,flower2,,beta_typeB,yes,,dark_ash,,beta_typeA,beta,
274,Tez Dozen Team γ #034,35,4253.396531275778,17,#ff5e03,,regular,artist_original,ripple,no,,,,,,gamma_typeA,,watermelon,,leaf,,yes,cat,gamma_typeA,,yes,grass,yellow,,gamma_typeA,gamma,gamma_typeA
158,Tez Dozen Team β #038,36,4211.468777721072,13,#9eacef,,regular,regular,,,,,,beta_typeA,,spider_flower,,,,top_hat,beta_typeD,no,,,beta_typeD,yes,,peach,,beta_typeD,beta,
2432,Tez Dozen Team λ #032,37,3875.732935028187,13,#ffea57,lambda_bodyObj2,regular,regular,lambda_ptn9,,,,,,,lambda_fg16,,pu_fan,,lambda_hat30,,yes,bug2,,,yes,,dogA_0,,,lambda,
3099,Tez Dozen Team μ #219,38,3855.9311054459536,13,#aedea7,mu_bodyObj7,regular,regular,mu_ptn1,,,,piggy_twins,mu_faceObj12,,mu_fg10,,baguette,,,,no,,,,yes,,pigA_3,,,mu,
2863,Tez Dozen Team λ #463,39,3840.0336695485175,13,#a4e3a5,lambda_bodyObj0,regular,regular,lambda_ptn13,,,,,,,lambda_fg6,,broom,,lambda_hat33,,no,little_hamburger,,,yes,,dogA_5,,,lambda,
2947,Tez Dozen Team μ #067,40,3839.5689123392044,15,#fabfab,mu_bodyObj0,regular,regular,mu_ptn6,,,,,mu_faceObj3,,mu_fg33,,sundae,,mu_hat22,,yes,bug2,,,yes,smoke,pigD_5,,,mu,
2987,Tez Dozen Team μ #107,41,3817.5750735674624,13,#ff7400,mu_bodyObj25,regular,regular,mu_ptn21,,,,,mu_faceObj1,,mu_fg36,,,,mu_hat44,,no,,,,no,flatfish3,pigF_5,,,mu,
3331,Tez Dozen Team μ #451,42,3707.5353316384153,13,#f4e05e,mu_bodyObj27,regular,regular,,,,,kanto_cooking,,,mu_fg39,,bull_skull_eel,,mu_hat52,,no,little_monkey,,,yes,,pigH_2,,,mu,
2481,Tez Dozen Team λ #081,43,3696.8091828152756,15,#9ed9ff,lambda_bodyObj7,sextuple,regular,lambda_ptn3,,,,cat2,,,lambda_fg12,,blue_leaves,,lambda_hat7,,no,arrow,,,yes,,dogE_0,,lambda_tail6,lambda,
2509,Tez Dozen Team λ #109,44,3694.5124055131196,14,#dabd6b,lambda_bodyObj0,regular,regular,lambda_ptn11,,,,,lambda_faceObj9,,lambda_fg12,,sword,,lambda_hat29,,no,caterpillar,,,yes,,dogA_4,,,lambda,
3268,Tez Dozen Team μ #388,45,3661.481835417736,13,#85f4ff,mu_bodyObj19,regular,regular,mu_ptn4,,,,,mu_faceObj6,,mu_fg14,,piggy_fan,,,,no,dog2,,,yes,,pigA_3,,,mu,
3273,Tez Dozen Team μ #393,46,3645.0376294945777,14,#94c1e8,mu_bodyObj8,sextuple,regular,,,,,tea,mu_faceObj1,,mu_fg9,,piggy_fan,,mu_hat47,,no,mouse,,,yes,,pigG_3,,,mu,
2734,Tez Dozen Team λ #334,47,3644.530885413795,14,#b5d4cb,lambda_bodyObj6,regular,regular,lambda_ptn20,,,,,,,lambda_fg18,,flag2,broom,lambda_hat17,,yes,,,,yes,,dogH_4,,lambda_tail3,lambda,
1719,Tez Dozen Team ι #279,48,3637.8286425641445,16,#ffffff,iota_bodyObj10,regular,artist_original,,,iota_ear_1,,gourd_and_peach,,iota_faceTex1,iota_fg2,,banana_fan,,iota_hat2,,no,little_monkey,,,yes,,white,,iota_tail0,iota,
2996,Tez Dozen Team μ #116,49,3624.40800109932,13,#fec735,mu_bodyObj9,regular,regular,mu_ptn19,,,,,,,mu_fg0,,fish_and_spear,,mu_hat44,,no,calligraphy,,,yes,,pigF_5,,,mu,
2971,Tez Dozen Team μ #091,50,3601.0384069104293,14,#e6d4ac,mu_bodyObj0,regular,regular,mu_ptn13,,,,,mu_faceObj17,,mu_fg3,,peacock,,mu_hat22,,no,little_hamburger,,,yes,,pigD_3,,,mu,
2929,Tez Dozen Team μ #049,51,3568.101445007523,14,special_ed,mu_bodyObj27,regular,regular,,,,,mountain,mu_faceObj12,,mu_fg39,,orange_branch,,mu_hat52,,no,bug3,,,yes,,pigH_0,,,mu,
3058,Tez Dozen Team μ #178,52,3560.7976703950253,12,#f2c0a3,mu_bodyObj26,sextuple,regular,,,,,,,,mu_fg32,,pencil,,mu_hat53,,no,butterfly4,,,yes,,pigH_4,,,mu,
1833,Tez Dozen Team ι #393,53,3557.222581958084,16,#cce4a8,iota_bodyObj10,regular,artist_original,,,iota_ear_1,,gourd_and_peach,,iota_faceTex1,iota_fg2,,banana_fan,,iota_hat2,,no,little_monkey,,,yes,,monkeyC_rosybrown,,iota_tail0,iota,
3286,Tez Dozen Team μ #406,54,3532.7129012948526,14,#d4b481,mu_bodyObj17,regular,regular,mu_ptn26,,,,,mu_faceObj19,,mu_fg33,,fish_and_spear,,mu_hat31,,no,cat,,,yes,,pigE_5,,,mu,
1466,Tez Dozen Team ι #026,55,3496.400071135573,16,#000000,iota_bodyObj10,regular,artist_original,,,iota_ear_1,,gourd_and_peach,,iota_faceTex1,iota_fg2,,banana_fan,,iota_hat2,,no,little_monkey,,,yes,,black,,iota_tail0,iota,
3113,Tez Dozen Team μ #233,56,3485.0187737269516,13,#ffa791,mu_bodyObj12,regular,regular,,,,,,mu_faceObj10,,mu_fg30,,,,mu_hat26,,no,little_hamburger,,,no,fish,pigD_8,,,mu,
3218,Tez Dozen Team μ #338,57,3477.8998425911614,13,#9ae4ce,mu_bodyObj16,regular,regular,,,,,,mu_faceObj21,,mu_fg8,,shovel,,mu_hat2,,no,bug2,,,yes,,pigE_2,,,mu,
