ID,Name,Rank,Rarity_Score,Attributes-Scores,Background-Scores,BodyObj-Scores,CardBank-Scores,Class-Scores,ClothPattern-Scores,ClothesObj-Scores,Ear-Scores,Expression-Scores,Extra-Scores,FaceObj-Scores,FaceTex-Scores,Foreground-Scores,Hair-Scores,HandObj-Scores,HandObj2-Scores,Hat-Scores,HeadObj-Scores,LeftHand-Scores,LeftShoulder-Scores,Mouth-Scores,Nose-Scores,RightHand-Scores,RightShoulder-Scores,Skin-Scores,Smock-Scores,Tail-Scores,Team-Scores,Whiskers-Scores
2466,Tez Dozen Team λ #066,1,6593.621902098269,5,112,,1,35,,,,,3360,,,176,,210,1120,1120,,4,160,,,1,,280,,,7,
227,Tez Dozen Team β #107,2,6338.107047387985,9,3360,,1,35,,134,,,,197,,1680,,186,,81,105,1,61,,112,1,,40,105,197,28,
2407,Tez Dozen Team λ #007,3,6125.450076053557,4,224,49,1,35,,,,,3360,,,176,,373,1120,305,,4,88,,,1,,258,,115,7,
3044,Tez Dozen Team μ #164,4,5856.730920279413,4,280,224,1,35,98,,,,280,373,,3360,,420,,210,,1,,,,1,,560,,,7,
2854,Tez Dozen Team λ #454,5,5580.486259792727,5,258,152,4,35,258,,,,373,,,210,,240,,3360,,1,,,,1,,672,,,7,
3188,Tez Dozen Team μ #308,6,5470.060441789871,55,480,,4,35,,,,,840,140,,3360,,305,,,,1,,,,1,,240,,,7,
69,Tez Dozen Team α #069,7,5454.102010039977,9,3360,,1,35,,5,,,,305,,840,,101,,70,115,1,146,,,1,108,56,,160,28,108
109,Tez Dozen Team α #109,8,5305.7259726026805,5,3360,,4,35,,15,,,,115,,840,,280,,176,108,1,38,,,1,,35,,176,28,81
3354,Tez Dozen Team μ #474,9,5229.882652373162,5,336,140,4,1,3360,,,,,,,186,,,,840,,1,93,,,3,52,197,,,7,
8,Tez Dozen Team α #008,10,5193.879239083602,4,3360,,1,1,,5,,,,129,,1120,,,,70,115,1,71,,,1,,56,,146,28,81
383,Tez Dozen Team δ #023,11,5190.290714416184,9,3360,,4,35,93,5,,146,840,,,105,,36,,,115,1,146,112,,1,,56,,,28,93
2861,Tez Dozen Team λ #461,12,5183.078503750678,4,210,49,1,1,840,,,,134,78,,240,,224,,1680,,1,30,,,1,,1680,,,7,
2450,Tez Dozen Team λ #050,13,5140.71180222665,5,336,186,1,1,280,,,,,,,186,,168,,3360,,1,45,,,1,,560,,,7,
152,Tez Dozen Team β #032,14,5053.570504474216,4,3360,,1,35,,115,,,,,,672,,160,,56,96,1,58,,186,1,,129,,146,28,
217,Tez Dozen Team β #097,15,5051.4223516514685,4,3360,,1,35,,,,,,,,840,,43,,52,146,1,81,,96,1,,93,146,120,28,
2806,Tez Dozen Team λ #406,16,5038.6846239282695,5,197,49,4,1,258,,,,,,,176,,373,,3360,,4,38,,,1,,560,,,7,
3252,Tez Dozen Team μ #372,17,5007.26854544467,12,258,,1,35,,,,,,,,152,,373,,3360,,4,305,,,1,160,336,,,7,
235,Tez Dozen Team β #115,18,4988.73200586234,4,3360,,1,1,,93,,,,186,,672,,,,168,105,1,,,90,1,,129,,146,28,
410,Tez Dozen Team δ #050,19,4973.990658667845,9,3360,,1,1,93,5,,88,840,,,129,,36,,,96,1,29,96,,1,,63,,,28,93
2907,Tez Dozen Team μ #027,20,4970.8890857959495,4,420,101,1,1,3360,,,,,336,,176,,101,,,,4,197,,,1,47,210,,,7,
3236,Tez Dozen Team μ #356,21,4904.5070331521565,4,258,280,1,1,840,,,,146,140,,1120,,305,,480,,1,197,,,1,,1120,,,7,
38,Tez Dozen Team α #038,22,4839.404471963629,4,3360,,1,1,,5,,,,,,840,,101,,70,108,1,38,,,1,,35,,160,28,81
2976,Tez Dozen Team μ #096,23,4823.017431411488,5,25,,1,1,115,,,,,,,3360,,80,,560,,4,48,,,1,52,560,,,7,
3070,Tez Dozen Team μ #190,24,4694.081372322818,3360,420,,1,1,,,,,,,,146,,84,,,,1,,,,1,,672,,,7,
246,Tez Dozen Team γ #006,25,4687.620378475384,5,3360,,1,35,63,5,,,,,,28,,480,,,,4,98,93,,1,80,105,,168,28,129
2708,Tez Dozen Team λ #308,26,4639.702203435271,5,280,,1,1,3360,,,,,,,210,,,,129,,1,88,,,3,35,480,,36,7,
295,Tez Dozen Team γ #055,27,4545.0926569015355,5,3360,,1,35,152,5,,,,,,120,,258,,,,4,81,124,,1,84,68,,112,28,101
2671,Tez Dozen Team λ #271,28,4510.527130543865,4,240,152,1,1,840,,,,,146,,176,,,,1680,,1,33,,,1,105,1120,,,7,
3330,Tez Dozen Team μ #450,29,4447.238497243958,12,197,3360,1,1,,,,,,,,176,,,,186,,1,33,,,3,160,305,,,7,
2406,Tez Dozen Team λ #006,30,4439.797864011259,4,224,49,4,1,840,,,,,61,,176,,240,1680,305,,4,,,,1,,840,,,7,
286,Tez Dozen Team γ #046,31,4344.5565941280265,5,3360,,1,1,,5,,,,,,28,,210,,70,,4,98,112,,1,43,105,,140,28,129
321,Tez Dozen Team γ #081,32,4305.809255824202,4,3360,,1,35,152,5,,,,,,,,210,,,,4,28,112,,1,43,50,,140,28,129
