ID,Name,Rank,Rarity_Score,Attributes,Background,Costume,Ear Accessory,Face,Hair,Hand Accessory,Head Accessory,Legendary,Neck Accessory,Skin
223,TezApe #223,1,8041.1538461539,1,,,,,,,,Devil Ape,,
264,TezApe #264,1,8041.1538461539,1,,,,,,,,Tezzardz Ape,,
277,TezApe #277,1,8041.1538461539,1,,,,,,,,Cyborg Ape,,
771,TezApe #771,1,8041.1538461539,1,,,,,,,,Iron Man Ape,,
2068,TezApe #2068,1,8041.1538461539,1,,,,,,,,King Ape,,
2482,TezApe #2482,1,8041.1538461539,1,,,,,,,,Neonz Ape,,
2753,TezApe #2753,1,8041.1538461539,1,,,,,,,,Ssskeles Ape,,
3243,TezApe #3243,1,8041.1538461539,1,,,,,,,,Golden Ape,,
3783,TezApe #3783,1,8041.1538461539,1,,,,,,,,Gogo Ape,,
3813,TezApe #3813,1,8041.1538461539,1,,,,,,,,Prjktneon Ape,,
5508,TezApe #5508,1,8041.1538461539,1,,,,,,,,Zombie Ape,,
5710,TezApe #5710,1,8041.1538461539,1,,,,,,,,Fire Ape,,
6489,TezApe #6489,1,8041.1538461539,1,,,,,,,,Zigg Ape,,
3114,TezApe #3114,14,111.0831104532,9,Forest Green,Shirt,Cross,smirk,Clown hair10,Burger,Eye patch,,Sling bag,Rainbow
302,TezApe #302,15,110.8060825766,9,Diamond Blue,Tiger Coat,Long,bored,Clown hair10,M416 rifle,Heart glasses,,Sling bag,LEOPARD
5692,TezApe #5692,16,109.7371446709,9,Clean Cyan,Astronaut,Moon,smirk,Clown hair10,Kattana,Horns,,Sling bag,Diamond
4437,TezApe #4437,17,108.1222244634,9,Clean Cyan,Shirt,Long,HIGH,Clown hair10,Burger,Rainbow glasses,,Tezos locket,ZEBRA
4267,TezApe #4267,18,107.1898204365,9,Deep Purple,jacket,Points,smirk,Clown hair10,Axe,Eye patch,,Sling bag,ZEBRA
2211,TezApe #2211,19,107.0358716596,9,Deep Purple,Astronaut,Circles,Angry,Clown hair10,M416 rifle,Rainbow glasses,,Bone necklace,ZEBRA
5957,TezApe #5957,20,106.6990888594,9,Universe Purple,jacket,Circles,Happy,Clown hair10,Kattana,Horns,,Golden chain,ZEBRA
4489,TezApe #4489,21,106.2504645535,9,Universe Purple,Tiger Coat,Circles,Happy,Clown hair10,Axe,Thuglife glasses,,Tezos locket,EMERALD
2808,TezApe #2808,22,105.8720471689,9,Universe Purple,Tiger Coat,Moon,Happy,Clown hair10,Kattana,Rainbow glasses,,Silver chain,Rainbow
6908,TezApe #6908,23,105.8717151348,9,Ruby Red,Tiger Coat,Cross,bored,Clown hair10,Burger,Thuglife glasses,,Golden chain,ZEBRA
6323,TezApe #6323,24,105.3574415651,9,Deep Purple,Tiger Coat,Circles,bored,Clown hair10,Axe,Eye patch,,Bone necklace,LEOPARD
2305,TezApe #2305,25,105.0825256245,9,Forest Green,Hoodie,Long,HIGH,Clown hair10,BaseX,Rainbow glasses,,Sling bag,SILVER SKIN
6754,TezApe #6754,26,104.8497999407,9,Glacier Blue,Shirt,Points,smirk,Clown hair10,Hammer,Rainbow glasses,,Golden chain,ZEBRA
1077,TezApe #1077,27,104.8240585328,9,Universe Purple,Shirt,Circles,HIGH,Clown hair10,Baseball bat,Horns,,Golden chain,EMERALD
6953,TezApe #6953,28,104.6122497759,9,Glacier Blue,Life jacket,Points,Angry,Clown hair10,M416 rifle,Thuglife glasses,,Golden chain,Rainbow
2667,TezApe #2667,29,104.1738874901,9,Wood Red,Tiger Coat,Long,HIGH,Clown hair10,Hammer,Thuglife glasses,,Golden chain,LEOPARD
5959,TezApe #5959,30,103.6522968905,9,Deep Purple,Astronaut,Moon,Happy,Clown hair10,Hammer,Heart glasses,,Golden chain,LEOPARD
5229,TezApe #5229,31,102.8107308715,9,Wood Red,Life jacket,Cross,HIGH,Clown hair10,Baseball bat,Horns,,Bullet belt,LEOPARD
1910,TezApe #1910,32,102.7046356556,9,Ruby Red,Hoodie,Long,Angry,Clown hair10,Burger,Thuglife glasses,,Sling bag,LEOPARD
1877,TezApe #1877,33,102.6765257844,9,Pink Dawn,Life jacket,Circles,HIGH,Clown hair10,Burger,Heart glasses,,Silver chain,ZEBRA
4863,TezApe #4863,34,102.5218268502,9,Glacier Blue,Astronaut,Circles,smirk,Clown hair10,Hammer,Samurai hat,,Bone necklace,SILVER SKIN
1696,TezApe #1696,35,102.4332522395,9,Deep Purple,jacket,Moon,smirk,Clown hair10,Baseball bat,Eye patch,,Silver chain,ZEBRA
6827,TezApe #6827,36,102.2359734914,9,Diamond Blue,Hoodie,Moon,Angry,Clown hair10,Burger,Samurai hat,,Sling bag,Rainbow
2257,TezApe #2257,37,102.0856614409,9,Deep Purple,Life jacket,Cross,HIGH,Clown hair10,Hammer,Samurai hat,,Sling bag,LEOPARD
6820,TezApe #6820,38,101.9551441531,9,Deep Purple,Shirt,Moon,Angry,Clown hair10,Burger,Rainbow glasses,,Tezos locket,EMERALD
2746,TezApe #2746,39,101.638072212,9,Deep Purple,Hoodie,Points,HIGH,Clown hair10,BaseX,Heart glasses,,Bullet belt,ZEBRA
5098,TezApe #5098,40,101.578668487,9,Diamond Blue,jacket,Points,HIGH,Clown hair10,BaseX,Horns,,Bone necklace,Diamond
4742,TezApe #4742,41,101.3812048498,9,Universe Purple,Tiger Coat,Circles,Angry,Clown hair10,BaseX,Rainbow glasses,,Silver chain,Diamond
1434,TezApe #1434,42,101.3266686234,9,Pink Dawn,karate,Points,HIGH,Clown hair10,Hammer,Heart glasses,,Golden chain,ZEBRA
4889,TezApe #4889,43,101.2451011036,9,Forest Green,Red Shirt,Circles,Happy,Clown hair10,Hammer,Thuglife glasses,,Sling bag,Rainbow
2564,TezApe #2564,44,100.6900749554,9,Deep Purple,Tiger Coat,Cross,bored,Clown hair10,Axe,Horns,,Silver chain,SILVER SKIN
4736,TezApe #4736,45,100.200143614,9,Wood Red,Tiger Coat,Long,smirk,Clown hair10,Kattana,Thuglife glasses,,Sling bag,SILVER SKIN
2281,TezApe #2281,46,100.0656495993,9,Glacier Blue,Shirt,Cross,Happy,Clown hair10,Burger,Rainbow glasses,,Silver chain,EMERALD
4134,TezApe #4134,47,99.9114719967,9,Universe Purple,Shirt,Long,smirk,Clown hair10,BaseX,Thuglife glasses,,Golden chain,LEOPARD
