ID,Description,Name,Rank,Rarity_Score,Animal,Attributes,Background,Body,Clothes,Expression,Eyewear,Headwear
1156,Animal #3077,was decided to,1,2092.5721250546,Horse,5,Wall,Brown,Diver,Tired,None,None
1561,Animal #1044,"after the Rebellion?""",2,2076.9640447256,Horse,6,Bright,Orange,Banker,Yelling,Batgirl,None
1866,Animal #2335,When they had,3,2074.8712729782,Horse,6,Money,Pink,Doctor bling,Shock,None,Britpop
100,Animal #100,"then the pigs,",4,2068.0548802998,Pig,4,Bright,Brown,None,Kneiving,None,None
1415,Animal #3198,a smart dogcart,5,1183.9479326955,Horse,6,Death,Ghost,French bling,Overdosed,None,Cap
1900,Animal #5093,till well into,6,1119.4363238562,Horse,6,Rave,Grey,Prison bling,Crazy,Lolita,None
1496,Animal #2370,nine sturdy puppies.,7,1104.9268201728,Horse,6,Heaven,Green,Dealer bling,Cigarette,None,Artist
1891,Animal #5522,everywhere. He would,8,1103.3828113785,Horse,6,Flesh,Robot,Prison bling,Happy,None,Halo
1579,Animal #8724,was to have,9,1095.5806286303,Horse,6,Camo,Brown,Mcqueen ranch,Manic,None,Artist
1958,Animal #6444,also announced that,10,1094.4172604343,Horse,6,Sea,Ghost,Mcqueen ranch,Dead,None,Bowler
1479,Animal #1023,"""If this Rebellion",11,1085.4414153082,Horse,6,Bright,Orange,Snooker bling,Happy,None,Police
1210,Animal #2400,grass of the,12,1082.091506496,Horse,5,Rave,Ghost,Dealer bling,Beard,None,None
1103,Animal #1488,"the unbelievable luxury,",13,1073.3519696364,Horse,7,Hell,Ghost,Snooker bling,Moaning,Glasses,Bowler
1523,Animal #5453,he gnawed the,14,1045.5744536278,Horse,6,Graf,Pink,French bling,Unsure,None,Veronica
1876,Animal #2790,"legs. However, this",15,946.7680147315,Horse,7,Rave,Pink glam,Cobain ranch,Greed,Glasses,Artist
1319,Animal #6968,animals to inspect,16,884.8616369647,Horse,5,Bright,Ghost glam,Summer bling,Greed,None,None
1010,Animal #3073,known that there,17,877.3462012104,Horse,7,Death,Green glam,Dealer,Beard,Glasses,Artist
1823,Animal #7163,to pack blasting,18,795.558337065,Horse,7,Woodland,Tattoo,Military ranch,Kneiving,Patch,Britpop
1627,Animal #2765,"quickly, and in",19,787.4571460405,Horse,7,Heaven,Robot,Cobain bling,Frustrated,Glasses,Fisherman
1171,Animal #2589,other so much,20,781.9603072258,Horse,6,Camo,Orange glam,Lawyer,Kneiving,None,Cap
1187,Animal #5743,traitor at the,21,779.5730563917,Horse,6,Flesh,Tattoo,Cobain bling,Unsure,None,Horns
1885,Animal #4268,By late summer,22,773.6731288185,Horse,7,Wall,Orange glam,Spring,Eager,Glasses,Artist
1076,Animal #7403,it occurred to,23,772.8004467799,Horse,6,Money,Robot glam,Teen,Frustrated,None,Beret
1807,Animal #1811,down to the,24,765.4177934836,Horse,7,Stars,Green glam,Police,Spaced,Glasses,Veronica
1393,Animal #4695,against this had,25,755.9706049763,Horse,5,Death,Robot glam,None,Happy,None,Bowler
1212,Animal #8040,then the poultry.,26,754.1768788876,Horse,6,Rave,Orange glam,Military,Yelling,None,Elvis
1687,Animal #7701,real ambition left–to,27,751.3989390316,Horse,6,Purple,Green,Eddie ranch,Tired,None,Betty
1321,Animal #2580,kept. Its owner,28,750.8933910213,Horse,7,Purple,Robot,Snooker ranch,Shock,Lolita,Britpop
1855,Animal #3336,But of all,29,750.5756967256,Horse,6,Virtual,Orange,Snooker ranch,Eager,None,Elvis
1412,Animal #4126,"comrades, tactics!"" skipping",30,749.476856412,Horse,7,Money,Green glam,Swimmer,Unsure,Glasses,Artist
1497,Animal #5591,by documents which,31,749.0572498662,Horse,7,Stars,Grey,Eddie ranch,Shock,Glasses,Britpop
1366,Animal #7598,able to understand.,32,743.9496549135,Horse,7,Camo,Brown,Cobain bling,Unsure,Monocle,Betty
1104,Animal #9966,rushed back and,33,740.8334362969,Horse,6,Camo,Ghost,Snooker ranch,Cigarette,None,Veronica
1107,Animal #6291,every Sunday morning,34,737.1578990221,Horse,6,Wall,Green,Cobain ranch,Moaning,None,Police
1302,Animal #3244,to be ratified,35,735.2534825154,Horse,6,Death,Brown,Cobain ranch,Unsure,None,Cap
1392,Animal #6173,before all else,36,733.2703204308,Horse,6,Bright,Robot glam,Winter,Greed,None,Cap
1305,Animal #2979,was feared that,37,728.9071678756,Horse,6,Wall,Brown,Military ranch,Shock,None,Britpop
1591,Animal #4070,pigs had been,38,727.4583793363,Horse,6,Purple,Ghost,Military ranch,Dead,None,Veronica
1619,Animal #9820,could be further,39,725.3680439668,Horse,6,Wall,Pink,Eddie ranch,Shock,None,Britpop
1742,Animal #8796,"of Boxer's death-bed,",40,646.6219575021,Horse,7,Bright,Pink,Swimmer bling,Stoned,Cobain,Wayfarer
1095,Animal #1746,noticed that the,41,632.1703679333,Horse,6,Bright,Robot,Jobs ranch,Eager,None,Headphones
1278,Animal #3451,from the start.,42,628.9096420232,Horse,6,Wall,Orange,Jobs ranch,Vampire,None,Betty
1228,Animal #1619,Animal Farm must,43,617.0662407456,Horse,7,Purple,Ghost glam,Repressed,Manic,Glasses,Beret
1988,Animal #9811,even revolutionary in,44,614.2820542451,Horse,7,Wall,Pink,Swimmer bling,Crazy,Monocle,Britpop
1975,Animal #5106,mill were not,45,614.2707831267,Horse,7,Bright,Brown,Summer bling,Eager,Sunglasses,Wayfarer
1568,Animal #4633,to one another,46,607.6581264425,Horse,7,Money,Tattoo,Writer bling,Moaning,Cobain,Bowler
1428,Animal #1785,pigs did not,47,605.6938505241,Horse,7,Wall,Grey,Writer bling,Cigarette,Lolita,Horns
