ID,Name,Rank,Rarity_Score,Animal-Scores,Attributes-Scores,Background-Scores,Body-Scores,Clothes-Scores,Expression-Scores,Eyewear-Scores,Headwear-Scores
2107,the walls were,1,3117.928503878633,3,2,31,7,3000,60,4,8
1561,"after the Rebellion?""",2,3076.8658435007246,3,1,7,24,12,27,3000,
1156,was decided to,3,3063.0721549299233,3,10,6,7,3000,35,,
100,"then the pigs,",4,3038.763527252889,3,3000,7,7,,20,,
2782,of the end,5,1598.5914247669314,3,2,11,12,1500,27,30,11
1496,nine sturdy puppies.,6,1592.880746318689,3,1,49,8,1500,20,,10
1210,grass of the,7,1582.1300520844056,3,10,20,9,1500,38,,
2386,"two legs better!""",8,1564.23612373592,3,2,11,9,1500,10,4,22
1319,animals to inspect,9,1120.7679213262486,3,10,7,333,750,17,,
1171,other so much,10,1106.1770230096345,3,1,15,1000,44,20,,20
2382,up on his,11,1103.1448439842563,3,2,15,29,1000,11,30,10
1885,By late summer,12,1087.8163655628287,3,2,6,1000,48,12,4,10
1212,then the poultry.,13,1087.0132016965822,3,1,20,1000,11,27,,22
1866,When they had,14,1080.2902134675362,3,1,23,4,1000,29,,17
2906,it was coming.,15,1070.6072984378004,3,10,23,4,1000,29,,
1975,mill were not,16,862.617478764174,3,2,7,7,750,12,19,60
1891,everywhere. He would,17,851.6211551746217,3,1,18,12,750,17,,48
2941,they accepted his,18,845.6631356091023,3,1,20,8,750,42,19,
1900,till well into,19,842.0788600066732,3,1,20,4,750,42,19,
1579,was to have,20,835.059017592694,3,1,15,7,750,46,,10
1958,also announced that,21,833.1805692488739,3,1,31,9,750,28,,8
2667,harder. From now,22,830.9045374307663,3,1,49,4,750,11,,10
1803,Commandments were written.,23,827.8865876331299,3,1,49,4,750,10,,8
2250,possessed three horses,24,821.430145688589,3,1,31,4,750,20,,9
2202,nothing kept him,25,820.869860788946,3,2,6,9,750,35,4,8
1864,work of the,26,799.6458262621799,3,1,6,7,750,12,,17
1415,a smart dogcart,27,744.1936696634071,3,1,20,9,600,88,,20
1407,"all, they were",28,729.6401188649826,3,2,22,24,600,20,19,37
1074,"Leader, Comrade Napoleon,",29,711.7191809778137,3,2,20,27,600,42,4,10
2774,were somewhat surprised,30,710.7094754341249,3,2,49,29,600,11,4,10
2478,"a black coat,",31,710.5438023590324,3,2,7,4,600,32,24,36
2424,silence he read:,32,710.1267576853741,3,2,22,4,600,20,19,37
2879,on public holidays.,33,708.4682288597394,3,1,20,4,600,66,,11
2077,smashed to pieces,34,704.5763238349564,3,2,20,27,600,35,4,10
1457,of excitement. Gradually,35,695.5271171532482,3,2,7,4,600,17,24,36
1446,him and which,36,693.1584331509977,3,1,49,8,600,12,,18
2695,hoof and a,37,684.6629437930135,3,2,6,4,600,32,24,10
2433,the nine dogs,38,682.2883369750592,3,1,20,7,600,28,,20
1050,"the farmhouse himself,",39,674.9106645378355,3,2,7,4,600,29,19,8
1070,Cowshed by means,40,670.6870296164818,3,1,18,27,600,14,4,
1663,her foreleg on,41,669.6462585872293,3,2,6,4,600,17,24,10
1919,pigs had to,42,661.2188346787296,3,1,18,7,600,10,19,
1840,"interest. ""What is",43,653.6592697029541,3,1,20,4,600,11,,11
1459,he felt it,44,644.7956256252951,3,2,7,4,600,12,4,10
1523,he gnawed the,45,642.7800197516555,3,1,11,4,600,11,,9
2179,"Pinchfield–but never, it",46,642.7002214590024,3,1,23,12,68,34,500,
2573,she lacked the,47,642.1594072823694,3,1,15,12,42,66,500,
2562,now not quite,48,638.8775730212276,3,1,6,4,600,12,,10
2447,spend in the,49,634.4068150210579,3,1,6,4,30,88,500,
1860,impossible not to,50,613.211239751609,3,1,27,24,500,38,,17
2193,news. Only Clover,51,611.6522146512093,3,1,18,27,428,11,,120
2781,blood had trickled,52,610.5211553207216,3,2,7,428,136,17,4,10
1010,known that there,53,608.2003061472824,3,2,20,428,100,38,4,10
2768,such times his,54,606.6991680626517,3,1,7,4,30,60,500,
1964,been born to,55,604.0107703858044,3,1,27,8,500,42,,20
1076,it occurred to,56,596.2621161070614,3,1,23,500,24,32,,11
2079,in the whole,56,596.2621161070614,3,1,23,500,24,32,,11
1497,by documents which,58,589.3804872917394,3,2,27,4,500,29,4,17
1192,"goat, could read",59,580.9303296681926,3,2,6,4,500,20,21,22
2457,had done it,60,573.9299306483425,3,1,20,4,23,20,500,
2543,happened she would,61,573.2331903023885,3,2,31,29,48,88,250,120
2334,intended to bring,62,572.6285158415079,3,1,6,12,500,29,19,
2018,anxious to get,63,571.5085021548542,3,1,7,4,11,42,500,
2894,that Snowball had,64,567.3349970788988,3,1,22,4,500,12,,22
1687,real ambition left–to,65,566.2614491266004,3,1,6,8,500,35,,10
1392,before all else,66,565.1015304894372,3,1,7,500,15,17,,20
2408,the green flag,66,565.1015304894372,3,1,7,500,15,17,,20
1619,could be further,68,563.5989509363671,3,1,6,4,500,29,,17
1393,against this had,69,559.5516165848442,3,10,20,500,,17,,8
2409,broken in two,70,559.2491362460662,3,10,20,500,,17,,8
2108,through one of,71,558.3272363307606,3,1,15,7,500,20,,9
1823,to pack blasting,72,554.9990059087115,3,2,24,27,428,20,30,17
1228,Animal Farm must,73,551.4165998380385,3,2,6,333,142,46,4,11
1328,Mollie became more and,74,550.9427505331201,3,1,11,9,500,14,,9
1627,"quickly, and in",75,550.5952023459105,3,2,49,12,428,32,4,18
1807,down to the,76,548.0552732210468,3,2,27,428,13,58,4,9
1187,traitor at the,77,547.207770206765,3,1,18,27,428,11,,55
2858,"lantern, a paint-brush,",78,543.2450125829075,3,1,11,428,68,20,,9
2547,care what happened,79,542.7800197516555,3,1,11,4,500,11,,9
1795,in a fortnight.,80,542.5287341165714,3,1,6,9,500,12,,8
2993,almost certain I,81,537.3687995803127,3,2,31,29,428,12,19,10
2908,was about this,82,537.0277821899049,3,1,7,428,58,27,,9
2658,up hope of,83,530.194845339663,3,2,49,12,428,11,4,18
1876,"legs. However, this",84,524.3019495144397,3,2,20,166,300,17,4,10
2517,the windmill. The,85,523.1214869146373,3,1,49,9,428,20,,10
2597,their riders on,86,521.4288583815966,3,2,23,27,375,60,21,8
1479,"""If this Rebellion",87,518.4723957760644,3,1,7,24,428,17,,36
1742,"of Boxer's death-bed,",88,516.6847341970479,3,2,7,4,375,42,21,60
2332,to attribute it,89,516.2193891407284,3,10,7,130,333,32,,
1412,"comrades, tactics!"" skipping",90,511.7224031620849,3,2,23,428,27,11,4,10
2446,If one of,91,510.08684204521126,3,2,6,4,333,20,19,120
2780,At this Snowball,92,509.5418770541907,3,2,7,4,375,35,21,60
2199,meet in the,93,509.5017582396211,3,2,6,4,428,20,21,22
2419,them that all,94,506.85151949676606,3,1,20,130,300,42,,8
2810,In another moment,95,505.45113956713203,3,1,31,375,73,12,,8
1366,able to understand.,96,504.58697947653644,3,2,15,7,428,11,24,10
2149,"possible. Nevertheless, the",97,502.0988325094014,3,1,6,428,30,20,,11
1461,with her horn,98,501.8443714627534,3,1,6,333,103,35,,17
1103,"the unbelievable luxury,",99,500.5991071020719,3,2,31,9,428,11,4,8
2804,hayfield to begin,100,499.2431515967803,3,1,23,12,428,20,,9
2500,their sick comrade,101,498.65655425767807,3,1,7,4,428,17,,36
2421,But when the,102,498.29768433960896,3,1,31,4,428,17,,11
1305,was feared that,103,495.023977522684,3,1,6,7,428,29,,17
2010,"tail, ""surely there",104,494.40933521345437,3,2,20,333,100,20,4,10
2899,"the weak, as",105,494.03351641796036,3,10,27,4,428,20,,
1849,in a gruff,106,491.70830055730727,3,2,15,333,58,27,30,20
2218,resorted to cannibalism,107,489.90713781797194,3,10,20,7,428,20,,
2980,leave the field,108,488.605296458402,3,1,24,8,428,11,,10
1591,pigs had been,109,488.40403124698724,3,1,6,9,428,28,,9
2367,"every corner, in",110,488.32336671383075,3,1,24,96,24,88,250,
2974,animals who had,111,487.75847601388006,3,10,15,375,24,60,,
1241,no longer remember,112,484.49638256393035,3,1,31,24,375,38,,9
2811,Jones. Napoleon then,113,480.56513855984804,3,1,22,375,12,42,,22
2709,"A few days later,",114,478.9982597278198,3,2,18,375,12,29,19,18
2210,indiscipline would prevail.,115,477.33340949052774,3,2,6,375,30,27,21,10
1988,even revolutionary in,116,477.32779808469525,3,2,6,4,375,42,24,17
2342,animals that they,117,474.20504633797236,3,1,11,7,428,11,,9
2904,had halted about,118,470.64595368019235,3,10,6,29,333,88,,
2264,at the head,119,470.29807854155865,3,1,20,375,42,17,,9
2916,certain that they,120,470.0878654894547,3,2,20,166,230,32,4,10
2834,a flock of,121,468.85869554587066,3,1,6,7,428,12,,8
2578,farm was well,122,464.5918620796104,3,1,6,8,375,60,,9
1220,chalk gripped between,123,457.3946271362999,3,2,31,24,333,28,24,9
2229,"all gone, another",124,452.1669802424057,3,2,31,4,333,42,24,9
2297,of a horse,125,452.14320032284945,3,1,18,375,12,29,,11
1578,"anyway, what difference",126,451.657087298839,3,1,20,24,333,20,,48
1428,pigs did not,127,445.6423976007668,3,2,6,4,333,20,19,55
2494,painted red and,128,444.88412062977005,3,1,27,375,12,14,,10
1976,plans. He walked,129,443.47166421331156,3,2,20,4,333,66,4,8
1737,"were lies, and",130,442.7237087601313,3,2,49,7,333,32,4,10
1303,mouth. Clover dropped,131,439.58522206012464,3,2,6,4,333,66,4,18
2932,"Sunday morning, when",132,434.9544885079549,3,1,18,12,333,17,,48
1744,the big barn,133,433.55874502836923,3,2,11,12,333,29,30,11
2759,It was a,134,433.2964278975956,3,2,11,7,333,60,4,10
2607,Beasts of England.,135,432.1437261192305,3,1,20,4,333,20,,48
1568,to one another,136,431.6198992248113,3,2,23,27,333,11,21,8
2846,days Boxer remained,137,429.7079342854726,3,2,27,333,13,35,4,9
2606,did they find?,138,424.55667424020646,3,2,7,29,333,10,30,8
1321,kept. Its owner,139,424.5122970946257,3,2,6,12,333,29,19,17
2002,then the sails,140,422.5215360059802,3,1,31,4,333,11,,36
1855,But of all,141,420.1816915918408,3,1,22,24,333,12,,22
2452,not come back,142,417.7446851435895,3,2,7,29,12,29,250,83
2921,of their hopes,143,416.84356190591757,3,2,23,9,333,14,21,8
2354,was through it,144,416.11826208097114,3,1,6,4,375,20,4,
2430,were placed at,145,415.22730712788916,3,2,23,333,27,10,4,10
1880,a speech by,146,415.1742498813978,3,2,23,8,333,14,21,8
2883,worked like slaves,147,412.9225491841609,3,2,18,8,300,42,19,18
1551,his private motto,148,412.8652939870628,3,1,6,4,375,11,,9
2516,wildfire. The banknotes,149,412.8149229903704,3,1,20,9,333,35,,8
1477,raced back to,150,412.55973451145337,3,1,7,4,300,58,,37
2842,"twelve, for cows",151,411.2199209664632,3,1,49,4,333,10,,8
2981,appearance of being,152,406.0924636381877,3,2,6,4,333,42,4,8
1811,to balance himself,153,405.8222239227763,3,1,7,333,24,27,,8
2026,"Surely, comrades, you",154,404.75740057737346,3,2,7,29,333,14,4,9
1577,books which they,155,402.8372172266319,3,2,7,7,333,10,30,8
2315,but of late,156,402.3303200993403,3,2,6,4,333,29,4,18
2862,might have uttered,157,401.823481572806,3,1,24,27,300,14,30,
2808,But just at,158,400.69474739122506,3,10,6,4,333,42,,
1033,in public as,159,400.0214009065571,3,1,23,333,11,14,,11
1370,be with him,160,395.9001450447336,3,2,11,8,333,10,4,22
2368,Boxer saw them,161,395.8789491491416,3,2,6,7,333,10,21,10
1610,required to file,162,394.6958131201478,3,1,20,7,333,17,,10
2641,Whymper was negotiating,163,394.39333278136985,3,1,20,7,333,17,,10
1104,rushed back and,164,393.9020368062233,3,1,15,9,333,20,,9
1340,sheets; but as,165,393.00204333408874,3,2,6,4,333,20,4,17
2099,near at hand,166,392.92952689175985,3,1,7,12,272,12,,83
2778,pain. In the,167,392.55273137174026,3,1,6,8,333,17,,22
1602,"Whymper, his face",168,391.9905538012367,3,2,24,4,300,42,4,10
2278,or at least,169,390.1591419800069,3,1,6,8,333,28,,8
1741,strength was not,170,389.2709361080892,3,1,6,4,333,17,,22
1239,animals might possibly,171,388.7831976880184,3,2,6,8,333,12,4,17
2882,was how the,172,388.1845946326649,3,2,23,8,300,35,4,10
2289,the time. In,173,387.9254546548055,3,1,6,4,272,88,,10
1422,the story of,174,387.88540885799614,3,2,22,24,230,88,4,11
2248,way as he,175,387.86844834737565,3,1,6,9,333,28,4,
1723,"beds, and sleep",176,387.39560254960645,3,2,11,9,333,11,4,10
1278,from the start.,177,384.7115431071412,3,1,6,24,250,88,,10
1649,"comrades,"" he would",178,383.3923925390148,3,2,11,8,300,42,4,10
2868,except the will,179,383.2013662161763,3,1,23,12,250,88,4,
1025,in a low-crowned,180,383.0379435637988,3,2,7,7,333,14,4,9
1374,them that he,181,382.95052020000765,3,2,31,4,230,88,4,17
1002,a piece of,182,381.4288365795281,3,1,31,24,272,11,,36
1776,very ground that,183,380.5624205664198,3,2,6,9,300,20,19,17
2390,their distance. The,184,379.3420138484887,3,1,31,4,230,88,19,
2317,and seemed to,185,378.4890909350943,3,10,6,29,300,29,,
2751,are so devoted,186,378.2138156283792,3,1,20,4,333,10,4,
1912,"was dead; Bluebell,",187,376.58770602271755,3,2,15,8,300,11,24,10
1829,was within their,188,376.1215620351203,3,2,23,12,300,12,4,17
2487,giving so much,189,374.6970637798933,3,2,7,29,272,27,21,10
1495,the sheep had,190,373.64879405726913,3,1,20,8,272,58,,8
2620,assumed that the,191,371.87684981914356,3,1,6,7,300,42,,9
1267,"it lies, Sugarcandy",192,370.60847982295604,3,1,6,4,333,12,,8
1538,unknown there since,193,370.2065710515352,3,1,6,4,333,10,,10
1095,noticed that the,194,370.2022541644871,3,1,7,12,250,12,,83
2346,of the buckets.,195,368.76266698986126,3,1,6,4,333,10,,8
1107,every Sunday morning,196,367.75808232897435,3,1,6,8,300,11,,36
254,"waiting attentively, he",197,367.00621308626586,3,2,6,4,12,272,4,60
1302,to be ratified,198,365.5746159135121,3,1,20,7,300,11,,20
2540,inventing fresh lies,199,364.82159456292686,3,2,20,9,27,42,250,8
2520,Battle of the,200,363.38673224442505,3,2,7,27,42,11,250,18
2366,removed the sheets,201,361.98774722268337,3,10,11,4,272,60,,
2031,biding his time.,202,360.314955343241,3,2,23,29,272,14,4,9
2841,inch of it,203,358.4057766479003,3,1,23,8,300,11,,10
2075,"not many nowadays,",204,358.22614437418423,3,2,31,4,27,27,250,10
1519,Farm. In the,205,356.8492347329081,3,2,49,12,176,27,30,55
2898,was the biggest,206,355.52139474107435,3,2,6,12,300,14,4,11
1466,animals began appealing,207,352.9776067663187,3,2,7,7,272,27,21,10
687,his own kind.,208,352.56999839663456,3,1,6,7,23,272,,37
2358,Derby dinner service,209,351.78268958786816,3,1,15,4,300,14,,11
2681,towards the old,210,351.78003613252764,3,2,11,7,250,46,19,10
1961,strange incident which,211,351.42228339401953,3,2,20,4,272,12,24,10
2157,"Cowshed, I believe",212,350.56383004867894,3,2,15,9,272,10,24,11
1152,things stirred and,213,348.8945180241592,3,2,15,8,272,10,24,11
2237,was ever a,214,348.5180491134008,3,2,6,130,142,46,4,11
2542,the meetings always,215,348.1377501390706,3,2,49,12,88,42,30,120
2082,"words ""Long live",216,347.6370715505472,3,1,6,4,300,11,19,
2467,incumbent upon him,217,346.928585511652,3,1,49,9,176,88,,18
372,of the produce,218,346.0762529840871,3,10,24,12,23,272,,
2790,live a long,219,345.44545296566974,3,2,6,29,23,11,250,18
993,Animalism. Several nights,220,343.4406105722476,3,1,7,8,13,272,,37
2323,"mean, Mollie?"" ""He",221,342.0247040688651,3,1,6,8,42,29,250,
