ID,Name,Rank,Rarity_Score,Animal,Attributes,Beard,Boots,Hat,Jacket,Pants,Profession,Sword,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
124,RASCAL DUKE | TEZOS PIRATE 124/666,1,346.1458652393,Common Animal,8,Common Beard,Uncommon Boots,Legendary Hat,Rare Jacket,Common Pants,Captain,Epic Sword,ipfs://QmPXNB2RfKmzozhYtGvr66voN88CdQRYntYbRFj8cvwFK5,ipfs://QmUBcdUWtApgfpQaytw4T3yg32ao1cTm5AxSRFZuGVCR1Z,ipfs://Qmf2sV5S6RjJHP3UaZZyyrtqBsk4y7FeXxtoy6Y61UPCPY,ipfs://QmXx9ypCDeBxCMFD24XG3eCUr5kJvHEFxYUXBURkxuhJSE
260,BILL RAIDER | TEZOS PIRATE 260/666,2,309.092711432,Uncommon Animal,8,Uncommon Beard,Common Boots,Legendary Hat,Common Jacket,Common Pants,Captain,Common Sword,ipfs://QmW5Ymng4AndewC6iQvMTKjtsuiSRgG9DmoAv4fZdfVsz4,ipfs://QmPbUMwFUcKZ9b2Kf6GQ7sN9jsfthKTUPBNWQUZkT4LH5j,ipfs://QmcYvxfw9pSToR3vw694PLFScrG1vSee28XExD67mqihLj,ipfs://QmZW9N36goxqRHZKDLJauJdYjaKpCkq9qT6Y2QyJNuf8CK
24,SAVAGE THE EVIL | TEZOS PIRATE 24/666,3,236.878325715,Legendary Animal,8,Uncommon Beard,Common Boots,Common Hat,Uncommon Jacket,Epic Pants,Captain,Uncommon Sword,ipfs://QmNdjSw3YE8NtaBYZDVQd2fqYLVutujQ7SgRdmBBqBSnNA,ipfs://QmY6iQJ3vX36DP469NbZkGXbb6CTNfS7s6pX2YEwBUQ48y,ipfs://QmdUNeP7rFpn6os2inbxHa73SoiDu3Qmvjv4U46YztM6a4,ipfs://QmdMKtovAZwgnBg64NKJjVwZZVBHKnEvSP2t1Ft7euoB4k
39,EXECUTIONER HAYWARD | TEZOS PIRATE 39/666,4,220.8416418576,Legendary Animal,8,Rare Beard,Common Boots,Uncommon Hat,Common Jacket,Uncommon Pants,Captain,Common Sword,ipfs://QmaDQQjDnJsBg7Nx5oGZ2YT4nQPySR3jGMeAVLF9zrNMfr,ipfs://QmWNFUA7iZJrtCvCqqKgcWHUuAMz73D7HekhEJRd3bYMMX,ipfs://QmPFUSm1gH5oFt37dFyG2TZneuUsF4onHsC8vKp2VoBa1S,ipfs://Qmb3Ym2DV9BHyJSjvcruo5Eje3Z3oLDpW8JsFiTnuQfCyD
430,CRAFTY RHYS | TEZOS PIRATE 430/666,5,219.2025022618,Legendary Animal,8,Common Beard,Common Boots,Rare Hat,Common Jacket,Uncommon Pants,Captain,Common Sword,ipfs://QmQGi6714y9DDdnoy13Dx1qa75NMMhypw9oQJcHh5Po6Mz,ipfs://QmTxTPKG1HYEgCbMmFXJXBbeCLSFNUbZZEoNaKvjmGB4X5,ipfs://QmPVeCdsk6Ft9YcFt2Hn5Uuz82yc6y1qhXsdbyTFtmzQgb,ipfs://QmdFNqGU3gwNjRXYi5qLuQyBB7UQkmXs7fNSLqUdtCHxKq
419,DIRTY KENT | TEZOS PIRATE 419/666,6,180.4076884817,Common Animal,8,Rare Beard,Legendary Boots,Common Hat,Uncommon Jacket,Uncommon Pants,Captain,Rare Sword,ipfs://QmVzu3vPouRLP8MR2eBqPzNEtnpsWgLGFFJHsp3xj719aC,ipfs://QmXynMuqikp8TexDHBB7E4y8NSxhUpMgnuqMb8fdCh9VFD,ipfs://QmYXUYMVAQbNqPBbEguchTaw1FFxRZCBoe9xYFHGQ4G8zN,ipfs://Qmd79fSJT1ZgAFxo8bvK7whiyPgmnEytpCR4xdibpvJpJu
394,DAVE BRISTOL | TEZOS PIRATE 394/666,7,174.9709065192,Uncommon Animal,8,Common Beard,Legendary Boots,Common Hat,Uncommon Jacket,Rare Pants,Captain,Uncommon Sword,ipfs://QmRPFxxCQAREgf87DtZuzBTmZmbbaLfMExgGqZHjvEULkG,ipfs://QmV5V68rsdPaybPy75Q77zNA15FAZx1CwqKSC8G6vnooPU,ipfs://QmRYWZVHSLkSExkhzgY6ygeXcJzNpEYvzJyU4L8Ejn2239,ipfs://QmRBEzJwFGeVfN3jWzii7aNnmuMq7SmWRhZUENK7yYjbX8
414,THOMAS EMMIT | TEZOS PIRATE 414/666,8,173.8826405153,Uncommon Animal,8,Common Beard,Legendary Boots,Rare Hat,Uncommon Jacket,Common Pants,Captain,Common Sword,ipfs://QmdbufTeWsQPx8xkEYvZyZkWLsXtjjwPEkKeXudUYZFZYy,ipfs://QmQ29J33cP8P3vrpf91Dhi9gBxq2SDR7y9pzXYuHn9bqgv,ipfs://QmRnuy6poJzawy3ZS6ri82row6bUNMhMAu6CitL7m1bRhz,ipfs://QmU8tttJbZ7c3rHmAkeCuVV8hMbfQwiq4Z85mgjFKFqZen
51,FRANK RAIDER | TEZOS PIRATE 51/666,9,173.7811399062,Uncommon Animal,8,Common Beard,Legendary Boots,Common Hat,Common Jacket,Common Pants,Captain,Rare Sword,ipfs://QmNVuzMRuCB2nE98t1DHTGWBDuUg4TL14ezuCR5BY8C6mw,ipfs://QmRPTRgMdEbnXVD89G9DL2V6qsH3sp8ZKJrvsDq6j7LorF,ipfs://QmNmMTvtxpVWmNu64NzDEr5WYghZHTGfYokDnCJw14cXXe,ipfs://QmQhtV86LT4KwP8p3g6VrCByNAUkDYYULXuBZAELNyLQsn
237,BEACON WITHER | TEZOS PIRATE 237/666,10,159.8753657322,Uncommon Animal,8,Common Beard,Epic Boots,Common Hat,Common Jacket,Legendary Pants,Captain,Epic Sword,ipfs://QmW9TLQXesiH6MkpfQw8JP9Q4fGNV422XznvEuDVBsVWvb,ipfs://QmPNFFqpKDkFnWa3QSmqzsSQogQtuA7RHePPbo6QWydPs5,ipfs://QmfXTJeQVohB7n91x2vucaVaewJ6PWY3ZCL7pMYawKf8iz,ipfs://QmQwPfXqtiDLc4mCXtZ9n9SeadXojbWsxKBW66EYYdzpZR
