ID,Name,Rank,Rarity_Score,Attributes,Background,Calligraphy,Eyes,Face,Facepaint,Headband,Mouth,Nose,Panel,Paper,Sign Panel,Signature,Special
573,Tezumura #573,1,1895.7474470649213,12,Shibori 05,Calligraphy,Comedian,Rich Grey,Warrior Paint Blue,Punk Stars Red,Thousand Tez 01,Hook,Shikaku Mikan,Washi paper,Sign Panel 08,Signature,
372,Tezumura #372,2,1704.6372297687979,12,Tanzania,Calligraphy,Foxy Lady 02,Oval Beige,Heart,Opera Actor 02,Spaghetti,Shimpuru,No Byoubu,Washi paper,Sign Panel 04,Signature,
59,Tezumura #59,3,1553.2283892833775,12,Carmine,Calligraphy,Fighto!,Long Chin Blue,Warrior Paint Green,Kabuki Aka,Biting Tooth,Bat,Sembe 01,Washi paper,Sign Panel 05,Signature,
469,Tezumura #469,4,1532.3255715199937,12,Kusama 05,Calligraphy,Kensa,Happy Grey,Yamato 02,Samurai 03,bunny,Groovy,No Byoubu,Washi paper,Sign Panel 07,Signature,
296,Tezumura #296,5,1507.164419943852,12,Kousaten 02,Calligraphy,Fear,Long Chin Red,No Moyo,Ninja 02,Burger Time!,Fuji,Byubu Indigo,Washi paper,Sign Panel 02,Signature,
82,Tezumura #82,6,1449.8598734222132,12,Sakura Ki 02,Calligraphy,Kensa,Sharp White,Kiss 01,God of Sun,Yellow Donut,Whictchy,Sensu  Green,Washi paper,Sign Panel 08,Signature,
16,Tezumura #16,7,1441.7381088667814,12,Polkadot 03,Calligraphy,Kurushi,Long Chin White,Warrior Paint Red,Geishasan,Uncle Grey Mustache,Sharpy,Byubu Red,Washi paper,Sign Panel 00,Signature,
522,Tezumura #522,8,1417.1957148864924,12,Pixel 08,Calligraphy,Miure,Happy Beige,Mononoke,Samurai 02,WEW,Fuji,Star Knife Red,Washi paper,Sign Panel 07,Signature,
606,Tezumura #606,9,1410.3320098274487,12,Shodo 004,Calligraphy,Kabuki Eyes02,Long Chin Biege,Kabuki 01,Electra,HaHaHa,Roundy,No Byoubu,Washi paper,Sign Panel 01,Signature,
484,Tezumura #484,10,1398.7760832762726,12,Polkadot 05,Calligraphy,Ronin Eyes,Oval Grey,Aka Shu,Kanuki Prince,Pizza,Fuji,Sensu Indigo,Washi paper,Sign Panel 06,Signature,
393,Tezumura #393,11,1387.077210347607,12,Kousaten 07,Calligraphy,Gakumon,Happy Beige,Moyo 01,Painter 01,HaHaHa,Oldy,Shikaku Green,Washi paper,Sign Panel 02,Signature,
890,Tezumura #890,12,1376.941786256431,12,Polkadot 07,Calligraphy,Fighto!,Oval white,Warrior Paint Green,Kung Fu Fighter,Thousand Tez 01,Roundy,No Byoubu,Washi paper,Sign Panel 13,Signature,
309,Tezumura #309,13,1358.843083481716,12,Shodo 05,Calligraphy,Kensa,Rich Red,Frontman Red,Kirin Ao,Tezos Ice  03,Fuji,No Byoubu,Washi paper,Sign Panel 00,Signature,
199,Tezumura #199,14,1344.0,1,,,,,,,,,,,,,The King Monkey
699,Tezumura #699,14,1344.0,1,,,,,,,,,,,,,Tezumura Marshal
999,Tezumura #999,14,1344.0,1,,,,,,,,,,,,,Dark Lord
592,Tezumura #592,17,1276.517652148465,12,Shodo 03,Calligraphy,Hero,Happy White,No Moyo,Kabuki Midori,Ehhh!,Mahou,Sensu Momoiro,Washi paper,Sign Panel 06,Signature,
369,Tezumura #369,18,1265.8914685505756,12,Nami 03,Calligraphy,Kurushi,Sharp  Beige,Moyo 03,Samurai 01,Gummy Balloon,Yama,Sembe 03,Washi paper,Sign Panel 05,Signature,
7,Tezumura #7,19,1086.6865773651741,12,Yen 09,Calligraphy,HoHoemi,Happy Grey,Creep man,Maiko Worker,Tounge Out,Marui,No Byoubu,Washi paper,Sign Panel 03,Signature,
131,Tezumura #131,20,1043.8936043971207,12,Shodo 01,Calligraphy,Kensa,Sharp Blue,Manabi 04,Brainman,HUH !!!,Ringgu,Shikaku Red,Washi paper,Sign Panel 08,Signature,
851,Tezumura #851,21,1042.1267307389019,12,Yen 09,Calligraphy,Musume,Sharp White,Shogun 02,Kabuki God Fire Ao,HaHaHa,Sharpy,No Byoubu,Washi paper,Sign Panel 15,Signature,
314,Tezumura #314,22,1025.687763486046,12,Kumo Dento 01,Calligraphy,Boring,Sharp grey,No Moyo,Uchina Dancer,Tezos Ice  03,Keen,Sembe 05,Washi paper,Sign Panel 08,Signature,
84,Tezumura #84,23,1021.6534985688864,12,Sagittal 02,Calligraphy,Sunglass,Oval Grey,Joker,The Indian,HaHaHa,Ringgu,No Byoubu,Washi paper,Sign Panel 13,Signature,
741,Tezumura #741,24,1008.8529659395331,12,Nostalgia,Calligraphy,Funny Eyes,Sharp Blue,Warrior Paint Green,Harajuku Aka,Smily,Mahou,Shikaku Midori,Washi paper,Sign Panel 03,Signature,
321,Tezumura #321,25,1002.2902011680727,12,Crane,Calligraphy,Snake Eyes,Oval Red,No Moyo,Violet Demon,Cup Noodle,Drop,Sembe 04,Washi paper,Sign Panel 00,Signature,
26,Tezumura #26,26,980.5317263947641,12,Rokusho,Calligraphy,Warrior Time!,Keen  Red,Manabi 02,Grand General,Gummy Balloon,Coma,Sembe 05,Washi paper,Sign Panel 04,Signature,
395,Tezumura #395,27,970.6201235134014,12,Yen 08,Calligraphy,What's up,Long Chin Biege,Omuri Kaki 04,Shogun,Dagger,Bandage,Byubu Yellow,Washi paper,Sign Panel 13,Signature,
103,Tezumura #103,28,970.3682046762434,12,Kumori 05,Calligraphy,Hitome,Keen  Grey,Murasaki Shu,King Mokey 01,Candy,Wavy,No Byoubu,Washi paper,Sign Panel 04,Signature,
880,Tezumura #880,29,966.509808004504,12,Basketry 01,Calligraphy,Hanaman,Marui White,Frontman Yellow,Toraman,Kissy,Fuji,No Byoubu,Washi paper,Sign Panel 09,Signature,
75,Tezumura #75,30,965.8687824037706,12,Nami 01,Calligraphy,Akuma,Happy Beige,Frontman Red,Kabuki Crabman,Mad,Ringgu,Shikaku Navy,Washi paper,Sign Panel 09,Signature,
913,Tezumura #913,31,954.6672299014924,12,Yen 08,Calligraphy,Funny Eyes,Marui White,Creep man,Luna Bun,WEW,Whictchy,No Byoubu,Washi paper,Sign Panel 02,Signature,
111,Tezumura #111,32,947.898957629003,12,Marume 02,Calligraphy,Fear,Long Chin Blue,Majime 04,Opera Actor,Wow,Ringgu,Shikaku Lime,Washi paper,Sign Panel 13,Signature,
307,Tezumura #307,33,935.9908898732343,12,Coin Pattern 02,Calligraphy,Hanaman,Keen  Red,Majime 01,Samurai 03,Dali Punk Yellow,Yama,No Byoubu,Washi paper,Sign Panel 02,Signature,
