ID,Name,Rank,Rarity_Score,Attributes,Background,Bling Level,Clothing,Eyewear,Face,Face Detail,Headwear,Skin,Skin Pattern,Special,Tail Spikes,Vest
68,Tezzardz #68,1,4900.0,1,,,,,,,,,,Skellington,,
1935,Tezzardz #1935,1,4900.0,1,,,,,,,,,,80s Cyber,,
2915,Tezzardz #2915,1,4900.0,1,,,,,,,,,,Skin Wrangler,,
3352,Tezzardz #3352,1,4900.0,1,,,,,,,,,,Robber,,
4004,Tezzardz #4004,1,4900.0,1,,,,,,,,,,See Through,,
4156,Tezzardz #4156,1,4900.0,1,,,,,,,,,,Ghost,,
2331,Tezzardz #2331,7,2175.7567064311083,4,Yellow,,,,Green Tongue Feisty,,,Green,Orange,,,
526,Tezzardz #526,8,2126.237605040342,4,Purple,,,,Split Tongue Angry,,,Green,Freckles,,,
736,Tezzardz #736,9,479.0420977175647,8,Purple,$,Tassle Jacket,,Tiny Face,,Oven,Red,Freckles,,Gold,
3642,Tezzardz #3642,10,435.9812634684331,11,Peach,$$$,Fkyencci Shirt,Dopey Swimming Goggles,Straight Tongue Sad,Scar,Green Spikes,Yellow,Heavy,,Bone,Pink
6,Tezzardz #6,11,429.8350194321251,9,Blue,$$$,Biker,,Tiny Face,,Party Pal Hat,White,Freckles,,Gold,Red
3625,Tezzardz #3625,12,425.619074055535,9,Peach,$$,Silk Shirt Blue,,Split Tongue Feisty,Scar,Oven,Green,Heavy Bolt,,Rainbow,
664,Tezzardz #664,13,425.257765642667,8,Purple,,Patterned Sweater,,Dumb Tongue,,Oven,Yellow,Heavy Freckles,,Bone,Red
2724,Tezzardz #2724,14,420.2988987574191,7,Purple,,Permanent Vacation Tee,,Bent Tongue Feisty,,Oven,Green,Heavy,,Bone,
858,Tezzardz #858,15,415.40912895923697,7,Green,$$$$,Fk Yeh Sweater,,Split Tongue Pink Feisty,,Oven,Red,Bolt,,,
3630,Tezzardz #3630,16,414.00592535190293,7,Peach,$$,Video Games Tee,,Green Tongue Wavy Sassy,,Oven,Purple,Heavy Freckles,,,
2755,Tezzardz #2755,17,410.0174248031906,8,Yellow,$$,Ghost Tee,,Blue Tongue Wavy Not Amused,Scar,Oven,Yellow,Bolt,,,
2293,Tezzardz #2293,18,407.49313660367,8,Pink,$,Space Onesie,,Straight Tongue Sad,,Oven,Yellow,Heavy Freckles,,Gold,
4138,Tezzardz #4138,19,404.0690946942243,7,Purple,$,Space Onesie,,Blue Tongue Wavy Not Amused,,Oven,Purple,Freckles,,,
3702,Tezzardz #3702,20,403.5485129531391,8,Purple,$,Fk Yeh Sweater,,Straight Tongue Sad,,Oven,Orange,Heavy Freckles,,Gold,
697,Tezzardz #697,21,399.3605371099805,7,Pink,$$,Rainbow Onesie,,Green Tongue Feisty,,Oven,Purple,Heavy Freckles,,,
1697,Tezzardz #1697,22,398.6954356024901,11,Yellow,$$$$$,Pool Shirt,Plain Specs,Green Tongue Wavy Sassy,Scar,Jester Crown,Red,Heavy Freckles,,Bone,Pink
1788,Tezzardz #1788,23,391.82595725414063,8,Blue,$$,Fk Yeh Sweater,,Dumb Tongue,,Balaclava,White,Green,,Bone,
873,Tezzardz #873,24,390.41677105108056,7,Peach,,Patterned Sweater,,Straight Tongue Sad,,Oven,Yellow,Heavy,,Bone,
