ID,Name,Rank,Rarity_Score,Attributes,Body,Celestial objects,Guest,Head,Object,Soil,Surroundings,Time of day,Weather
2953,Moment #2953,1,1502.004008016032,1,,,,,,,,day,
2390,Moment #2390,2,1501.9960079840318,1,,,,,,,,night,
2361,Moment #2361,3,480.8216677472898,6,fire,,dog,8-ball,,red carpet,,day,rain
2022,Moment #2022,4,471.79362282055735,4,fire,,,bandana red,,,laser dish,night,
2036,Moment #2036,5,466.293732368731,7,fire,ufo,,bdsm love,sign,well,,night,fog
3790,Moment #3790,6,442.26419111747265,7,fire,baloons,,bunny ears,sign,street light,,day,snow
664,Moment #0664,7,438.07641003802405,6,fire,baloons,,empty,box,christmas tree,,night,
1967,Moment #1967,8,432.6610347536012,6,fire,moon,,bunny ears,shovel,,windmill,night,
2730,Moment #2730,9,409.81034380590347,5,fire,,,8-ball,,street light,,night,rain
2672,Moment #2672,10,402.48153518099605,3,fire,,,,,,,night,rain
2703,Moment #2703,11,373.4365373425976,9,tie,ufo,mosquito,cell,book,tree,volcano,day,snow
22,Moment #0022,12,365.07968405223374,8,t-shirt,rainbow,lady,empty,sign,red carpet,,night,rain
3501,Moment #3501,13,347.9627275011568,7,,rainbow,caterpillar,glasses,amanita,phone booth,dali elephants,day,
104,Moment #0104,14,341.38994737797134,2,,,,,,red carpet,,night,
3222,Moment #3222,15,330.1085759200217,6,,rainbow,,nymb,,red carpet,dali elephants,night,rain
2875,Moment #2875,16,328.50679453673575,9,cross,sputnik,robot,bunny ears,shovel,red carpet,factory,night,rain
2131,Moment #2131,17,327.2743042017332,9,cross,sputnik,snowman,glasses,torch,crosses,human anthill,day,snow
3221,Moment #3221,18,323.743591017473,9,raincoat,baloons,robot,empty,book,idols,laser dish,day,rain
2661,Moment #2661,19,316.340587879092,8,raincoat,rainbow,,zipmouth,box,crosses,bank,night,fog
1808,Moment #1808,20,314.51131853810114,9,heart,baloons,caterpillar,nymb,amanita,crosses,bank,night,fog
2122,Moment #2122,21,310.2739672236257,7,,rainbow,robot,bdsm love,rope ladder,street light,factory,day,
274,Moment #0274,22,305.89517982268796,6,tie,rainbow,caterpillar,8-ball,,headstone,,night,
2109,Moment #2109,23,305.0048755837532,9,cross,moon,foggy,bdsm love,microphone,crosses,factory,day,fog
