ID,Name,Rank,Rarity_Score,Attributes,color,rarity
1,Absolute Zero,1,1743.8125,2,#0048ba,legendary
25,Amazon,1,1743.8125,2,#3b7a57,legendary
77,Awesome,1,1743.8125,2,#ff2052,legendary
79,Azure,1,1743.8125,2,#007fff,legendary
108,Beer,1,1743.8125,2,#f28e1c,legendary
344,Coffee,1,1743.8125,2,#6f4e37,legendary
345,Cola,1,1743.8125,2,#3c3024,legendary
378,Crystal,1,1743.8125,2,#a7d8de,legendary
504,Denim,1,1743.8125,2,#1560bd,legendary
509,Diamond,1,1743.8125,2,#b9f2ff,legendary
578,Ferrari red,1,1743.8125,2,#ff2800,legendary
641,Gold,1,1743.8125,2,#a57c00,legendary
680,Green slime,1,1743.8125,2,#65ff00,legendary
691,Gunmetal,1,1743.8125,2,#2a3439,legendary
696,Halloween orange,1,1743.8125,2,#eb6123,legendary
747,Iris,1,1743.8125,2,#5a4fcf,legendary
774,Jelly bean,1,1743.8125,2,#da614e,legendary
914,Marigold,1,1743.8125,2,#eaa221,legendary
1093,Outer space,1,1743.8125,2,#414a4c,legendary
1095,Outrageous Orange,1,1743.8125,2,#ff6e4a,legendary
1211,Platinum,1,1743.8125,2,#e5e4e2,legendary
1280,Red cola,1,1743.8125,2,#b62020,legendary
1299,Rhythm,1,1743.8125,2,#777696,legendary
1315,Root beer,1,1743.8125,2,#290e05,legendary
1342,Ruby,1,1743.8125,2,#e0115f,legendary
1434,Snow,1,1743.8125,2,#fffafa,legendary
1551,Twitter blue,1,1743.8125,2,#26a7de,legendary
1573,Vampire black,1,1743.8125,2,#080808,legendary
1632,Water,1,1743.8125,2,#d4f1f9,legendary
1651,Wild Strawberry,1,1743.8125,2,#ff43a4,legendary
1685,Youtube red,1,1743.8125,2,#b2071d,legendary
1689,Zomp,1,1743.8125,2,#39a78e,legendary
4,Aero,33,1704.203125,2,#7cb9e8,epic
8,Air Force blue (USAF),33,1704.203125,2,#00308f,epic
15,Almond,33,1704.203125,2,#efdecd,epic
26,Amber,33,1704.203125,2,#ffbf00,epic
29,American blue,33,1704.203125,2,#3b3b6d,epic
51,Apple,33,1704.203125,2,#66b447,epic
60,Artichoke,33,1704.203125,2,#8f9779,epic
73,Auburn,33,1704.203125,2,#a52a2a,epic
74,Aureolin,33,1704.203125,2,#fdee00,epic
76,Avocado,33,1704.203125,2,#568203,epic
83,Baby blue,33,1704.203125,2,#89cff0,epic
93,Barbie Pink,33,1704.203125,2,#e94196,epic
105,Bazaar,33,1704.203125,2,#98777b,epic
121,Bittersweet,33,1704.203125,2,#fe6f5e,epic
123,Black,33,1704.203125,2,#000000,epic
128,Black coffee,33,1704.203125,2,#3b2f2f,epic
136,Bleu de France,33,1704.203125,2,#318ce7,epic
137,Blizzard blue,33,1704.203125,2,#ace5ee,epic
139,Blood,33,1704.203125,2,#8a0303,epic
156,Blue jeans,33,1704.203125,2,#5dadec,epic
176,Bone,33,1704.203125,2,#e3dac9,epic
202,Bronze,33,1704.203125,2,#88540b,epic
211,Brown sugar,33,1704.203125,2,#af6e4d,epic
217,Bubbles,33,1704.203125,2,#e7feff,epic
228,Byzantine,33,1704.203125,2,#bd33a4,epic
246,Camel,33,1704.203125,2,#c19a6b,epic
251,Candy apple red,33,1704.203125,2,#ff0800,epic
255,Caput mortuum,33,1704.203125,2,#592720,epic
257,Cardinal,33,1704.203125,2,#c41e3a,epic
267,Carrot orange,33,1704.203125,2,#ed9121,epic
272,Cedar Chest,33,1704.203125,2,#c95a49,epic
281,Cerise,33,1704.203125,2,#de3163,epic
291,Charcoal,33,1704.203125,2,#36454f,epic
330,Cinnamon,33,1704.203125,2,#d2691e,epic
331,Cinnamon Satin,33,1704.203125,2,#cd607e,epic
341,Coconut,33,1704.203125,2,#965a3e,epic
409,Dark coral,33,1704.203125,2,#cd5b45,epic
463,Dartmouth green,33,1704.203125,2,#00703c,epic
464,Davy's grey,33,1704.203125,2,#555555,epic
502,Deer,33,1704.203125,2,#ba8759,epic
507,Desert sand,33,1704.203125,2,#edc9af,epic
515,Disappearing purple (Metsushi),33,1704.203125,2,#3f313a,epic
519,Dollar bill,33,1704.203125,2,#85bb65,epic
