ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Body Material,Energy,Flyer,Head,Left Arm,Right Arm
245,Unibot #245,1,4283.1025720986745,8,Buenos Aires,Washing Machine,Silver,Solar,Yes,Nighthawk,A017,A017
305,Unibot #305,1,4283.1025720986745,8,Buenos Aires,Safe,Silver,Solar,Yes,Rabbit,A018,A018
51,Unibot #51,3,4278.9773195734215,8,Babylon,Modded Car Jack,Silver,Solar,Yes,It is on Fire,A015,A015
1001,Unibot #1001,4,4278.391469099479,8,Granada,Modded Tray,Silver,Biodiesel,Yes,Plant,A019,A019
20,Unibot #20,5,4278.143200430968,8,Sahara,Octopus,Silver,Hydraulic,Yes,Wired,A016,A016
15,Unibot #15,6,4273.673423469527,8,Florence,Tray,Silver,Solar,Yes,Booze,A012,A012
246,Unibot #246,7,402.25017949816475,8,Mexico City,Synthetic Heart,Gold,Hydraulic,No,Electric Rocket,A004,A004
65,Unibot #65,8,399.8184439646034,8,Mexico City,Armor 01,Gold,Hydraulic,No,Electric Rocket,A005,A005
657,Unibot #657,9,394.04800460863447,8,Mexico City,Armor 04,Gold,Hydraulic,No,Jaw,A010,A010
233,Unibot #233,10,317.7578776156793,8,Hangzhou,Armor 04,Gold,Hydraulic,No,Electric Rocket,A008,A008
34,Unibot #34,11,317.3129046088039,8,Hangzhou,Satellite,Gold,Hydraulic,No,IG-11,A004,A004
171,Unibot #171,12,311.07149667212656,8,Hangzhou,Satellite,Gold,Hydraulic,No,Jaw,A010,A010
745,Unibot #745,13,308.77622535429714,8,Hangzhou,Armor 02,Gold,Hydraulic,No,Jaw,A010,A010
678,Unibot #678,14,93.55737100755366,8,Yucatan,Armor 02,Silver,Solar,No,Chappie,A003,A003
668,Unibot #668,15,92.71352584785974,8,Buenos Aires,Candy Machine,Silver,Solar,No,Open Helmet,A003,A003
654,Unibot #654,16,91.68896805394567,8,New York City,Synthetic Heart,Silver,Geothermal,No,Chappie,A003,A003
660,Unibot #660,17,91.59847565871644,8,New York City,Satellite,Silver,Solar,No,Chappie,A003,A003
257,Unibot #257,18,90.57372657670909,8,Carthage,Drying machine,Silver,Biodiesel,No,Chappie,A003,A003
863,Unibot #863,19,90.19523516383121,8,Buenos Aires,Car Jack,Silver,Hydraulic,No,Chappie,A009,A009
46,Unibot #46,20,89.70225380783356,8,Paris,Candy Machine,Silver,Hydraulic,No,Chappie,A003,A003
